#ARTIST:AVAION x BUNT.
#TITLE:Other Side
#MP3:AVAION x BUNT. - Other Side.mp3
#CREATOR:Daniel
#COVER:AVAION x BUNT. - Other Side [CO].jpg
#BACKGROUND:AVAION x BUNT. - Other Side [BG].jpg
#GENRE:Pop
#YEAR:2023
#LANGUAGE:English
#BPM:260
#GAP:15200
#VIDEO:v=RlsJr2V8afo,co=other-side-68127f5d0e83f.jpg
: 0 2 4 I’ve 
: 3 3 5 got 
: 7 2 7 a 
: 10 2 7 fee
: 14 2 7 ling 
: 18 3 7 then 
: 22 2 7 I’m 
: 26 5 6 drow
: 33 4 6 ning, 
: 39 2 6 I’m 
: 44 3 6 by 
: 49 3 4 your 
: 54 12 4 side 
- 83
: 129 2 1 No 
: 132 3 7 may
: 137 2 7 be’s 
: 142 3 6 non 
: 148 3 7 from 
: 153 2 6 the 
: 157 4 5 pain 
: 163 3 6 that 
: 168 4 6 was 
: 174 3 6 left 
: 179 3 5 be
: 184 6 4 hind 
- 207
: 230 4 4 So 
: 236 5 4 when 
: 243 4 6 you 
: 250 8 7 feel 
: 260 4 7 the 
: 266 6 7 same, 
: 291 3 5 will 
: 295 2 5 you 
: 299 4 8 take 
: 306 2 3 my 
: 311 6 6 ha
: 320 8 4 nd? 
- 338
: 358 3 4 So 
: 363 5 4 when 
: 370 4 6 you 
: 378 7 6 feel 
: 387 5 7 this 
: 394 7 6 way, 
: 418 2 5 can 
: 422 3 5 we 
: 427 5 6 please 
: 434 5 4 pre
: 442 6 4 tend? 
- 465
: 497 6 4 So 
* 507 6 10 take 
: 523 8 7 a
: 538 6 4 way 
: 546 5 6 what’s 
: 554 4 6 left 
: 561 3 5 be
: 567 7 4 hind 
- 591
: 612 5 4 So 
: 619 5 4 you 
: 627 5 6 can 
* 635 6 10 feel 
: 651 3 6 the 
: 666 4 4 rain 
: 673 3 6 from 
: 678 3 6 the 
: 683 2 6 ot
: 687 3 4 her 
: 692 14 4 side 
- 740
: 1266 5 4 So 
* 1275 6 10 take 
: 1292 8 7 a
: 1306 6 6 way 
: 1315 4 6 what’s 
: 1323 6 6 left 
: 1331 3 5 be
: 1336 6 4 hind 
- 1359
: 1381 4 4 So 
: 1387 4 4 you 
: 1394 5 6 can 
* 1402 6 10 feel 
: 1419 6 7 the 
: 1435 5 6 rain 
: 1442 3 6 from 
: 1447 2 6 the 
: 1451 4 6 ot
: 1457 3 4 her 
: 1462 9 4 side 
- 1488
: 1538 2 5 I’ve 
: 1541 2 5 got 
: 1544 1 7 a 
: 1547 2 7 fee
: 1551 2 7 ling 
: 1555 2 7 then 
: 1559 2 7 I’m 
: 1563 5 6 drow
: 1570 3 6 ning, 
: 1575 2 6 I’m 
: 1579 4 6 by 
: 1585 3 4 your 
: 1590 9 4 side 
- 1616
: 1664 2 1 No 
: 1668 2 7 may
: 1672 2 7 be’s 
: 1676 3 7 non 
: 1683 3 6 from 
: 1688 2 6 the 
: 1692 5 5 pain 
: 1700 3 6 that 
: 1705 3 6 was 
: 1710 3 6 left 
: 1715 4 5 be
: 1722 6 4 hind 
- 1745
: 1766 4 4 So 
: 1772 4 4 when 
: 1779 6 6 you 
: 1788 5 7 feel 
: 1795 4 7 the 
: 1802 8 7 same, 
: 1826 2 5 will 
: 1830 2 5 you 
* 1836 5 9 take 
: 1844 3 3 my 
: 1850 5 6 ha
: 1858 7 4 nd? 
- 1875
: 1894 4 4 So 
: 1900 3 4 when 
: 1908 5 6 you 
: 1916 5 6 feel 
: 1924 5 7 this 
: 1932 6 6 way, 
: 1954 4 5 can 
: 1960 3 5 we 
: 1965 4 6 please 
: 1971 3 4 pre
: 1977 8 4 tend? 
- 2002
: 2034 6 4 So 
* 2043 6 10 take 
: 2060 8 7 a
: 2075 5 6 way 
: 2083 5 6 what’s 
: 2090 5 6 left 
: 2098 3 5 be
: 2103 8 4 hind 
- 2128
: 2149 4 4 So 
: 2155 4 4 you 
: 2162 5 6 can 
* 2170 6 10 feel 
: 2186 6 7 the 
: 2203 5 6 rain 
: 2210 3 6 from 
: 2215 3 6 the 
: 2220 3 6 ot
: 2225 3 4 her 
: 2230 13 4 side 
- 2260
: 2291 5 4 So 
* 2299 6 10 take 
: 2316 8 7 a
: 2331 6 6 way 
: 2340 5 6 what’s 
: 2348 5 5 left 
: 2355 4 5 be
: 2362 8 4 hind 
- 2387
: 2405 5 4 So 
: 2412 5 4 you 
: 2420 5 6 can 
* 2428 6 10 feel 
: 2443 6 7 the 
: 2460 4 6 rain 
: 2466 3 6 from 
: 2471 4 6 the 
: 2477 3 6 ot
: 2482 3 4 her 
: 2487 12 4 side 
- 2533
: 3058 6 4 So 
* 3067 6 10 take 
: 3083 8 7 a
: 3099 6 6 way 
: 3107 5 6 what’s 
: 3114 6 6 left 
: 3122 4 5 be
: 3129 7 4 hind 
- 3153
: 3173 5 4 So 
: 3180 4 4 you 
: 3187 5 6 can 
* 3195 6 10 feel 
: 3211 8 7 the 
: 3227 5 6 rain 
: 3234 5 6 from 
* 3241 2 6 the 
: 3245 3 6 ot
: 3250 3 4 her 
: 3255 12 4 side 
E
