#ARTIST:Alisa
#TITLE:Move Mountains
#MP3:Alisa - Move Mountains.mp3
#CREATOR:Phoenix69
#GENRE:Anime
#YEAR:2019
#LANGUAGE:English
#BPM:240.08
#GAP:10740
#VIDEO:a=GUt3UboSUd4,co=https://i.scdn.co/image/ab67616d0000b273bb238dbefa8e7cc5c2d2a251,tags=Carole & Tuesday Insert Song
: 0 2 0 Eve
: 3 2 0 ry
: 6 2 0 thing 
: 10 3 0 is 
: 14 1 0 hard 
: 18 2 -3 to 
: 21 2 0 do 
: 26 2 -1 the 
: 30 6 0 first 
: 38 9 0 time 
- 49
: 78 4 3 But 
: 84 2 3 if 
: 88 1 0 I 
: 91 8 0 fall, 
: 100 8 0 it’ll 
: 109 8 0 make 
: 118 3 0 me 
: 122 7 0 stron
: 130 2 0 ger 
- 134
: 135 2 -3 I’ll 
: 138 2 3 get 
: 141 2 3 up 
: 146 4 0 and 
: 151 2 0 try 
: 156 2 0 a
: 159 6 0 gain 
- 167
: 229 3 6 I 
: 235 9 3 will 
: 254 6 6 fo
: 261 4 3 llow 
: 273 3 0 my 
: 277 4 0 dreams 
: 283 10 3 for
: 294 4 0 e
: 299 5 0 ver 
- 306
: 320 2 0 Long 
: 325 10 0 as 
: 336 2 -2 we’ll 
: 341 5 0 be 
: 348 7 0 to
: 356 6 6 ge
: 363 11 0 ther 
- 376
: 382 5 3 Through 
: 389 9 3 the 
: 399 4 0 storms 
: 406 3 0 and 
: 411 9 3 bad 
: 422 5 0 wea
: 428 6 0 ther 
- 436
: 437 3 -2 You 
: 441 2 0 make 
: 444 1 0 me 
: 446 7 0 bet
: 454 7 0 ter 
- 463
: 464 3 -3 If 
: 468 2 0 I 
: 473 4 0 be
: 478 8 0 lieve, 
: 488 2 0 I 
: 492 2 -5 can 
: 496 2 0 do 
: 500 3 0 a
: 504 3 0 ny
: 508 12 0 thing 
- 522
: 527 4 0 I 
: 532 1 -3 can 
* 536 6 3 move 
* 544 6 0 moun
* 551 7 0 tains, 
: 560 1 0 I 
: 563 1 0 can 
: 566 6 3 move 
: 575 7 0 moun
: 583 6 0 tains 
- 591
: 592 2 -2 If 
: 595 2 0 I 
: 599 6 0 be
: 606 6 0 lieve 
: 615 3 -3 I 
: 619 3 6 can 
: 624 2 -3 do 
: 628 2 0 a
: 631 3 0 ny
: 635 10 0 thing 
- 647
: 655 1 -2 I 
: 659 1 0 can 
* 662 6 3 move 
* 670 6 0 moun
* 678 6 0 tains, 
: 687 1 -2 I 
: 690 1 0 can 
: 693 7 3 move 
: 702 7 0 moun
: 710 7 0 tains 
- 719
: 720 2 0 If 
: 723 2 0 you’re 
: 726 7 0 in 
: 735 8 0 need, 
: 747 4 3 know 
: 752 2 0 I’ll 
: 756 1 0 be 
: 759 4 0 your 
: 764 10 0 friend 
- 776
: 783 2 -2 I 
: 787 1 0 can 
: 791 6 3 move 
: 799 6 0 moun
: 807 6 0 tains, 
: 815 1 0 I 
: 819 1 0 can 
: 822 7 3 move 
: 831 6 0 moun
: 838 7 0 tains, 
: 847 7 0 yeah 
- 856
: 864 1 0 A
: 866 1 0 ny
: 869 2 0 thing 
: 874 1 0 the 
: 877 2 0 world 
: 881 2 -3 throws 
: 885 5 -1 at 
: 891 3 0 us, 
: 897 1 0 I’ll 
: 899 3 3 be 
: 903 2 0 by 
: 906 3 0 your 
: 910 6 0 side 
- 918
: 919 2 0 Till 
: 922 3 0 we 
: 926 2 0 make 
: 930 2 0 it 
