#ARTIST:Ava Max
#TITLE:Sleepwalker
#MP3:Ava Max - Sleepwalker.mp3
#CREATOR:Plumobec
#COVER:Ava Max - Sleepwalker [CO].jpg
#BACKGROUND:Ava Max - Sleepwalker [BG].jpg
#GENRE:Pop
#YEAR:2023
#LANGUAGE:English
#BPM:252
#GAP:8040
#VIDEO:v=19Nmb8TZIn4,co=https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/0e/8e/40/0e8e40fe-9047-3440-d21f-8f9843c3cddd/075679733535.jpg/5000x5000bb.jpg
: 0 2 4 You
: 3 3 4  say
: 7 3 4  you
: 11 2 4  want
: 14 3 -1  a
: 18 3 -1  taste,
: 22 2 -1  then
: 26 4 2  bot
: 30 3 2 tle
: 34 3 4  me
: 38 2 4  up
- 50
: 63 1 4 But
: 65 4 4  I
: 70 1 4  should
: 74 3 4  warn
: 78 3 -1  you,
: 82 2 -1  once
: 85 3 -1  is
: 89 4 0  ne
: 93 3 0 ver
: 97 4 2  e
: 101 4 -1 nough
F 109 1 4  (ah,
F 115 1 4  ah)
- 124
: 127 3 4 Ze
: 131 2 4 ro
: 134 1 4  to
: 139 2 4  six
: 142 3 -1 ty
: 146 3 -1  from
: 150 3 -1  the
: 154 4 2  se
: 158 3 2 cond
: 162 2 4  we
: 166 1 4  touch
- 177
: 191 2 4 You
: 194 3 4  say
: 198 3 -1  you’re
: 202 5 0  fall
: 207 2 0 in’
: 210 3 2  in
: 214 1 -1  love
- 221
: 223 2 -1 You
: 226 3 -1  just
: 231 2 7  might
: 234 2 5  get
: 238 2 4  what
: 242 3 2  you
: 246 20 4  want
- 267
: 291 3 -1 So
: 295 2 7  you
: 298 4 5  bet
: 302 3 4 ter
: 306 3 2  think
: 310 20 4  care
: 330 12 5 ful
: 342 4 7 ly
- 349
: 351 2 -1 I’ll
: 354 3 -1  have
: 358 3 7  you
: 362 3 5  up
: 366 4 4  se
: 370 3 2 ven
: 374 19 4  moons
: 394 10 4  with
: 405 4 2  me-
- 419
: 423 3 -1 I’ll
: 427 3 2  turn
: 431 4 -1  you
: 436 2 2  to
: 439 1 4  a
- 448
: 451 7 7 Sleep
: 458 4 5 walk
: 462 3 4 er,
: 471 7 11  dream
: 479 3 11  of
: 483 3 11  me
: 487 4 11  wher
: 491 3 10 ev
: 494 1 9 er
: 499 4 7  you
: 504 1 9  go
- 515
: 519 2 7 If
: 522 2 5  I
: 526 2 7  take
: 529 4 9  you
: 534 10 10  home,
: 546 4 11  I’ll
: 551 5 10  turn
: 557 4 9  you
: 562 3 7  to
: 566 1 5  a
- 576
: 579 8 7 Sleep
: 587 2 5 walk
: 589 3 4 er,
: 599 6 11  eyes
: 606 3 11  are
: 610 4 11  burn
: 614 3 11 in’
: 618 4 10  o
: 622 4 9 pen
: 627 2 7  or
: 630 2 9  closed
- 642
: 650 3 5 Thought
: 654 3 7  you
: 658 3 9  should
: 662 7 10  know,
: 670 2 7  oh,
: 679 2 10  oh-
: 682 2 9 oh-
: 687 2 7 oh-
: 691 2 5 oh
- 694
: 696 6 7 I’m
: 703 3 7  an
: 707 5 7  ob
: 712 6 7 ses
: 718 6 4 sion,
: 728 6 7  not
: 735 2 7  just
: 738 4 7  a
: 743 1 7  game
- 750
: 752 6 9 It
: 759 7 5  feels
: 767 4 5  like
: 772 3 5  in
: 775 6 5 cep
: 781 4 2 tion,
: 791 2 5  stuck
: 798 2 5  in
: 802 2 5  your
: 806 6 5  brain,
: 815 4 4  oh-
: 819 4 5 oh-
: 823 4 7 oh
- 832
: 835 8 7 Sleep
: 843 3 5 walk
: 846 3 4 er,
: 856 7 11  dream
: 864 2 11  of
: 867 3 11  me
: 871 3 11  wher
: 874 4 10 ev
: 878 1 9 er
: 885 2 7  you
: 888 1 9  go
- 899
: 903 4 7 Rem
: 907 3 5 em
: 910 3 7 ber,
: 914 3 9  I
: 918 6 10  told
: 925 2 7  you
: 934 2 10  so
: 936 3 9 ~
: 939 3 7 ~
: 942 3 5 ~
- 954
: 958 3 4 So
: 962 3 4  call
: 966 3 4  me
: 970 4 4  kar
: 974 3 -1 ma
: 978 3 -1  for
: 982 2 -1  the
: 985 4 2  hearts
: 990 3 2  that
: 994 2 4  you
: 997 1 4  broke
- 1008
: 1023 2 4 What
: 1026 3 4  goes
: 1030 5 4  a
: 1035 2 4 round
: 1038 3 -1  comes
: 1042 3 -1  back
: 1046 2 -1  to
: 1050 3 0  kick
: 1054 3 0  down
: 1058 3 2  your
: 1062 3 -1  door
F 1070 1 0  (ah,
F 1078 1 0  ah)
- 1084
: 1086 3 4 I’ll
: 1090 3 4  have
: 1094 3 4  you
: 1098 3 4  scream
: 1101 3 -1 in’
: 1105 4 -1  from
: 1110 3 -1  the
: 1114 3 2  mur
: 1117 3 2 der
: 1121 4 4  she
: 1127 1 2  wrote
: 1128 3 4 ~
: 1131 3 7 ~
: 1134 3 9 ~
- 1146
: 1150 4 10 Be
: 1154 2 9 fore
: 1157 3 7  you
: 1161 3 9  hit
: 1165 3 7  the
: 1169 5 11  pil
: 1174 1 9 low
: 1175 2 4 ~
: 1177 2 4 ~
- 1180
: 1182 2 -1 You
: 1185 3 -1  just
: 1190 2 7  might
: 1193 2 5  get
: 1197 2 4  what
: 1201 3 2  you
: 1205 20 4  want
- 1226
: 1251 3 -1 So
: 1255 2 7  you
: 1258 4 5  bet
: 1262 3 4 ter
