#ARTIST:Bad Religion
#TITLE:American Jesus
#MP3:Bad Religion - American Jesus.mp3
#CREATOR:Canni
#EDITION:[SC]-Songs
#YEAR:1993
#LANGUAGE:English
#BPM:363.3
#GAP:22120
#VIDEO:v=12kcpP-8jfM,co=american-jesus-51bbb1028743a.jpg,bg=bad-religion-4ddb9ee96566c.jpg
: 0 2 4 I 
: 3 3 4 don’t 
: 7 3 4 need 
: 11 2 4 to 
: 15 2 4 be 
: 19 3 4 a 
: 23 5 2 glo
: 31 5 4 bal 
: 39 3 4 ci
: 43 2 0 ti
: 48 4 -3 zen 
- 54
: 64 2 -3 ’Cause 
: 68 2 -1 I’m 
: 71 2 0 blessed 
: 75 2 0 by 
: 79 3 -1 na
: 84 2 0 tio
: 88 6 2 na
: 96 5 -1 li
: 104 10 -5 ty 
- 116
: 128 2 4 I’m 
: 132 2 4 a 
: 135 2 4 mem
: 139 2 4 ber 
: 143 2 4 of 
: 148 2 4 a 
: 152 5 2 grow
: 160 5 4 ing 
: 168 2 4 po
: 172 2 0 pu
: 177 6 -3 lace 
- 185
: 194 2 -3 We 
: 198 2 -1 en
: 201 2 0 force 
: 205 2 0 our 
: 209 2 -1 po
: 214 2 0 pu
: 218 6 2 la
: 226 5 2 ri
: 233 6 4 ty
: 241 6 2 ~ 
- 249
: 259 1 4 There 
: 262 1 4 are 
: 265 3 4 things 
: 269 2 4 that 
: 273 3 4 seem 
: 277 3 4 to 
: 282 5 7 pull 
: 289 5 4 us 
: 297 2 2 un
: 300 2 2 der 
- 304
: 306 8 4 And 
: 323 2 -3 there 
: 326 3 -1 are 
: 330 5 0 things 
: 338 7 0 that 
: 346 7 2 drag 
: 355 5 -1 us 
: 363 12 -5 down 
- 377
: 383 2 4 But 
: 386 2 4 there’s 
: 389 2 4 a 
: 393 2 4 pow
: 397 2 4 er 
: 402 2 4 and 
: 406 2 4 a 
: 410 5 4 vi
: 417 6 4 tal 
: 426 2 5 pre
: 430 3 4 sence 
- 435
: 438 3 4 That’s 
: 442 6 4 lur
: 449 6 0 king 
: 459 6 -3 all 
: 467 6 0 a
* 474 32 4 round 
- 508
: 545 7 -3 We’ve 
: 553 6 0 got 
: 561 3 0 the 
: 565 3 0 A
: 569 3 2 me
: 573 3 2 ri
: 577 4 0 can 
: 585 6 -1 Je
: 593 6 -3 sus 
- 601
: 610 2 -3 See 
: 613 3 -1 him 
: 617 7 0 on 
: 626 6 -1 the 
: 634 2 -3 in
: 638 4 -5 ter
: 647 11 2 state 
- 660
: 673 7 -3 We’ve 
: 681 6 0 got 
: 689 3 0 the 
: 693 3 0 A
: 697 3 2 me
: 701 3 2 ri
: 706 5 0 can 
: 714 6 -1 Je
: 721 5 -3 sus 
- 728
: 730 6 4 He 
: 738 6 2 helped 
: 746 6 0 build 
: 754 6 -1 the 
: 762 6 2 pre
: 770 5 0 si
: 778 4 -1 dent’s 
: 786 5 -3 es
* 794 60 -3 tate 
- 856
: 1120 2 4 I 
: 1123 3 4 feel 
: 1127 2 4 sor
: 1131 2 4 ry 
: 1135 2 4 for 
: 1139 2 4 the 
: 1144 5 2 earth’s 
: 1151 2 4 po
: 1155 2 4 pu
: 1159 5 0 la
: 1167 6 -3 tion 
- 1175
: 1182 3 -3 ’Cause 
: 1187 2 -1 so 
: 1191 2 0 few 
: 1195 2 0 live 
: 1199 2 -1 in 
: 1202 3 0 the 
: 1207 5 2 U
: 1214 6 -1 S
: 1223 10 -5 A 
- 1235
: 1245 2 4 At 
: 1248 2 4 least 
: 1251 3 4 the 
: 1255 3 4 fo
: 1259 2 4 reig
: 1263 2 4 ners 
: 1267 3 4 can 
: 1271 2 2 co
: 1275 2 2 py 
: 1279 3 4 our 
: 1283 3 4 mo
: 1288 2 4 ra
: 1291 3 0 li
: 1295 7 -3 ty 
- 1304
: 1311 3 -3 They 
: 1315 3 -1 can 
: 1319 2 0 vi
: 1322 3 0 sit, 
: 1327 2 -1 but 
: 1331 2 0 they 
: 1335 5 2 can
: 1342 6 2 not 
: 1350 6 4 stay
: 1359 6 2 ~ 
- 1367
: 1375 2 4 On
: 1379 2 4 ly 
: 1382 3 4 pre
: 1386 3 4 cious 
: 1391 2 4 few 
: 1395 2 4 can 
* 1399 3 7 gar
: 1403 2 4 ner 
: 1407 2 4 the 
: 1411 2 4 pros
: 1415 2 2 pe
: 1419 2 2 ri
: 1423 7 4 ty 
- 1432
: 1435 3 -3 It 
: 1439 2 -3 makes 
: 1443 2 -1 us 
: 1446 2 0 walk 
: 1450 3 0 with 
: 1454 3 -1 re
: 1458 3 0 newed 
: 1462 6 2 con
: 1470 6 -1 fi
: 1478 7 -1 dence 
- 1487
: 1499 3 4 We’ve 
: 1503 2 4 got 
: 1506 2 4 a 
: 1510 5 4 place 
: 1518 6 4 to 
: 1526 5 4 go 
: 1534 2 4 when 
: 1537 2 5 we 
: 1542 4 4 die 
- 1548
: 1550 2 4 And 
: 1554 2 4 the 
: 1558 2 4 ar
: 1562 3 0 chi
: 1566 3 0 tect 
: 1570 2 -3 re
: 1574 5 0 sides 
: 1581 5 2 right 
: 1590 22 4 here 
- 1614
: 1661 6 -3 We’ve 
: 1669 5 0 got 
: 1677 3 0 the 
: 1682 2 0 A
: 1686 2 2 me
: 1690 2 2 ri
: 1694 5 0 can 
: 1702 6 -1 Je
: 1710 7 -3 sus 
- 1719
: 1726 2 -3 Bols
: 1730 2 -1 te
: 1733 6 0 ring 
: 1741 6 -1 na
: 1750 2 -3 tio
: 1754 4 -5 nal 
: 1763 11 2 faith 
- 1776
: 1790 4 -3 We’ve 
: 1797 6 0 got 
: 1806 2 0 the 
: 1810 2 0 A
: 1814 2 2 me
: 1818 3 2 ri
: 1823 5 0 can 
: 1830 5 -1 Je
: 1838 5 -3 sus 
- 1845
: 1847 6 4 O
: 1855 5 2 ver
: 1863 5 0 whel
: 1871 5 -1 ming 
: 1879 6 2 mil
: 1887 6 0 lions 
: 1895 5 -1 eve
: 1903 4 -3 ry 
: 1911 48 -3 day
: 1961 14 -3 ~
: 1976 56 -4 ~ 
- 2034
: 2288 3 -3 He’s 
: 2292 2 -1 the 
: 2296 2 0 far
: 2299 2 -3 mers’ 
: 2303 3 -3 bar
: 2307 3 -5 ren 
: 2311 6 -3 fields, 
