#ARTIST:Beyoncé
#TITLE:Halo
#MP3:Beyoncé - Halo.mp3
#CREATOR:perzu25
#GENRE:R&B
#YEAR:2008
#LANGUAGE:English
#BPM:320
#GAP:25780
#VIDEO:v=bnVUHWCynig,co=halo-6225fbab2fee5.jpg,bg=knowles-beyonc-5084b0d7df5f8.jpg
: 0 2 4 Re
: 4 3 13 mem
: 8 2 13 ber 
: 12 5 13 those 
: 20 3 13 wa
: 24 2 11 ~lls 
: 28 2 11 I 
: 33 14 14 built? 
- 49
: 64 2 4 Well, 
: 68 3 9 ba
: 72 2 11 by 
: 76 3 11 they 
: 80 2 9 are 
: 84 3 11 tum
: 88 2 13 b
: 92 2 9 ling 
: 96 6 9 do
: 104 3 8 ~
: 108 6 6 ~wn, 
- 116
: 128 2 4 And 
: 132 2 9 they 
: 136 2 9 didn’t 
: 140 2 9 e
: 144 2 9 ven 
: 148 3 9 put 
: 152 2 9 up 
: 156 2 9 a 
: 160 3 11 fi
: 164 11 9 ~ght, 
- 177
: 192 2 4 They 
: 196 2 8 did
: 200 2 9 n’t 
: 204 3 9 e
: 208 2 9 ven 
: 212 3 9 make 
: 220 2 2 a 
: 224 3 2 sou
: 228 10 1 ~nd, 
- 240
: 256 2 1 I 
: 260 3 11 found 
: 264 2 13 a 
: 268 2 13 way 
: 272 2 13 to 
: 276 3 13 let 
: 284 2 11 you 
: 288 5 14 i
: 294 2 13 ~
: 297 2 11 ~
: 300 4 9 ~n, 
- 306
: 316 2 11 But, 
: 320 2 9 I 
: 324 3 11 ne
: 328 2 9 ver 
* 332 3 11 real
: 336 2 9 ly 
: 340 3 11 ha
: 344 2 13 ~d 
: 348 2 9 a 
: 352 7 9 dou
: 360 3 8 ~
: 364 7 6 ~bt, 
- 373
: 388 3 8 Stan
: 392 2 9 ding 
: 396 2 9 in 
: 400 2 9 the 
: 404 3 9 light 
: 408 2 9 of 
: 412 2 9 your 
: 416 3 11 ha
: 420 3 9 ~
: 424 2 9 lo
: 428 2 16 ~
: 432 4 13 ~, 
- 438
: 448 2 4 I 
: 452 5 9 got 
: 460 3 9 my 
: 468 5 9 an
: 476 2 11 gel 
: 480 3 11 no
: 484 10 9 ~w, 
- 496
: 512 2 9 It’s 
: 516 2 16 like 
: 520 2 16 I’ve 
: 524 3 16 been 
: 528 2 16 a
: 532 2 16 wa
: 536 2 18 ~
: 540 6 18 ke
: 548 12 16 ned, 
- 562
: 572 3 14 Eve
: 576 2 14 ry 
: 580 2 14 rule 
: 584 2 16 I 
: 588 2 16 had 
: 592 2 16 you 
: 596 6 21 brea
: 604 7 21 ki
: 612 2 20 ~
: 616 8 18 ~ng, 
- 626
: 636 2 14 It’s 
: 640 2 14 the 
: 644 4 16 risk 
: 652 2 16 that 
: 656 2 13 I’m 
: 660 6 11 ta
: 668 6 9 ki
: 676 11 6 ~ng, 
- 689
: 700 3 13 I 
: 704 2 14 ain’t 
: 708 3 16 ne
: 712 2 16 ver 
: 716 3 16 gon
: 720 2 16 na 
: 724 4 16 shut 
: 732 3 21 you 
: 737 5 21 ou
: 744 2 23 ~
: 748 4 25 ~t, 
- 754
: 772 2 18 Eve
: 776 2 21 ry
: 780 2 21 where 
: 784 2 21 I’m 
* 788 4 21 loo
: 796 2 21 king 
: 800 3 21 no
: 804 12 23 ~w, 
- 818
: 828 2 21 I’m 
: 832 2 21 sur
: 836 3 23 roun
: 840 2 23 ded 
: 844 4 23 by 
: 852 2 23 you
: 856 2 25 ~r 
: 860 2 21 em
: 864 6 21 bra
: 872 15 18 ~ce, 
- 889
: 900 3 21 Ba
: 904 2 21 by, 
: 908 2 21 I 
: 912 2 21 can 
: 916 6 21 see 
: 924 2 21 your 
: 928 6 21 ha
: 936 3 16 lo
: 940 3 14 ~
: 944 10 13 ~, 
- 956
: 960 2 16 You 
: 964 2 21 know 
: 968 2 21 you’re 
: 972 4 21 my 
: 980 3 21 sa
: 984 2 20 ~
: 988 2 21 ving 
: 992 20 21 grace, 
- 1014
: 1024 2 16 You’re 
: 1028 3 21 eve
: 1032 2 21 ry
: 1036 2 21 thing 
: 1040 2 21 I 
: 1044 6 21 need 
: 1052 2 21 and 
: 1056 3 21 mo
: 1060 12 23 ~re, 
- 1074
: 1088 2 21 It’s 
: 1092 2 23 writ
: 1096 2 21 ten 
: 1100 2 23 a
: 1104 2 21 ~ll 
: 1108 2 25 o
: 1112 2 23 ver 
: 1116 2 21 your 
: 1120 7 21 fa
: 1128 3 20 ~
: 1132 12 18 ~ce, 
- 1146
: 1156 2 21 Ba
: 1160 2 21 by, 
: 1164 2 21 I 
: 1168 2 21 can 
* 1172 6 21 feel 
: 1180 2 21 your 
: 1184 6 21 ha
: 1192 3 16 lo
: 1196 3 14 ~
: 1200 12 13 ~, 
- 1214
: 1220 2 21 Pray 
: 1224 2 21 it 
: 1228 6 21 won’t 
: 1236 2 21 fa
: 1240 2 20 ~de 
: 1244 3 20 a
: 1248 16 21 way, 
- 1266
: 1300 2 21 I 
: 1304 2 21 can 
: 1308 2 21 see 
: 1312 2 23 your 
: 1316 2 25 ha
: 1320 3 23 ~
: 1324 8 23 lo, 
- 1334
: 1364 2 21 I 
: 1368 2 21 can 
: 1372 2 21 feel 
: 1376 2 23 your 
: 1380 2 25 ha
: 1384 3 23 ~
: 1388 8 23 lo, 
- 1398
: 1428 2 21 I 
: 1432 2 21 can 
: 1436 2 21 see 
: 1440 2 23 your 
: 1444 2 25 ha
: 1448 3 23 ~
: 1452 8 23 lo, 
- 1462
