#ARTIST:Beyoncé
#TITLE:Sweet Dreams Medley (Live At Wynn Las Vegas, I Am… Yours Tour)
#MP3:Beyoncé - Sweet Dreams Medley (Live At Wynn Las Vegas, I Am… Yours Tour).mp3
#CREATOR:B'Fan
#GENRE:Soul, R&B
#YEAR:2009
#LANGUAGE:English
#BPM:249.96
#GAP:58060
#VIDEO:v=zOVB7OILOlA,co=i-am-yours-an-intimate-performance-at-wynn-las-vegas-531d9bb56908f.jpg,bg=knowles-beyonc-5084b0d7df5f8.jpg
: 0 5 10 Eve
: 8 3 10 ry 
: 12 5 10 night 
: 19 4 10 I 
: 25 4 10 rush 
: 31 3 10 to 
: 36 3 10 my 
: 42 29 8 bed 
- 73
: 90 2 1 With 
: 94 3 8 hopes 
: 98 3 8 that 
: 103 5 8 may
: 108 4 8 be 
: 114 3 8 I’ll 
: 119 4 8 get 
: 124 2 8 a 
: 129 14 6 chance 
: 146 2 3 to 
: 150 3 6 see 
: 154 3 3 you 
- 158
: 159 5 6 When 
: 166 3 3 I 
: 170 5 6 close 
: 177 4 8 my 
: 183 2 8 eye
: 186 7 10 ~s 
: 197 2 10 I’m 
: 200 2 10 go
: 203 2 10 in’ 
: 208 2 10 out 
: 211 4 13 of 
: 216 4 13 my 
: 222 34 8 head 
- 258
: 272 5 6 Lost 
: 279 4 8 in 
: 284 5 8 a 
: 291 4 8 fai
: 296 3 8 ry
: 300 11 6 tale, 
: 316 2 1 can 
: 319 3 8 you 
: 324 2 8 hold 
: 328 4 8 my 
: 334 7 8 hands 
: 345 4 6 and 
: 351 3 6 be 
: 356 4 13 my 
: 362 9 15 guide? 
- 373
: 379 9 9 Clouds 
: 390 6 8 fi
: 398 1 6 ~lled 
: 400 5 10 with 
: 407 15 12 stars 
: 423 11 10 co
: 435 10 10 ver 
: 447 10 6 the 
: 459 17 5 skie
: 477 19 3 ~s 
- 498
: 519 2 5 And 
: 523 3 5 I 
: 527 4 5 hope 
: 534 3 5 it 
: 538 17 5 rains, 
: 565 10 10 you’re 
: 578 9 8 the 
: 589 9 13 per
: 600 7 10 fect 
: 612 7 8 lul
: 620 13 8 la
: 636 41 6 by 
- 679
: 701 5 6 You 
: 708 6 5 can 
: 715 4 6 be 
: 721 2 8 a 
: 724 8 10 sweet 
: 735 15 10 dream 
: 753 6 10 or 
: 762 2 10 a 
: 766 10 8 beau
: 777 3 8 ti
: 781 3 8 ful 
: 786 9 13 night
: 797 15 8 mare 
- 814
: 826 5 8 Ei
: 831 4 8 ther 
: 836 5 8 way 
: 842 15 8 I 
: 863 4 8 don’t 
: 869 4 8 wan
: 874 5 8 na 
: 881 4 8 wake 
: 886 4 9 up 
: 892 4 4 from 
: 897 19 7 you 
- 918
: 937 4 10 Or 
: 943 4 10 a 
: 949 4 8 beau
: 954 3 8 ti
: 958 4 8 ful 
: 963 9 13 night
: 974 19 8 mare 
- 995
: 998 3 6 Some
: 1003 5 6 bo
: 1008 4 6 dy 
: 1014 8 8 pinch 
: 1024 10 3 me 
- 1036
: 1043 4 8 Your 
: 1049 4 8 love’s 
: 1054 4 8 too 
: 1060 3 8 good 
: 1065 4 8 to 
: 1071 3 8 be 
: 1076 9 9 true 
- 1086
: 1087 5 13 My 
: 1094 3 10 guil
: 1098 4 13 ty 
: 1104 5 10 plea
: 1111 4 13 sure, 
: 1116 4 10 I 
: 1121 5 13 ain’t 
: 1127 4 12 go
: 1132 4 12 in’ 
: 1138 4 10 no
: 1144 12 13 where 
- 1158
: 1164 3 13 Ba
: 1168 4 13 by 
: 1174 3 10 long 
: 1179 4 13 as 
: 1184 5 10 you’re 
: 1191 12 13 here, 
: 1208 3 13 I’ll 
: 1214 3 13 be 
: 1218 4 10 floa
: 1223 4 13 tin’ 
: 1229 4 10 on 
: 1234 8 13 air 
- 1243
: 1245 3 5 ’Cause 
: 1251 5 5 you’re 
: 1258 6 5 my 
- 1266
: 1296 3 10 … Or 
: 1301 3 10 a 
: 1306 3 8 beau
: 1311 4 8 ti
: 1316 4 8 ful 
: 1322 7 13 night
: 1332 20 8 mare 
- 1354
: 1362 3 8 Ei
: 1366 5 8 ther 
: 1373 4 8 way 
: 1378 17 8 I 
: 1399 5 8 don’t 
: 1406 5 6 wan
