#ARTIST:Bonnie Raitt
#TITLE:Thing Called Love
#MP3:Bonnie Raitt - Thing Called Love.mp3
#CREATOR:Zevac
#GENRE:Blues
#YEAR:1989
#LANGUAGE:English
#BPM:259.51
#GAP:18020
#VIDEO:v=krF6LpUXODc,co=https://i.discogs.com/NhUK2kPPL14JX01qmaBDcVebVNQLscdFw9q3xOXf9P4/rs:fit/g:sm/q:90/h:500/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIyNjM5/NDYtMTQ2NDI5NDYw/Ny03NTQyLmpwZWc.jpeg,bg=raitt-bonnie-509a0f413b7a9.jpg
: 0 2 4 Don’t 
: 4 2 2 have 
: 8 2 0 to 
: 12 3 2 hum
: 16 1 0 ble 
: 19 2 -3 your
: 24 2 -3 self 
: 29 1 -3 to 
: 32 2 -3 me
: 36 3 0 ~ 
- 41
: 64 1 2 I
: 66 1 4 ~ 
: 68 2 2 ain’t 
: 72 1 0 your 
: 76 3 2 judge 
: 81 1 0 or 
: 84 1 -3 your 
: 88 3 -3 king
: 93 2 -5 ~ 
- 97
: 120 2 7 Ba
: 123 4 9 ~
: 128 3 9 by 
- 133
: 160 1 4 You 
: 163 3 2 know 
: 167 3 0 I 
: 171 2 2 ain’t 
: 175 1 0 no 
: 180 2 2 Queen 
: 184 1 0 of 
: 188 2 4 She
: 192 1 0 ba
: 194 1 -3 ~ 
- 197
: 256 1 7 We 
: 259 3 9 may 
: 264 1 7 not 
: 267 3 9 e
: 272 1 7 ven 
: 275 3 9 have 
: 280 4 9 our 
: 288 2 9 dig
: 292 1 7 ni
: 296 2 9 ty
: 300 1 4 ~, 
: 302 3 4 yeah 
- 307
: 319 2 4 This 
: 323 2 0 could 
: 327 3 2 just 
: 332 1 2 be 
: 334 1 0 a 
: 339 1 2 pow
: 341 2 0 er
: 345 2 -3 ful 
: 349 5 -3 thing 
- 356
: 375 2 7 Ba
: 378 3 9 ~
: 383 2 9 by 
- 387
: 399 1 2 We
: 401 1 4 ~ 
: 403 2 0 can 
: 407 1 0 choose
: 409 3 2 ~, 
: 415 1 0 you 
: 418 3 2 know 
: 423 1 0 we 
: 426 2 2 ain’t 
: 431 2 2 no 
: 435 1 0 a
: 439 2 4 moe
: 443 1 0 ba
: 445 2 -3 ~ 
- 449
: 514 3 9 Are 
: 518 3 9 you 
: 522 4 9 read
: 527 1 7 y 
: 530 3 5 for 
: 535 1 2 the 
: 538 4 5 thing 
: 546 4 5 called 
: 554 2 5 love
: 557 1 7 ~
: 559 3 9 ~? 
- 564
: 575 1 9 Don’t 
: 578 3 9 come 
: 583 1 9 from 
: 586 4 7 me 
: 591 2 5 and 
: 594 1 5 you
: 596 1 7 ~ 
- 598
: 599 1 0 It 
: 603 3 2 comes 
: 608 1 5 from 
: 611 2 5 up 
* 615 1 5 a
* 619 1 7 bove
* 621 4 9 ~
* 627 3 7 ~
* 632 1 5 ~ 
- 635
: 640 2 9 I 
: 643 2 9 ain’t 
: 647 2 9 no 
: 650 1 9 por
: 652 1 7 ~
: 655 1 5 cu
: 659 1 5 pine
: 661 2 7 ~
: 665 1 2 ~ 
- 668
: 672 2 2 Take 
: 675 2 5 off 
: 679 1 2 your 
: 683 1 2 kid
: 685 3 5 ~ 
: 691 3 2 gloves
: 695 2 0 ~ 
- 699
: 707 2 9 Are 
: 711 2 7 you 
: 714 3 7 read
: 719 1 5 y 
: 723 2 7 for 
: 727 1 5 the 
* 730 1 7 thing
* 732 12 9 ~ 
* 747 1 7 called
* 749 6 9 ~
* 756 1 7 ~ 
* 759 1 7 love
* 761 1 9 ~
* 763 15 7 ~? 
- 780
: 896 2 7 I 
: 900 2 9 ain’t 
: 904 2 7 no 
: 908 2 9 i
: 912 5 9 con 
: 921 4 9 carved 
: 928 2 9 out 
: 932 1 7 of 
: 937 1 6 soap
: 939 1 -3 ~ 
- 942
: 960 2 4 Sent 
: 964 2 2 here 
: 968 1 0 to 
: 972 2 2 clean 
: 976 2 2 up 
: 980 2 0 your 
: 984 2 2 re
: 988 1 0 pu
: 992 1 2 ta
: 994 1 4 ~
: 997 1 0 tion
: 999 2 -3 ~ 
- 1003
: 1016 2 7 Ba
: 1019 4 9 ~
: 1024 3 9 by 
- 1029
F 1054 1 4 You 
F 1056 2 5 know 
F 1059 2 4 you 
F 1063 2 4 ain’t 
F 1068 2 2 no 
F 1073 3 2 prince 
F 1081 1 2 charm
F 1083 1 4 ~
F 1086 3 -3 ing 
- 1091
: 1154 2 9 We 
: 1158 2 7 can 
: 1162 3 12 live 
: 1166 2 11 in 
: 1170 1 9 fear
: 1172 2 11 ~
: 1175 2 12 ~ 
: 1179 1 9 or 
: 1181 2 9 act 
: 1186 2 7 out 
: 1190 2 4 of 
* 1194 1 4 hope
* 1196 2 2 ~
* 1199 5 0 ~ 
- 1206
: 1219 1 4 Some 
: 1222 2 2 kind 
: 1226 1 0 of 
