#ARTIST:Brian Hyland
#TITLE:Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini
#MP3:Brian Hyland - Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini.mp3
#CREATOR:Fepo
#COVER:Brian Hyland - Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini [CO].jpg
#BACKGROUND:Brian Hyland - Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini [BG].jpg
#GENRE:Pop
#YEAR:1960
#LANGUAGE:English
#BPM:245.89
#GAP:3600
#VIDEO:v=9Vxkoek8YFk,co=https://media.hitparade.ch/cover/big/brian_hyland-itsy_bitsy_teenie_weenie_yellow_polkadot_bikini_s.jpg
: 0 3 6 She 
: 5 2 6 was 
: 9 2 7 a
: 13 5 9 fraid 
: 22 2 6 to 
: 26 3 7 come 
: 31 6 9 out 
: 39 2 6 of 
: 42 2 9 the 
: 46 3 7 lo
: 51 3 4 cker 
- 64
: 68 2 4 She 
: 72 2 4 was 
: 76 2 6 as 
: 80 3 7 ner
: 85 3 4 vous 
: 91 3 6 as 
: 95 4 7 she
: 100 3 13 ~ 
: 105 3 11 could 
: 110 4 9 be 
- 124
: 131 2 6 She 
: 135 2 6 was 
: 139 2 6 a
: 143 7 9 fraid 
: 152 2 6 to 
: 156 2 6 come 
: 160 5 9 out 
: 168 2 14 of 
: 172 2 13 the 
: 176 3 13 lo
: 181 3 11 cker 
- 193
: 196 2 11 She 
: 200 2 11 was 
: 204 2 11 a
: 207 7 9 fraid 
: 216 2 6 that 
: 220 3 9 some
: 225 3 7 bo
: 230 3 6 dy 
: 235 2 4 would 
: 239 6 2 see 
- 248
F 250 5 5 Two, 
F 258 5 5 three, 
F 266 4 5 four 
- 272
F 274 2 5 Tell 
F 278 2 5 the 
F 282 2 5 peo
F 286 2 5 ple 
F 290 2 5 what 
F 294 2 5 she 
F 298 7 5 wore 
- 311
: 314 6 9 It 
: 322 6 11 was 
: 331 6 12 an 
: 339 3 13 it
: 343 3 13 sy, 
: 347 3 11 bit
: 351 3 9 sy, 
: 355 3 13 tee
: 359 3 13 nie, 
: 363 3 11 wee
: 367 3 9 nie, 
: 371 3 14 yel
: 375 3 14 low, 
: 379 3 11 pol
: 383 3 9 ka 
: 387 3 14 dot 
: 391 3 14 bi
: 395 3 11 ki
: 399 3 9 ni 
- 406
: 408 5 13 That 
: 415 2 11 she 
: 419 6 9 wore 
: 427 4 11 for 
: 432 2 9 the 
: 435 3 9 first 
: 440 5 11 time 
: 447 2 9 to
: 451 3 9 day
: 455 2 6 ~ 
- 462
: 464 2 11 An 
: 468 2 13 it
: 472 2 13 sy, 
: 476 2 11 bit
: 480 2 9 sy, 
* 484 2 13 tee
* 488 2 13 nie, 
: 492 2 11 wee
: 496 2 9 nie, 
* 500 2 14 yel
* 504 2 14 low, 
: 508 2 11 pol
: 512 2 9 ka 
