#ARTIST:Busted
#TITLE:Britney
#MP3:Busted - Britney.mp3
#CREATOR:seanie627
#YEAR:2002
#LANGUAGE:English
#BPM:370.07
#GAP:8980
#VIDEO:v=9Y9XZNTaTB0,co=busted-65aa5a4a438d9.jpg,bg=busted-5002a9ba0c232.jpg
#END:186000
: 0 2 4 Your 
: 4 2 14 face 
: 8 2 14 is 
: 12 2 13 ev
: 16 2 11 ery
: 20 2 11 where 
: 24 2 9 I 
: 28 8 9 go 
: 44 4 -3 now 
- 50
: 60 2 4 You’re 
: 64 2 4 on 
: 68 2 14 ev
: 72 2 14 ery 
: 76 2 13 te
: 80 2 11 le
: 84 2 11 vi
: 88 2 9 sion 
: 92 8 9 show 
: 108 4 -3 now 
- 114
: 150 12 6 Ba
: 166 5 6 by
: 172 1 8 ~ 
: 174 6 6 -, 
: 203 4 4 I 
: 211 4 4 need 
: 220 1 13 you
: 222 5 14 ~ 
: 228 1 13 ~ 
: 230 10 11 ~ 
- 242
: 260 2 4 You’re 
: 264 2 13 ev
: 268 2 14 ery
: 272 2 13 thing 
: 276 2 11 I 
: 280 2 11 want 
: 284 2 9 in 
* 288 8 9 some
: 303 4 -3 one 
- 309
: 321 4 4 But 
: 328 2 13 you 
: 332 2 14 don’t 
: 336 2 13 ev
: 340 2 11 en 
: 344 2 11 know 
: 348 2 9 who 
: 352 8 9 I 
: 368 6 -3 am 
- 376
: 410 10 6 Ba
: 426 5 6 by
: 432 1 8 ~ 
: 434 6 6 -, 
: 463 6 4 why 
: 471 4 4 should 
: 480 1 13 you
: 482 5 14 ~ 
: 488 1 13 ~ 
: 490 10 11 -? 
- 502
: 539 2 13 Sweat
: 543 2 14 ing 
: 547 4 14 all 
: 555 2 14 ov
: 559 2 14 er 
: 563 4 14 your 
: 570 1 14 vi
: 572 4 16 ~ 
: 579 2 14 de
: 584 8 13 o 
- 594
: 603 2 13 Watch
: 607 2 13 ing 
: 611 2 13 ev
: 615 2 13 ery 
: 620 4 13 sin
: 628 4 13 gle 
: 636 4 14 scene 
: 644 4 13 in 
: 652 1 11 slow
: 654 4 9 ~ 
: 660 4 9 mo 
- 666
: 668 2 14 Track
: 672 2 14 in’ 
: 676 4 14 you 
: 684 6 14 down 
: 693 2 14 on 
: 697 2 14 the 
: 701 1 14 in
: 703 4 16 ~ 
: 709 4 14 ter
: 714 8 13 net 
- 724
: 731 2 9 ’Cause 
: 734 6 13 I 
: 742 4 16 ain’t 
: 750 4 16 seen 
: 758 6 16 you 
: 766 4 18 nak
: 774 6 16 ed 
: 782 6 16 yet 
- 789
: 790 4 4 I 
: 798 12 16 want 
: 814 7 13 you
: 822 4 11 -, 
: 830 7 11 Bri
: 838 4 9 ~ 
: 846 7 9 te
: 854 4 2 ~ 
: 862 16 2 ney
: 879 7 13 ~ 
: 887 3 11 ~ 
: 891 3 13 ~ 
: 895 12 11 ~ 
- 909
: 922 4 4 I 
: 929 12 16 need 
: 944 7 13 you
: 952 4 11 ~ 
: 960 7 11 here
: 968 4 9 ~ 
: 976 14 9 with 
* 1008 12 2 me 
- 1022
: 1050 4 4 You 
: 1057 12 14 know 
: 1074 7 13 that
