#ARTIST:Camila Cabello
#TITLE:Don’t Go Yet
#MP3:Camila Cabello - Don’t Go Yet.mp3
#CREATOR:Zevac
#YEAR:2021
#LANGUAGE:English
#BPM:220.07
#GAP:3100
#VIDEO:v=0Kx3sobEBFE,co=dont-go-yet-61c081eb1fa9f.jpg,bg=cabello-camila-5cdeae2eb3b05.jpg
F 0 1 2 Oh, 
F 2 1 2 my 
F 5 3 7 love, 
F 11 2 2 oh, 
F 15 2 2 yeah, 
F 19 3 0 yeah 
- 24
F 43 1 0 I’m 
F 45 1 2 in 
F 47 5 2 love, 
F 55 4 3 yeah 
- 61
: 83 1 10 I
: 85 1 12 ~ 
: 88 3 12 re
: 94 3 7 played 
: 99 1 7 this
: 101 1 10 ~ 
: 104 3 8 mo
: 110 3 7 ment 
: 116 2 5 for 
: 120 4 5 months
: 126 2 7 ~ 
- 130
: 139 1 3 A
: 141 2 3 lone 
: 145 1 3 in 
: 148 1 10 my
: 150 1 12 ~ 
: 152 3 12 head, 
: 158 4 7 wait
: 164 1 7 in
: 166 1 10 ~’ 
: 168 3 8 for 
: 174 1 5 it
: 176 2 7 ~ 
: 180 2 5 to 
: 184 2 5 come
: 188 1 3 ~
: 190 2 0 ~ 
- 194
: 212 1 10 I
: 214 1 12 ~ 
: 216 2 12 wrote
: 219 1 7 ~ 
: 222 4 7 all 
: 228 1 8 your
: 230 1 10 ~ 
: 232 3 8 lines 
: 238 2 7 in 
* 244 2 12 the 
* 248 4 12 script 
* 254 1 12 in
* 256 2 14 ~ 
: 260 2 10 my 
: 264 2 10 mind 
- 268
: 269 3 7 And 
: 275 1 10 I’d
: 277 1 12 ~ 
: 279 3 12 hoped 
: 285 4 7 that 
: 291 2 10 you’d 
: 295 2 8 fol
: 299 1 7 low 
: 302 1 7 it 
: 305 1 5 for 
: 308 2 5 once
: 312 2 7 ~ 
- 316
: 343 2 3 I 
: 347 1 5 i
: 349 2 7 ma
: 353 1 5 gined 
: 356 2 3 my
: 360 2 2 self 
: 364 1 3 in 
: 366 2 5 sa
: 369 1 3 tin 
- 371
: 372 2 2 The 
: 376 2 0 room 
: 380 1 2 was 
: 382 1 3 pla
: 384 1 2 ti
: 386 1 0 num 
: 388 2 0 and 
: 391 2 2 gold 
- 395
: 396 4 3 I’d
: 401 1 0 ~ 
: 407 2 3 dance 
: 411 1 5 and 
: 413 2 7 catch 
: 417 1 5 your 
: 419 2 3 eye, 
: 423 2 2 you’d 
: 427 2 3 be 
: 430 2 5 mes
: 434 1 3 me
: 436 2 2 rized, 
: 440 2 0 oh 
- 444
: 469 1 0 We’d 
: 471 2 3 find 
: 475 1 5 a 
: 477 1 5 cor
: 479 1 7 ~
: 481 1 5 ner 
: 483 3 3 there, 
: 488 1 2 your 
: 491 2 3 hands 
: 494 2 5 in 
: 498 1 3 my 
: 500 1 2 hair 
- 503
: 504 2 0 Fi
: 508 1 2 nal
: 510 2 3 ly 
: 514 1 2 we’re 
: 516 2 0 here, 
: 520 2 2 so 
: 524 4 3 why
: 529 1 0 ~ 
- 532
: 535 1 3 Say
: 537 1 3 in’ 
: 540 1 5 you 
: 542 2 7 got 
: 546 1 5 a 
: 548 2 3 flight, 
: 552 1 2 need 
: 555 1 3 an 
: 558 1 3 ear
: 560 1 5 ~
: 562 1 3 ly 
: 564 1 2 night? 
- 567
: 568 3 0 No 
- 573
* 583 2 0 Don’t 
* 587 2 0 go 
* 591 3 0 yet 
- 596
: 599 5 3 O
: 607 5 3 ye, 
: 615 2 2 don’t 
: 619 4 5 go 
: 627 3 2 yet, 
: 642 2 0 don’t 
: 646 8 8 go 
: 656 2 7 yet 
- 660
: 663 5 3 O
: 671 5 3 ye, 
: 679 2 2 don’t 
: 683 4 5 go 
: 691 3 2 yet, 
: 706 2 0 don’t 
: 710 8 8 go 
: 720 2 7 yet 
- 724
* 727 5 7 O
* 735 5 7 ye, 
: 743 2 5 don’t 
: 747 4 10 go 
: 755 3 2 yet, 
: 770 2 0 don’t 
: 774 8 8 go 
: 784 2 7 yet 
- 788
: 791 2 3 What 
: 795 1 5 you 
: 798 2 7 leav
: 802 1 5 in’ 
: 804 2 3 for 
: 808 2 2 when 
: 812 1 3 my 
: 814 1 3 night
: 816 1 5 ~ 
: 818 1 3 is 
: 820 1 2 yours? 
- 823
: 824 2 0 Just 
: 828 1 2 a 
: 830 2 3 lit
: 834 1 2 tle 
: 836 2 0 more, 
: 840 2 -2 don’t 
: 844 2 -2 go 
: 848 2 -2 yet 
- 852
: 867 1 7 Ba
: 869 1 10 by, 
: 871 2 10 don’t 
: 875 1 7 go
: 877 1 6 ~ 
: 879 1 6 yet 
- 882
: 883 1 3 ’Caus? 
: 885 1 5 I 
: 887 2 3 wore 
: 891 2 2 this 
: 895 2 2 dress 
: 899 1 2 for 
: 901 1 2 a 
: 904 1 2 lil’ 
: 907 1 0 dra
: 909 2 0 ma 
- 913
: 915 1 3 And 
: 917 1 5 I 
: 919 4 7 bet 
- 925
: 933 1 5 I 
: 935 2 8 bet 
: 939 1 6 that 
: 941 1 5 you 
: 943 2 5 think 
: 947 1 5 that 
: 949 1 5 you 
: 951 1 4 know 
- 954
: 955 1 2 But 
: 957 1 2 you 
: 959 1 2 don’t
: 961 1 1 ~, 
: 963 1 1 ba
: 965 1 1 by, 
: 967 1 1 come 
: 969 1 0 to 
: 971 1 0 ma
: 973 2 0 ma 
- 977
: 980 1 8 I
: 982 4 10 ~ 
: 988 3 7 get 
- 993
: 997 1 10 I 
: 999 2 8 get 
: 1003 1 5 what 
: 1005 1 5 I 
: 1007 2 5 want 
: 1011 1 3 when 
: 1013 1 3 I 
: 1015 1 3 want 
- 1018
: 1019 1 1 And 
: 1021 1 3 I 
: 1023 1 1 get 
: 1025 1 2 it 
: 1027 1 1 how 
: 1029 1 2 I 
: 1031 1 1 wan
: 1033 1 0 na, 
: 1035 1 0 wan
: 1037 2 0 na 
- 1041
: 1043 1 3 And 
: 1045 1 5 I 
: 1047 4 7 want 
: 1053 4 3 you, 
: 1059 4 2 ba
: 1065 5 -2 by 
- 1072
: 1076 1 3 Got
: 1078 1 5 ta 
: 1080 3 7 get 
: 1086 4 3 you, 
: 1092 4 10 ba
: 1098 5 2 by 
- 1105
: 1109 1 0 We’d 
: 1111 2 3 find 
: 1115 1 5 a 
: 1117 1 5 cor
: 1119 1 7 ~
: 1121 1 5 ner 
: 1123 3 3 there, 
: 1128 1 2 your 
: 1130 2 3 hands 
: 1134 2 5 in 
: 1138 1 3 my 
: 1140 1 2 hair 
- 1143
: 1144 2 0 Fi
: 1148 1 2 nal
: 1150 2 3 ly 
: 1154 1 2 we’re 
: 1156 2 0 here, 
* 1160 2 2 so 
* 1164 3 3 why
: 1168 1 0 ~? 
- 1171
: 1176 1 3 Say
: 1178 1 3 in’ 
: 1180 1 5 you 
: 1182 1 7 got 
: 1185 1 5 a 
: 1188 2 3 flight, 
: 1192 2 2 need 
: 1195 1 3 an 
: 1198 1 3 ear
: 1200 1 5 ~
: 1202 1 3 ly 
: 1204 1 2 night? 
- 1207
* 1208 4 0 No 
- 1214
: 1223 2 0 Don’t 
: 1227 2 0 go 
: 1231 3 0 yet 
- 1236
: 1239 5 3 O
: 1247 5 3 ye, 
: 1255 2 2 don’t 
: 1259 4 5 go 
: 1267 3 2 yet, 
: 1282 2 0 don’t 
: 1286 8 8 go 
: 1296 2 7 yet 
- 1300
: 1303 5 3 O
: 1311 5 3 ye, 
: 1319 2 2 don’t 
: 1323 4 5 go 
: 1331 3 2 yet, 
: 1346 2 0 don’t 
: 1350 8 8 go 
: 1360 2 7 yet 
- 1364
: 1367 5 7 O
: 1375 5 7 ye, 
* 1383 2 5 don’t 
* 1387 4 10 go 
* 1395 3 2 yet, 
: 1410 2 0 don’t 
: 1414 8 8 go 
: 1424 2 7 yet 
- 1428
: 1431 2 3 What 
: 1435 1 5 you 
: 1438 2 7 leav
: 1442 1 5 in’ 
: 1444 2 3 for 
: 1448 2 2 when 
: 1452 1 3 my 
: 1454 1 3 night
: 1456 1 5 ~ 
: 1458 1 3 is 
: 1460 1 2 yours? 
- 1463
: 1464 2 0 Just 
: 1468 1 2 a 
: 1470 2 3 lit
: 1474 1 2 tle 
: 1476 2 0 more, 
: 1480 2 -2 don’t 
: 1484 2 -2 go 
: 1488 1 -2 yet 
- 1491
F 1492 1 11 Dá
F 1494 2 11 me
F 1497 5 11 lo 
- 1504
: 1523 1 0 La
: 1525 1 2 la
: 1528 1 7 la
: 1530 2 8 la
* 1534 2 10 la
* 1538 2 7 la
: 1542 2 5 la
: 1546 1 3 ~
: 1548 2 7 la
: 1552 1 7 ~
: 1554 1 5 ~
: 1556 1 2 ~
: 1558 1 0 ~ 
- 1561
: 1571 1 0 La
: 1573 1 2 la
: 1576 1 7 la
: 1578 2 8 la
: 1582 2 7 la
: 1586 2 3 la
: 1590 4 2 la
: 1596 3 0 la 
- 1601
F 1612 4 12 Hey 
- 1618
F 1630 2 3 (Oh 
F 1634 2 3 no, 
F 1638 2 3 no, 
F 1642 2 3 don’t 
F 1646 4 3 leave 
F 1652 3 3 yet) 
- 1657
F 1663 1 0 (No 
F 1666 2 0 te 
F 1670 2 0 va
F 1674 2 0 yas, 
F 1678 2 0 qué
F 1682 1 0 da
F 1684 3 0 te) 
- 1689
F 1694 2 3 (Oh 
F 1698 2 3 no, 
F 1702 2 3 no, 
F 1706 2 3 don’t 
F 1710 4 3 leave 
F 1716 3 3 yet) 
- 1721
F 1727 1 0 (No 
F 1730 2 0 te 
F 1734 2 0 va
F 1738 2 0 yas, 
F 1742 2 0 qué
F 1746 1 0 da
F 1748 3 0 te) 
- 1753
: 1768 2 10 Stay 
: 1772 1 10 a 
: 1774 2 10 lit
: 1778 2 10 tle 
: 1782 4 10 lon
: 1788 3 7 ger 
- 1793
: 1800 2 10 Know 
: 1804 1 10 you 
: 1806 2 10 real
: 1810 2 10 ly 
: 1814 4 10 wan
: 1820 3 7 na 
- 1825
: 1832 2 10 Stay 
: 1836 1 10 a 
: 1838 2 10 lit
: 1842 2 10 tle 
: 1846 4 10 lon
* 1852 4 12 ger 
- 1858
F 1866 10 12 Oh... 
- 1878
: 1879 5 3 O
: 1887 5 3 ye, 
: 1895 2 2 don’t 
: 1899 4 5 go 
: 1907 3 2 yet, 
: 1922 2 0 don’t 
: 1926 8 8 go 
: 1936 2 7 yet 
- 1940
: 1943 5 3 O
: 1951 5 3 ye, 
: 1959 2 2 don’t 
: 1963 4 5 go 
: 1971 3 2 yet, 
: 1986 2 0 don’t 
: 1990 8 8 go 
: 2000 2 7 yet 
- 2004
: 2007 5 10 O
: 2015 5 10 ye, 
* 2023 2 10 don’t 
* 2027 4 15 go 
* 2035 3 12 yet, 
: 2050 2 0 don’t 
: 2054 8 8 go 
: 2064 2 7 yet 
- 2068
: 2071 2 10 What 
: 2075 1 10 you 
: 2078 2 10 leav
: 2081 1 7 in’ 
: 2084 2 7 for 
: 2088 2 5 when 
: 2092 1 5 my 
: 2094 2 10 night 
: 2098 1 10 is 
: 2100 2 3 yours? 
- 2104
: 2106 2 3 Just 
: 2109 1 3 a 
: 2112 1 3 lit
: 2114 2 7 tle 
: 2118 2 5 more
: 2121 7 7 ~
: 2129 1 5 ~ 
- 2132
: 2135 2 10 What 
: 2139 1 10 you 
: 2142 2 10 leav
: 2146 1 7 in’ 
: 2148 2 7 for 
: 2152 2 10 when 
: 2156 1 10 my 
: 2158 2 10 night 
: 2162 2 7 is 
: 2166 1 10 yours
: 2168 6 8 ~? 
- 2176
: 2182 6 7 Yours
: 2190 1 5 ~, 
: 2193 3 3 yours 
- 2198
: 2199 2 3 What 
: 2203 1 5 you 
: 2206 2 7 leav
: 2210 1 5 in’ 
: 2212 2 3 for 
: 2216 2 2 when 
: 2220 1 3 my 
: 2222 2 5 night 
: 2226 1 3 is 
: 2228 1 2 yours? 
- 2231
: 2232 2 0 Just 
: 2236 1 2 a 
: 2238 2 3 lit
: 2242 2 2 tle 
: 2245 1 0 more, 
* 2248 2 -1 don’t 
* 2252 2 -1 go 
* 2256 2 -1 yet 
E
