#ARTIST:Chappell Roan
#TITLE:The Subway
#MP3:Chappell Roan - The Subway.mp3
#CREATOR:Adelaido
#COVER:Chappell Roan - The Subway [CO].jpg
#BACKGROUND:Chappell Roan - The Subway [BG].jpg
#GENRE:Pop
#YEAR:2025
#LANGUAGE:English
#BPM:332
#GAP:17810
#VIDEO:v=woLfAvD5iXI,co=https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/a3/34/ac/a334acc6-5983-27ac-851d-8f03e148a4ce/25UMGIM99609.rgb.jpg/5000x5000bb.jpg,tags=explicit
: 0 1 2 I
: 6 6 2  saw 
: 15 1 2 your 
: 22 5 2 green 
: 30 17 2 hair, 
: 63 8 2 beau
: 71 3 2 ty 
: 78 2 2 mark 
: 87 7 2 next 
: 94 5 0 to 
: 99 1 -2 your 
: 111 8 3 mouth
- 119
: 126 2 3 There 
: 134 2 3 on 
: 141 1 3 the 
* 150 7 3 sub
* 157 17 3 way, 
: 190 1 3 I 
: 198 7 3 near
: 205 5 3 ly 
: 214 7 3 had 
: 221 1 2 a 
: 226 11 3 break
: 237 8 2 down
- 245
: 253 4 2 A 
: 261 4 2 few 
: 269 6 2 weeks 
: 277 7 2 la
: 284 12 2 ter, 
: 317 8 2 some
: 325 13 2 body 
: 341 6 2 wore 
: 351 4 0 your 
: 356 10 -2 per
: 366 12 3 fume
- 378
: 381 3 3 It 
: 389 7 3 al
: 396 5 3 most 
: 404 7 3 killed 
: 412 9 3 me, 
* 445 5 3 I 
* 452 5 3 had 
* 460 5 3 to 
* 467 5 3 leave 
* 475 2 2 the 
* 480 6 -2 room
- 486
: 492 3 -2 It’s 
: 499 3 -2 just 
: 507 11 0 a
: 523 17 2 no
: 540 15 14 ther 
: 556 25 12 day
- 583
: 589 3 10 And 
: 593 4 14 it’s 
: 601 12 14 not 
: 613 7 5 o
: 620 14 5 ver 
: 638 3 2 till 
: 642 4 2 it’s 
: 653 16 5 o
: 669 8 0 ver, 
: 686 5 0 it’s 
: 702 7 2 ne
: 709 5 0 ver 
: 718 16 7 o
: 734 12 5 ver
- 746
: 758 4 -2 Just 
: 766 16 0 a
: 782 17 2 no
: 799 13 14 ther 
: 816 26 12 day
- 844
: 848 4 10 And 
: 854 5 14 it’s 
: 862 9 14 not 
: 873 7 5 o
: 880 11 5 ver 
: 896 4 2 till 
: 901 7 2 it’s 
: 913 16 5 o
: 929 6 0 ver, 
: 947 4 0 it’s 
: 961 8 2 ne
: 969 6 0 ver 
: 977 17 7 o
: 994 11 5 ver
- 1006
: 1010 4 -2 Till 
: 1017 5 2 I 
: 1026 4 3 don’t 
: 1034 4 3 look 
: 1042 4 2 for 
: 1050 5 3 you 
: 1058 4 2 on 
: 1066 7 3 the 
: 1074 15 5 stair
: 1089 23 2 case
- 1116
: 1143 3 -2 Or 
: 1148 3 2 wish 
: 1155 3 3 you 
: 1162 3 3 thought 
: 1169 3 2 that 
: 1177 3 3 we 
: 1185 3 2 were 
: 1192 7 3 still 
: 1200 17 5 soul
: 1217 14 2 mates
- 1241
: 1264 5 -2 But 
: 1272 5 2 I’m 
: 1280 4 3 still 
: 1288 7 3 count
: 1295 5 2 ing 
: 1303 5 3 down 
: 1311 4 2 all 
: 1319 4 3 of 
* 1327 15 5 the 
* 1344 13 2 days
* 1357 4 0 ~
* 1361 13 -2 ~
- 1374
* 1384 4 -2 Till 
* 1392 4 -2 you’re 
* 1399 4 -2 just 
* 1407 7 0 a
* 1414 8 0 no
* 1422 5 -2 ther 
* 1431 5 0 girl 
* 1438 5 -2 on 
* 1446 5 0 the 
* 1453 17 2 sub
* 1470 33 -2 way
- 1503
: 1535 5 2 Made 
: 1543 5 2 you 
: 1550 5 2 the 
: 1559 7 2 vil
: 1566 13 2 lain, 
: 1600 6 2 evil 
: 1606 5 2 ~
: 1614 5 2 for 
: 1622 5 2 just 
: 1630 5 0 mo
: 1635 6 -2 ving 
: 1646 15 3 on
- 1661
: 1662 4 3 I 
: 1670 4 3 see 
: 1678 4 3 your 
: 1685 8 3 sha
: 1693 6 0 dow, 
* 1718 4 0 see 
* 1725 4 2 it 
* 1734 7 3 even 
* 1741 5 5 ~
* 1750 4 7 with 
* 1758 3 9 the 
* 1762 10 10 lights 
* 1774 6 2 off
- 1782
: 1790 4 2 I 
: 1797 4 2 made 
: 1805 3 2 a 
: 1813 8 2 pro
: 1821 6 2 mise, 
: 1830 4 -2 if 
: 1837 4 -2 in 
: 1853 4 2 four 
: 1860 4 2 months 
: 1868 4 2 this 
: 1876 10 2 feel
: 1886 4 0 ing 
: 1891 4 -2 ain’t 
: 1900 11 3 gone
- 1913
: 1916 3 3 Well, 
* 1924 4 3 fuck 
: 1932 4 3 this 
: 1940 7 3 ci
: 1947 6 3 ty, 
* 1964 6 2 I’m 
* 1972 7 3 mo
* 1979 5 2 vin’ 
* 1988 4 3 to 
* 1995 8 2 Sas
* 2003 8 3 ka
* 2011 5 -2 tche
* 2016 9 -2 wan
- 2026
: 2028 3 -2 It’s 
: 2036 3 -2 just 
: 2043 16 0 a
: 2059 16 2 no
: 2075 16 14 ther 
: 2093 25 12 day
- 2109
: 2124 4 10 And 
: 2129 5 14 it’s 
: 2136 5 14 not 
: 2148 8 5 o
: 2156 10 5 ver 
: 2174 2 2 till 
: 2177 4 2 it’s 
: 2189 16 5 o
: 2205 13 0 ver, 
: 2222 14 0 oh, 
: 2238 6 2 till 
: 2245 6 0 it’s 
: 2254 17 7 o
: 2271 14 5 ver
- 2286
: 2287 4 -2 It’s 
: 2295 4 -2 just 
: 2303 15 0 a
: 2318 17 2 no
: 2335 16 14 ther 
: 2352 28 12 day
- 2381
