#ARTIST:Climax Blues Band
#TITLE:Couldn’t Get It Right
#MP3:Climax Blues Band - Couldn’t Get It Right.mp3
#CREATOR:DoubleDee
#COVER:Climax Blues Band - Couldn’t Get It Right [CO].jpg
#BACKGROUND:Climax Blues Band - Couldn’t Get It Right [BG].jpg
#YEAR:1976
#LANGUAGE:English
#BPM:206
#GAP:10200
#VIDEO:a=iwnC_8_ZeYE,co=https://media.s-bol.com/5Rvgyp4zR0NK/1200x1177.jpg,preview=30.87,medley=0-538
: 0 3 6 Time 
: 4 2 4 was 
: 8 6 4 drif
: 16 3 2 ting, 
: 25 2 -1 this 
: 29 3 -1 rock 
: 33 1 -3 had 
: 35 2 -1 got 
: 39 1 -3 to 
: 41 1 -1 roll
: 43 5 2 ~ 
- 58
: 66 1 -1 So 
: 68 1 -1 I 
: 70 2 2 hit 
: 73 3 4 the 
: 77 3 6 road 
: 81 2 -1 and 
: 85 2 2 made 
: 89 2 4 my 
: 93 4 6 get
: 98 1 9 a
: 100 10 6 way 
- 120
: 130 3 6 Rest
: 134 2 4 less 
: 138 7 4 fee
: 146 4 2 ling, 
: 158 3 -1 real
: 162 1 -3 ly 
: 164 3 -1 got 
: 168 1 -3 a 
: 170 1 -1 hol
: 172 7 2 ~d 
- 190
: 194 3 -1 I 
: 198 3 2 star
: 202 3 4 ted 
: 206 3 6 sear
: 210 2 -1 ching 
: 215 3 2 for 
: 219 2 4 a 
: 223 7 6 bet
: 231 2 4 ter 
: 235 6 4 way
: 242 1 2 ~
: 244 14 -1 ~ 
- 268
: 284 1 -3 And 
: 286 1 -3 I 
: 288 2 -3 kept 
: 292 3 -3 on 
: 296 1 -3 loo
: 298 1 -3 king 
: 300 1 -1 for 
: 302 1 -3 a 
: 304 3 -3 sign 
: 308 1 -3 in 
: 310 1 -3 the 
: 312 1 -1 mid
: 314 1 2 dle 
: 316 1 2 of 
: 318 1 -1 the 
: 320 5 4 night 
- 336
: 340 1 -3 But 
: 342 1 -3 I 
: 344 1 -1 could
: 346 1 2 n’t 
: 348 1 2 see 
: 350 1 2 the 
: 352 8 4 light, 
- 369
: 372 1 -3 No, 
: 374 1 -3 I 
: 376 1 -1 could
: 378 1 2 n’t 
: 380 1 2 see 
: 382 1 2 the 
: 384 3 2 ligh
: 388 1 -1 ~
: 390 8 -3 ~t 
- 410
: 414 1 -3 I 
: 416 3 -3 kept 
: 420 2 -3 on 
: 424 1 -3 loo
: 426 1 -3 king 
: 428 1 -1 for 
: 430 1 -3 a 
: 432 3 -3 way 
: 436 1 -3 to 
: 438 3 -1 take 
: 442 1 2 me 
: 444 1 2 through 
: 446 1 2 the 
: 448 6 6 nigh
: 455 4 4 ~
: 460 7 2 ~t 
- 470
: 472 1 -1 Could
: 474 1 2 n’t 
: 476 1 2 get 
: 478 1 2 it 
: 480 5 4 right
: 486 1 6 ~
: 488 1 4 ~
: 490 8 2 ~, 
- 501
: 504 1 -1 I 
: 506 1 -1 could
: 508 1 2 n’t 
: 510 1 2 get 
: 512 1 2 it 
* 514 24 4 right 
- 565
: 613 3 6 Phil
: 617 3 4 ly’s 
: 622 6 4 fe
: 630 4 2 ver 
: 641 3 -1 made 
: 645 1 -1 me 
: 648 3 -1 feel 
: 652 2 -3 al
: 655 6 2 right 
- 671
: 678 1 -1 But 
: 680 1 -1 I 
: 682 2 2 must 
: 686 2 4 ad
: 690 2 6 mit 
: 694 1 -1 it 
: 698 2 2 got 
: 702 1 4 the 
: 704 4 6 best 
: 710 1 9 of 
: 712 19 6 me 
- 739
: 742 3 6 Get
: 746 2 4 tin’ 
: 750 6 4 down
: 757 1 2 ~
: 759 5 -1 ~ 
: 766 2 -3 so 
: 770 3 -1 deep 
: 774 1 -1 I 
: 776 3 -1 could
: 780 1 -3 ’ve 
: 782 9 2 drow
: 792 4 -6 ~ned 
- 803
: 806 1 -1 Now 
: 808 1 -1 I 
: 810 3 2 can’t 
: 814 2 4 get 
: 818 2 6 back 
: 823 3 -1 the 
: 827 3 2 way 
: 831 3 4 I 
: 835 5 6 used 
: 843 2 4 to 
: 847 5 4 be
: 853 2 2 ~
: 856 19 -1 ~ 
- 885
: 895 1 -6 And 
: 897 1 -6 I 
: 899 2 -3 kept 
: 903 3 -3 on 
: 907 1 -3 loo
: 909 1 -3 king 
: 911 1 -1 for 
: 913 1 -3 a 
: 915 3 -3 sign 
: 919 1 -3 in 
: 921 1 -3 the 
: 923 1 -1 mid
: 925 1 2 dle 
: 927 1 2 of 
: 929 1 -1 the 
: 931 5 4 night 
- 947
: 951 1 -3 But 
: 953 1 -3 I 
: 955 1 -1 could
: 957 1 2 n’t 
: 959 1 2 see 
: 961 1 2 the 
: 963 8 4 light, 
- 980
: 983 1 -3 No, 
: 985 1 -3 I 
: 987 1 -1 could
: 989 1 2 n’t 
: 991 1 2 see 
: 993 1 2 the 
: 995 3 2 ligh
: 999 1 -1 ~
: 1001 8 -3 ~t 
- 1021
: 1025 1 -3 I 
: 1027 2 -3 kept 
: 1031 3 -3 on 
: 1035 1 -3 loo
: 1037 1 -3 king 
: 1039 1 -1 for 
: 1041 1 -3 a 
: 1044 2 -3 way 
: 1047 1 -1 to 
: 1049 3 -1 take 
: 1053 1 2 me 
: 1055 1 2 through 
: 1057 1 2 the 
: 1059 6 6 nigh
: 1066 4 4 ~
: 1072 6 2 ~t 
- 1081
: 1083 1 -1 Could
: 1085 1 2 n’t 
: 1087 1 2 get 
: 1089 1 2 it 
: 1091 5 4 right
: 1097 1 6 ~
: 1099 1 4 ~
: 1101 8 2 ~, 
- 1112
: 1114 1 -1 I 
: 1116 1 -1 could
: 1118 1 -1 n’t 
: 1120 1 2 get 
: 1122 1 2 it 
* 1124 26 4 right 
- 1177
: 1415 3 6 New 
: 1419 2 4 York 
: 1424 4 4 Ci
: 1431 2 2 ty
: 1434 2 -1 ~ 
: 1443 2 -1 took 
: 1447 1 -3 me 
: 1449 3 -1 with 
: 1453 2 -3 the 
: 1456 10 2 tide 
- 1475
: 1479 1 -1 And 
: 1481 1 -1 I 
: 1483 3 2 near
: 1487 2 4 ly 
: 1491 3 6 died 
: 1495 3 -1 from 
: 1499 3 2 hos
: 1503 2 4 pi
: 1507 3 6 ta
: 1511 1 9 li
: 1514 1 4 ty
: 1516 3 6 ~
: 1520 1 4 ~
: 1522 1 2 ~
: 1524 3 4 ~
: 1528 1 2 ~
: 1530 1 -1 ~
: 1532 3 2 ~ 
- 1541
: 1543 2 6 Left 
: 1547 2 4 me 
: 1551 7 4 stran
: 1559 2 2 de
: 1562 2 -1 ~d, 
: 1571 2 -1 took 
: 1575 1 -1 a
: 1577 3 -1 way 
: 1581 1 -3 my 
: 1583 13 2 pride 
- 1604
: 1607 1 -1 Just 
: 1609 1 -1 a
: 1611 3 2 no
: 1615 3 4 ther 
: 1619 2 6 no 
: 1623 1 -1 ac
: 1627 2 2 count 
: 1631 2 4 fa
: 1635 6 6 ta
: 1642 2 4 li
: 1647 6 4 ty
: 1654 1 2 ~
: 1656 23 -1 ~ 
- 1689
: 1697 1 -6 I 
: 1699 2 -3 kept 
: 1703 3 -3 on 
: 1707 1 -3 loo
: 1709 1 -3 king 
: 1711 1 -1 for 
: 1713 1 -3 a 
: 1715 3 -3 sign 
: 1719 1 -3 in 
: 1721 1 -3 the 
: 1723 1 -1 mid
: 1725 1 2 dle 
: 1727 1 2 of 
: 1729 1 -1 the 
: 1731 5 4 night 
- 1747
: 1751 1 -3 But 
: 1753 1 -3 I 
: 1755 1 -1 could
: 1757 1 2 n’t 
: 1759 1 2 see 
: 1761 1 2 the 
: 1763 8 4 light, 
- 1779
: 1782 1 -3 No, 
: 1784 1 -3 I 
: 1786 1 -1 could
: 1788 1 2 n’t 
: 1790 1 2 see 
: 1792 1 2 the 
: 1794 3 2 ligh
: 1798 1 -1 ~
: 1800 8 -3 ~t 
- 1820
: 1824 1 -3 I 
: 1826 2 -3 kept 
: 1830 3 -3 on 
: 1834 1 -3 loo
: 1836 1 -3 king 
: 1838 1 -1 for 
: 1840 1 -3 a 
: 1842 2 -3 way 
: 1846 1 -3 to 
: 1848 3 -1 take 
: 1852 1 2 me 
: 1854 1 2 through 
: 1856 1 2 the 
: 1858 5 6 nigh
: 1864 4 4 ~
: 1870 6 2 ~t 
- 1879
: 1881 1 -1 Could
: 1883 1 2 n’t 
: 1885 1 2 get 
: 1887 1 2 it 
: 1889 11 4 right
: 1901 6 2 ~, 
- 1909
: 1911 1 -1 I 
: 1913 1 -1 could
: 1915 1 -1 n’t 
: 1917 1 2 get 
: 1919 1 2 it 
* 1921 26 4 right 
- 1949
: 1951 1 -6 I 
: 1953 2 -3 kept 
: 1957 3 -3 on 
: 1961 1 -3 loo
: 1963 1 -3 king 
: 1965 1 -1 for 
: 1967 1 -3 a 
: 1969 3 -3 sign 
: 1973 1 -3 in 
: 1975 1 -3 the 
: 1977 1 -1 mid
: 1979 1 2 dle 
: 1981 1 2 of 
: 1983 1 -1 the 
: 1985 5 4 night 
- 2001
: 2005 1 -3 But 
: 2007 1 -3 I 
: 2009 1 -1 could
: 2011 1 2 n’t 
: 2013 1 2 see 
: 2015 1 2 the 
: 2017 8 4 light, 
- 2033
: 2036 1 -3 No, 
: 2038 1 -3 I 
: 2040 1 -1 could
: 2042 1 2 n’t 
: 2044 1 2 see 
: 2046 1 2 the 
: 2048 3 2 ligh
: 2052 1 -1 ~
: 2054 8 -3 ~t 
- 2074
: 2078 1 -3 I 
: 2080 2 -3 kept 
: 2084 3 -3 on 
: 2088 1 -3 loo
: 2090 1 -3 king 
: 2092 1 -1 for 
: 2094 1 -3 a 
: 2096 2 -3 way 
: 2100 1 -3 to 
: 2102 3 -1 take 
: 2106 1 2 me 
: 2108 1 2 through 
: 2110 1 2 the 
: 2112 5 6 nigh
: 2118 4 4 ~
: 2124 6 2 ~t 
- 2134
: 2136 1 -1 Could
: 2138 1 2 n’t 
: 2140 1 2 get 
: 2142 1 2 it 
: 2144 11 4 right
: 2156 6 2 ~, 
- 2164
: 2166 1 -1 I 
: 2168 1 -1 could
: 2170 1 -1 n’t 
: 2172 1 2 get 
: 2174 1 2 it 
: 2176 26 4 right 
- 2203
: 2205 1 -6 I 
: 2207 2 -3 kept 
: 2211 3 -3 on 
: 2215 1 -3 loo
: 2217 1 -3 king 
: 2219 1 -1 for 
: 2221 1 -3 a 
: 2223 3 -3 sign 
: 2227 1 -3 in 
: 2229 1 -3 the 
: 2231 1 -1 mid
: 2233 1 2 dle 
: 2235 1 2 of 
: 2237 1 -1 the 
: 2239 5 4 night 
- 2255
: 2259 1 -3 But 
: 2261 1 -3 I 
: 2263 1 -1 could
: 2265 1 2 n’t 
: 2267 1 2 see 
: 2269 1 2 the 
: 2271 8 4 light, 
- 2288
: 2291 1 -3 No, 
: 2293 1 -3 I 
: 2295 1 -1 could
: 2297 1 2 n’t 
: 2299 1 2 see 
: 2301 1 2 the 
: 2303 3 2 ligh
: 2307 1 -1 ~
: 2309 8 -3 ~t 
- 2328
F 2332 1 -3 I 
F 2334 2 -3 kept 
F 2338 3 -3 on 
F 2342 1 -3 loo
F 2344 1 -3 king 
F 2346 1 -1 for 
F 2348 1 -3 a 
F 2350 2 -3 way 
F 2354 1 -3 to 
F 2356 3 -1 take 
F 2360 1 2 me 
F 2362 1 2 through 
F 2364 1 2 the 
F 2366 5 6 nigh
F 2372 4 4 ~
F 2378 6 2 ~t 
- 2388
F 2390 1 -1 Could
F 2392 1 2 n’t 
F 2394 1 2 get 
F 2396 1 2 it 
F 2398 11 4 right
F 2410 6 2 ~ 
E
