#ARTIST:Cream Puff
#TITLE:Mermaid Girl
#MP3:Cream Puff - Mermaid Girl.mp3
#CREATOR:Stanza
#YEAR:2011
#LANGUAGE:English
#BPM:280
#GAP:2950
#VIDEO:a=mtu7FoQ4nYc,co=https://i1.sndcdn.com/artworks-000113632537-m2n8vf-t500x500.jpg
: 0 3 6 I’m 
: 4 3 8 a 
: 8 3 9 twin
: 12 1 9 kle 
: 14 4 9 li
: 20 3 6 ttle 
: 24 3 11 mer
: 28 3 16 maid 
: 32 4 11 girl 
: 40 3 8 wait
: 44 3 8 ing 
: 48 3 4 for 
: 52 3 8 a 
: 56 3 9 hon
: 60 3 11 ey 
: 64 4 9 man 
- 70
: 72 3 9 Dub-
: 76 1 9 de-
: 78 2 9 dub-
: 82 1 6 da-
: 84 3 9 de
: 88 3 11 Sing 
: 92 3 16 a 
: 96 6 11 song 
: 104 3 13 Love 
: 108 3 13 me 
: 112 3 16 take 
: 116 3 14 me 
: 120 7 13 there 
- 128
: 128 3 6 I’m 
: 132 3 8 a 
: 136 3 9 twin
: 140 1 9 kle 
: 142 5 9 li
: 148 3 6 ttle 
: 152 3 11 mer
: 156 3 16 maid 
: 160 6 11 girl 
: 168 3 8 oh 
: 172 3 8 what 
: 176 3 4 a 
: 180 3 8 hea
: 184 3 9 ven
: 188 3 11 ly 
: 192 4 9 world 
- 198
: 200 3 9 Dub-
: 204 1 9 de-
: 206 3 9 dub-
: 210 1 6 da-
: 212 3 9 de
: 216 3 11 Call 
: 220 3 16 my 
: 224 6 11 name 
: 232 3 13 Dub-
: 236 1 13 de-
: 238 3 13 dub-
: 242 1 11 da-
: 244 3 13 de
: 248 3 13 Hold 
: 252 3 16 me 
: 256 8 18 long 
- 266
: 544 3 6 I 
: 548 3 8 lived 
: 552 7 9 in 
: 560 6 6 o
: 568 7 11 cean 
: 576 3 4 in 
: 580 3 4 a 
: 584 3 8 gold
: 588 3 4 en 
: 592 3 11 pa
: 596 6 9 lace 
- 604
: 608 3 9 Grown 
: 612 3 8 up 
: 616 6 6 in 
: 624 6 2 com
: 632 6 4 fort 
: 640 3 6 pre
: 644 3 8 tty 
: 648 3 11 pri
: 652 3 9 n
: 656 3 8 ce
: 660 6 6 ss 
- 668
: 672 3 6 Su
: 676 3 8 gar 
: 680 7 9 and 
: 688 6 6 spi
: 696 6 11 ces 
: 704 6 4 and 
: 712 7 8 all 
: 720 7 11 that’s 
: 728 6 9 nice 
- 735
: 736 3 9 Mi
: 740 3 8 ssing 
: 744 7 6 in
: 752 7 2 gre
: 760 7 4 dient 
: 768 3 6 was 
: 772 3 8 just 
: 776 3 11 your 
: 780 3 9 pre
: 784 3 8 se
: 788 8 6 nce 
- 798
: 812 3 6 One 
: 816 3 6 day 
: 820 3 6 a 
: 824 3 9 witch 
: 828 3 8 gave 
: 832 6 9 me 
: 844 3 9 love
: 848 3 8 ly 
: 852 10 4 legs 
- 864
: 868 3 4 To 
: 872 7 6 come 
: 880 7 8 up 
: 888 7 9 to 
: 896 7 8 your 
: 904 20 4 side 
- 926
: 940 3 6 I 
: 944 3 6 know 
: 948 3 6 this 
: 952 3 9 drea
: 956 3 8 my 
: 960 3 9 world’s 
: 964 3 9 a 
: 968 7 9 fai
: 976 7 8 ry 
: 984 8 4 tale 
- 994
: 996 3 4 But 
: 1000 7 6 could 
: 1008 7 9 you 
: 1016 7 11 kiss 
: 1024 7 9 me 
: 1032 18 11 here 
- 1052
: 1056 3 6 I’m 
: 1060 3 8 a 
: 1064 3 9 twin
: 1068 1 9 kle 
: 1070 5 9 lit
: 1076 3 6 tle 
: 1080 3 11 mer
: 1084 3 16 maid 
: 1088 6 11 girl 
: 1096 3 8 Wai
: 1100 3 8 ting 
: 1104 3 4 for 
: 1108 3 8 a 
: 1112 3 9 hon
: 1116 3 11 ey 
: 1120 4 9 man 
- 1126
: 1128 3 9 Dub-
: 1132 1 9 de-
: 1134 3 9 dub-
: 1138 1 6 da-
: 1140 2 9 de
: 1144 3 11 Sing 
: 1148 3 16 a 
: 1152 6 11 song 
: 1160 3 13 Love 
: 1164 3 13 me 
: 1168 3 16 take 
: 1172 3 14 me 
: 1176 6 13 there 
- 1183
: 1184 3 6 I’m 
: 1188 3 8 a 
: 1192 3 9 twin
: 1196 1 9 kle 
: 1198 5 9 li
: 1204 3 6 ttle 
: 1208 3 11 mer
: 1212 3 16 maid 
: 1216 6 11 girl 
: 1224 3 8 oh 
: 1228 3 8 what 
: 1232 3 4 a 
: 1236 3 8 hea
: 1240 3 9 ven
: 1244 3 11 ly 
: 1248 6 9 world 
- 1255
: 1256 3 9 Dub-
: 1260 1 9 de-
: 1262 3 9 dub-
: 1266 1 6 da-
: 1268 2 9 de
: 1272 3 11 Call 
: 1276 3 16 my 
: 1280 6 11 name 
: 1288 3 13 Dub-
: 1292 1 13 de-
: 1294 3 13 dub-
: 1298 1 11 da-
: 1300 3 13 de
: 1304 3 13 Hold 
: 1308 3 16 me 
: 1312 10 18 long 
- 1324
: 1580 3 6 Bu
: 1584 7 6 bbles 
: 1592 3 9 spar
: 1596 3 8 kle 
: 1600 8 9 and 
: 1612 3 9 dis
: 1616 3 8 a
: 1620 12 4 ppear 
: 1636 3 4 in
: 1640 7 6 to 
: 1648 7 8 the 
: 1656 7 9 deep 
: 1664 7 8 blue 
: 1672 24 4 sea 
- 1698
: 1708 3 6 I 
: 1712 3 6 know 
: 1716 3 6 my 
: 1720 3 9 life
: 1724 3 8 is
: 1728 3 9 a 
: 1732 3 9 sad 
: 1736 7 9 fai
: 1744 7 8 ry 
: 1752 8 4 tale 
: 1764 3 4 So 
: 1768 7 6 could 
: 1776 7 9 you 
: 1784 7 11 wipe 
: 1792 7 9 my 
: 1800 20 11 tears 
- 1822
: 1856 3 8 I’m 
: 1860 3 10 a 
: 1864 3 11 twin
