#ARTIST:Danny Wilson
#TITLE:Mary’s Prayer
#MP3:Danny Wilson - Mary’s Prayer.mp3
#CREATOR:bohning
#YEAR:1987
#LANGUAGE:English
#BPM:270.26
#GAP:1120
#VIDEO:v=7hqgC3W9GUI,co=marys-prayer-66eff84ac4af0.jpg,bg=https://i.ytimg.com/vi/7hqgC3W9GUI/maxresdefault.jpg
: 0 1 2 E
: 2 1 4 ~ve
: 4 2 5 ry
: 9 2 4 thing 
: 12 1 2 is 
: 17 3 2 won
: 23 2 0 der
: 30 6 0 ful 
- 38
: 64 1 0 Be
: 66 1 2 ~
: 68 2 4 ing 
: 73 2 2 here 
: 76 2 0 is 
: 80 2 0 hea
: 83 3 2 ~
: 88 3 2 ven
: 92 2 2 ly
: 95 4 4 ~
: 100 1 2 ~ 
- 103
: 127 1 2 E
: 129 1 4 ~ve
: 132 1 5 ry 
: 136 3 4 sin
: 140 2 2 gle 
: 144 9 2 day 
: 157 2 2 she
: 160 4 4 ~ 
: 168 2 0 say
: 171 6 2 ~s 
- 179
: 192 1 0 E
: 194 1 2 ~ve
: 196 2 4 ry
: 201 3 2 thing 
: 205 2 0 is 
: 212 2 2 free
: 215 4 4 ~
: 220 2 2 ~
: 223 6 0 ~ 
- 231
: 252 1 -12 I 
: 255 1 0 u
: 257 1 4 ~sed 
: 260 2 5 to 
: 264 2 4 be 
: 269 2 2 so 
: 274 2 2 ca
: 277 3 0 ~re
: 282 8 0 less 
- 292
: 317 1 -3 As 
: 321 1 2 if 
: 324 2 4 I 
: 329 2 2 coul
: 332 2 0 dn’t 
: 337 2 0 ca
: 340 6 2 ~re 
: 350 1 2 le
: 352 4 4 ~
: 357 2 2 ~ss 
- 361
: 384 2 4 Did 
: 388 2 5 I 
: 391 2 4 have 
: 396 2 2 to 
: 399 1 0 ma
: 401 1 2 ~ke 
: 405 2 4 mis
: 411 2 0 ta
: 414 2 -3 ~kes 
- 418
: 427 3 0 When 
* 431 2 -3 I
* 434 4 -1 ~ 
* 440 1 0 wa
* 442 1 -1 ~
* 444 1 0 ~s 
* 448 2 2 Ma
* 451 3 4 ~
* 456 3 2 ry
* 460 1 0 ~’s 
* 465 2 -1 pray
* 468 15 0 er 
- 485
: 511 3 4 Sud
: 515 3 5 den
: 519 3 4 ly 
: 523 1 2 the 
: 527 2 2 hea
: 532 2 4 vens 
: 538 1 4 ro
: 540 2 2 ~
: 543 3 0 ~lled 
- 548
: 574 4 2 Sud
: 579 2 4 den
: 583 2 2 ly 
: 587 2 0 the 
: 591 2 0 rai
: 594 4 2 ~n 
: 603 8 2 came 
: 615 1 2 do
: 618 3 4 ~
: 622 2 2 ~wn 
- 626
: 639 3 4 Sud
: 643 3 5 den
: 647 3 4 ly 
: 651 1 2 was 
: 655 3 2 washed 
: 663 2 4 a
: 667 2 2 way
: 670 3 0 ~ 
- 675
: 698 2 -3 The 
: 702 1 1 Ma
: 704 2 2 ~
: 707 2 4 ry 
: 710 2 2 that 
: 715 3 7 I 
: 723 1 2 kne
: 725 5 4 ~w 
- 732
: 766 3 4 So 
: 770 2 5 when 
: 774 1 7 you 
: 778 3 7 fi
: 782 1 5 ~nd 
- 785
: 790 3 5 So
: 794 1 4 ~me
: 797 4 4 bo
: 802 2 2 dy 
: 806 2 0 who
: 809 2 2 ~ 
: 814 3 2 gives 
- 819
: 831 1 0 Thi
: 833 1 2 ~nk 
: 835 1 4 of 
: 839 3 2 me 
: 843 1 0 and 
: 847 2 0 ce
: 850 4 2 ~
: 855 2 2 le
: 859 1 2 bra
: 861 2 4 ~te 
- 865
: 895 2 4 I 
: 899 2 5 made 
: 903 2 4 such 
: 907 1 2 a 
: 911 5 2 big 
: 919 1 4 mis
: 924 1 0 ta
: 926 1 -3 ~ke 
- 929
: 939 3 0 When 
: 943 2 -3 I
: 946 4 -1 ~ 
: 952 2 0 was 
: 959 2 2 Ma
: 962 4 4 ~
: 968 2 2 ry
: 971 2 0 ~’s 
: 976 6 0 prayer 
- 984
: 1019 3 0 So 
: 1023 2 4 if 
: 1027 2 5 I 
: 1031 6 7 say 
: 1040 1 5 sa
: 1042 8 7 ~
: 1051 1 0 ~ve 
: 1056 5 -1 me 
- 1063
: 1070 1 5 Sa
: 1072 8 7 ~
: 1081 1 5 ~ve 
: 1086 5 4 me 
- 1093
: 1102 6 7 Be 
: 1110 2 5 the 
: 1114 7 4 light 
: 1123 1 2 in 
: 1125 2 0 my 
: 1133 2 2 eye
: 1136 3 4 ~
: 1140 1 0 ~s 
- 1143
: 1146 2 0 And 
: 1150 2 4 if 
: 1153 2 5 I 
: 1158 6 7 say 
: 1166 1 5 te
: 1168 9 7 ~n 
: 1181 1 0 hai
: 1183 6 -1 ~l 
- 1191
* 1198 1 5 Ma
* 1200 9 7 ~
* 1214 5 0 ry’s 
- 1221
: 1230 6 7 Leave 
: 1238 2 5 a 
: 1242 7 5 light 
: 1250 1 5 o
: 1252 4 4 ~n 
: 1257 2 5 in 
: 1262 2 4 hea
: 1266 2 2 ven 
- 1270
: 1274 6 2 For 
* 1286 1 2 me
* 1288 2 4 ~
* 1291 2 2 ~ 
- 1295
: 1309 3 4 Bles
: 1314 2 5 sed 
: 1318 1 4 is 
: 1322 2 2 the 
: 1326 3 2 one 
: 1332 1 2 who
: 1334 2 4 ~ 
: 1339 1 4 sha
: 1341 2 2 ~
: 1344 7 0 ~res 
- 1353
: 1369 2 -3 The 
: 1373 2 0 po
: 1376 1 2 ~w
: 1378 2 4 er 
: 1382 1 2 a
: 1384 1 0 ~nd 
: 1386 2 0 your 
: 1391 1 0 beau
: 1393 2 2 ~
: 1397 1 0 ty
: 1399 2 2 ~ 
: 1402 8 2 Ma
: 1411 1 2 ry
: 1413 2 4 ~
: 1416 1 2 ~ 
- 1419
: 1438 2 7 Bles
: 1442 2 5 sed 
: 1447 1 4 is 
: 1450 2 2 the 
: 1454 4 2 mil
: 1459 5 0 lio
: 1466 13 0 naire 
- 1481
: 1494 1 -5 Who 
: 1499 1 0 sha
: 1501 3 2 ~res 
: 1508 3 4 your 
: 1514 3 2 wed
: 1520 2 0 ding 
* 1526 2 2 day
* 1529 8 4 ~
* 1538 1 2 ~
* 1540 8 0 ~ 
- 1550
: 1566 3 4 So 
: 1570 2 5 when 
: 1574 1 7 you 
: 1579 2 7 fi
: 1582 2 5 ~nd 
- 1586
: 1590 4 5 So
: 1595 1 4 ~me
: 1599 1 5 bo
: 1601 1 4 ~
: 1603 1 2 dy 
: 1607 2 0 to
: 1610 2 2 ~ 
: 1615 3 2 give 
- 1620
: 1630 2 2 Think 
: 1634 2 4 of 
: 1638 3 2 me 
: 1642 2 0 and 
: 1647 2 0 ce
: 1650 4 2 ~
: 1655 2 2 le
: 1659 1 2 bra
: 1661 2 4 ~te 
- 1665
: 1694 4 4 I 
: 1699 2 5 made 
: 1703 2 4 such 
: 1707 1 2 a 
: 1711 5 2 big 
: 1718 2 4 mis
: 1723 1 0 ta
: 1725 1 -3 ~ke 
- 1728
: 1740 3 0 When 
: 1744 1 -3 I
: 1746 4 -1 ~ 
: 1752 1 -1 wa
: 1754 2 0 ~s 
: 1760 1 2 Ma
: 1762 4 4 ~
: 1768 2 2 ry
: 1771 2 0 ~’s 
: 1777 13 0 prayer 
- 1792
: 1818 2 0 So 
: 1822 1 4 if 
: 1825 2 5 I 
: 1830 5 7 say 
: 1838 1 5 sa
: 1840 8 7 ~
: 1849 1 0 ~ve 
: 1854 6 -1 me 
- 1862
: 1870 1 5 Sa
: 1872 10 7 ~ve 
: 1887 1 -1 me
: 1889 4 0 ~ 
- 1895
: 1903 6 7 Be 
: 1911 1 5 the 
: 1915 7 4 light 
: 1924 1 2 in 
: 1927 4 0 my 
: 1935 1 2 eye
: 1937 4 4 ~s 
- 1943
: 1945 2 0 And 
: 1949 1 4 if 
: 1953 2 5 I 
: 1957 5 7 say 
: 1965 1 5 te
: 1967 9 7 ~
: 1977 1 0 ~n 
: 1980 7 -1 hail 
- 1989
: 1998 1 6 Ma
: 2000 9 7 ~
: 2011 1 0 ~
: 2014 6 0 ry’s 
- 2022
: 2030 7 7 Leave 
: 2038 3 5 a 
: 2043 7 5 light 
: 2051 5 4 on 
: 2057 2 5 in 
: 2062 1 5 hea
: 2064 1 4 ~
: 2066 2 2 ven 
- 2070
: 2095 1 5 Sa
: 2097 1 6 ~
: 2099 8 7 ~ve 
: 2112 2 -1 me
: 2115 1 0 ~
: 2117 1 -1 ~ 
- 2120
* 2125 2 2 Sa
* 2128 7 4 ~
* 2136 1 5 ~
* 2138 1 2 ~ve 
: 2142 1 2 me
: 2144 3 4 ~ 
- 2149
: 2158 6 7 Be 
: 2167 1 5 the 
: 2171 6 4 light 
: 2179 2 2 in 
: 2183 2 0 my 
: 2190 2 2 eye
: 2193 3 4 ~s 
- 2198
: 2202 2 0 And 
: 2206 2 4 if 
: 2210 2 5 I 
: 2215 5 7 say 
: 2222 1 5 te
: 2225 9 7 ~n 
: 2238 1 0 hai
: 2240 5 2 ~l 
- 2247
: 2254 2 5 Ma
: 2257 7 7 ~
: 2265 1 5 ~
: 2267 2 4 ~
: 2270 2 5 ry
: 2274 2 4 ~’s 
- 2278
: 2286 7 7 Leave 
: 2295 2 5 a 
: 2299 7 5 light 
: 2307 6 4 on 
: 2314 2 5 and 
: 2319 1 5 hea
: 2321 1 4 ~
: 2323 2 2 ven 
- 2327
: 2331 7 2 For 
: 2343 2 2 me
: 2346 3 4 ~ 
- 2351
: 2365 2 4 If 
: 2370 3 5 you 
: 2374 2 4 want 
: 2379 1 2 the 
: 2383 3 2 fruit 
: 2390 1 4 to 
: 2394 3 2 fa
: 2398 2 0 ~ll 
- 2402
: 2430 2 2 Have 
: 2434 1 4 to 
: 2437 2 2 give 
: 2442 1 0 the 
: 2447 1 0 tree
: 2449 1 1 ~
: 2451 2 2 ~ 
: 2454 2 2 a 
: 2460 1 2 sha
: 2462 3 4 ~ke 
- 2467
: 2494 1 4 If 
: 2498 2 5 you 
: 2502 1 5 sha
: 2504 1 4 ~ke 
: 2507 1 2 the 
: 2511 9 2 tree 
: 2523 1 2 too
: 2525 6 4 ~ 
: 2534 2 0 ha
: 2538 7 2 ~rd 
- 2547
: 2558 1 0 Bou
* 2560 2 2 ~gh 
: 2564 2 4 is 
: 2570 2 2 gon
: 2574 3 0 na 
: 2580 1 2 brea
: 2582 7 4 ~
: 2590 2 2 ~
: 2593 8 0 ~k 
- 2603
: 2621 2 4 If 
: 2625 2 5 I 
: 2629 3 7 can’t 
: 2637 3 7 reach 
: 2646 1 5 the 
: 2650 1 5 to
: 2652 4 4 ~p 
: 2658 2 2 of 
: 2662 1 0 the 
: 2666 8 2 tree 
- 2676
: 2687 1 0 Ma
: 2689 1 2 ~
: 2691 3 4 ry 
: 2695 2 2 you 
: 2699 2 0 can 
: 2704 2 0 ho
: 2707 2 2 ~ld 
: 2711 4 2 me 
: 2716 2 2 up 
: 2724 1 2 the
: 2726 3 4 ~
: 2730 1 2 ~
: 2733 1 0 ~re 
- 2736
: 2749 3 4 What 
: 2753 3 5 I 
: 2758 3 4 would
: 2762 2 2 n’t 
: 2766 3 2 give 
