#ARTIST:Daughtry
#TITLE:Long Live Rock & Roll
#MP3:Daughtry - Long Live Rock & Roll.mp3
#CREATOR:QuantenspringerXXX
#YEAR:2013
#LANGUAGE:English
#BPM:228.22
#GAP:9690
#VIDEO:v=lru6-J7uQjo,co=baptized-592be16bad4c4.jpg,bg=daughtry-4f627c9971454.jpg
: 0 1 2 Well 
: 3 2 2 I 
: 6 1 0 was 
: 9 7 2 born, 
: 22 1 -2 the 
: 24 3 2 year 
: 29 3 2 that 
: 34 2 2 dis
: 37 1 5 co 
: 41 6 2 died 
- 53
: 55 2 -2 And 
: 58 2 3 U
: 61 2 3 2 
: 67 3 3 was 
: 71 1 3 in 
: 73 3 2 high 
: 77 5 2 school, 
: 83 3 2 thank 
: 87 1 2 the 
: 89 5 0 lord 
: 95 2 -2 that 
: 98 3 0 they 
: 102 2 -2 sur
: 106 9 2 vived 
- 124
: 127 2 2 Got 
: 130 3 2 my 
: 134 4 2 first 
: 139 7 2 taste, 
: 150 1 -2 on 
: 152 1 -2 a 
: 154 2 2 Se
: 157 1 2 ger 
: 160 4 2 four
: 165 1 5 ty
: 168 11 2 five 
- 180
: 182 1 -2 And 
: 184 4 3 since 
: 189 3 3 that 
: 193 5 3 kiss, 
: 199 1 3 I 
: 201 5 2 rocked 
: 207 3 2 all 
: 211 4 2 day, 
: 216 2 2 and 
: 219 4 0 par
: 224 2 -2 tied 
: 227 2 0 eve
: 230 1 -2 ry 
: 232 5 2 night 
- 239
: 241 3 2 We 
: 245 6 5 still 
: 252 2 7 ar
: 255 1 7 gue 
: 257 3 7 ’bout 
: 261 5 7 who’s 
: 267 2 5 bet
: 270 4 2 ter, 
: 277 1 2 El
: 279 2 2 ton 
: 282 4 0 John 
: 287 3 -2 or 
: 291 1 0 Bil
: 293 3 -2 ly 
: 297 7 2 Joel 
- 305
: 307 1 2 We 
: 309 5 5 still 
: 315 2 7 won
: 318 3 7 der 
: 322 2 7 if 
: 325 5 7 Kurt 
: 331 1 5 real
: 333 3 2 ly 
: 337 4 2 wrote 
: 342 1 0 the 
: 344 5 0 song 
: 350 2 -2 she 
: 353 5 0 sang 
: 359 1 -2 in 
: 361 5 2 Hole 
- 368
: 370 3 -2 No 
: 374 4 2 one 
: 379 1 3 e
: 381 1 3 ver 
: 383 5 3 stop 
: 391 1 3 be
: 393 5 2 lie
: 399 2 2 ving, 
: 403 3 2 this 
: 407 1 0 the 
: 409 3 0 jour
: 413 3 0 ney 
: 417 3 0 of 
: 421 2 -2 our 
: 425 5 2 lives 
- 431
: 433 1 -2 So 
: 435 2 -2 won’t 
: 438 3 2 you 
: 443 2 3 help 
: 446 4 3 me 
: 451 2 3 pour 
: 454 3 3 some 
: 458 2 2 su
: 461 3 2 gar 
: 465 3 2 on 
: 469 4 2 these 
: 474 2 0 me
: 477 2 0 mo
: 480 6 0 ries 
: 487 1 -2 to
: 489 5 -2 night 
- 496
: 498 3 0 Sing 
: 502 1 -2 it, 
: 509 7 2 long 
: 517 6 2 live 
: 524 10 2 rock, 
: 543 5 2 long 
: 549 5 2 live 
: 555 9 2 roll 
- 572
: 575 4 7 Long 
: 580 5 7 live 
: 586 3 5 big 
: 590 1 2 gui
: 592 6 2 tars 
: 599 2 2 and 
: 602 3 0 mu
: 606 3 0 sic 
: 610 2 0 for 
: 614 1 -2 the 
: 617 5 2 soul 
- 625
: 627 4 0 Sing 
: 632 1 -2 it, 
: 639 5 2 don’t 
: 645 5 2 give 
: 651 8 2 up, 
: 671 5 2 don’t 
: 677 4 2 grow 
: 682 16 2 old 
- 701
: 703 4 7 Long 
: 708 5 7 live 
: 714 3 5 cra
: 718 2 2 zy 
: 721 5 2 nights 
: 727 2 2 and 
: 730 2 0 re
: 733 5 0 cords 
: 739 3 0 made 
: 743 1 -2 of 
: 745 5 2 gold 
- 753
: 755 3 -2 Long 
: 759 3 2 live 
: 763 14 3 rock 
: 778 14 2 and 
: 793 22 0 roll 
- 826
: 830 4 2 Sum
: 835 3 2 mer 
: 839 1 0 of 
: 841 4 2 nin
: 846 1 0 ety
: 848 6 2 six 
: 855 2 -2 I 
: 858 3 2 got 
: 862 3 2 my 
: 866 4 2 first 
: 871 1 5 gui
: 873 8 2 tar 
- 885
: 887 1 -2 I 
: 889 4 3 played 
: 894 1 3 it 
: 896 3 3 till 
: 900 3 3 my 
: 906 3 2 fin
: 910 2 2 gers 
: 913 4 2 said, 
: 918 2 2 “you’re 
: 922 3 0 gon
: 926 2 0 na 
: 929 3 0 be 
: 933 1 -2 a 
: 936 7 2 star” 
- 951
: 954 4 2 Grunge 
: 959 2 0 was 
: 962 2 2 eve
: 965 1 0 ry
: 968 11 2 thing, 
: 982 2 2 at 
: 985 2 2 least, 
: 989 2 2 it 
: 993 4 2 was 
: 998 1 5 to 
: 1000 6 2 m
: 1007 4 0 e 
- 1012
: 1014 1 -2 A 
: 1016 3 3 Mar
: 1020 4 3 shall 
: 1025 3 3 in 
: 1029 3 3 my 
: 1033 3 2 Che
: 1037 1 2 vy 
: 1039 4 2 Sprint, 
: 1046 4 2 just 
: 1051 1 0 run
: 1053 3 0 nin’ 
: 1057 5 0 down 
: 1063 1 -2 a 
: 1065 4 2 dream 
- 1072
: 1074 2 2 We 
: 1077 4 5 still 
: 1082 4 7 ar
: 1087 1 7 gue 
: 1089 3 7 ’bout 
: 1095 3 7 who’s 
: 1099 2 5 bet
: 1102 3 2 ter, 
: 1106 3 2 Möt
: 1110 2 2 ley 
: 1113 5 0 Crüe 
: 1119 2 0 or 
: 1122 3 0 G 
: 1126 3 -2 N’ 
: 1130 4 2 R 
- 1137
: 1139 1 2 We 
: 1141 4 5 still 
: 1146 3 7 can’t 
: 1150 1 7 be
: 1152 5 7 lieve 
: 1158 4 7 Van 
: 1163 2 5 Ha
: 1166 4 2 len, 
: 1174 3 2 turned 
: 1178 2 0 in
: 1181 2 0 to 
: 1184 4 0 Van 
: 1189 5 -2 Ha
: 1195 4 2 gar 
- 1200
: 1202 4 -2 Now 
: 1207 1 2 the 
: 1209 3 3 re
: 1213 1 3 cord 
: 1215 7 3 shops 
: 1223 2 3 are 
: 1226 4 2 gone 
: 1231 1 2 for 
