#ARTIST:David Guetta, Teddy Swims, Tones and I
#TITLE:Gone Gone Gone
#MP3:David Guetta, Teddy Swims, Tones and I - Gone Gone Gone.mp3
#CREATOR:DoubleDee
#COVER:David Guetta, Teddy Swims, Tones and I - Gone Gone Gone [CO].jpg
#BACKGROUND:David Guetta, Teddy Swims, Tones and I - Gone Gone Gone [BG].jpg
#GENRE:Pop, Dance
#YEAR:2025
#LANGUAGE:English
#BPM:262
#GAP:1350
#VIDEO:v=_kwiNpRZlDI,co=gone-gone-gone-6903c482be207.jpg,preview=44.4,medley=0-1145
: 0 3 6 We 
: 4 3 4 were 
* 8 15 2 fi
* 24 3 -1 re, 
- 37
: 52 3 -3 Im
: 56 3 6 pos
: 60 3 4 si
: 64 3 4 ble 
: 68 3 4 to 
: 72 23 1 tame 
- 105
: 116 3 -6 Like 
: 120 3 6 oi
: 124 3 4 ~l 
: 128 3 4 in 
: 132 3 2 the 
: 136 15 2 o
: 152 4 -1 cean, 
- 166
: 176 3 2 No 
: 180 3 2 way 
: 184 3 -1 to 
: 188 3 2 put 
: 192 3 2 out 
: 196 3 4 the 
: 200 27 1 flame
: 228 4 -1 ~
: 233 7 -2 ~ 
- 246
: 248 3 6 We 
: 252 3 4 were 
: 256 3 4 just 
: 260 4 2 a–
: 265 15 2 run
: 281 3 -1 ning, 
- 294
: 304 5 6 Eyes 
: 312 3 6 close
: 316 2 4 ~d 
: 320 4 4 in 
: 325 2 4 the 
: 329 23 1 dar
: 353 10 2 ~
: 364 7 4 ~k 
- 374
: 376 3 6 Hea
: 380 3 4 ded 
: 384 3 4 for 
: 388 3 2 a 
: 392 9 2 wall, 
: 404 5 2 full 
: 413 3 -1 speed, 
- 428
: 432 2 -1 Oh, 
: 435 2 -1 it’s 
: 438 1 -1 a
: 440 3 2 bout 
: 444 3 2 to 
: 448 3 2 leave 
: 452 2 4 a 
: 456 29 1 mark 
- 495
: 504 2 4 Oh
: 507 4 6 ~, 
: 512 3 6 and 
: 516 3 6 it 
: 520 3 6 was 
: 524 3 4 free
: 528 3 6 ~
: 532 3 4 dom, 
: 536 3 4 you 
: 540 3 4 hol
: 544 3 6 ~d 
: 548 3 4 me, 
: 552 2 4 I 
: 556 2 6 screa
: 559 2 7 ~m 
: 562 3 4 you
: 566 2 6 ~r 
: 569 8 4 name 
- 582
: 584 4 6 Through 
: 589 2 4 all
: 592 2 6 ~ 
: 595 4 4 of 
: 600 3 4 the 
: 604 2 4 ma
: 607 3 6 ~d
: 611 4 4 ness, 
: 616 3 4 I 
: 620 6 7 take 
: 627 1 4 the
: 629 2 6 ~ 
: 633 5 4 blame 
- 638
: 640 3 4 And 
: 644 2 9 I
: 647 1 7 ~
: 649 1 4 ~
: 651 9 2 ~
: 661 4 4 ~ 
- 682
* 704 3 2 And 
* 708 1 9 I
* 710 1 7 ~
* 712 1 4 ~
* 714 3 2 ~
* 718 1 4 ~
* 720 7 6 ~
* 728 3 9 ~
* 732 3 4 ~
* 736 2 6 ~
* 739 1 4 ~
* 741 3 2 ~
* 745 2 4 ~
* 748 3 6 ~ 
- 751
: 752 3 6 I 
: 756 3 6 on
: 760 3 6 ly 
: 764 3 4 want 
: 768 3 2 you 
: 772 3 -1 when 
: 776 2 -3 you’re 
: 780 2 4 gone
: 784 7 6 ~
: 792 2 4 ~, 
: 796 7 6 gone
: 804 3 4 ~, 
: 808 2 4 gone
: 811 1 2 ~
: 813 6 -1 ~ 
- 825
: 828 3 6 Play
: 832 3 4 ing 
: 836 3 2 like 
: 840 3 -1 we’re 
: 844 2 4 done
: 848 7 6 ~
: 856 3 4 ~, 
: 860 2 4 done
: 863 4 6 ~
: 868 3 4 ~, 
: 872 2 4 done
: 875 1 2 ~
: 877 3 -1 ~ 
- 889
: 892 3 9 I 
: 896 3 11 love 
: 900 3 9 your 
: 904 3 9 game
: 908 3 11 ~
: 912 3 9 ~
: 916 3 11 ~
: 920 3 9 ~
: 924 3 11 ~
: 928 3 9 ~
: 932 3 6 ~
: 936 1 4 ~
: 938 6 2 ~ 
- 953
: 956 3 9 Drive 
: 960 3 11 me 
: 964 3 9 in
: 968 3 9 sane
: 972 3 11 ~
: 976 3 9 ~
: 980 3 11 ~
: 984 3 9 ~
: 988 3 11 ~
: 992 3 9 ~
: 996 1 7 ~
: 998 1 4 ~
: 1000 5 2 ~ 
- 1006
: 1008 3 6 I 
: 1012 3 6 on
: 1016 3 6 ly 
: 1020 3 4 want 
: 1024 3 2 you 
: 1028 3 -1 when 
: 1032 2 -3 you’re 
: 1036 2 4 gone
: 1039 8 6 ~
: 1048 2 4 ~, 
: 1052 7 6 gone
: 1060 3 4 ~, 
: 1064 1 4 gone
: 1066 1 2 ~
: 1068 6 -1 ~ 
- 1081
: 1084 3 6 Play
: 1088 3 4 ing 
: 1092 3 2 like 
: 1096 3 -1 we’re 
: 1100 2 4 done
: 1103 8 6 ~
: 1112 2 4 ~, 
: 1115 2 4 done
: 1118 5 6 ~
: 1124 3 4 ~, 
: 1128 10 4 done
: 1139 6 5 ~ 
- 1146
: 1148 3 9 I 
: 1152 3 11 love 
: 1156 3 9 your 
: 1160 3 9 game
: 1164 3 11 ~
: 1168 3 9 ~
: 1172 3 11 ~
: 1176 3 9 ~
