#ARTIST:Default
#TITLE:Wasting My Time
#MP3:Default - Wasting My Time.mp3
#CREATOR:robsetsfire
#YEAR:2001
#LANGUAGE:English
#BPM:240
#GAP:21250
#VIDEO:v=UAocvKHUidg,co=https://i.discogs.com/gSRtDOtmRWlOZgCAHBXrP5WlGLAzh3B4nzLbMy4h3Qc/rs:fit/g:sm/q:90/h:445/w:496/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTMyMTc5/NjktMTMyOTc2NzI0/Mi5qcGVn.jpeg,bg=default-5102a2aa278c8.jpg
: 0 1 2 Well, 
: 2 2 2 I 
: 6 2 2 don’t 
: 10 4 2 want 
: 16 6 4 to 
: 24 4 -1 see 
: 30 4 -3 you 
: 36 7 -3 wait
: 44 6 -1 ing 
- 52
: 54 2 2 I’ve 
: 58 5 2 al
: 64 5 2 rea
: 70 6 4 dy 
: 78 4 -1 gone 
: 84 4 -3 too 
: 90 4 -3 far 
: 96 5 -1 a
: 102 52 -3 way- 
- 156
: 204 2 -10 I 
: 208 4 2 still 
: 214 4 2 can’t 
: 220 4 2 keep 
: 226 4 4 the 
: 232 6 -1 day 
: 240 4 -3 from 
: 246 5 -3 end
: 252 8 -1 ing- 
- 261
: 262 2 2 No 
: 266 4 2 more 
: 272 4 2 messed 
: 278 4 4 up 
: 284 5 -1 rea
: 290 6 -3 sons 
: 298 1 -3 for 
: 300 2 -3 me 
: 304 2 -3 to 
: 308 21 6 stay
: 330 3 4 ~
: 334 26 2 ~ 
- 362
: 398 4 -3 Well, 
: 404 2 -1 this 
: 408 6 -3 is 
: 416 6 9 not 
: 424 2 2 for 
: 428 1 2 re
: 430 2 -1 al 
: 434 1 -3 a
: 436 6 9 fraid 
: 444 1 2 to 
: 446 3 2 feel
: 450 8 -1 ~ 
- 459
: 460 2 -3 I 
: 464 2 -3 just 
* 468 6 9 hit 
: 476 2 2 the 
: 480 1 2 floor
: 482 2 -1 ~ 
: 486 2 -3 don’t 
* 490 6 9 ask 
: 498 1 2 for 
: 500 3 2 more
: 504 8 -1 ~ 
- 514
: 516 4 -1 I’m 
: 522 9 6 wast
: 532 4 6 ing 
: 540 8 9 my 
: 550 3 -1 time
: 554 8 -3 ~ 
- 564
: 566 6 -3 I’m 
: 574 9 6 wast
: 584 4 6 ing 
: 592 8 9 my 
: 602 8 -1 time 
- 611
: 612 1 -1 You 
: 614 4 -3 can’t 
: 622 8 9 stop 
: 632 2 2 the 
: 636 1 2 feel
: 638 2 -1 ing 
: 642 2 -3 there 
: 646 2 9 is 
: 650 2 2 no 
: 654 3 2 rea
: 658 12 4 son 
- 671
: 672 2 -3 Let’s 
: 676 6 9 make 
: 684 2 2 the 
: 688 1 2 call
: 690 1 -1 ~ 
: 692 2 -3 and 
: 696 6 9 take 
: 704 2 2 it 
: 708 3 -1 all
: 712 6 -3 ~ 
- 719
: 720 3 -6 A
: 724 56 -3 gain 
: 804 9 6 wo
: 814 5 2 ah
: 820 4 -1 ~ 
: 826 1 -1 a
* 828 54 2 gain 
- 884
: 936 2 2 Months 
: 940 4 2 went 
: 946 4 2 by 
: 952 4 4 with 
: 958 6 -1 us 
: 966 3 -3 pre
: 970 7 -3 tend
: 978 8 -1 ing 
- 987
: 988 2 2 When 
: 992 4 2 did 
: 998 6 2 our 
: 1006 4 4 light 
: 1012 4 -1 turn 
: 1018 4 -3 from 
: 1024 4 -3 green 
: 1030 6 -1 to 
: 1038 46 -3 red? 
- 1086
: 1140 2 -10 I 
: 1144 2 2 took 
: 1148 2 2 a 
: 1152 6 2 chance 
: 1160 6 4 and 
: 1168 4 -1 left 
: 1174 4 -3 you 
: 1180 5 -3 stand
: 1186 8 -1 ing 
- 1195
: 1196 2 2 Lost 
: 1200 2 2 the 
: 1204 6 2 will 
: 1212 3 4 to
: 1216 6 -1 do 
: 1224 6 -3 this 
: 1232 4 -3 once 
: 1238 3 -3 a
: 1242 21 6 gain
: 1264 3 4 ~
: 1268 28 2 ~ 
- 1298
: 1332 4 -3 Well 
: 1338 2 -1 this 
: 1342 4 -3 is 
: 1350 6 9 not 
: 1358 2 2 for 
: 1362 1 2 re
: 1364 2 -1 al 
: 1368 1 -3 a
: 1370 6 9 fraid 
: 1378 2 2 to 
: 1382 1 2 fe
: 1384 6 -1 el 
- 1391
: 1392 2 -3 I 
: 1396 6 -3 just 
: 1404 6 9 hit 
: 1412 1 2 the 
: 1414 1 2 floor
: 1416 2 -1 ~ 
: 1420 1 -3 don’t 
: 1422 8 9 ask 
: 1432 1 2 for 
: 1434 1 2 more 
: 1436 6 -1 ~ 
- 1444
: 1450 4 -1 I’m 
* 1456 7 6 wast
* 1464 6 6 ing 
: 1476 6 9 my 
: 1484 3 -1 time
: 1488 8 -3 ~ 
- 1498
: 1502 4 -3 I’m 
: 1508 7 6 wast
: 1516 6 6 ing 
: 1528 6 9 my 
: 1536 12 -1 time 
- 1549
: 1550 1 -1 You 
: 1552 2 -3 can’t 
: 1558 6 9 stop 
: 1566 2 2 the 
: 1570 1 2 feel
: 1572 2 -1 ing 
: 1576 2 -3 there 
: 1580 4 9 is 
: 1586 2 2 no 
: 1590 1 2 rea
: 1592 12 4 son 
- 1606
: 1608 2 -3 Let’s 
: 1612 4 9 make 
: 1618 2 2 the 
: 1622 1 2 call
: 1624 1 -1 ~ 
: 1626 2 -3 and 
: 1630 6 9 take 
: 1638 2 2 it 
: 1642 3 2 all
: 1646 1 -1 ~
: 1648 2 -3 ~ 
- 1652
: 1656 4 -3 I’m 
: 1662 9 6 wast
: 1672 6 6 ing 
: 1682 8 9 my 
: 1692 1 -1 time
: 1694 12 -3 ~ 
- 1708
: 1710 4 -3 I’m 
* 1716 7 6 wast
* 1724 6 6 ing 
: 1732 8 9 my 
: 1742 3 -1 time
: 1746 14 -3 ~ 
- 1761
: 1762 1 -3 A
: 1764 70 4 gain 
: 1848 3 6 wo
: 1852 5 2 ah
: 1858 4 -1 ~ 
: 1866 1 -1 a
: 1868 58 2 gain 
- 1928
: 2410 2 -10 I 
: 2414 8 1 see 
: 2424 10 2 you 
: 2436 7 4 wait
: 2444 18 2 ing 
- 2464
: 2466 8 6 Lone
: 2476 8 2 some, 
: 2486 7 1 lone
: 2494 16 -3 ly 
- 2512
: 2514 2 -10 I 
: 2518 8 1 see 
: 2528 8 2 you 
: 2538 11 4 wait
: 2550 11 2 ing
: 2562 3 -1 ~
: 2566 42 -3 ~ 
- 2610
: 2618 1 -10 I 
: 2620 8 1 see 
: 2630 8 2 you 
: 2640 11 4 wait
: 2652 50 2 ing 
- 2703
: 2704 8 -3 Well 
: 2714 1 -1 this 
: 2716 4 -3 is 
: 2724 6 9 not 
: 2732 2 2 for 
: 2736 1 2 re
: 2738 2 -1 al 
: 2742 1 -3 a
: 2744 6 9 fraid 
: 2752 1 2 to 
: 2754 3 2 feel
: 2758 8 -1 ~ 
- 2767
: 2768 2 -3 I 
: 2772 4 -3 just 
: 2778 4 9 hit 
: 2784 2 2 the 
: 2788 1 2 floor
: 2790 2 -1 ~ 
: 2794 2 -3 don’t 
: 2798 6 9 ask 
: 2806 1 2 for 
: 2808 1 2 more
: 2810 4 -1 ~ 
- 2816
: 2824 4 -1 I’m 
: 2830 9 6 wast
: 2840 6 6 ing 
: 2850 6 9 my 
: 2858 3 -1 time
: 2862 14 -3 ~ 
- 2877
: 2878 2 -3 I’m 
: 2882 9 6 wast
: 2892 8 6 ing 
: 2902 8 9 my 
- 2911
* 2912 8 9 Well 
* 2922 2 9 this 
* 2926 4 9 is 
: 2932 6 9 not 
: 2940 4 2 for 
: 2946 1 2 re
: 2948 2 -1 al 
: 2952 1 -3 a
: 2954 6 9 fraid 
: 2962 2 2 to 
: 2966 1 2 feel
: 2968 6 -1 ~ 
- 2975
: 2976 2 -3 I 
: 2980 4 -3 just 
: 2986 6 9 hit 
: 2994 1 2 the 
: 2996 1 2 floor
: 2998 2 -1 ~ 
: 3002 2 -3 don’t 
: 3006 6 9 ask 
: 3014 2 2 for 
: 3018 1 2 more
: 3020 1 -1 ~
: 3022 4 -3 ~ 
- 3028
: 3032 4 2 I’m 
: 3038 9 6 wast
: 3048 6 6 ing 
: 3058 6 9 my 
: 3066 3 5 time
: 3070 12 4 ~ 
- 3083
: 3084 6 2 I’m 
: 3092 7 6 wast
: 3100 8 6 ing 
: 3110 6 9 my 
: 3118 3 5 time
: 3122 8 4 ~ 
- 3131
: 3132 2 2 You 
: 3136 4 2 can’t 
: 3142 6 9 stop 
: 3150 1 2 the 
: 3152 1 2 feel
: 3154 2 -1 ing 
: 3158 2 -3 there 
: 3162 6 9 is 
: 3170 2 2 no 
: 3174 1 2 rea
: 3176 12 4 son 
- 3189
: 3190 2 2 Let’s 
: 3194 6 9 make 
: 3202 1 2 the 
: 3204 1 2 call
: 3206 2 -1 ~ 
: 3210 2 -3 and 
: 3214 6 9 take 
: 3222 1 2 it 
: 3224 1 2 all
: 3226 3 -1 ~
: 3230 8 -3 ~ 
- 3239
: 3240 2 -3 A
: 3244 62 4 gain 
* 3336 7 6 wo
* 3344 1 2 ho
* 3346 8 -1 ~ 
* 3356 1 -1 a
* 3358 54 2 gain 
E
