#ARTIST:Diary Of Dreams
#TITLE:The Wedding
#MP3:Diary Of Dreams - The Wedding.mp3
#CREATOR:Mention Find
#COVER:Diary Of Dreams - The Wedding [CO].jpg
#BACKGROUND:Diary Of Dreams - The Wedding [BG].jpg
#YEAR:2009
#LANGUAGE:English
#BPM:280
#GAP:66440
#VIDEO:v=Q_Lh5vuo7wk,co=https://media1.jpc.de/image/w600/front/0/4047179191920.jpg
: 0 7 14 You 
: 8 3 14 fol
: 12 7 14 low 
: 20 11 14 the 
: 32 7 14 path 
: 40 7 14 that 
: 48 7 14 you 
: 56 7 14 meant 
: 64 3 12 to 
: 68 7 10 a
: 76 12 14 void. 
- 90
: 96 7 14 A 
: 104 3 14 Mat
: 108 7 12 ter 
: 116 11 10 of 
: 128 7 14 time 
: 136 7 14 till 
: 144 7 14 an 
: 152 3 14 ec
: 156 7 12 ho 
: 164 11 10 un
: 176 7 14 folds 
- 184
: 184 7 14 What 
: 192 7 14 the 
: 200 7 14 next 
: 208 7 12 step 
: 216 7 10 might 
: 224 12 14 bring? 
: 240 7 14 You 
: 248 7 14 take 
: 256 3 14 a 
: 260 11 17 look 
: 272 7 14 back 
- 280
: 280 7 14 While 
: 288 7 14 your 
: 296 7 14 heart
: 304 7 14 beat 
: 312 7 14 is 
: 320 7 14 ra
: 328 7 14 ging 
: 336 7 14 to 
: 344 7 14 the 
: 352 7 14 song 
: 360 7 14 you 
: 368 8 14 sing. 
- 378
: 384 7 12 When 
: 392 7 14 si
: 400 7 14 lence 
: 408 7 14 e
: 416 7 14 volves 
: 424 7 14 in
: 432 3 14 to 
: 436 3 12 a 
: 440 3 14 dea
: 444 3 14 fe
: 448 15 15 ning 
: 464 7 14 noise, 
- 472
: 472 7 14 When 
: 480 7 14 the 
: 488 3 14 bla
: 492 7 12 cke
: 500 11 10 ning 
: 512 7 14 coat 
: 520 7 14 reaves 
: 528 7 12 a 
: 536 7 14 cei
: 544 7 12 ling 
: 552 7 10 of 
: 560 7 14 dark
: 568 7 12 ness, 
- 576
: 576 7 10 When 
: 584 7 14 I 
: 592 7 14 speak 
: 600 7 14 the 
: 608 7 14 words 
: 616 7 14 that 
: 624 7 12 you 
: 632 7 14 wish 
: 640 7 14 me 
: 648 7 17 to 
: 656 8 12 say, 
- 666
: 672 7 14 When 
: 680 7 14 voi
: 688 7 14 ces 
: 696 7 14 of 
: 704 7 14 sound 
: 712 7 14 come 
: 720 7 14 to 
: 728 7 14 life 
: 736 7 14 all 
: 744 7 15 a
: 752 8 14 round. 
- 762
: 784 7 14 I 
: 792 8 15 could 
: 808 7 12 ne
: 816 8 14 ver 
: 832 7 10 say 
: 840 7 12 these 
: 848 7 10 words 
: 856 7 9 to 
: 864 8 7 you. 
- 874
: 880 7 14 I 
: 888 8 15 could 
: 904 7 12 ne
: 912 8 14 ver 
: 928 7 10 doubt 
: 936 7 12 the 
: 944 7 10 way 
: 952 7 9 you 
: 960 8 7 do. 
- 970
: 976 7 14 I 
: 984 8 15 could 
: 1000 7 12 ne
: 1008 8 14 ver 
: 1024 7 10 trace 
: 1032 7 12 the 
: 1040 7 10 steps 
: 1048 7 9 for 
: 1056 8 7 you. 
- 1066
: 1072 7 14 I 
: 1080 8 15 could 
: 1096 7 12 ne
: 1104 8 14 ver 
: 1120 7 10 live 
: 1128 7 12 the 
: 1136 7 10 way 
: 1144 7 9 you 
: 1152 8 7 do. 
- 1162
: 1536 7 14 A
: 1544 3 14 dre
: 1548 7 14 na
: 1556 11 14 line 
: 1568 7 14 pum
: 1576 7 14 ping 
: 1584 7 14 in 
: 1592 3 14 e
: 1596 7 12 ve
: 1604 11 10 ry 
: 1616 7 14 vein. 
- 1624
: 1624 7 14 I 
: 1632 7 14 must 
: 1640 7 14 go 
: 1648 7 12 now 
: 1656 7 10 and 
: 1664 7 14 look 
: 1672 7 14 for 
: 1680 7 14 a 
: 1688 7 14 new 
: 1696 7 12 place 
: 1704 7 10 to 
: 1712 7 14 hide. 
- 1720
: 1720 7 14 You 
: 1728 7 14 will 
: 1736 7 14 chase 
: 1744 3 12 me 
: 1748 11 10 a
: 1760 7 14 gain, 
: 1768 7 14 I 
: 1776 7 14 am 
: 1784 7 14 cer
: 1792 7 12 tain 
: 1800 7 10 of 
: 1808 7 14 that, 
- 1816
: 1816 7 14 But 
: 1824 7 14 be 
: 1832 7 14 sure 
: 1840 7 14 that 
: 1848 7 14 the 
: 1856 7 14 next 
: 1864 7 14 time 
: 1872 7 14 you 
: 1880 7 14 will 
: 1888 7 14 not 
: 1896 7 15 suc
: 1904 8 14 ceed. 
- 1914
: 1936 7 14 I 
: 1944 8 15 could 
: 1960 7 12 ne
: 1968 8 14 ver 
: 1984 7 10 say 
: 1992 7 12 these 
: 2000 7 10 words 
: 2008 7 9 to 
: 2016 8 7 you. 
- 2026
: 2032 7 14 I 
: 2040 8 15 could 
: 2056 7 12 ne
: 2064 8 14 ver 
: 2080 7 10 doubt 
: 2088 7 12 the 
: 2096 7 10 way 
: 2104 7 9 you 
: 2112 8 7 do. 
- 2122
: 2128 7 14 I 
: 2136 8 15 could 
: 2152 7 12 ne
: 2160 8 14 ver 
: 2176 7 10 trace 
: 2184 7 12 the 
: 2192 7 10 steps 
: 2200 7 9 for 
: 2208 8 7 you. 
- 2218
: 2224 7 14 I 
: 2232 8 15 could 
: 2248 7 12 ne
: 2256 8 14 ver 
: 2272 7 10 live 
: 2280 7 12 the 
: 2288 7 10 way 
: 2296 7 9 you 
: 2304 8 7 do. 
- 2314
: 2320 7 14 I 
: 2328 8 15 could 
: 2344 7 12 ne
: 2352 8 14 ver 
: 2368 7 10 say 
: 2376 7 12 these 
: 2384 7 10 words 
: 2392 7 9 to 
: 2400 8 7 you. 
- 2410
: 2416 7 14 I 
: 2424 8 15 could 
: 2440 7 12 ne
: 2448 8 14 ver 
: 2464 7 10 doubt 
: 2472 7 12 the 
: 2480 7 10 way 
: 2488 7 9 you 
: 2496 8 7 do. 
- 2506
: 2512 7 14 I 
: 2520 8 15 could 
: 2536 7 12 ne
: 2544 8 14 ver 
: 2560 7 10 trace 
: 2568 7 12 the 
: 2576 7 10 steps 
: 2584 7 9 for 
: 2592 8 7 you. 
- 2602
: 2608 7 14 I 
: 2616 8 15 could 
: 2632 7 12 ne
: 2640 8 14 ver 
: 2656 7 10 live 
: 2664 7 12 the 
: 2672 7 10 way 
: 2680 7 9 you 
: 2688 3 7 do. 
- 2692
F 2692 3 2 The 
F 2696 3 2 wed
F 2700 12 2 ding! 
- 2714
F 2788 3 2 The 
F 2792 3 2 wed
F 2796 12 2 ding! 
- 2810
F 2884 3 2 The 
F 2888 3 2 wed
F 2892 12 2 ding! 
- 2906
F 2980 3 2 The 
F 2984 3 2 wed
F 2988 12 2 ding! 
- 3002
: 3064 7 14 When 
: 3072 7 14 you’re 
: 3080 3 14 beg
: 3084 7 14 ging 
: 3092 11 14 for 
: 3104 7 14 shel
: 3112 7 14 ter, 
- 3120
: 3120 7 14 Don’t 
: 3128 7 14 knock 
: 3136 7 12 on 
: 3144 7 10 my 
: 3152 7 14 door, 
- 3160
: 3160 7 14 When 
: 3168 7 14 you 
: 3176 7 14 say 
: 3184 3 12 that 
: 3188 11 10 you’ve 
: 3200 7 14 changed, 
- 3208
: 3208 7 14 You 
: 3216 7 12 have 
: 3224 7 14 done 
: 3232 7 12 that 
: 3240 7 10 be
: 3248 7 14 fore, 
- 3256
: 3256 7 14 When 
