#ARTIST:Dire Straits
#TITLE:Lady Writer
#MP3:Dire Straits - Lady Writer.mp3
#CREATOR:DoubleDee
#COVER:Dire Straits - Lady Writer [CO].jpg
#BACKGROUND:Dire Straits - Lady Writer [BG].jpg
#GENRE:Rock
#YEAR:1979
#LANGUAGE:English
#BPM:297
#GAP:14100
#VIDEO:v=BlD6jCGVU4A,co=lady-writer-602dc7d1be4b6.jpg,bg=dire-straits-4e5f12dc25a77.jpg,preview=130.36,medley=0-1470
: 0 3 6 La
: 4 2 4 dy 
: 8 3 6 wri
: 12 3 4 ter 
: 16 3 6 on 
: 20 2 4 the 
: 24 3 8 T
: 28 2 6 V
: 31 3 8 ~ 
- 44
: 56 3 8 Talk 
: 60 2 4 a
: 64 2 6 bout 
: 68 2 4 the 
: 72 7 6 Vir
: 80 3 4 gin 
: 84 2 6 Ma
: 87 3 8 ~
: 92 3 8 ry 
- 105
: 132 3 4 Re
: 136 3 6 min
: 140 3 4 ded 
: 144 3 6 me 
: 148 2 4 of 
: 152 2 6 you
: 155 2 8 ~ 
- 167
: 188 5 6 Ex
: 196 2 4 pec
: 200 2 6 ta
: 204 2 4 tions 
: 208 3 6 left 
: 212 2 4 to 
: 216 3 8 come 
: 220 5 8 up, 
: 228 5 8 too, 
: 236 3 4 yeah
: 240 3 6 ~
: 244 3 4 ~ 
- 253
: 256 3 6 La
: 260 3 6 dy 
: 264 3 6 wri
: 268 3 6 ter 
: 272 3 6 on 
: 276 2 6 the 
: 280 3 8 T
: 284 3 8 V
: 288 2 4 ~ 
- 300
: 320 2 6 Yeah 
: 324 3 4 she 
: 328 3 6 had 
: 332 3 6 a
: 336 2 6 no
: 340 3 4 ther 
: 344 3 8 qua
: 348 2 8 li
: 352 3 6 ty 
- 365
: 388 2 4 The 
: 392 3 6 way 
: 396 3 4 you 
: 400 3 6 used 
: 405 2 4 to 
: 409 6 8 loo
: 416 3 4 ~k 
- 429
: 445 3 11 And 
: 449 3 11 I 
: 453 4 11 know 
: 461 3 15 you 
: 465 2 11 ne
: 469 2 6 ver 
: 473 3 11 read 
: 477 3 8 a 
: 482 3 3 book 
- 495
: 513 2 13 Just 
: 517 2 13 the 
: 520 3 13 way
: 524 2 11 ~ 
: 528 3 11 that 
: 532 2 11 her 
: 536 3 11 hair
: 540 2 9 ~ 
: 544 3 9 fell
: 548 2 8 ~ 
: 552 3 9 down 
: 556 2 8 a
: 560 2 9 round 
: 564 2 8 her 
: 568 3 11 face
: 572 3 6 ~
: 576 3 8 ~
: 580 3 4 ~ 
- 602
: 652 3 9 Then 
: 656 6 9 I 
: 664 3 9 re
: 668 6 9 call 
: 676 3 8 my 
: 680 3 9 fall
: 684 2 8 ~ 
: 688 3 8 from
: 692 3 6 ~ 
: 704 7 8 grace
: 712 3 4 ~ 
- 734
* 780 3 3 A
* 784 3 4 no
* 788 2 3 ther 
* 792 3 6 time
* 796 3 4 ~, 
: 812 2 4 a
: 816 3 8 no
: 820 3 6 ther 
: 824 5 8 place
: 830 3 1 ~ 
- 852
: 897 2 6 La
: 900 3 6 dy 
: 904 3 6 wri
: 908 3 6 ter 
: 912 3 6 on 
: 916 2 6 the 
: 921 3 8 T
: 925 3 8 V
: 929 1 4 ~ 
- 940
: 961 2 6 She 
: 964 3 6 had 
: 969 3 6 all 
: 973 2 6 her 
: 977 7 6 brains 
: 985 3 6 in 
: 989 2 6 the 
: 993 3 8 pain
: 997 3 8 ting
: 1001 2 4 ~ 
- 1013
: 1025 2 11 Pic
: 1029 2 8 ture 
: 1033 2 11 does 
: 1036 6 11 not 
: 1045 3 8 fit
: 1049 3 1 ~ 
- 1062
: 1085 2 11 You 
: 1088 3 13 talked 
: 1093 2 11 to 
: 1096 3 13 me 
: 1100 4 11 when 
: 1105 2 8 you 
: 1109 3 13 felt
: 1113 2 8 ~ 
: 1117 7 8 like 
: 1125 5 8 it 
- 1140
: 1152 2 13 Just 
: 1156 2 13 the 
: 1159 3 13 way
: 1163 2 11 ~ 
: 1167 3 11 that 
: 1171 2 11 her 
: 1175 3 11 hair
: 1179 2 9 ~ 
: 1183 5 9 fell 
: 1190 3 9 down 
: 1195 2 8 a
: 1199 2 9 round 
: 1203 2 8 her 
: 1207 3 11 face
: 1211 7 8 ~
: 1219 3 4 ~ 
- 1241
* 1291 3 9 And 
* 1295 6 9 I 
* 1303 3 9 re
* 1307 6 9 call 
: 1315 4 9 my 
: 1323 3 9 fall
: 1327 2 8 ~ 
: 1334 4 8 from
: 1339 2 6 ~
: 1342 2 4 ~ 
: 1346 8 8 grace
: 1355 3 4 ~ 
- 1377
: 1419 3 4 A
: 1423 3 4 no
: 1427 2 3 ther 
: 1431 3 6 time
: 1435 3 8 ~, 
: 1451 2 1 a
: 1455 2 8 no
: 1458 2 4 ther 
: 1463 3 8 place
: 1467 3 4 ~ 
- 1489
* 1529 3 8 Yes 
* 1534 3 8 and 
* 1538 3 8 your 
* 1542 4 9 rich 
: 1547 2 6 old
: 1550 2 8 ~ 
: 1553 5 9 man 
- 1559
: 1561 3 8 You 
: 1565 4 8 know 
: 1570 3 4 he’d 
: 1575 4 8 call 
: 1580 2 3 her 
: 1584 3 1 a 
* 1606 13 6 dead 
: 1621 3 6 rin
: 1626 3 1 ger 
- 1639
: 1658 2 11 You 
: 1662 2 11 got 
: 1666 2 11 the 
: 1670 6 11 same 
: 1678 3 11 com
: 1682 5 11 mand 
- 1692
: 1694 3 8 Plus 
: 1698 3 3 your 
: 1702 2 11 mo
: 1706 2 6 ther 
: 1710 3 8 was 
: 1714 2 1 a 
: 1718 3 4 ja
: 1722 2 6 ~
: 1725 6 1 ~zz 
: 1734 3 -3 sing
: 1738 3 -3 er 
- 1780
: 2302 2 13 Just 
: 2306 2 13 the 
: 2309 3 13 way
: 2313 2 11 ~ 
: 2317 3 11 that 
: 2321 2 11 her 
: 2325 3 11 hair
: 2329 2 9 ~ 
: 2333 5 9 fell 
: 2340 3 9 down 
: 2345 2 8 a
: 2349 2 9 round 
: 2353 2 8 her 
: 2357 3 11 face
: 2361 7 8 ~
: 2369 3 4 ~ 
- 2391
: 2442 4 9 And 
: 2447 6 9 I 
: 2454 2 9 re
: 2458 6 9 call 
: 2466 3 9 my 
: 2470 4 9 fall
: 2475 2 8 ~ 
: 2478 5 8 from
: 2484 2 6 ~ 
: 2487 8 8 grace
: 2496 3 4 ~
: 2500 2 1 ~ 
- 2512
: 2540 6 8 Oh 
: 2548 5 8 yeah
: 2554 5 6 ~ 
- 2567
: 2570 3 8 A
: 2574 3 6 no
: 2578 2 6 ther 
: 2582 2 6 time
: 2585 4 8 ~, 
: 2603 2 6 a
: 2606 3 8 no
: 2610 2 8 ther 
: 2614 6 8 place
: 2621 4 6 ~ 
- 2644
: 2685 3 6 La
: 2689 3 6 dy 
: 2693 3 6 wri
: 2697 3 6 ter 
: 2701 3 6 on 
: 2705 2 6 the 
: 2709 2 9 T
: 2713 6 8 V 
- 2729
: 2749 3 11 She 
: 2753 5 11 knew 
: 2759 3 11 all 
: 2763 2 8 a
: 2766 2 11 bout 
: 2770 3 8 her 
* 2774 5 13 his
* 2782 3 8 to
* 2786 3 6 ry
* 2790 3 4 ~ 
- 2803
: 2810 3 11 You 
: 2814 3 11 could
: 2818 3 8 n’t 
: 2822 2 11 hard
: 2825 3 8 ly 
: 2830 3 8 write 
: 2834 3 6 your 
: 2838 3 9 name
: 2842 6 8 ~ 
- 2858
: 2874 2 8 I 
: 2877 3 6 think 
: 2881 3 6 I 
: 2885 7 6 want 
: 2893 2 4 you 
: 2898 5 8 just 
: 2906 2 8 the
: 2909 2 6 ~ 
: 2914 5 9 same
: 2920 5 8 ~ 
