#ARTIST:Dropkick Murphys
#TITLE:The Dirty Glass [DUET]
#MP3:Dropkick Murphys - The Dirty Glass [DUET].mp3
#CREATOR:Han5wur5t
#EDITION:[DUET]-Songs
#YEAR:2004
#LANGUAGE:English
#BPM:286.02
#GAP:9850
#VIDEO:a=H1niNhP9vnA,co=blackout-4dded862abd0b.jpg,bg=dropkick-murphys-551039bec2b01.jpg,p1=Darcy (Stephanie Dougherty),p2=Murphy (Ken Casey)
P1
: 0 13 9 Mur
: 15 6 6 phy 
: 23 12 9 Mur
: 37 6 6 phy 
: 45 6 11 da
: 53 6 9 ~r
: 61 6 7 ling 
: 69 4 9 de
: 75 6 6 ~ar 
- 83
: 89 2 6 I 
: 92 5 11 long 
: 99 6 9 for 
: 107 3 7 you 
: 111 8 9 now 
: 121 6 9 night 
: 129 5 6 and 
: 137 22 4 day 
- 161
: 175 6 -3 Your 
: 183 6 9 pain 
: 191 4 9 was 
: 197 4 9 my 
: 203 4 9 plea
: 209 5 6 sure 
: 219 6 9 your 
: 227 5 11 sor
: 234 3 11 ro
: 238 3 7 ~w 
: 243 4 7 my 
: 249 5 9 jo
: 256 5 6 ~y 
- 263
: 271 2 7 I 
: 274 7 11 feel 
: 283 4 9 now 
: 289 4 7 I’ve 
: 295 8 9 lost 
: 305 5 6 you 
: 311 6 2 to 
: 319 6 4 health 
: 327 6 6 and 
: 335 2 4 good
: 339 2 2 ~ 
: 343 31 2 cheer 
- 376
: 772 2 11 A
: 775 2 11 ny
: 779 6 11 one 
: 786 3 9 who’d 
: 790 3 11 lis
: 794 3 9 ten 
: 799 3 11 and 
: 803 2 9 a 
: 806 3 11 few 
: 811 3 11 who 
: 815 3 11 coul
: 819 3 9 dn’t 
: 823 2 9 care
: 826 3 11 ~ 
- 830
: 831 3 11 Still 
: 835 3 11 I 
: 839 3 9 wel
: 843 3 9 comed 
: 847 4 9 you 
: 852 3 9 with 
: 856 3 7 o
: 860 2 2 pen 
: 863 4 2 arms 
: 868 3 2 my 
: 872 5 4 love 
: 879 4 6 I 
: 885 3 4 did 
: 889 14 2 share 
- 905
: 906 3 6 Dar
: 910 3 6 cy 
* 914 3 6 Dar
* 918 3 6 cy 
: 922 3 7 dar
: 926 2 7 ling 
: 929 2 7 dear 
- 932
: 933 2 7 You 
: 936 3 6 left 
: 941 3 6 me 
: 946 3 6 dy
: 950 3 7 ing 
: 954 2 4 cry
: 957 2 4 ing 
: 960 4 4 there 
- 966
: 967 2 4 In 
: 970 3 9 whis
: 974 3 6 key 
: 978 3 9 gin 
: 982 3 4 and 
: 986 3 7 pints 
: 990 2 7 of 
: 993 4 7 beer 
: 998 3 7 I 
: 1002 2 4 fell 
: 1005 2 4 for 
: 1008 3 4 you 
* 1012 3 6 my 
* 1017 3 6 dar
: 1022 4 2 ling 
: 1031 3 9 De
: 1036 37 14 ~ar 
- 1075
: 1215 3 11 But 
: 1219 4 9 you 
: 1225 4 9 al
: 1230 4 9 ways 
: 1235 4 9 came 
: 1241 4 9 craw
: 1246 3 2 ling 
: 1250 5 2 back 
: 1258 3 4 be
: 1262 3 4 gging 
: 1266 3 4 me 
: 1271 4 7 for 
: 1277 10 6 more 
- 1289
: 1295 3 11 I 
: 1299 4 11 showed 
: 1305 3 9 you 
: 1309 5 11 kind
: 1315 6 11 ness 
: 1322 3 8 a 
: 1326 5 11 stool 
: 1332 3 11 and 
: 1336 2 9 a 
: 1339 6 11 tab 
- 1347
F 1415 8 2 Yeah 
F 1426 4 9 you 
F 1431 6 7 left 
F 1438 3 2 him 
F 1443 3 7 bloo
F 1447 3 7 dy 
F 1451 3 7 bat
F 1455 3 2 tered 
F 1461 2 2 pen
F 1464 2 2 ni
F 1467 3 2 less 
F 1471 3 2 and 
F 1475 3 2 poo
F 1480 3 -3 ~r 
- 1484
: 1484 3 11 You 
: 1488 3 9 know 
- 1492
: 1493 2 9 I 
: 1496 2 9 of
: 1499 2 9 ten 
: 1502 4 9 stopped 
: 1507 3 9 to 
: 1511 3 9 won
: 1515 3 2 der 
: 1519 3 2 how 
: 1523 2 2 you 
- 1526
: 1527 3 4 Made 
: 1531 2 4 it 
: 1534 4 4 through 
: 1539 4 6 my 
: 1545 5 6 door 
- 1552
: 1619 3 9 Well 
: 1623 3 9 you 
: 1628 3 9 bit 
: 1632 3 9 off 
: 1636 3 9 more 
- 1641
: 1642 2 9 Than 
: 1645 1 9 yo
: 1647 2 2 ~u 
: 1650 3 2 could 
: 1654 3 2 chew 
: 1658 2 2 the 
: 1661 4 4 first 
: 1667 4 6 day 
: 1673 3 4 you 
: 1677 4 2 met 
: 1683 6 2 me 
- 1691
: 1694 3 6 Dar
: 1698 3 6 cy 
: 1702 3 6 Dar
: 1706 3 6 cy 
: 1710 2 7 dar
: 1713 2 7 ling 
* 1716 6 7 dear 
: 1723 2 7 You 
: 1726 3 6 left 
: 1730 3 6 me 
: 1734 2 6 dy
: 1737 3 6 ing 
: 1742 2 6 cry
: 1745 2 4 ing 
* 1748 6 4 there 
- 1755
: 1755 2 4 In 
: 1758 2 6 whis
: 1761 2 6 key 
: 1765 4 6 gin 
: 1770 2 6 and 
: 1773 3 7 pints 
: 1777 3 7 of 
: 1781 5 7 beer 
- 1787
: 1787 2 7 I 
: 1790 2 4 fell 
: 1793 2 4 for 
: 1796 2 4 you 
: 1799 4 6 my 
: 1805 3 2 dar
: 1809 8 2 ling 
: 1819 48 14 dear 
- 1869
: 1943 3 2 You 
: 1947 3 6 weren’t 
: 1951 2 4 the 
: 1955 2 7 first 
- 1958
: 1959 2 4 To 
: 1962 3 7 court 
: 1966 3 7 me 
: 1971 3 7 mis
: 1975 3 7 ter 
: 1979 2 7 you 
: 1982 3 6 won’t 
: 1987 2 6 be 
: 1990 2 6 the 
: 1993 6 4 last 
- 2001
: 2079 3 13 Lis
: 2083 3 11 ten 
: 2087 3 11 to 
: 2091 3 9 the 
: 2095 3 11 big 
: 2100 3 11 shot 
: 2105 2 11 with 
: 2108 2 11 his 
: 2111 5 11 pa
: 2117 4 11 ger 
: 2123 4 9 on 
: 2129 4 11 call 
- 2134
: 2135 3 11 You 
: 2140 5 11 spent 
: 2146 5 9 most 
: 2152 3 9 of 
: 2156 4 9 those 
: 2161 5 7 nights 
: 2168 3 4 in 
: 2173 4 2 my 
: 2178 6 4 bath
: 2186 7 6 room 
: 2195 8 2 stall 
- 2204
F 2204 5 4 Yeah 
F 2211 4 2 you 
F 2216 2 4 got 
F 2219 3 2 him 
F 2223 10 2 high 
F 2235 3 2 but 
F 2239 3 2 you 
F 2244 5 2 left 
F 2251 3 2 him 
F 2255 5 1 low
F 2262 9 -3 ~ 
- 2273
: 2278 3 9 Mind 
: 2282 3 9 you 
: 2286 6 9 own 
: 2293 4 9 busi
: 2298 3 2 ness 
: 2303 5 2 boy 
: 2310 3 4 how 
: 2314 3 4 was 
: 2318 3 4 I 
: 2322 2 6 to 
: 2326 7 6 know 
- 2335
: 2339 3 9 That 
: 2343 3 11 he 
: 2347 3 11 was 
: 2351 3 11 just 
: 2355 3 9 a 
: 2359 6 11 fiend 
: 2367 3 11 and 
: 2371 4 9 a 
: 2376 4 11 no
: 2381 5 11 good 
: 2388 5 11 cheat 
- 2395
: 2474 3 6 Dar
: 2478 3 6 cy 
* 2482 3 6 Dar
: 2486 3 6 cy 
: 2490 2 7 dar
: 2493 2 7 ling 
: 2496 4 7 dear 
- 2502
: 2503 2 6 You 
: 2506 3 6 left 
: 2510 3 6 me 
: 2514 2 6 dy
: 2517 2 6 ing 
: 2521 3 4 cry
: 2525 3 4 ing 
: 2529 3 4 there 
- 2534
: 2535 2 4 In 
: 2538 3 6 whis
: 2542 3 6 key 
: 2546 3 6 gin 
: 2550 3 2 and 
: 2554 3 7 pints 
: 2558 2 7 of 
: 2561 4 7 beer 
- 2566
: 2566 2 7 I 
: 2569 2 4 fell 
: 2572 2 4 for 
: 2575 4 6 you 
: 2581 3 6 my 
: 2585 2 4 dar
: 2589 2 2 ling 
: 2592 4 2 dear 
- 2598
: 2600 3 6 Dar
: 2604 3 6 cy 
: 2608 3 6 Dar
: 2612 3 6 cy 
: 2616 2 7 dar
: 2619 2 7 ling 
: 2622 4 7 dear 
- 2627
: 2628 2 7 You 
: 2631 3 6 left 
: 2635 3 6 me 
: 2639 3 6 dy
: 2643 3 6 ing 
: 2647 2 4 cry
: 2650 2 4 ing 
: 2653 4 4 there 
- 2658
: 2659 2 4 In 
: 2662 3 6 whis
: 2666 3 6 key 
: 2670 3 6 gin 
: 2674 2 2 and 
: 2678 3 7 pints 
: 2682 2 7 of 
: 2686 4 7 beer 
: 2691 3 6 I 
: 2695 2 4 fell 
: 2698 2 4 for 
: 2701 2 4 you 
: 2705 3 6 my 
: 2710 3 2 dar
: 2715 3 4 ling 
: 2727 40 14 dear 
- 2769
: 3162 3 6 Dar
: 3166 3 6 cy 
: 3170 3 6 Dar
: 3174 3 6 cy 
: 3178 2 7 dar
: 3181 2 7 ling 
: 3184 4 7 dear 
- 3189
: 3189 3 7 You 
: 3193 3 6 left 
: 3197 3 6 me 
: 3202 2 6 dy
: 3205 2 6 ing 
: 3209 2 4 cry
: 3212 2 4 ing 
: 3215 4 4 there 
- 3220
: 3221 2 4 In 
: 3225 3 6 whis
: 3229 3 6 key 
: 3233 3 6 gin 
: 3237 3 6 and 
: 3241 4 7 pints 
: 3246 2 7 of 
: 3249 3 7 beer 
: 3253 3 7 I 
: 3257 2 4 fell 
: 3260 3 4 for 
: 3264 3 6 you 
: 3268 3 6 my 
: 3273 4 2 dar
: 3278 3 2 ling 
: 3282 5 2 dear 
- 3288
: 3289 3 6 Dar
: 3293 3 6 cy 
: 3297 3 6 Dar
: 3301 3 6 cy 
: 3305 3 7 dar
: 3309 3 7 ling 
: 3313 3 7 dear 
- 3317
: 3318 2 6 You 
