#ARTIST:Ed Sheeran
#TITLE:Supermarket Flowers
#MP3:Ed Sheeran - Supermarket Flowers.mp3
#CREATOR:haistshomie666
#YEAR:2017
#LANGUAGE:English
#BPM:367.96
#GAP:10310
#VIDEO:v=bIB8EWqCPrQ,co=-58a242be7e653.jpg,bg=sheeran-ed-58c3b890d8259.jpg
: 0 3 6 I 
: 4 3 6 took 
: 9 3 8 the 
: 14 6 10 su
: 22 3 10 per
: 27 3 10 mar
: 32 3 10 ket 
: 38 8 8 flowers 
: 60 4 10 from 
: 66 3 8 the 
: 71 3 8 win
: 77 3 6 dows
: 82 7 6 ill 
- 99
: 134 2 6 I 
: 138 2 6 threw 
: 143 2 8 the 
: 146 7 10 day 
: 155 10 10 old 
: 172 15 8 tea 
: 194 3 6 from 
: 199 3 5 the 
: 203 5 6 cup 
- 232
: 283 5 13 Packed 
: 290 4 13 up 
: 298 3 10 the 
: 304 6 11 pho
: 315 4 10 to 
: 321 3 6 alb
: 330 6 6 um 
: 340 4 6 Mat
: 348 5 6 thew 
: 356 3 10 had 
: 364 9 10 made 
- 383
: 399 3 6 Me
: 404 2 8 mo
: 408 6 10 ries 
: 423 3 10 of 
: 428 2 10 a 
: 432 7 8 life 
: 454 2 6 that’s 
: 458 2 5 been 
: 465 6 6 loved 
- 495
: 522 3 6 Took 
: 526 3 8 the 
: 530 8 10 get 
: 542 6 10 well 
: 551 8 10 soon 
: 563 7 8 cards 
: 584 8 10 and 
: 595 4 8 stuffed 
: 601 3 8 a
: 605 3 6 ni
: 609 8 6 mals 
- 627
: 660 4 6 Poured 
: 665 2 8 the 
: 669 5 10 old 
: 678 5 10 gin
: 685 5 10 ger 
: 692 8 8 beer 
: 716 3 6 down 
: 722 2 5 the 
: 727 7 6 sink 
- 758
: 810 4 13 Dad 
: 817 4 13 al
: 825 4 10 ways 
: 833 3 11 told 
: 841 6 10 me, 
: 850 3 6 “don’t 
: 857 4 6 you 
: 865 4 6 cry 
: 873 4 6 when 
: 881 3 10 you’re 
: 889 8 10 down” 
- 904
: 907 6 6 But 
: 915 3 6 mum, 
: 920 4 6 there’s 
: 926 3 8 a 
: 931 9 10 tear 
: 947 4 10 eve
: 952 4 10 ry 
: 957 9 8 time 
: 980 4 6 that 
: 986 4 5 I 
: 991 7 6 blink 
- 1022
: 1070 4 3 Oh 
: 1077 5 3 I’m 
: 1085 5 5 in 
: 1091 7 6 pie
: 1102 7 -6 ces, 
: 1110 6 -6 it’s 
: 1118 8 -2 tea
: 1134 7 -6 ring 
: 1142 7 -6 me 
: 1151 7 -4 up, 
: 1168 4 -6 but 
: 1173 7 -7 I 
: 1182 7 -6 know 
- 1196
: 1199 3 3 A 
: 1203 7 3 heart 
: 1215 4 5 that’s 
: 1223 4 6 broke 
: 1232 4 -6 is 
: 1240 4 -6 a 
: 1249 12 -2 heart 
: 1265 5 -1 that’s 
: 1273 4 -2 been 
: 1281 11 -4 loved 
- 1296
: 1298 5 6 So 
: 1306 4 6 I’ll 
: 1314 5 6 sing 
: 1322 3 6 Hal
: 1330 4 6 le
: 1338 5 10 lu
: 1347 6 10 jah 
- 1363
: 1395 7 8 You 
: 1403 6 8 were 
: 1411 5 10 an 
: 1420 6 8 an
: 1428 6 8 gel 
: 1436 6 1 in 
: 1444 5 1 the 
: 1451 6 6 shape 
: 1460 6 6 of 
: 1468 5 10 my 
: 1475 9 10 mum 
- 1494
: 1526 5 8 When 
: 1534 5 8 I 
: 1542 4 10 fell 
: 1550 4 8 down 
: 1558 5 8 you’d 
: 1567 4 1 be 
: 1575 4 1 there 
: 1583 5 6 hol
: 1591 5 6 ding 
: 1599 5 13 me 
: 1607 5 13 up 
- 1621
: 1624 6 6 Spread 
: 1632 4 13 your 
: 1640 13 13 wings 
: 1658 4 11 as 
: 1666 4 10 you 
: 1674 7 8 go 
- 1683
: 1685 3 6 And 
: 1689 9 6 when 
: 1706 8 10 God 
: 1722 5 6 takes 
: 1731 4 6 you 
: 1740 10 6 back 
: 1756 4 1 we’ll 
: 1764 4 1 say 
: 1772 13 10 Hal
: 1788 4 11 le
: 1796 5 10 lu
: 1804 9 8 jah 
- 1819
: 1822 10 5 You’re 
: 1836 11 6 home 
- 1896
: 2087 3 6 I 
: 2091 4 6 fluffed 
: 2100 4 8 the 
: 2105 3 10 pil
: 2109 8 10 lows, 
: 2124 6 10 made 
: 2132 3 10 the 
: 2137 8 8 beds, 
: 2157 5 10 stacked 
: 2164 3 8 the 
: 2169 6 8 chairs 
: 2178 4 6 up 
- 2192
: 2214 4 6 Fol
: 2221 5 6 ded 
: 2229 5 8 your 
: 2236 7 10 night
