#ARTIST:Electric Callboy
#TITLE:Neon
#MP3:Electric Callboy - Neon.mp3
#CREATOR:Su-Metal
#YEAR:2022
#LANGUAGE:English
#BPM:353.37
#GAP:8590
#VIDEO:a=GtYWrVoP5Ok,co=tekkno-6325f11b032d5.jpg,bg=eskimo-callboy-60c8f7335b966.jpg
: 0 4 8 Fi
: 5 4 10 ~rst 
: 13 6 8 sight, 
: 48 4 8 ha
: 53 4 10 ~rd 
: 61 7 8 crush, 
: 96 4 8 you
: 101 4 10 ~r 
: 108 9 8 touch 
- 119
: 137 4 3 I 
: 144 4 10 wan
: 149 3 10 na 
: 156 5 10 feel 
: 162 2 12 it 
: 168 5 10 day 
: 174 3 8 and 
: 179 6 8 night 
- 187
: 192 2 8 Me
: 195 4 10 ~ssed 
: 203 6 8 up, 
: 240 9 10 too 
: 252 3 10 mu
: 256 5 12 ~ch, 
- 263
: 288 3 10 Thought 
: 293 2 8 a
: 299 6 7 bou
: 306 2 3 ~t 
: 328 2 3 our 
: 334 8 10 first 
: 347 7 8 touch 
- 356
: 381 12 13 We 
: 395 10 13 were 
: 407 5 13 rea
: 413 3 12 dy 
: 418 3 13 to 
: 424 7 12 fly
: 432 4 10 ~
: 437 12 8 ~
: 450 3 5 ~ 
- 455
: 466 4 8 We 
: 472 4 10 were 
: 478 6 12 no
: 485 4 12 thing 
: 491 8 12 but 
: 502 5 12 close 
: 510 4 13 to 
: 515 2 12 the 
: 521 11 10 sky
: 533 3 8 ~ 
- 538
: 574 4 12 Te
: 579 5 13 ~ll 
: 587 6 13 me 
: 598 5 13 the 
: 605 5 12 rea
: 611 4 13 son 
: 618 5 12 why
: 624 5 10 ~
: 630 11 8 ~
: 642 3 5 ~ 
- 647
: 659 3 8 You 
: 664 3 10 de
: 670 9 12 cide 
: 682 10 12 to 
: 694 5 12 push 
: 701 4 13 me 
: 707 4 12 a
: 712 12 10 way
: 725 3 8 ~ 
- 730
: 742 6 12 Rea
: 749 3 10 dy 
: 754 3 8 to 
: 760 5 8 fly
: 766 35 10 ~
: 802 5 12 ~
: 808 16 8 ~ 
- 826
: 850 4 12 We 
: 856 4 15 were 
: 861 6 15 no
: 868 4 13 thing 
: 874 9 12 but 
: 886 4 8 close 
: 893 3 10 to 
: 898 2 12 the 
: 904 14 10 sky 
- 920
* 934 5 12 Rea
* 940 4 10 dy 
* 946 2 8 to 
* 952 5 8 fly
* 958 34 10 ~
* 993 6 12 ~
* 1000 10 8 ~ 
- 1012
: 1053 6 8 No
: 1060 4 8 thing 
: 1066 7 8 but 
: 1078 4 8 close 
: 1085 3 7 to 
: 1090 2 7 the 
: 1095 13 7 sky
: 1109 3 5 ~ 
- 1114
: 1149 4 8 Brea
: 1154 4 10 ~k 
: 1161 6 8 up, 
: 1197 2 8 ha
: 1200 4 10 ~rd 
: 1210 6 8 stuff, 
: 1245 3 8 fu
: 1249 6 10 ~cked 
: 1258 7 8 up 
- 1267
: 1286 4 3 I 
: 1293 4 8 wan
: 1298 4 10 na 
: 1306 4 10 leave 
: 1311 3 12 it 
: 1317 4 10 all 
: 1323 3 8 be
: 1329 6 8 hi
: 1336 1 5 ~nd 
- 1339
: 1341 3 8 Ne
: 1345 4 10 ~w 
: 1353 6 8 town, 
: 1389 7 10 un
: 1400 4 10 kno
: 1405 5 12 ~
: 1411 3 10 wn, 
: 1437 3 8 re
: 1441 4 10 ~
: 1449 8 8 start 
- 1459
: 1485 2 8 No
: 1488 2 10 ~w 
: 1491 4 10 I’m 
: 1498 4 10 li
: 1503 3 12 ving 
: 1509 4 10 on 
: 1515 3 8 my 
: 1520 8 8 own 
- 1530
* 1532 11 13 We 
* 1545 9 13 were 
* 1557 5 13 rea
* 1563 3 12 dy 
* 1568 3 13 to 
* 1574 7 12 fly
* 1582 3 10 ~
* 1586 13 8 ~
* 1600 3 5 ~ 
- 1605
: 1616 4 8 We 
: 1622 4 10 were 
: 1629 4 12 no
: 1635 4 12 thing 
: 1641 6 12 but 
: 1652 5 12 close 
: 1659 4 13 to 
: 1665 2 12 the 
: 1671 12 10 sky
: 1684 3 8 ~ 
- 1689
: 1724 3 12 Te
: 1728 6 13 ~ll 
: 1737 6 13 me 
: 1748 5 13 the 
: 1755 5 12 rea
: 1761 4 13 son 
: 1768 5 12 why
: 1774 5 10 ~
: 1780 11 8 ~
: 1792 3 5 ~ 
- 1797
: 1809 4 8 You 
: 1814 3 10 de
: 1821 7 12 cide 
: 1832 8 12 to 
: 1844 4 12 push 
: 1851 4 13 me 
: 1857 4 12 a
: 1862 12 10 way
: 1875 3 8 ~ 
- 1880
: 1886 4 8 We’re 
: 1893 5 12 rea
: 1899 3 10 dy 
: 1904 3 8 to 
: 1910 5 8 fly
: 1916 35 10 ~
: 1952 5 12 ~
: 1958 17 8 ~ 
- 1977
: 2000 4 12 We 
: 2006 4 15 were 
: 2012 5 15 no
: 2018 4 13 thing 
: 2024 8 12 but 
: 2036 4 8 close 
: 2043 4 10 to 
: 2048 2 12 the 
: 2054 13 10 sky
: 2068 3 8 ~ 
- 2073
: 2084 4 12 Rea
: 2090 3 10 dy 
: 2096 3 8 to 
: 2103 3 8 fly
