#ARTIST:Eminem
#TITLE:Rap God
#MP3:Eminem - Rap God.mp3
#CREATOR:UnisusJr
#YEAR:2013
#LANGUAGE:English
#BPM:600
#GAP:1140
#VIDEO:v=XbGs_qK2PQA,co=rap-god-5794175889b95.jpg,bg=eminem-5e80e3fc39802.jpg,tags=explicit
#END:362000
F 0 12 24 Look, 
- 22
F 47 2 24 I 
F 50 3 24 was 
F 54 3 24 gon
F 58 3 24 na 
F 62 4 24 go 
F 68 2 24 ea
F 71 5 24 sy 
F 77 4 24 on 
F 83 7 24 you 
F 93 5 24 not 
F 99 4 24 to 
F 104 4 24 hurt 
F 109 4 24 your 
F 114 4 24 fee
F 119 14 24 lings 
- 143
F 147 3 24 But 
F 160 19 24 I’m 
F 186 10 24 on
F 197 9 24 ly 
F 209 3 24 go
F 213 5 24 ing 
F 219 5 24 to 
F 225 7 24 get 
F 238 8 24 this 
F 256 7 24 one 
F 271 17 24 chance 
- 298
F 327 12 24 Some
F 344 11 24 thing’s 
F 357 19 24 wrong, 
F 379 5 24 I 
F 388 5 24 can 
F 394 9 24 feel 
F 404 6 24 it 
- 414
F 416 16 24 Just 
F 464 3 24 a 
F 468 4 24 fee
F 473 5 24 ling 
F 480 8 24 I’ve 
F 489 8 24 got, 
- 507
F 528 3 24 Like 
F 533 6 24 some
F 540 10 24 thing’s 
F 552 1 24 a
F 554 6 24 bout 
F 561 2 24 to 
F 564 5 24 hap
F 570 5 24 pen 
- 585
F 604 2 24 But 
F 608 5 24 I 
F 615 6 24 don’t 
F 622 7 24 know 
F 633 9 24 what 
- 652
F 666 4 24 If 
F 671 5 24 that 
F 677 11 24 means 
F 689 3 24 what 
F 693 4 24 I 
F 698 6 24 think 
F 705 4 24 it 
F 710 16 24 means 
- 727
F 729 6 24 We’re 
F 736 6 24 in 
F 743 4 24 trou
F 748 8 24 ble, 
F 772 11 24 big 
F 784 5 24 trou
F 790 2 24 ble 
- 798
F 800 3 24 And 
F 804 3 24 if 
F 808 5 24 he 
F 815 3 24 is 
F 819 1 24 as 
F 821 4 24 ba
F 826 5 24 na
F 832 6 24 nas 
F 839 4 24 as 
F 844 4 24 you 
F 850 8 24 say, 
- 868
F 875 6 24 I’m 
F 882 6 24 not 
F 889 5 24 ta
F 895 4 24 king 
F 900 3 24 a
F 904 3 24 ny 
F 908 7 24 chan
F 916 6 24 ces 
- 932
: 997 4 38 I’m 
: 1002 6 38 be
: 1009 8 41 gin
: 1018 7 39 ning 
: 1027 4 38 to 
: 1032 8 38 feel 
: 1042 7 36 like 
: 1050 3 38 a 
: 1057 12 38 Rap 
: 1071 11 31 God, 
: 1089 12 38 Rap 
: 1105 11 31 God 
- 1123
: 1126 5 36 All 
: 1132 3 38 my 
: 1137 8 41 peo
: 1146 5 39 ple 
: 1154 4 38 from 
: 1159 2 38 the 
: 1162 10 38 front 
: 1174 5 36 to 
: 1181 4 38 the 
: 1188 13 38 back 
: 1202 14 31 nod, 
: 1220 12 38 back 
: 1233 10 31 nod 
- 1245
: 1247 5 36 Now 
: 1253 4 38 who 
: 1258 10 41 thinks 
: 1270 5 36 their 
: 1276 10 38 arms 
: 1287 4 38 are 
: 1292 5 36 long 
: 1298 3 36 e
: 1302 7 36 nough 
: 1310 4 38 to 
: 1317 12 38 slap
: 1332 12 31 box, 
: 1347 11 38 slap
: 1363 11 31 box 
- 1374
: 1375 4 36 They 
: 1381 4 38 said 
: 1387 3 38 I 
: 1391 6 41 rap 
: 1399 3 36 like 
: 1404 2 36 a 
: 1407 7 39 ro
: 1415 6 38 bot, 
: 1423 5 38 so 
: 1430 6 36 call 
: 1440 4 38 me 
: 1446 10 38 rap
: 1460 10 31 bot 
- 1472
: 1474 2 38 But 
: 1477 3 38 for 
: 1481 3 38 me 
: 1485 2 38 to 
: 1488 5 41 rap 
: 1494 5 36 like 
: 1500 3 36 a 
: 1504 7 38 com
: 1512 6 39 pu
: 1519 4 38 ter 
: 1524 5 38 must 
: 1530 3 36 be 
: 1535 1 36 in 
: 1537 5 34 my 
: 1545 16 33 genes 
- 1566
: 1568 2 38 I 
: 1571 3 38 got 
: 1575 2 38 a 
: 1579 8 38 lap
: 1588 8 34 top 
: 1599 2 34 in 
: 1603 3 38 my 
: 1609 11 38 back 
: 1622 6 34 po
: 1629 5 34 cket 
- 1636
: 1638 3 38 My 
: 1642 3 36 pen
: 1646 4 36 ’ll 
: 1651 3 36 go 
: 1657 5 38 off 
: 1664 3 38 when 
: 1669 4 37 I 
: 1676 9 38 half
: 1686 7 34 cock 
: 1694 5 34 it 
- 1699
: 1700 2 38 Got 
: 1703 2 38 a 
: 1706 9 38 fat 
: 1718 7 36 knot 
: 1727 4 38 from 
: 1732 7 36 that 
: 1740 10 38 rap 
: 1752 4 34 pro
: 1757 6 34 fit 
- 1763
: 1764 3 36 Made 
: 1769 2 38 a 
: 1773 2 39 li
: 1776 3 41 ving 
: 1781 3 39 and 
: 1785 1 38 a 
: 1787 5 34 kil
: 1793 3 33 ling 
: 1797 7 34 off 
: 1805 5 33 it 
- 1813
: 1815 1 36 E
: 1817 1 38 ver 
: 1820 6 38 since 
: 1828 7 38 Bill 
: 1836 6 38 Clin
: 1843 5 41 ton 
: 1849 4 38 was 
: 1854 4 34 still 
: 1859 3 36 in 
: 1863 7 38 of
: 1871 4 34 fice 
- 1877
: 1879 5 38 With 
: 1885 4 38 Mo
: 1890 3 38 ni
: 1894 3 38 ca 
: 1898 3 38 Le
: 1902 4 38 win
: 1907 7 41 sky 
: 1917 3 34 fee
: 1921 4 36 ling 
: 1927 4 38 on 
: 1933 6 34 his 
: 1941 7 26 nut
: 1949 8 22 sack 
- 1959
: 1961 2 34 I’m 
: 1964 3 36 an 
: 1968 4 38 M
: 1973 7 41 C 
: 1981 7 34 still 
: 1989 3 36 as 
: 1993 4 38 ho
: 1998 7 34 nest 
- 2005
: 2007 3 34 But 
: 2011 2 34 as 
: 2014 8 39 rude 
: 2024 3 38 and 
: 2029 2 38 as 
: 2032 5 38 in
: 2038 5 41 de
: 2044 6 39 cent 
: 2052 2 38 as 
: 2057 4 24 all 
: 2064 4 22 hell 
- 2070
: 2072 3 26 Syl
: 2076 4 24 lab
: 2081 6 22 les, 
: 2090 2 22 skill
: 2093 3 22 -a-
: 2098 6 22 ho
: 2105 7 26 lic 
- 2122
: 2140 2 34 This 
