#ARTIST:Escape The Fate
#TITLE:Harder Than You Know
#MP3:Escape The Fate - Harder Than You Know.mp3
#CREATOR:Stickmanskiller
#YEAR:2008
#LANGUAGE:English
#BPM:260
#GAP:19000
#VIDEO:a=UMMuGuli6fg,co=this-war-is-ours-5365517b7b126.jpg,bg=escape-the-fate-615c0357db854.jpg
: 0 4 8 You 
: 8 4 8 said 
: 18 3 6 this 
: 22 4 6 could 
: 28 3 7 on
: 32 4 9 ly 
: 38 4 8 get 
: 46 4 5 bet
: 52 6 7 ter 
- 60
: 72 4 6 There’s 
: 78 4 8 no 
: 86 4 7 rush 
: 94 4 6 cause 
: 100 4 7 we 
: 106 6 9 have 
: 114 4 7 each 
: 120 8 7 o
: 134 4 6 ther
: 140 8 6 ~ 
- 150
: 160 4 8 You 
: 166 4 6 said 
: 176 3 6 this 
: 180 4 6 would 
: 186 4 9 last 
: 192 4 7 for
: 202 3 10 e
: 206 6 18 ~
: 216 8 9 ver 
- 226
: 234 2 9 But 
: 238 2 8 now 
: 242 2 7 I 
: 246 2 6 doubt 
: 250 2 7 if 
: 254 2 5 I 
: 258 2 5 was 
: 264 3 8 your 
: 268 3 9 on
: 272 4 7 ly 
: 280 8 6 lo
: 290 4 5 ver
: 296 8 6 ~ 
- 306
: 316 3 4 Are 
: 320 6 4 we 
: 330 4 6 just 
: 336 6 5 lost 
: 348 4 4 in 
: 354 8 4 time? 
- 364
: 370 4 7 I 
: 376 4 6 won
: 386 4 7 der 
: 396 4 5 if 
: 408 4 8 your 
: 416 4 7 love’s 
: 424 4 6 the 
: 430 4 8 sa
: 436 8 18 ~
: 454 6 7 me 
- 462
: 488 3 7 Cause 
: 492 3 7 I’m 
: 496 3 9 not 
: 500 4 7 o
: 506 4 6 ver 
: 512 4 10 yo
: 518 6 8 u 
- 526
: 534 6 9 Ba
: 544 5 8 ~
: 550 6 9 by, 
: 560 4 9 don’t 
: 572 4 7 talk 
: 580 4 8 to 
: 588 8 9 me 
- 598
: 608 3 8 I’m 
: 612 4 11 try
: 620 4 9 ing 
: 628 4 7 to 
: 638 4 9 let 
: 646 8 10 go 
- 656
: 680 4 9 Not 
: 690 4 11 lo
: 700 4 10 ving 
: 706 4 10 you 
: 716 4 8 is 
: 726 4 7 har
: 736 4 7 der 
: 746 4 9 than 
: 754 4 7 you 
: 762 4 16 kn
: 768 4 5 ow 
- 774
: 800 3 8 Cause 
: 804 4 8 girl 
: 812 4 7 you’re 
: 818 3 6 dri
: 822 4 6 ving 
: 828 4 10 me 
: 836 4 5 so 
: 844 4 10 cra
: 852 8 4 zy 
- 862
: 1006 4 8 How 
: 1012 3 9 can 
: 1016 4 8 I 
: 1022 3 7 miss 
: 1026 4 5 you 
: 1032 3 5 if 
: 1036 4 5 you 
: 1042 3 9 ne
: 1046 4 8 ver 
: 1052 4 6 would 
: 1060 8 5 stay? 
- 1070
: 1086 4 17 If 
: 1092 3 8 you 
: 1096 3 18 need 
: 1100 4 17 time 
