#ARTIST:Frank Sinatra
#TITLE:I’ve Got You Under My Skin
#MP3:Frank Sinatra - I’ve Got You Under My Skin.mp3
#CREATOR:ricky_ricardo
#GENRE:Vocal Jazz
#YEAR:1951
#LANGUAGE:English
#BPM:268
#GAP:10630
#VIDEO:a=3SCtcLO43Kw,co=ive-got-you-under-my-skin-689f504630d96.jpg,bg=frank-sinatra-4de018d4c92ad.jpg
: 0 4 8 I’ve 
: 6 8 9 got 
: 16 20 9 you 
: 50 7 11 un
: 58 4 9 der 
: 64 1 8 my 
: 66 13 8 ski
: 80 14 7 ~n 
- 104
: 120 12 8 I’ve 
: 134 4 9 got 
: 140 12 9 you 
: 176 8 9 deep 
: 186 4 6 in 
: 192 1 5 the 
: 194 12 6 heart 
: 208 6 5 of 
: 216 22 6 me 
- 244
: 246 4 1 So 
: 252 6 6 deep 
: 260 8 6 in 
: 270 6 7 my 
: 278 10 6 heart 
: 290 6 6 that 
: 298 8 6 you’re 
: 308 1 6 real
: 310 4 5 ly 
: 316 4 4 a 
: 322 4 3 part 
: 328 4 3 of 
: 334 14 3 me 
- 358
: 380 10 0 I’ve 
: 392 4 1 got 
: 398 14 1 you 
: 428 5 1 un
: 434 6 1 der 
: 442 4 1 my 
: 448 36 1 skin 
- 493
: 496 8 8 I’d 
: 506 12 9 tried 
: 520 26 9 so 
: 550 8 11 not 
: 560 1 9 to 
: 562 6 8 give 
: 570 20 6 in 
- 600
: 620 6 8 I 
: 628 6 8 said 
: 636 2 8 to 
: 640 2 8 my
: 644 8 8 self, 
: 654 2 8 “This 
: 658 5 8 af
: 664 10 8 fair 
: 676 1 8 it 
: 678 5 7 ne
: 684 1 8 ver 
: 686 4 8 will 
: 692 2 9 go 
: 696 6 5 so 
: 704 22 6 well” 
- 736
: 746 8 5 But 
: 756 4 6 why 
: 762 4 6 should 
: 768 1 6 I 
: 770 4 6 try 
: 776 4 6 to 
: 782 1 6 re
: 784 6 6 sist 
- 790
: 792 8 6 When, 
* 802 5 6 ba
* 808 4 6 by, 
* 814 2 4 I 
* 818 10 3 know 
* 830 10 4 damn 
* 842 16 4 well 
- 868
: 872 2 3 That 
: 876 6 4 I’ve 
: 884 6 5 got 
: 892 22 5 you 
: 930 2 5 un
: 934 1 5 der 
: 936 4 5 my 
: 942 13 5 ski
: 956 12 1 ~n 
- 978
: 994 10 4 I’d 
: 1006 5 5 sa
: 1012 3 5 cri
: 1016 6 5 fice 
: 1024 3 5 a
: 1028 3 5 ny
: 1032 2 5 thing 
: 1036 6 5 come 
: 1044 2 5 what 
: 1048 8 5 might 
- 1058
: 1060 1 6 For 
: 1062 1 7 the 
: 1064 12 8 sake 
: 1078 8 6 of 
: 1088 3 8 ha
: 1092 1 9 vin’ 
: 1094 4 8 you 
: 1100 8 8 near 
- 1108
: 1110 4 8 In 
: 1116 6 8 spite 
: 1124 6 7 of 
: 1132 1 6 a 
: 1134 5 8 war
: 1140 6 6 ning 
: 1148 12 5 voice, 
: 1162 8 7 comes 
: 1172 1 7 in 
: 1174 1 7 the 
: 1176 6 7 night 
- 1182
: 1184 2 6 And 
: 1188 3 7 re
: 1192 6 8 peats, 
: 1200 4 8 re
: 1206 8 8 peats 
: 1216 2 8 in 
: 1220 4 8 my 
: 1226 10 8 ear 
- 1243
* 1246 4 13 “Don’t 
* 1252 4 11 you 
* 1258 10 13 know, 
* 1270 4 11 you 
* 1276 20 11 fool, 
: 1298 6 11 you 
: 1306 3 11 ne
: 1310 4 10 ver 
: 1316 6 10 can 
: 1324 22 10 win 
- 1356
: 1360 12 11 Use 
: 1374 4 12 your 
: 1380 3 10 men
: 1384 7 8 ta
