#ARTIST:Glee Cast
#TITLE:Physical
#MP3:Glee Cast - Physical.mp3
#CREATOR:znxineohp
#YEAR:2010
#LANGUAGE:English
#BPM:248
#GAP:13190
#VIDEO:v=LGxpaKstP4Y,co=https://gleethecovers.files.wordpress.com/2011/02/s01e17-03-physical-04.jpg
: 0 2 4 I’m 
: 4 2 11 say
: 8 2 11 ing 
: 12 2 9 all 
: 16 2 9 the 
: 20 6 7 things 
: 28 2 4 that 
: 32 2 -3 I 
: 36 3 -1 know 
: 40 2 2 you
: 44 2 -1 ’ll 
: 48 8 2 like 
- 58
: 64 4 11 Ma
: 72 3 11 king 
: 76 4 9 good 
* 84 2 7 con
* 92 2 4 ver
* 96 4 -1 sa
* 104 16 2 tion 
- 122
: 136 2 11 I 
: 140 2 9 got
: 144 2 9 ta 
: 148 2 7 han
: 156 6 4 dle 
: 164 2 2 you 
: 168 4 2 just 
: 176 10 3 right 
- 188
: 200 2 7 You 
: 204 3 7 know
: 208 2 4 ~ 
: 212 2 7 what 
* 216 4 9 I 
* 224 3 9 me
: 228 8 11 an 
- 238
: 256 2 4 I 
: 260 2 11 took 
: 264 2 11 you 
: 268 2 9 to 
: 272 2 9 an 
: 276 2 7 in
: 280 3 7 ti
: 284 4 4 mate 
* 292 4 4 res
* 300 2 -1 tau
* 304 10 2 rant 
- 316
: 320 6 11 Then 
: 328 2 11 to 
: 332 2 9 a 
: 336 2 9 sug
: 340 2 7 ges
: 348 3 4 tive 
: 352 4 -1 mov
: 360 14 2 ie 
- 376
: 392 3 11 There’s 
: 396 2 9 no
: 400 2 9 thing 
: 404 4 7 left 
: 412 3 4 to 
: 416 3 2 ta
: 420 2 2 lk 
: 428 3 2 a
: 432 4 3 bout 
- 438
: 440 3 11 Un
: 444 3 11 less 
: 448 4 7 it’s 
* 456 4 7 hor
* 464 2 4 i
* 468 4 7 zon
* 476 2 9 tal
* 480 12 11 ly 
- 494
: 500 4 4 Let’s 
: 508 4 4 get 
: 516 2 11 phy
: 520 2 11 si
: 524 2 9 cal, 
: 536 3 11 phy
: 540 3 10 si
: 544 2 9 cal 
- 548
: 560 2 7 I 
: 564 2 7 wan
: 568 2 7 na 
: 572 4 9 get 
: 580 2 11 phy
: 584 2 11 si
: 588 2 9 cal 
- 592
: 608 4 11 Let’s 
: 616 3 11 get 
: 620 3 9 in
: 624 2 7 to 
: 628 2 9 phy
: 632 3 9 si
: 636 2 7 cal 
- 640
: 644 2 11 Let 
: 648 3 11 me 
: 652 2 9 hear 
: 656 2 7 your 
: 660 2 9 bo
: 664 3 9 dy 
: 668 2 7 ta
: 672 4 4 lk 
- 678
: 688 2 7 Your 
: 692 2 9 bo
: 696 3 9 dy 
: 700 2 7 talk, 
: 708 2 11 let 
: 712 3 11 me 
: 716 3 9 hear 
: 720 2 7 your 
: 724 2 9 bo
: 728 3 9 dy 
: 732 3 7 ta
: 736 6 4 lk 
- 744
: 756 6 7 Let’s 
: 764 4 9 get 
: 772 2 11 phy
: 776 2 11 si
: 780 2 9 cal, 
: 792 3 11 phy
: 796 2 10 si
: 800 2 9 cal 
- 804
: 816 2 7 I 
: 820 2 7 wan
: 824 2 7 na 
: 828 2 9 get 
* 836 3 11 phy
* 840 3 12 si
* 844 9 11 cal
* 854 1 9 ~
* 856 6 7 ~ 
- 863
: 864 7 16 Let’s 
: 872 2 14 get 
: 876 3 14 in
: 880 2 16 to 
: 884 3 10 phy
: 888 3 9 si
: 892 4 7 cal 
- 898
: 900 2 11 Let 
: 904 3 11 me 
: 908 3 9 hear 
: 912 3 7 your 
: 916 2 9 bo
: 920 3 9 dy 
: 924 3 7 ta
: 928 8 4 lk 
- 938
: 944 3 7 Your 
: 948 2 9 bo
: 952 3 9 dy 
: 956 4 7 talk, 
: 964 3 11 let 
: 968 3 11 me 
: 972 3 9 hear 
: 976 3 7 your 
: 980 2 9 bo
: 984 3 9 dy 
: 988 3 7 ta
: 992 12 4 lk 
- 1006
: 1032 3 11 I’ve 
: 1036 4 9 been 
: 1044 6 7 pat
: 1052 4 4 ient 
: 1060 3 -1 I’ve 
: 1064 3 2 bee
: 1068 3 -1 ~n 
: 1072 8 2 good 
- 1082
: 1088 4 11 Tried 
: 1096 3 11 to 
: 1100 2 9 keep 
: 1104 3 9 my 
: 1108 2 7 hands 
: 1112 3 7 on 
: 1116 3 4 the 
: 1120 4 -1 ta
: 1128 12 2 ble 
- 1142
: 1160 3 11 It’s 
: 1164 2 9 get
: 1168 3 9 ting 
: 1172 6 7 hard 
: 1180 5 4 just 
: 1186 4 2 hol
: 1192 4 2 ding 
: 1200 12 3 back 
- 1214
: 1224 2 7 You 
: 1228 3 7 kn
: 1232 3 4 ow 
: 1236 2 7 what 
: 1240 4 9 I 
: 1248 3 9 me
: 1252 10 11 an 
- 1264
: 1282 2 4 I’m 
: 1286 2 11 sure 
: 1290 3 11 you’ll 
: 1294 2 9 un
: 1298 2 9 der
: 1302 2 7 sta
: 1306 3 7 nd 
: 1310 4 4 my 
: 1316 6 4 point 
: 1324 3 -1 of 
: 1328 10 2 view 
- 1340
: 1346 2 4 We 
: 1350 2 11 know 
: 1354 3 11 each 
: 1358 2 9 o
: 1362 3 9 ther 
* 1366 4 7 men
* 1374 3 4 tal
* 1378 2 -1 ly
* 1386 8 2 ~ 
- 1396
: 1416 3 14 You 
: 1420 3 10 got
: 1424 3 9 ta 
: 1428 4 7 know 
: 1436 3 4 that 
: 1440 3 2 you’re 
: 1444 4 2 bring
: 1452 3 2 ing 
: 1456 10 3 out 
- 1468
: 1472 3 4 The 
: 1476 4 7 an
: 1484 4 4 i
: 1492 4 7 mal 
: 1500 3 9 in 
: 1504 3 9 me
: 1508 10 11 ~ 
- 1520
: 1524 4 4 Let’s 
: 1532 4 4 get 
: 1540 2 11 phy
: 1544 3 11 si
: 1548 2 9 cal, 
: 1560 3 11 phy
: 1564 3 10 si
: 1568 4 9 cal 
- 1574
: 1584 2 7 I 
: 1588 2 7 wan
: 1592 3 7 na 
: 1596 4 9 get 
: 1604 3 11 phy
: 1608 3 11 si
: 1612 10 9 cal 
- 1624
: 1632 4 11 Let’s 
: 1640 3 11 get 
: 1644 3 9 in
: 1648 3 7 to 
: 1652 2 9 phy
: 1656 3 9 si
: 1660 4 7 cal 
- 1666
: 1668 2 11 Let 
: 1672 3 11 me 
: 1676 3 9 hear 
: 1680 3 7 your 
: 1684 2 9 bo
: 1688 3 9 dy 
: 1692 3 7 ta
: 1696 8 4 lk 
- 1706
: 1712 3 7 Your 
: 1716 2 9 bo
: 1720 3 9 dy 
: 1724 4 7 talk, 
: 1732 2 11 let 
: 1736 3 11 me 
: 1740 3 9 hear 
: 1744 3 7 your 
: 1748 2 9 bo
: 1752 3 9 dy 
: 1756 3 7 ta
: 1760 30 4 lk 
- 1792
: 1924 2 11 Let 
: 1928 3 11 me 
: 1932 3 9 hear 
: 1936 3 7 your 
: 1940 2 9 bo
: 1944 3 9 dy 
: 1948 3 7 ta
: 1952 8 4 lk 
- 1962
: 1968 3 7 Your 
: 1972 2 9 bo
: 1976 3 9 dy 
: 1980 4 7 talk, 
: 1988 2 11 let 
: 1992 3 11 me 
: 1996 3 9 hear 
: 2000 3 7 your 
: 2004 2 9 bo
: 2010 1 9 dy 
: 2012 3 7 ta
: 2016 16 4 lk 
- 2034
: 2036 5 16 Let’s 
: 2042 8 16 get 
: 2054 3 11 phy
: 2058 3 11 si
: 2062 8 9 cal 
E
