#ARTIST:Hilltop Hoods feat. Adrian Eagle
#TITLE:Clark Griswold
#MP3:Hilltop Hoods feat. Adrian Eagle - Clark Griswold.mp3
#CREATOR:DoubleDee
#COVER:Hilltop Hoods feat. Adrian Eagle - Clark Griswold [CO].jpg
#BACKGROUND:Hilltop Hoods feat. Adrian Eagle - Clark Griswold [BG].jpg
#YEAR:2018
#LANGUAGE:English
#BPM:384
#GAP:10510
#VIDEO:v=3_XVw0235gY,co=https://pbs.twimg.com/media/Dh8OAoLU8AArmKB.jpg,bg=hilltop-hoods-55ee7ba60b70e.jpg,preview=75.54,medley=504-2168
* 0 6 12 I’ve 
* 8 7 10 al
* 16 4 12 ways 
: 24 5 10 tried 
: 32 6 12 to 
: 40 5 10 do 
: 48 5 12 the 
: 56 5 10 right 
: 64 5 12 thing 
: 72 2 10 in 
: 76 5 5 my 
: 84 5 5 life 
- 99
: 112 6 5 Take 
: 120 3 5 care 
: 124 2 5 of 
: 128 6 12 my 
: 136 5 10 house, 
: 144 5 12 my 
: 152 4 10 pi
: 160 4 12 cket 
: 168 4 10 fence, 
: 176 3 8 my 
: 184 5 10 chil
: 192 7 12 dren 
: 200 2 12 and 
: 204 5 12 my 
: 212 2 13 wi
: 215 8 12 ~fe 
- 229
: 232 2 3 On 
: 236 2 3 my 
: 240 4 3 way 
* 248 11 5 ho
* 260 11 15 ~
* 272 7 13 ~
* 280 9 12 ~me 
: 292 11 13 woah
: 304 7 12 ~
: 312 10 8 ~
: 324 11 10 ~
: 336 7 12 ~
: 344 12 3 ~ 
- 358
: 360 3 3 On 
: 364 3 3 my 
: 368 4 3 way 
: 376 15 5 ho
: 392 5 3 ~me 
- 407
: 420 3 8 I’m 
: 424 3 8 on 
: 428 2 8 my 
: 432 6 8 way 
: 440 7 10 ho
: 448 11 12 ~me 
- 462
: 464 5 8 Clark 
: 472 5 10 Gris
: 480 6 12 wold, 
: 488 3 8 here 
: 492 4 5 I 
: 500 1 5 go 
- 502
: 504 3 12 You 
: 508 2 5 could 
: 512 2 5 walk 
: 516 2 5 a 
: 520 6 5 mile 
: 528 2 5 in 
: 532 2 4 my 
: 536 4 5 shoes 
: 544 2 5 but 
: 548 3 12 could 
: 552 4 12 not 
- 558
: 560 3 5 Mope 
: 564 3 5 a
: 568 6 5 round 
: 576 3 5 for 
: 580 2 5 a 
: 584 3 5 day 
: 588 2 5 in 
: 592 6 12 my 
: 600 7 10 socks 
- 613
: 616 3 10 Wak
: 620 3 8 ing 
: 624 4 10 up 
: 640 3 10 cough
: 644 3 8 ing 
: 648 3 10 up 
: 652 2 8 a 
: 656 4 10 whole 
: 664 6 10 range 
: 672 2 8 of 
: 676 4 10 crap 
- 686
: 688 3 10 Cof
: 692 3 10 fee 
: 696 3 10 mug, 
: 704 5 10 “World’s 
: 712 5 10 Grea
: 720 3 8 test 
: 725 5 10 Dad” 
- 734
: 736 3 7 Liv
: 740 3 7 ing 
: 744 4 7 life 
: 752 2 7 in 
: 756 2 7 the 
: 760 6 7 bath
: 768 5 5 rope 
- 781
: 784 2 7 Or 
: 788 3 8 some 
: 793 4 7 car
: 801 5 5 gos 
- 810
: 812 2 -2 On 
: 816 2 -2 bor
: 820 3 3 rowed 
: 825 5 7 time, 
: 832 2 7 wor
: 836 2 8 ry 
: 840 5 7 lines 
: 848 2 7 like 
: 852 2 8 a 
: 856 5 7 bar
: 864 4 5 code 
- 870
: 872 3 7 Wea
: 876 2 7 ring 
: 880 2 7 my 
: 884 2 8 Chi
: 888 6 7 ca
: 896 4 5 go 
: 904 5 5 Bears 
: 912 5 5 cap 
: 920 3 5 fee
: 924 3 5 ling 
: 928 4 5 like 
: 936 6 12 Clark 
- 946
: 948 2 3 My 
: 952 3 5 fa
: 957 2 4 mi
: 961 3 5 ly 
: 969 3 5 fee
: 973 2 5 ling 
: 976 5 5 my 
: 984 7 12 heart 
: 993 5 12 I 
: 1001 3 12 try 
: 1005 2 11 to 
: 1009 6 12 do 
: 1017 7 12 right 
- 1036
: 1040 3 3 I 
: 1048 4 13 try 
: 1053 2 13 to 
: 1057 6 13 do 
: 1065 6 13 good 
: 1073 5 13 I 
: 1081 3 12 try 
: 1085 2 10 to 
: 1089 3 12 do 
: 1093 2 11 the 
: 1097 4 12 best 
: 1103 2 8 I 
: 1108 4 3 can 
- 1118
: 1120 6 12 Man, 
: 1128 3 12 all 
: 1132 2 10 of 
: 1136 6 12 my 
: 1144 7 12 life 
- 1161
: 1165 2 3 I’ve 
: 1169 4 5 done 
: 1176 3 13 all 
: 1182 4 13 I 
: 1189 5 13 could 
- 1202
: 1205 2 10 To 
: 1209 3 12 try 
: 1213 2 12 and 
: 1217 3 12 be 
: 1221 2 12 a 
: 1225 3 12 bet
: 1229 2 15 ter
: 1232 3 17 ~ 
: 1237 3 15 man
: 1241 3 12 ~, 
: 1245 2 12 but 
: 1249 4 12 I’ve 
: 1257 2 12 re
: 1261 2 8 a
: 1265 5 8 lized 
- 1277
: 1280 9 17 Hey, 
: 1301 2 5 I 
: 1305 2 10 got
: 1309 2 10 ta 
: 1313 4 12 be 
: 1321 3 10 cle
: 1325 2 8 ver 
: 1329 5 8 now 
- 1341
: 1344 11 20 Hey, 
: 1365 2 8 I 
: 1369 2 10 got
: 1372 3 10 ta 
: 1377 6 12 go 
: 1385 3 12 get 
: 1389 2 12 it 
: 1393 7 15 now 
- 1403
: 1405 2 5 I 
: 1409 3 8 take 
: 1413 2 12 a 
: 1417 6 10 look 
: 1425 2 3 at 
: 1429 1 5 the 
: 1433 3 10 way 
: 1437 2 8 that 
: 1441 1 5 I’m 
: 1444 2 10 li
: 1448 1 5 ving 
- 1450
: 1452 3 5 Mis
: 1457 3 5 takes 
: 1461 2 3 are 
: 1465 3 5 bet
: 1469 3 5 ter 
: 1473 2 5 ne
: 1477 2 3 ver 
: 1481 3 10 made 
: 1485 2 8 they’re 
: 1489 2 5 for
: 1493 2 10 gi
: 1497 2 5 ven 
- 1502
: 1504 5 5 Right, 
: 1520 7 5 right 
- 1537
* 1544 9 8 Whoa
* 1554 5 7 ~
* 1560 4 1 ~ 
: 1568 4 5 whoa
: 1576 7 7 ~
: 1585 5 5 ~
: 1591 4 -2 ~ 
: 1600 5 3 whoa
: 1608 7 5 ~
: 1617 6 3 ~ 
: 1632 5 0 oh
: 1639 4 1 ~
: 1644 5 3 ~
: 1650 4 1 ~ 
: 1657 4 0 oh 
- 1663
: 1665 6 12 I’ve 
: 1673 7 10 al
: 1681 4 12 ways 
: 1689 5 10 tried 
: 1697 6 12 to 
: 1705 5 10 do 
: 1713 5 12 the 
: 1721 5 10 right 
: 1729 5 12 thing 
: 1737 2 10 in 
: 1741 5 5 my 
: 1749 5 5 life 
- 1764
: 1777 6 5 Take 
: 1785 3 5 care 
: 1789 2 5 of 
: 1793 6 12 my 
: 1801 5 10 house, 
: 1809 5 12 my 
: 1817 4 10 pi
: 1825 4 12 cket 
: 1833 4 10 fence, 
: 1841 3 8 my 
: 1849 5 10 chil
: 1857 7 12 dren 
: 1865 2 12 and 
: 1869 5 12 my 
: 1877 2 13 wi
: 1880 8 12 ~fe 
- 1894
: 1897 2 3 On 
: 1901 2 3 my 
: 1905 4 3 way 
: 1913 11 5 ho
: 1925 11 15 ~
: 1937 7 13 ~
: 1945 9 12 ~me 
: 1957 11 13 woah
: 1969 7 12 ~
: 1977 10 8 ~
: 1989 11 10 ~
: 2001 7 12 ~
: 2009 12 3 ~ 
- 2023
: 2025 3 3 On 
: 2029 3 3 my 
: 2033 4 3 way 
: 2041 15 5 ho
: 2057 5 3 ~me 
- 2072
: 2085 3 8 I’m 
: 2089 3 8 on 
: 2093 2 8 my 
: 2097 6 8 way 
: 2105 7 10 ho
: 2113 11 12 ~me 
- 2127
: 2129 5 8 Clark 
: 2137 5 10 Gris
: 2145 6 12 wold, 
: 2153 3 8 here 
: 2157 4 5 I 
: 2165 3 5 go 
- 2174
R 2176 5 8 Yeah 
R 2188 2 12 they 
R 2192 2 12 say 
R 2196 2 8 a 
R 2201 6 12 real 
R 2208 3 10 man’s 
R 2213 2 8 a 
R 2217 3 10 fam
R 2222 3 12 ’ly 
R 2227 3 10 man 
- 2237
R 2240 2 12 Pays 
R 2245 2 10 the 
R 2248 6 12 bills, 
R 2257 3 12 has 
R 2261 2 10 a 
R 2265 2 12 tra
R 2269 2 13 vel 
R 2273 3 10 plan, 
R 2277 2 10 a 
R 2281 2 12 ca
R 2285 2 13 ra
R 2289 6 10 van 
- 2299
R 2301 2 13 That 
R 2305 2 10 way 
R 2309 2 12 it 
R 2313 4 12 feels 
R 2321 5 12 like 
R 2329 2 11 and 
R 2333 2 13 be
R 2337 3 12 ware 
R 2345 3 12 that 
R 2349 2 12 I 
R 2353 3 12 am 
- 2359
R 2361 2 12 Trou
R 2365 2 13 ble 
R 2369 1 12 fol
R 2371 1 12 low
R 2373 2 11 ers 
R 2377 2 11 still 
R 2381 2 12 are 
R 2385 3 10 un
R 2393 3 12 ra
R 2397 3 14 ve
R 2401 4 10 ling 
R 2408 3 12 crash 
R 2413 1 14 the 
R 2417 4 12 van 
- 2430
R 2433 2 13 Al
R 2437 2 13 ways 
R 2441 3 12 ma
R 2445 2 11 na
R 2449 3 11 ging 
R 2453 2 10 in 
R 2457 2 10 da
R 2461 3 9 mage 
R 2465 3 8 con
R 2469 5 10 trol 
- 2479
R 2481 2 13 Count 
R 2485 2 10 my 
R 2489 2 12 bles
R 2493 2 10 sings 
R 2497 3 11 like 
R 2505 2 12 ca
R 2509 2 8 sual
R 2513 2 10 ties 
R 2517 2 8 and 
R 2521 2 11 add 
R 2525 2 12 up 
R 2529 2 13 the 
R 2533 4 12 toll 
- 2539
R 2541 3 10 And 
R 2545 2 12 mat
R 2549 2 12 ters 
R 2553 2 10 re
R 2557 3 12 solve 
R 2565 2 13 I 
R 2569 2 12 plan 
