#ARTIST:Hollywood Undead
#TITLE:Hear Me Now
#MP3:Hollywood Undead - Hear Me Now.mp3
#CREATOR:reck0ning
#GENRE:Alternative
#YEAR:2011
#LANGUAGE:English
#BPM:343.68
#GAP:31840
#VIDEO:v=pdoIs1jZbCY,co=https://static.wikia.nocookie.net/hollywoodundead/images/4/4c/Hear_Me_Now.png,bg=hollywood-undead-54ae85910fb83.jpg
: 0 2 4 As 
: 4 2 4 I 
: 8 4 6 walk 
: 16 2 4 through 
: 20 2 4 the 
: 24 2 6 val
: 28 2 4 ley 
: 32 2 4 of 
: 36 2 4 the 
: 40 2 6 sha
: 44 2 6 dow 
: 48 2 4 of 
: 52 4 7 death, 
- 58
: 60 2 4 I 
: 64 2 4 wear 
: 68 2 4 my 
: 72 4 6 crown 
: 80 2 4 of 
: 84 5 6 thorns 
- 91
: 92 2 4 And 
: 96 2 4 pull 
: 100 2 4 the 
: 104 2 6 knife 
: 108 2 4 out 
: 112 2 4 my 
: 116 6 6 chest. 
- 123
: 124 2 4 I 
: 128 2 6 keep 
: 136 2 6 sear
: 140 2 4 ching 
: 144 4 6 for 
: 152 2 6 some
: 156 3 4 thing 
- 160
: 160 2 6 That 
: 164 2 4 I 
: 168 2 6 ne
: 172 2 4 ver 
: 176 2 6 seem 
: 180 2 4 to 
: 184 4 6 find. 
- 190
: 196 2 4 But 
: 200 2 6 may
: 204 2 6 be 
: 208 2 4 I 
: 212 4 6 won’t, 
: 220 2 4 be
: 224 2 6 cause 
: 228 2 4 I 
: 232 2 6 left 
: 236 2 4 it 
: 240 2 6 all 
: 244 2 4 be
: 248 6 6 hind. 
- 255
: 256 2 4 Now 
: 260 2 4 I’m 
: 264 4 7 stuck 
: 272 2 4 with 
: 276 4 6 this, 
: 284 2 4 and 
: 288 2 6 that
: 292 2 4 ’ll 
: 296 4 7 ne
: 304 2 4 ver 
: 308 4 6 change 
- 314
: 316 2 6 Al
: 320 2 6 ways 
: 324 2 4 a 
: 328 4 6 part 
: 336 2 6 of 
: 340 4 6 me, 
: 348 2 4 un
: 352 2 6 til 
: 356 2 4 the 
: 360 2 7 ve
: 364 2 4 ry 
: 368 4 6 last 
: 376 4 6 day. 
- 382
: 384 2 4 Where 
: 388 2 4 to 
: 392 4 7 go 
: 400 2 2 from 
: 404 4 2 here? 
: 412 2 4 What 
: 416 2 6 road 
: 420 2 4 to 
: 424 4 6 tra
: 432 2 4 vel 
: 436 4 6 on? 
- 442
: 444 2 4 I 
: 448 2 6 spent 
: 452 2 4 my 
: 456 4 6 whole 
: 464 4 6 life 
: 472 2 6 choo
: 476 3 4 sing, 
- 480
: 480 2 6 And 
: 484 2 4 I 
: 488 2 6 al
: 492 2 4 ways 
: 496 4 6 chose 
: 504 4 4 wrong. 
- 510
: 528 2 7 Will 
: 532 2 4 I 
: 536 2 6 try 
: 540 2 4 to 
: 544 2 6 have 
: 548 2 4 the 
: 552 2 6 will 
: 556 2 4 to 
: 560 2 6 be 
* 564 2 4 a
* 568 4 7 live? 
- 574
: 592 2 6 Will 
: 596 2 4 I 
: 600 2 6 try 
: 604 2 4 be
: 608 2 6 cause 
: 612 2 4 I’ve 
: 616 2 6 ne
: 620 2 4 ver 
: 624 2 6 seen 
* 628 2 4 the 
* 632 4 7 light? 
- 638
: 648 2 6 Blow 
: 652 2 4 it 
: 656 2 6 to 
: 660 2 4 the 
: 664 3 6 ground 
: 672 2 4 and 
: 676 2 4 it’s 
