#ARTIST:Hoobastank
#TITLE:Don’t Tell Me
#MP3:Hoobastank - Don’t Tell Me.mp3
#CREATOR:Stalker128
#YEAR:2006
#LANGUAGE:English
#BPM:311.9
#GAP:13190
#VIDEO:a=XgAwTckJRJg,co=every-man-for-himself-5cf85a5c81745.jpg,bg=hoobastank-5cf85e6fbeedd.jpg
: 0 4 8 Don’t 
: 8 6 10 tell 
: 16 6 11 me 
: 24 4 13 that 
: 32 6 15 you 
: 40 6 11 are 
: 48 7 15 rea
: 56 4 11 dy 
: 64 4 15 to 
: 72 7 13 change
: 80 3 11 ~
: 84 20 8 ~ 
- 106
: 128 4 8 Don’t 
: 136 6 10 tell 
: 144 6 11 me 
: 152 4 13 from 
: 160 6 15 now 
: 168 4 11 it 
: 176 4 18 won’t 
: 184 6 18 be 
: 192 6 20 the 
: 200 24 17 same 
- 226
: 252 2 13 It 
: 256 3 20 does
: 260 2 13 n’t 
: 264 7 18 mat
: 272 10 13 ter 
: 284 3 13 ’cause 
: 288 4 13 at 
: 296 6 11 the 
: 304 4 18 end 
: 312 4 18 of 
: 320 6 20 the 
: 328 24 17 day 
- 354
: 364 2 12 It 
: 368 3 16 is
: 372 4 14 n’t 
: 382 4 16 what 
: 388 4 14 you 
: 396 10 18 say, 
: 408 4 18 it’s 
: 416 4 16 what 
: 424 2 15 you 
: 428 3 16 do
: 432 36 15 ~ 
- 470
F 496 120 25 YEAAAAAAAAAAAAAAHHHHHHHH! 
- 618
: 704 4 20 What 
: 712 6 14 you 
: 720 6 18 say 
: 728 6 15 will 
: 736 6 13 be 
: 744 7 12 for
: 752 4 17 got
: 760 6 17 ten 
: 768 6 16 some
: 776 12 15 day 
- 790
: 796 2 8 But 
: 800 2 11 what 
: 804 4 14 you 
: 812 3 14 do
: 816 6 15 ~ 
: 824 4 14 will 
: 832 4 14 be 
: 840 3 12 re
: 844 10 14 mem
: 856 20 12 bered 
- 878
: 896 4 20 Emp
: 904 4 14 ty 
: 912 6 18 pro
: 920 6 15 mi
: 928 6 13 ses 
: 936 6 12 al
* 944 6 17 ways 
* 952 6 17 fade 
* 960 7 16 a
* 968 12 15 way 
- 982
: 988 2 8 The 
: 992 2 11 ones 
: 996 4 14 you 
: 1004 3 14 keep
: 1008 6 15 ~ 
: 1016 6 14 will 
: 1024 10 14 last 
: 1036 3 12 for
: 1040 10 14 e
: 1052 20 12 ver 
- 1074
: 1120 4 8 Don’t 
: 1128 6 10 tell 
: 1136 6 11 me 
: 1144 6 13 you’ll 
: 1152 4 15 make 
: 1160 4 11 things 
: 1168 3 15 bet
: 1172 6 11 ter 
: 1180 10 15 for 
: 1192 7 13 us
: 1200 3 11 ~
: 1204 12 8 ~ 
- 1218
: 1248 4 8 Don’t 
: 1256 6 10 tell 
: 1264 6 11 me 
: 1272 4 13 that 
: 1280 6 15 you’re 
: 1288 6 11 some
: 1296 6 18 one 
: 1304 6 18 I 
: 1312 4 20 can 
: 1320 24 17 trust 
- 1346
: 1372 3 13 It 
: 1376 6 20 does
: 1384 4 13 n’t 
: 1392 6 18 mean 
: 1400 6 15 a 
: 1408 4 13 thing 
: 1416 6 11 to 
: 1424 6 18 me 
: 1432 4 18 just 
: 1440 4 20 be
: 1448 24 17 cause 
- 1474
: 1484 3 12 It 
: 1488 3 16 is
: 1492 4 14 n’t 
: 1502 4 16 what 
: 1508 4 14 you 
: 1516 4 18 say, 
: 1526 4 18 it’s 
: 1534 4 16 what 
: 1542 3 15 you 
: 1546 3 16 do
: 1550 36 15 ~ 
- 1588
: 1608 6 12 Your 
: 1616 4 16 ac
: 1624 4 14 tions 
: 1632 6 16 will 
: 1640 4 14 speak 
: 1648 7 18 lou
: 1656 6 18 der 
: 1664 6 15 than 
* 1680 64 15 you 
- 1746
: 1760 6 20 What 
: 1768 6 14 you 
: 1776 6 18 say 
: 1784 6 15 will 
: 1792 6 13 be 
: 1800 6 12 for
: 1808 4 17 got
: 1816 4 17 ten 
: 1824 6 16 some
: 1832 12 15 day 
- 1846
: 1854 2 8 But 
: 1858 2 11 what 
: 1862 4 14 you 
: 1870 3 14 do
: 1874 6 15 ~ 
: 1882 6 14 will 
: 1890 6 14 be 
: 1898 3 12 re
: 1902 10 14 mem
: 1914 20 12 bered 
- 1936
: 1952 4 20 Emp
: 1960 4 14 ty 
: 1968 6 18 pro
: 1976 6 15 mi
: 1984 6 13 ses 
: 1992 6 12 al
: 2000 6 17 ways 
: 2008 6 17 fade 
: 2016 7 16 a
: 2024 12 15 way 
- 2038
: 2044 2 8 The 
: 2048 2 11 ones 
: 2052 4 14 you 
: 2060 3 14 keep
: 2064 4 15 ~ 
: 2072 4 14 will 
: 2080 4 14 last 
: 2092 3 12 for
: 2096 10 14 e
: 2108 52 12 ver 
- 2162
: 2174 2 8 The 
: 2178 2 11 ones 
: 2182 4 14 you 
: 2190 3 14 keep
: 2194 4 15 ~ 
: 2202 4 14 will 
: 2210 8 14 last 
- 2220
: 2222 3 12 For
: 2226 10 14 e
: 2238 51 12 ver
* 2290 30 15 ~
* 2322 28 22 ~ 
- 2352
: 2778 6 14 So 
: 2786 6 19 show 
: 2794 6 14 me 
: 2802 4 18 that 
: 2810 6 15 you’ve 
: 2818 6 13 real
: 2826 6 12 ly 
* 2834 6 18 fi
* 2842 4 18 gured 
* 2850 4 20 it 
* 2858 16 16 out 
- 2876
: 2910 3 14 And 
: 2914 6 19 show 
: 2922 6 14 me 
: 2930 6 18 ev
: 2938 6 15 ery
: 2946 4 13 thing 
: 2954 4 12 that 
: 2962 6 18 you 
: 2970 6 18 are 
* 2978 7 20 a
* 2986 11 20 bout
* 2998 3 18 ~
* 3002 12 16 ~ 
- 3016
: 3038 2 14 But 
: 3042 4 19 if 
: 3050 2 14 you 
: 3054 3 14 ca
: 3058 4 16 n’t 
: 3066 4 15 then 
: 3074 6 13 you 
: 3082 4 12 should 
: 3090 4 18 just 
: 3098 4 18 shut 
: 3106 4 20 your 
* 3114 52 20 mouth 
- 3168
: 3182 3 12 I 
: 3186 4 16 don’t 
: 3194 4 14 care 
: 3202 4 16 what 
: 3208 4 14 you 
: 3216 10 18 say 
: 3228 6 18 or 
: 3236 6 16 what 
: 3244 3 15 you 
: 3248 3 16 do
: 3252 32 15 ~ 
- 3286
: 3306 6 12 You 
: 3314 4 16 can’t 
: 3322 4 14 take 
: 3330 4 16 back 
: 3338 4 14 what 
: 3346 6 18 you’ve 
: 3354 4 18 put 
: 3362 4 16 me 
: 3370 40 15 through 
- 3412
: 3434 6 12 Your 
: 3442 4 16 ac
: 3450 4 14 tions 
: 3458 6 16 will 
: 3466 4 14 speak 
: 3474 7 18 lou
: 3482 6 18 der 
: 3490 14 16 than 
* 3506 31 15 you
* 3538 31 22 ~
* 3570 8 20 ~ 
- 3580
: 3586 6 20 What 
: 3594 6 14 you 
: 3602 6 18 say 
: 3610 6 15 will 
: 3618 6 13 be 
: 3626 6 12 for
: 3634 4 17 got
: 3642 4 17 ten 
: 3650 6 16 some
: 3658 12 15 day 
- 3672
: 3678 2 8 But 
: 3682 2 11 what 
: 3686 4 14 you 
: 3694 3 14 do
: 3698 6 15 ~ 
: 3706 6 14 will 
: 3714 6 14 be 
: 3722 3 12 re
: 3726 10 14 mem
: 3738 20 12 bered 
- 3760
: 3778 4 20 Emp
: 3786 4 14 ty 
: 3794 6 18 pro
: 3802 6 15 mi
: 3810 6 13 ses 
: 3818 6 12 al
: 3826 6 17 ways 
: 3834 6 17 fade 
: 3842 7 16 a
: 3850 12 15 way 
- 3864
