#ARTIST:Jain
#TITLE:Makeba
#MP3:Jain - Makeba.mp3
#CREATOR:mustangfred
#GENRE:Pop
#YEAR:2015
#LANGUAGE:English
#BPM:232.32
#GAP:41000
#VIDEO:v=59Q_lhgGANc,co=zanaka-569bb12640ae3.jpg,bg=jain-569bb2d4843aa.jpg
: 0 1 2 Ma
: 3 1 5 ke
: 5 2 5 ba
: 9 3 2 ~, 
: 13 2 2 ma
: 18 2 5 ke
: 22 1 4 ba
: 24 1 2 ~ 
: 26 1 2 ma 
: 28 2 2 che 
* 33 3 5 bel
* 38 1 4 la
* 40 2 2 ~ 
- 43
: 45 2 2 Can 
: 48 1 2 I 
: 50 1 2 get 
: 52 1 2 a 
F 54 5 7 ooh 
F 60 1 17 wee? 
- 62
* 64 2 2 Ma
* 68 1 5 ke
* 70 2 5 ba
* 73 2 2 ~, 
: 77 2 2 makes 
: 82 1 5 my 
: 86 3 0 bo
: 90 1 0 dy 
: 92 2 0 dance 
: 97 1 0 for
: 100 1 -1 ~ 
: 102 4 -1 you 
- 116
: 127 2 2 Ma
: 131 1 5 ke
: 134 1 5 ba
: 137 2 2 ~, 
: 141 2 2 ma
: 145 3 5 ke
: 150 1 4 ba
: 152 1 2 ~ 
: 154 1 2 ma 
: 156 2 2 che 
: 161 4 5 bel
: 166 2 4 la
: 169 1 2 ~ 
- 171
: 173 1 2 Can 
: 175 1 2 I 
: 177 1 2 get 
: 179 1 2 a 
F 181 4 7 ooh 
F 187 2 17 wee? 
- 190
: 192 1 2 Ma
: 195 1 5 ke
: 197 2 5 ba
: 201 2 2 ~, 
: 205 1 2 makes 
: 209 2 4 my 
: 214 3 0 bo
: 218 1 0 dy 
: 220 2 0 dance 
: 225 2 -1 for 
: 229 6 -5 you 
- 245
: 256 1 2 Ma
: 259 1 5 ke
: 261 2 5 ba
: 265 2 2 ~, 
: 269 2 2 ma
: 274 1 5 ke
: 277 1 5 ba
: 280 1 2 ~ 
: 282 1 2 ma 
: 284 2 2 che 
: 289 3 5 bel
: 294 1 4 la
: 297 2 2 ~ 
- 300
: 302 1 2 Can 
: 304 1 2 I 
: 306 1 2 get 
: 308 1 2 a 
F 310 3 7 ooh 
F 315 2 17 wee? 
- 318
: 320 1 2 Ma
: 324 1 5 ke
: 326 1 5 ba
: 329 1 2 ~, 
: 333 1 2 makes 
: 337 2 5 my 
: 342 3 0 bo
: 346 1 0 dy 
: 348 2 0 dance 
: 353 1 0 for
: 356 1 -1 ~ 
: 358 4 -1 you 
- 372
: 383 2 2 Ma
: 387 1 5 ke
: 390 1 5 ba
: 393 2 2 ~, 
: 397 2 2 ma
: 401 2 5 ke
: 406 1 4 ba
: 408 1 2 ~ 
: 410 1 2 ma 
: 412 2 2 che 
: 417 3 5 bel
: 422 1 4 la
: 425 1 2 ~ 
- 427
: 429 1 2 Can 
: 431 1 2 I 
: 433 1 2 get 
: 435 1 2 a 
F 437 4 7 ooh 
F 443 2 17 wee? 
- 446
: 448 1 2 Ma
: 451 1 5 ke
: 454 1 5 ba,
: 457 2 2 ~ 
: 461 2 2 makes 
: 466 1 5 my 
: 470 3 0 bo
: 474 1 0 dy 
: 476 2 0 dance 
: 481 1 0 for
: 483 1 -1 ~ 
: 485 1 -5 you 
- 487
: 489 3 2 I 
: 493 2 2 wan
: 497 1 2 na 
* 502 3 7 hear
* 506 5 5 ~ 
: 513 3 4 your 
: 518 1 5 breath
: 520 3 4 ~ 
- 524
: 526 3 5 Just
: 530 1 4 ~ 
: 534 2 5 next 
: 538 2 4 to 
: 541 2 2 my 
: 546 5 -2 soul 
- 552
: 554 2 2 I 
: 557 2 2 wan
: 560 1 2 na 
* 565 5 7 feel
* 571 4 5 ~ 
: 577 2 4 your 
: 582 2 5 breasts
: 585 2 4 ~ 
- 592
: 594 1 2 With
: 597 3 4 out 
: 602 3 4 a
: 606 1 2 ny 
: 609 3 4 rests
: 613 1 2 ~ 
- 616
: 618 2 2 I 
: 621 3 4 wan
: 625 1 4 na 
* 630 4 6 see
* 635 3 7 ~ 
* 640 2 7 you 
* 646 2 6 sing
* 649 2 4 ~ 
- 656
: 658 2 4 I 
: 662 3 4 wan
: 666 1 4 na 
: 670 2 4 see 
: 673 2 4 you 
: 678 1 4 fight
: 681 1 2 ~
: 683 1 4 ~ 
- 688
: 690 2 0 ’Cause 
: 693 3 0 you 
: 697 3 4 are 
: 702 2 0 the 
: 705 5 0 re
: 711 1 0 al 
: 713 4 0 beau
: 718 2 2 ty
: 722 1 0 ~ 
- 724
: 726 3 2 Of 
: 731 2 0 hu
: 734 1 0 man
: 736 1 -2 ~ 
: 738 2 -2 rights
: 741 5 -5 ~ 
- 756
: 768 1 2 Ma
: 771 1 5 ke
: 773 1 5 ba
: 776 4 2 ~, 
: 781 2 2 ma
: 786 2 5 ke
: 790 1 5 ba
: 792 1 2 ~ 
: 794 1 2 ma 
: 796 2 2 che 
: 801 3 5 bel
: 806 2 4 la
: 809 2 2 ~ 
- 812
: 814 1 2 Can 
: 816 1 2 I 
: 818 1 2 get 
: 820 1 2 a 
F 822 4 7 ooh 
F 827 2 17 wee? 
- 830
: 832 2 2 Ma
: 836 1 5 ke
: 838 1 5 ba
: 841 3 2 ~, 
: 846 2 2 makes 
: 850 1 5 my 
: 854 3 0 bo
: 858 1 0 dy 
: 860 2 0 dance 
: 865 1 0 for
: 868 1 -1 ~ 
: 870 3 -1 you 
- 883
: 896 1 2 Ma
: 899 2 5 ke
: 902 1 5 ba
: 905 2 2 ~, 
: 909 2 2 ma
: 913 3 5 ke
: 918 1 4 ba
: 920 1 2 ~ 
: 922 1 2 ma 
: 924 2 2 che 
: 929 4 5 bel
: 934 2 4 la
: 937 1 2 ~ 
- 939
: 941 1 2 Can 
: 943 1 2 I 
: 945 1 2 get 
: 947 1 2 a 
F 949 4 7 ooh 
F 955 2 17 wee? 
- 958
: 960 2 2 Ma
: 964 1 5 ke
: 966 1 5 ba
: 969 2 2 ~, 
: 973 2 2 makes 
: 978 1 4 my 
: 982 3 0 bo
: 986 1 0 dy 
: 988 2 0 dance 
: 993 1 0 for
: 995 1 -1 ~ 
: 997 5 -5 you 
- 1003
* 1005 3 0 No
* 1009 3 2 bo
* 1014 4 7 dy
* 1020 3 5 ~ 
: 1025 3 4 can 
: 1030 2 5 beat
: 1034 1 4 ~ 
: 1038 1 4 the
: 1041 3 5 ~ 
: 1045 4 5 ma
: 1050 3 4 ma 
: 1054 2 2 Af
: 1059 2 4 ri
: 1063 4 2 ca 
- 1068
: 1070 1 2 You 
: 1074 1 2 fol
: 1077 5 7 low
: 1083 1 5 ~ 
: 1086 4 6 the 
: 1093 3 6 beat
: 1098 1 4 ~ 
: 1102 1 4 that
: 1104 2 5 ~ 
- 1107
: 1109 3 5 She’s 
: 1114 3 4 gon
: 1118 1 2 na 
: 1122 2 4 give 
: 1126 2 5 you 
- 1129
: 1131 1 2 I 
: 1134 2 4 need 
: 1137 1 5 a 
* 1142 4 7 smile
* 1147 1 5 ~ 
: 1150 1 2 you 
: 1154 1 4 can 
: 1157 6 4 love
: 1164 1 2 ~
: 1166 1 4 ~ 
- 1172
: 1174 3 5 Make
: 1178 3 4 ~ 
: 1182 1 4 it 
: 1186 7 2 go
: 1195 1 2 ~ 
- 1200
: 1202 1 2 The 
: 1206 1 2 suf
: 1208 1 1 ~
: 1210 2 2 fer
: 1214 6 2 a
: 1222 5 2 tion 
: 1230 2 2 of 
: 1233 2 2 a 
: 1238 2 -2 thou
: 1241 4 -3 ~
: 1246 1 -2 sand 
: 1249 1 -3 more
: 1251 3 -5 ~ 
- 1264
: 1280 1 2 Ma
: 1283 2 5 ke
: 1286 1 5 ba
: 1289 3 2 ~, 
: 1294 1 2 ma
: 1298 2 5 ke
: 1302 1 4 ba
: 1304 1 2 ~ 
: 1306 1 2 ma 
: 1308 2 2 che 
: 1313 4 5 bel
: 1318 2 4 la
: 1322 1 2 ~ 
- 1324
: 1326 1 2 Can 
: 1328 1 2 I 
: 1330 1 2 get 
: 1332 1 2 a 
F 1334 5 7 ooh 
F 1340 2 17 wee? 
- 1343
: 1345 1 2 Ma
: 1348 1 5 ke
: 1350 2 5 ba
: 1354 2 2 ~, 
: 1358 2 2 makes 
: 1362 2 5 my 
: 1365 4 0 bo
: 1370 1 0 dy 
: 1372 3 0 dance 
: 1377 2 0 for
: 1380 1 -1 ~ 
: 1382 4 -1 you 
- 1396
: 1408 1 2 Ma
: 1411 2 5 ke
: 1414 1 5 ba
: 1417 2 2 ~, 
: 1421 2 2 ma
: 1426 1 5 ke
: 1430 1 4 ba
: 1432 1 2 ~ 
: 1434 1 2 ma 
: 1436 2 2 che 
: 1441 4 5 bel
: 1446 1 4 la
: 1449 1 2 ~ 
- 1451
: 1453 1 2 Can 
: 1455 1 2 I 
: 1457 1 2 get 
: 1459 1 2 a 
F 1461 4 7 ooh 
F 1467 2 17 wee? 
- 1470
: 1472 2 2 Ma
: 1476 1 5 ke
: 1478 2 5 ba,
: 1482 2 2 ~ 
: 1486 2 2 makes 
: 1490 2 4 my 
: 1494 4 0 bo
: 1499 1 0 dy 
: 1501 1 0 dance 
: 1506 3 -1 for 
: 1510 5 -5 you 
- 1525
: 1536 1 2 Ma
: 1539 2 5 ke
: 1542 1 5 ba
: 1545 3 2 ~, 
: 1549 2 2 ma
