#ARTIST:K-391, Alan Walker & Ahrix
#TITLE:End Of Time
#MP3:K-391, Alan Walker & Ahrix - End Of Time.mp3
#CREATOR:Mamba99
#YEAR:2020
#LANGUAGE:English
#BPM:232
#GAP:160
#VIDEO:v=Oj18EikZMuU,co=https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/6f/62/d9/6f62d956-aaad-c548-5777-b1d3dab3fb41/195081074047.jpg/5000x5000bb.jpg
: 0 1 2 When 
: 2 2 4 things 
: 6 4 6 are 
: 12 4 7 right 
- 18
: 32 1 4 Then 
: 34 2 7 you 
: 38 4 6 just 
: 44 4 -1 know 
- 50
: 68 2 -5 There 
: 72 2 -5 is 
: 76 2 2 some
: 80 2 2 thing 
: 84 2 2 in 
: 88 1 2 your 
: 90 4 2 eyes 
: 96 2 0 that 
: 100 4 0 brings 
: 106 1 -1 me 
: 108 4 -3 home 
- 114
: 128 1 2 ’Cause 
: 130 2 4 when 
: 134 4 6 there’s 
: 140 4 7 love 
- 146
: 160 1 4 You 
: 162 2 7 don’t 
: 166 4 6 let 
: 172 4 -1 go 
- 178
: 196 2 -5 So 
: 200 2 -5 as 
: 204 2 2 long 
: 208 2 2 as 
: 212 2 2 you’re 
: 216 1 2 with 
: 218 4 2 me 
- 223
: 224 2 0 You’re 
: 228 1 -1 not 
: 230 2 -5 a
: 234 4 2 lone, 
: 240 2 2 you’ll 
: 244 1 2 ne
: 246 2 2 ver 
: 250 4 2 be 
- 255
* 256 2 2 I 
* 260 1 11 wan
* 262 2 9 na 
* 266 4 9 tell 
* 272 2 7 you 
* 276 1 11 what 
* 278 2 9 I 
* 282 4 9 feel 
* 288 2 7 and 
* 292 1 11 real
* 294 2 9 ly 
* 298 4 9 mean 
* 304 4 4 it 
- 310
: 320 2 7 I 
: 324 1 11 wan
: 326 2 9 na 
: 330 4 9 shout 
: 336 2 7 it 
: 340 1 11 from 
: 342 2 9 the 
: 346 4 9 roof
: 352 2 7 tops 
: 356 1 11 to 
: 358 2 9 the 
: 362 4 9 sky 
- 368
: 386 1 7 ’Cause 
: 388 1 9 if 
: 390 2 11 you 
: 394 4 12 e
: 400 1 11 ver 
: 402 4 11 need 
: 408 1 9 a 
: 410 4 9 friend 
: 416 2 7 you 
: 420 1 11 know 
: 422 2 9 I’ll 
: 426 4 9 be 
: 432 4 4 it 
- 438
: 452 2 4 From 
: 456 1 6 to
: 458 4 7 night 
: 464 2 7 un
: 468 1 7 til 
: 470 2 7 we 
: 474 4 7 see 
: 480 2 -1 the 
: 484 2 -1 end 
: 488 2 -3 of 
: 492 6 -3 time 
- 500
: 516 4 2 I’ll 
: 524 4 4 cross 
: 532 4 4 my 
: 540 4 4 heart 
: 548 4 2 and 
: 556 4 7 hope 
: 564 4 7 to 
: 572 4 7 die 
- 578
: 580 4 2 We’re 
: 588 2 12 al
: 592 2 12 ways 
: 596 2 12 and 
: 600 2 12 for
: 604 2 11 e
: 608 2 11 ver, 
: 612 2 12 I’ll 
: 616 2 11 be 
: 620 4 9 by 
: 628 4 2 your 
: 636 4 9 side 
- 642
: 644 4 11 When 
: 652 4 4 days 
: 660 4 4 are 
: 668 4 4 dark 
: 676 4 2 and 
: 684 4 7 stars 
: 692 4 7 don’t 
: 700 4 7 line 
- 706
: 708 4 2 We’re 
: 716 2 12 al
: 720 2 12 ways 
: 724 2 12 and 
: 728 2 12 for
: 732 2 11 e
: 736 2 11 ver 
: 740 2 12 till 
: 744 2 11 the 
: 748 4 9 end 
- 754
: 768 1 4 The 
: 770 2 11 end 
: 774 4 6 of 
: 780 6 4 time 
- 788
: 1024 1 2 When 
: 1026 2 4 we 
: 1030 4 6 look 
: 1036 4 7 back 
- 1042
: 1056 1 4 And 
: 1058 2 7 when 
: 1062 4 6 we’re 
: 1068 4 -1 old 
- 1074
