#ARTIST:Lana Del Rey
#TITLE:Summertime
#MP3:Lana Del Rey - Summertime.mp3
#CREATOR:mustangfred
#GENRE:Jazz
#YEAR:2020
#LANGUAGE:English
#BPM:203.78
#GAP:42380
#VIDEO:v=5HMBniu9Evg,co=summertime-the-gershwin-version-6793c08bd06d2.jpg,bg=del-rey-lana-5ce52cf89d1c2.jpg
: 0 3 6 Sum
: 4 2 2 mer
* 8 6 4 ti
: 15 51 6 ~me 
- 68
: 90 3 4 And 
: 94 3 2 the 
: 98 2 4 li
: 102 3 6 vin’ 
: 106 3 2 is 
* 111 20 -1 ea
* 133 1 -6 ~
* 138 1 -8 sy
* 140 8 -6 ~ 
- 150
: 206 3 4 Fish 
: 211 4 2 are 
: 217 3 4 jum
: 222 47 4 pin’ 
- 271
: 283 2 2 And 
: 286 1 -1 the 
: 290 4 2 cot
: 295 1 -1 ton, 
: 307 2 -1 the 
: 311 3 2 cot
: 315 2 -1 ton 
: 319 3 1 is 
* 323 7 2 hi
* 331 1 1 ~
: 333 2 2 ~
: 336 1 1 ~
: 338 2 2 ~
: 342 19 1 ~
: 362 2 -2 ~gh 
- 366
: 405 8 6 Oh, 
: 414 3 2 your 
: 419 8 6 dad
: 428 22 6 dy, 
* 452 5 9 he
* 458 1 10 ~
* 461 3 13 ~’s 
: 467 4 6 rich 
- 473
: 489 2 4 And 
: 492 3 2 your 
: 497 3 4 ma
: 502 1 -1 ~, 
: 513 3 6 she’s 
: 519 7 2 good 
: 535 20 -1 loo
: 557 1 -6 ~
: 560 5 -6 kin’ 
- 567
: 620 4 -6 So 
: 627 9 -3 hush, 
: 644 3 -6 lit
: 648 3 -3 tle 
: 653 6 -1 ba
: 660 3 -6 by 
- 665
: 670 3 -1 Do
: 674 2 2 ~
: 677 1 1 ~
: 679 3 4 ~
: 683 1 3 ~
: 685 2 5 ~
: 689 1 4 ~
: 691 3 6 ~
: 695 1 7 ~
: 697 5 6 ~n’t 
: 721 3 2 you
: 725 2 -1 ~ 
: 730 2 1 cry
: 734 19 2 ~
: 755 1 1 ~
: 757 1 -1 ~ 
- 760
: 1231 5 6 One 
: 1238 6 6 of 
* 1247 5 9 the
* 1254 7 11 ~se 
: 1263 8 6 mor
: 1272 39 6 nings 
- 1313
: 1329 2 4 You
: 1333 9 6 ~’re 
: 1344 2 4 gon
: 1347 1 2 na 
: 1350 6 4 ri
: 1358 5 6 ~
: 1364 1 9 ~se 
: 1369 3 2 up 
: 1376 14 -1 si
: 1391 2 -2 ~
: 1395 2 -6 ~ng
: 1400 16 -6 ing 
- 1418
: 1445 3 6 You 
: 1449 4 6 gon
: 1454 1 2 na 
: 1458 4 4 spread 
: 1464 1 4 you
: 1466 1 6 ~
: 1468 1 2 ~r 
: 1472 32 4 wings 
- 1506
: 1519 1 2 A
: 1522 1 -1 ~nd 
: 1527 2 2 ta
: 1530 1 4 ~ke, 
: 1545 1 -1 and 
: 1548 3 2 take 
: 1554 2 -1 to 
: 1557 1 2 the 
: 1561 4 2 sky
: 1567 1 1 ~
: 1569 2 2 ~
: 1572 1 1 ~
: 1574 2 2 ~
: 1577 1 1 ~
: 1579 3 2 ~
: 1583 19 1 ~ 
- 1604
: 1635 1 2 U
: 1637 3 6 ~n
: 1642 4 6 til 
: 1649 3 10 tha
: 1654 19 11 ~t 
: 1678 4 6 mor
: 1683 29 6 ning 
- 1714
: 1724 3 4 Ai
: 1729 1 2 ~n’t 
: 1733 3 4 no
: 1739 8 6 thing 
: 1754 3 2 can 
: 1760 23 -1 harm 
: 1789 5 -6 you 
- 1796
: 1856 3 -6 With 
: 1862 6 -3 dad
: 1869 1 -6 dy 
: 1882 2 -3 and 
: 1886 1 -3 ma
: 1888 3 -1 ~m
: 1892 1 -6 my 
: 1905 3 -1 sta
: 1909 3 2 ~
: 1913 1 1 ~
: 1915 2 4 ~
: 1918 1 3 ~
: 1920 2 6 ~
: 1924 20 4 ~n
: 1958 2 2 di
: 1962 1 -1 ~ng 
: 1966 41 2 by
: 2009 4 10 ~
: 2014 32 11 ~
: 2048 1 6 ~ 
- 2051
: 2059 4 13 Stan
: 2064 3 13 ding 
: 2068 1 11 by
: 2070 21 13 ~
: 2092 1 14 ~
: 2094 1 11 ~
: 2096 1 9 ~ 
- 2099
: 2110 1 2 Sta
: 2112 1 4 ~n
: 2114 3 4 ding 
: 2119 3 2 by
: 2123 2 4 ~
: 2126 1 6 ~
: 2128 1 4 ~, 
: 2137 2 -1 lit
: 2140 3 -3 tle 
: 2145 3 -1 ba
: 2149 4 2 by 
- 2155
: 2165 2 -6 Stan
: 2168 3 -3 ding 
: 2173 26 -1 by
: 2200 2 -3 ~ 
E
