#ARTIST:Letters To Cleo
#TITLE:I See
#MP3:Letters To Cleo - I See.mp3
#CREATOR:Globule
#COVER:Letters To Cleo - I See [CO].jpg
#BACKGROUND:Letters To Cleo - I See [BG].jpg
#GENRE:Alternative Rock
#YEAR:1998
#LANGUAGE:English
#BPM:225.08
#GAP:19360
#VIDEO:v=YQLo78kj860,co=https://images.genius.com/502ed5f529bc47eab089fd55a0967d41.600x590x1.jpg,bg=letters-to-cleo-51fff5e8826b9.jpg
: 0 1 2 I 
: 4 1 8 think
: 6 4 9 ~ 
: 12 6 6 I’ll 
: 20 3 7 close 
: 24 6 6 my 
: 32 1 7 eyes
: 34 4 9 ~ 
: 40 6 6 and 
: 48 1 4 wait
: 50 1 6 ~
: 52 7 4 ~ 
: 60 2 4 as 
: 64 3 4 the 
: 68 7 4 world 
- 84
: 88 1 4 Goes
: 90 7 6 ~ 
: 100 1 6 by
: 102 9 7 ~
: 112 1 6 ~
: 114 1 7 ~
: 116 13 6 ~ 
- 134
: 136 2 -3 Won’t 
: 140 3 9 see 
: 144 1 6 the 
: 148 3 7 same 
: 152 4 6 old 
* 160 3 9 thing
* 164 2 2 ~ 
: 168 5 2 that’s 
: 176 1 1 out
: 178 4 2 ~ 
: 184 3 2 there
: 188 5 4 ~ 
- 198
: 200 1 3 Eve
: 202 1 4 ~
: 204 3 2 ry
: 208 23 2 where 
: 232 3 0 yeah
: 236 3 0 ~
: 240 7 -3 ~ 
- 257
* 264 1 -3 The 
* 268 3 9 thou
: 272 3 6 sand 
: 276 2 7 wish
: 280 5 6 es 
: 288 1 7 I
: 290 5 9 ~ 
: 296 4 6 have 
: 304 1 5 had
: 306 1 6 ~
: 308 7 4 ~ 
: 316 2 4 in 
: 320 3 4 my 
: 324 5 4 life 
- 340
: 344 1 5 Come
: 346 7 6 ~ 
: 356 1 6 true
: 358 9 7 ~
: 368 1 6 ~
: 370 1 7 ~
: 372 11 6 ~
: 384 1 4 ~ 
- 393
: 396 2 8 Af
: 400 2 6 ter 
: 404 2 7 they 
: 408 5 6 are 
* 416 3 9 gone
* 420 3 2 ~ 
: 424 4 2 I 
: 432 1 1 say
: 434 3 2 ~ 
- 438
: 440 2 1 “What 
: 444 3 2 did 
: 448 2 2 I 
: 452 1 2 do
: 454 6 4 ~
: 461 1 2 ~ 
: 472 1 4 that
: 474 2 5 ~
: 477 5 2 ~ 
: 484 1 0 for
: 486 9 2 ~
: 497 6 0 ?” 
- 511
: 514 1 -1 But 
: 516 1 4 I 
: 518 2 6 see, 
: 522 1 4 I 
: 524 2 6 see, 
: 528 1 4 I 
: 530 2 6 see, 
: 534 1 4 I 
: 536 1 6 see 
- 538
: 540 1 6 This 
: 544 2 6 world 
: 548 1 4 go 
: 550 3 4 in 
: 556 1 4 cir
: 558 1 4 cles 
: 560 1 4 a
: 562 2 2 round 
: 566 1 2 all 
: 568 1 2 a
: 570 3 2 round 
: 576 1 7 me 
- 578
: 580 1 4 I’ll 
: 582 2 6 end 
: 586 1 4 up 
: 588 3 6 mad 
: 592 1 4 before
: 594 3 6 ~ 
: 598 3 6 life 
: 602 1 4 is 
: 604 1 6 through 
: 606 1 4 with 
: 608 3 2 me
: 612 1 0 ~ 
- 618
: 620 6 0 Guilt
: 628 4 -1 y 
: 636 1 6 old
: 638 1 7 ~
: 640 1 6 ~ 
- 642
: 644 1 4 I 
: 646 2 6 see, 
: 650 1 4 I 
: 652 2 6 see, 
: 656 1 4 I 
: 658 2 6 see, 
: 662 1 4 I 
: 664 1 6 see 
- 666
: 668 1 6 This 
: 672 2 6 world 
: 676 1 4 go 
: 678 3 4 in 
: 684 1 4 cir
: 686 1 4 cles 
: 688 1 4 a
: 690 2 2 round 
: 694 1 2 all 
: 696 1 2 a
: 698 3 2 round 
* 704 1 7 me 
- 706
: 708 1 4 I’ll 
: 710 2 6 end 
: 714 1 4 up 
: 716 3 6 mad 
: 720 1 4 be
: 722 3 6 fore 
: 726 3 6 life 
: 730 1 4 is 
: 732 1 6 through 
: 734 1 4 with 
: 736 3 2 me
: 740 1 0 ~ 
- 749
: 752 1 -1 Guilt
: 754 5 0 ~
: 760 3 -1 y 
: 764 1 6 old
: 766 1 7 ~
: 768 11 6 ~
: 780 3 4 ~ 
: 784 1 4 me
: 786 9 6 ~
: 796 3 4 ~
: 800 1 3 ~
: 802 9 4 ~
: 812 3 2 ~
: 816 1 1 ~
: 818 9 2 ~
: 828 2 1 ~ 
- 860
: 896 1 2 I 
: 900 1 8 think
: 902 4 9 ~ 
: 908 6 6 I’ll 
: 916 3 7 pay 
: 920 6 6 my 
: 928 1 8 dues
: 930 4 9 ~ 
: 936 4 6 then 
: 944 1 5 drive
: 946 4 6 ~ 
: 952 3 6 real 
: 956 2 6 fast 
: 960 1 4 to 
: 964 7 4 stand 
- 980
: 984 1 4 In
: 986 9 6 ~ 
: 996 1 6 line
: 998 8 7 ~
: 1008 1 6 ~
: 1010 1 7 ~
: 1012 13 6 ~ 
- 1033
: 1036 3 9 Then 
: 1040 1 6 I’ll 
: 1044 1 7 wrack 
: 1048 5 6 my 
* 1056 5 9 brains 
: 1064 4 2 to 
: 1072 1 2 find
: 1074 3 2 ~ 
: 1080 3 2 some
: 1084 6 4 ~ 
- 1094
: 1096 1 2 Cha
: 1098 1 4 ~
: 1100 3 2 ~
: 1104 20 2 os
: 1128 1 0 ~
: 1130 1 -1 ~
: 1132 3 0 ~
: 1136 6 -3 ~ 
- 1152
: 1164 2 9 As 
: 1168 2 6 the 
: 1172 3 7 im
: 1176 4 6 age 
: 1184 1 8 forms
: 1186 3 9 ~ 
: 1192 5 6 I’ll 
: 1200 1 5 let
: 1202 5 6 ~ 
: 1208 3 6 it
: 1212 4 4 ~ 
- 1218
: 1220 3 4 Swal
: 1224 1 4 low
: 1226 3 6 ~ 
: 1232 2 6 up 
: 1244 3 7 my
: 1248 7 6 ~ 
: 1260 1 4 mind
: 1262 1 6 ~
: 1264 11 4 ~ 
- 1284
: 1288 1 -3 The 
: 1292 2 9 time 
: 1296 1 6 will 
: 1300 2 7 pass 
: 1304 5 6 I’ll 
* 1312 2 9 ask 
: 1320 4 2 my
: 1328 3 2 self 
- 1334
