#ARTIST:Linkin Park
#TITLE:Stained [DUET]
#MP3:Linkin Park - Stained [DUET].mp3
#CREATOR:DoubleDee
#EDITION:[DUET]-Songs
#COVER:Linkin Park - Stained [DUET] [CO].jpg
#BACKGROUND:Linkin Park - Stained [DUET] [BG].jpg
#GENRE:Alternative Rock
#YEAR:2024
#LANGUAGE:English
#BPM:368
#GAP:19920
#VIDEO:v=TWmOZB-9xAw,co=https://i.ytimg.com/vi/TWmOZB-9xAw/maxresdefault.jpg,co-crop=280-2-718-718,bg=linkin-park-68718cc580e09.jpg,p1=Mike,p2=Emily,preview=51.22
P1
: 0 3 6 Yeah
: 4 2 3 ~ 
- 16
: 23 3 10 Hand 
: 28 2 8 on 
: 33 3 10 my 
: 40 7 10 mouth, 
: 48 5 10 I 
: 56 3 10 shoul
: 60 3 8 dn’t 
: 64 5 10 have 
: 72 3 10 said 
: 76 8 8 it 
- 108
: 152 4 10 Gave 
: 157 2 8 you 
: 161 3 10 a 
: 168 7 10 chance 
: 176 4 10 al
: 184 3 10 rea
: 188 3 8 dy 
: 192 7 10 re
: 200 3 10 gret 
: 204 7 8 it 
- 235
: 279 4 10 Try
: 284 3 8 in’ 
: 288 6 10 so 
: 296 3 10 hard 
: 300 2 8 to 
: 304 5 10 be 
: 312 7 10 sym
: 320 5 10 pa
: 328 7 10 the
: 336 56 13 tic 
- 401
: 404 3 1 But 
: 408 6 10 I 
: 416 6 10 know 
: 424 3 10 where 
: 428 2 8 it’s 
: 432 3 10 gon
: 436 2 8 na 
: 440 3 10 go 
: 444 2 8 if 
: 448 6 10 I 
: 456 3 10 let 
: 460 7 8 it 
- 477
: 492 3 3 And 
: 496 6 10 I 
: 504 3 10 let 
: 508 6 8 it 
- 518
: 520 3 10 Know
: 524 3 10 in’ 
: 528 7 10 you’re 
: 536 6 13 hi
: 544 3 10 din’ 
: 548 3 9 when 
: 552 3 10 no 
: 556 3 9 one 
: 560 4 10 else 
: 568 3 10 see
: 572 3 8 ~s 
- 581
: 584 6 10 Close–
: 592 5 10 lipped 
: 600 7 13 smile 
: 608 3 10 cause 
: 612 3 8 there’s 
: 616 3 10 blood 
: 620 2 9 on 
: 624 5 10 your 
: 632 3 10 tee
: 636 4 8 ~th 
- 646
: 648 3 10 What 
: 652 3 8 you 
: 656 7 10 for
: 664 7 13 get 
: 672 2 10 you 
: 676 3 8 were 
: 680 3 10 gon
: 684 3 8 na 
: 688 7 10 re
: 696 3 10 pea
: 700 1 8 ~t 
- 702
: 704 2 10 You 
: 708 3 10 don’t 
: 712 2 10 get 
: 716 3 10 to 
: 720 3 10 make 
: 724 2 10 a
: 728 6 13 mends 
: 736 3 10 like 
: 740 3 9 your 
: 744 6 10 hands 
: 752 6 10 still 
: 760 7 10 clea
: 768 3 3 ~n 
- 820
: 1432 7 10 Sweat 
: 1440 3 10 in 
: 1444 3 8 your 
: 1448 6 10 hands 
: 1456 3 10 while 
: 1460 2 8 the 
: 1464 7 10 time 
: 1472 7 10 starts 
: 1480 4 10 tick
: 1485 12 8 ing 
- 1521
: 1560 3 10 Trip
: 1564 3 8 pin’ 
: 1568 7 10 on 
: 1576 7 10 words, 
: 1584 3 10 a
: 1588 3 8 li
: 1592 5 10 bi 
: 1600 6 10 starts 
: 1608 3 10 slip
: 1613 13 8 ping 
- 1650
: 1680 3 10 Wan
: 1684 3 10 na 
: 1688 6 13 wake 
: 1696 3 10 from 
