#ARTIST:Los del Río
#TITLE:Macarena (Bayside Boys Remix)
#MP3:Los del Río - Macarena (Bayside Boys Remix).mp3
#CREATOR:XXXRammstein
#YEAR:1995
#LANGUAGE:English
#BPM:412
#GAP:27860
#VIDEO:v=zWaymcVmJ-A,co=https://m.media-amazon.com/images/M/MV5BYTU1MjQyNjgtZTA0Yy00NTI1LTljOTAtZDA2NGU0MGE0ZjZkXkEyXkFqcGc@.jpg,bg=https://i.ytimg.com/vi/uoFij9JMmN4/maxresdefault.jpg
: 0 6 12 When 
: 8 4 12 I 
: 13 4 12 dance 
: 20 4 12 they 
: 28 4 12 call 
: 34 4 12 me 
: 39 3 12 Ma
: 43 3 12 ca
: 47 3 12 re
: 51 5 15 na 
- 58
: 65 6 12 And 
: 73 3 12 the 
: 77 4 12 boys 
: 83 4 12 they 
: 91 5 12 say 
: 97 4 12 que 
: 103 6 12 estoy 
: 112 5 10 bue
: 118 7 8 na 
- 127
: 133 3 12 They 
: 137 3 12 all 
: 144 4 12 want 
: 150 6 15 me, 
: 164 4 12 they 
: 169 3 12 can’t 
: 176 4 12 have 
: 182 6 15 me 
- 190
: 200 3 12 So 
: 204 3 12 they 
: 208 3 12 all 
: 212 3 12 come 
: 216 3 12 and 
: 223 4 12 dance 
: 231 4 12 be
: 239 4 10 side 
: 247 4 8 me 
- 253
: 263 4 12 Move 
: 271 4 12 with 
: 279 4 15 me, 
: 291 4 12 jam 
: 303 4 12 with 
: 311 4 15 me 
- 317
: 323 4 12 And 
: 328 3 12 if 
: 332 3 12 you’re 
: 336 3 12 good 
: 340 3 12 I’ll 
: 348 3 12 take 
: 352 3 12 you 
: 356 3 12 home 
: 367 4 10 with 
: 375 4 8 me 
- 381
: 382 4 8 Da 
: 390 3 8 le 
: 394 3 8 a 
: 398 3 8 tu 
: 406 3 8 cuer
: 410 3 8 po 
: 414 3 8 ale
: 418 3 8 gria 
: 422 3 8 Ma
: 426 3 8 ca
: 430 3 8 re
: 434 3 12 na 
- 438
: 438 3 3 Que 
: 442 3 3 tu 
: 446 4 8 cuer
: 454 3 8 po 
: 458 3 8 es 
: 462 4 8 pa 
: 470 3 8 dar
: 474 3 8 le 
: 478 3 8 ale
: 482 3 8 gria 
: 486 3 8 y 
: 490 3 8 cosa 
: 494 3 5 bue
: 498 4 3 na 
- 504
: 510 4 8 Da 
: 518 3 8 le 
: 522 3 8 a 
: 526 4 8 tu 
: 534 3 8 cuer
: 538 3 8 po 
: 542 3 8 ale
: 546 3 8 gria 
: 550 3 8 Ma
: 554 3 8 ca
: 558 3 8 re
: 562 4 12 na 
- 568
* 574 12 15 Eeh, 
: 594 7 12 Ma
: 602 3 15 ca
: 606 3 12 re
: 610 4 8 na 
- 616
: 638 4 8 Da 
: 646 3 8 le 
: 650 3 8 a 
: 654 4 8 tu 
: 662 3 8 cuer
: 666 3 8 po 
: 670 3 8 ale
: 674 3 8 gria 
: 678 3 8 Ma
: 682 3 8 ca
: 686 3 8 re
: 690 3 12 na 
- 694
: 694 3 3 Que 
: 698 3 3 tu 
: 702 4 8 cuer
: 710 3 8 po 
: 714 3 8 es 
: 718 4 8 pa 
: 726 3 8 dar
: 730 3 8 le 
: 734 3 8 ale
: 738 3 8 gria 
: 742 3 8 y 
: 746 3 8 cosa 
: 750 3 5 bue
: 754 4 3 na 
- 760
: 766 4 8 Da 
: 774 3 8 le 
: 778 3 8 a 
: 782 4 8 tu 
: 790 3 8 cuer
: 794 3 8 po 
: 798 3 8 ale
: 802 3 8 gria 
: 806 3 8 Ma
: 810 3 8 ca
: 814 3 8 re
: 818 4 12 na 
- 824
: 830 12 15 Eeh, 
: 850 7 12 Ma
: 858 3 15 ca
: 862 3 12 re
: 866 4 8 na 
- 872
: 890 3 12 Now, 
: 894 4 12 don’t 
: 902 3 12 you 
: 906 3 12 wor
: 910 3 12 ry 
: 914 4 12 ’bout 
: 922 3 12 my 
: 926 4 12 boy
: 934 4 15 friend 
- 940
: 954 3 12 The 
: 958 4 12 boy 
: 966 4 12 whose 
: 974 3 12 is 
: 978 4 12 Vit
: 986 3 12 to
: 990 3 12 ri
: 994 4 15 no 
- 1000
: 1026 3 12 I 
: 1030 4 12 don’t 
: 1038 4 12 want 
: 1046 4 15 him, 
: 1058 4 12 couldn’t 
: 1070 4 12 stand 
: 1078 4 15 him 
- 1084
: 1094 3 12 He 
: 1098 3 12 was 
: 1102 3 12 no 
: 1106 4 12 good 
: 1114 4 12 so 
: 1122 4 12 I … 
- 1128
: 1406 4 8 Da 
: 1414 3 8 le 
: 1418 3 8 a 
: 1422 4 8 tu 
: 1430 3 8 cuer
: 1434 3 8 po 
: 1438 3 8 ale
: 1442 3 8 gria 
: 1446 3 8 Ma
: 1450 3 8 ca
: 1454 3 8 re
: 1458 3 12 na 
- 1462
: 1462 4 3 Que 
: 1467 4 8 tu 
: 1474 3 8 cuer
: 1478 3 8 po 
: 1482 4 8 es 
: 1490 3 8 pa 
: 1494 3 8 darle 
: 1498 3 8 ale
: 1502 3 8 gria 
: 1506 3 8 y 
: 1510 3 8 cosa 
: 1514 3 5 bue
: 1518 4 3 na 
- 1524
: 1530 4 8 Da 
: 1538 3 8 le 
: 1542 3 8 a 
: 1546 4 8 tu 
: 1554 3 8 cuer
: 1558 3 8 po 
: 1562 3 8 ale
: 1566 3 8 gria 
: 1570 3 8 Ma
: 1574 3 8 ca
: 1578 3 8 re
: 1582 4 12 na 
- 1588
: 1594 12 15 Eeh, 
: 1614 7 12 Ma
: 1622 3 15 ca
: 1626 3 12 re
: 1630 4 8 na 
- 1636
: 1658 4 8 Da 
: 1666 3 8 le 
: 1670 3 8 a 
: 1674 4 8 tu 
: 1682 3 8 cuer
: 1686 3 8 po 
: 1690 3 8 ale
: 1694 3 8 gria 
: 1698 3 8 Ma
: 1702 3 8 ca
: 1706 3 8 re
: 1710 3 12 na 
- 1714
: 1714 3 3 Que 
: 1718 3 3 tu 
: 1722 4 8 cuer
: 1730 3 8 po 
: 1734 3 8 es 
: 1738 4 8 pa 
: 1746 3 8 dar
: 1750 3 8 le 
: 1754 3 8 ale
: 1758 3 8 gria 
: 1762 3 8 y 
: 1766 3 8 cosa 
: 1770 3 5 bue
: 1774 4 3 na 
- 1780
: 1786 4 8 Da 
: 1794 3 8 le 
: 1798 3 8 a 
: 1802 4 8 tu 
: 1810 3 8 cuer
: 1814 3 8 po 
: 1818 3 8 ale
: 1822 3 8 gria 
: 1826 3 8 Ma
: 1830 3 8 ca
: 1834 3 8 re
: 1838 4 12 na 
- 1844
: 1850 12 15 Eeh, 
: 1870 7 12 Ma
: 1878 3 15 ca
: 1882 3 12 re
: 1886 4 8 na 
- 1892
: 2426 3 12 Ma-
: 2430 3 12 Ma-
: 2434 4 12 Ma-
: 2446 4 12 Ma-
: 2454 3 12 Ma-
: 2458 3 12 Ma-
: 2462 3 12 Ma
: 2466 4 12 ca
: 2474 3 12 re
: 2478 4 15 na 
- 2484
: 2490 3 12 Ma-
: 2494 3 12 Ma-
: 2498 4 12 Ma-
: 2510 4 12 Ma-
: 2518 3 12 Ma-
: 2522 3 12 Ma-
: 2526 3 12 Ma
: 2530 4 12 ca
: 2538 3 12 re
: 2542 4 15 na 
- 2548
: 2554 3 12 Ma-
: 2558 3 12 Ma-
: 2562 4 12 Ma-
: 2574 4 12 Ma-
: 2582 3 12 Ma-
: 2586 3 12 Ma-
: 2590 3 12 Ma
: 2594 4 12 ca
: 2602 3 12 re
: 2606 4 15 na 
- 2612
: 2682 3 12 Ma-
: 2686 3 12 Ma-
: 2690 4 12 Ma-
: 2702 4 12 Ma-
: 2710 3 12 Ma-
: 2714 3 12 Ma-
: 2718 3 12 Ma
: 2722 4 12 ca
: 2730 3 12 re
: 2734 4 15 na 
- 2740
: 2746 3 12 Ma-
: 2750 3 12 Ma-
: 2754 4 12 Ma-
: 2766 4 12 Ma-
: 2774 3 12 Ma-
: 2778 3 12 Ma-
: 2782 3 12 Ma
: 2786 4 12 ca
: 2794 3 12 re
: 2798 4 15 na 
- 2804
: 2810 3 12 Ma-
: 2814 3 12 Ma-
: 2818 4 12 Ma-
: 2830 4 12 Ma-
: 2838 3 12 Ma-
: 2842 3 12 Ma-
: 2846 3 12 Ma
: 2850 4 12 ca
: 2858 3 12 re
: 2862 4 15 na 
- 2868
: 2938 4 8 Da 
: 2946 3 8 le 
: 2950 3 8 a 
: 2954 4 8 tu 
: 2962 3 8 cuer
: 2966 3 8 po 
: 2970 3 8 ale
: 2974 3 8 gria 
: 2978 3 8 Ma
: 2982 3 8 ca
: 2986 3 8 re
: 2990 3 12 na 
- 2994
: 2994 3 3 Que 
: 2998 3 3 tu 
: 3002 4 8 cuer
: 3010 3 8 po 
: 3014 3 8 es 
: 3018 4 8 pa 
: 3026 3 8 dar
: 3030 3 8 le 
: 3034 3 8 ale
: 3038 3 8 gria 
: 3042 3 8 y 
: 3046 3 8 cosa 
: 3050 3 5 bue
: 3054 4 3 na 
- 3060
: 3066 4 8 Da 
: 3074 3 8 le 
: 3078 3 8 a 
: 3082 4 8 tu 
: 3090 3 8 cuer
: 3094 3 8 po 
: 3098 3 8 ale
: 3102 3 8 gria 
: 3106 3 8 Ma
: 3110 3 8 ca
: 3114 3 8 re
: 3118 4 12 na 
- 3124
: 3130 12 15 Eeh, 
: 3150 7 12 Ma
: 3158 3 15 ca
: 3162 3 12 re
: 3166 4 8 na 
- 3172
: 3194 4 8 Da 
: 3202 3 8 le 
: 3206 3 8 a 
: 3210 4 8 tu 
: 3218 3 8 cuer
: 3222 3 8 po 
: 3226 3 8 ale
: 3230 3 8 gria 
: 3234 3 8 Ma
: 3238 3 8 ca
: 3242 3 8 re
: 3246 3 12 na 
- 3250
: 3250 3 3 Que 
: 3254 3 3 tu 
: 3258 4 8 cuer
: 3266 3 8 po 
: 3270 3 8 es 
: 3274 4 8 pa 
: 3282 3 8 dar
: 3286 3 8 le 
: 3290 3 8 ale
: 3294 3 8 gria 
: 3298 3 8 y 
: 3302 3 8 cosa 
: 3306 3 5 bue
: 3310 4 3 na 
- 3316
: 3322 4 8 Da 
: 3330 3 8 le 
: 3334 3 8 a 
: 3338 4 8 tu 
: 3346 3 8 cuer
: 3350 3 8 po 
: 3354 3 8 ale
: 3358 3 8 gria 
: 3362 3 8 Ma
: 3366 3 8 ca
: 3370 3 8 re
: 3374 4 12 na 
- 3380
: 3386 12 15 Eeh, 
: 3406 7 12 Ma
: 3414 3 15 ca
: 3418 3 12 re
: 3422 4 8 na 
- 3428
: 3788 4 12 Come 
: 3796 3 12 and 
: 3800 3 12 find 
: 3804 4 12 me, 
: 3816 3 12 my 
: 3820 3 12 name 
: 3824 3 12 is 
: 3828 3 12 Ma
: 3832 3 12 ca
: 3836 3 12 re
: 3840 4 15 na 
- 3846
: 3852 3 12 Al
: 3856 3 12 ways 
: 3860 3 12 at 
: 3864 3 12 the 
: 3868 3 12 par
: 3872 3 12 ty 
: 3876 3 12 con 
: 3880 3 12 las 
: 3884 3 12 chi
: 3888 3 12 cas 
: 3892 3 12 que 
: 3896 3 12 soy 
: 3900 3 10 Bue
: 3904 4 8 na 
- 3910
: 3924 4 12 Come 
: 3932 4 12 join 
: 3940 4 15 me, 
: 3952 4 12 dance 
: 3964 4 12 with 
: 3972 4 15 me 
- 3978
: 3984 3 12 And 
: 3988 3 12 all 
: 3992 3 12 you 
: 3996 3 12 fel
: 4000 3 12 las 
: 4008 4 12 tag 
: 4016 3 12 a
: 4020 4 12 long 
: 4028 4 10 with 
: 4036 4 8 me 
- 4042
: 4044 4 8 Da 
: 4052 3 8 le 
: 4056 3 8 a 
: 4060 4 8 tu 
: 4068 3 8 cuer
: 4072 3 8 po 
: 4076 3 8 ale
: 4080 3 8 gria 
: 4084 3 8 Ma
: 4088 3 8 ca
: 4092 3 8 re
: 4096 3 12 na 
- 4100
: 4100 3 3 Que 
: 4104 3 3 tu 
: 4108 4 8 cuer
: 4116 3 8 po 
: 4120 3 8 es 
: 4124 4 8 pa 
: 4132 3 8 dar
: 4136 3 8 le 
: 4140 3 8 ale
: 4144 3 8 gria 
: 4148 3 8 y 
: 4152 3 8 cosa 
: 4156 3 5 bue
: 4160 4 3 na 
- 4166
: 4172 4 8 Da 
: 4180 3 8 le 
: 4184 3 8 a 
: 4188 4 8 tu 
: 4196 3 8 cuer
: 4200 3 8 po 
: 4204 3 8 ale
: 4208 3 8 gria 
: 4212 3 8 Ma
: 4216 3 8 ca
: 4220 3 8 re
: 4224 4 12 na 
- 4230
: 4236 12 15 Eeh, 
: 4256 7 12 Ma
: 4264 3 15 ca
: 4268 3 12 re
: 4272 4 8 na 
- 4278
: 4300 4 8 Da 
: 4308 3 8 le 
: 4312 3 8 a 
: 4316 4 8 tu 
: 4324 3 8 cuer
: 4328 3 8 po 
: 4332 3 8 ale
: 4336 3 8 gria 
: 4340 3 8 Ma
: 4344 3 8 ca
: 4348 3 8 re
: 4352 3 12 na 
- 4356
: 4356 3 3 Que 
: 4360 3 3 tu 
: 4364 4 8 cuer
: 4372 3 8 po 
: 4376 3 8 es 
: 4380 4 8 pa 
: 4388 3 8 dar
: 4392 3 8 le 
: 4396 3 8 ale
: 4400 3 8 gria 
: 4404 3 8 y 
: 4408 3 8 cosa 
: 4412 3 5 bue
: 4416 4 3 na 
- 4422
: 4428 4 8 Da 
: 4436 3 8 le 
: 4440 3 8 a 
: 4444 4 8 tu 
: 4452 3 8 cuer
: 4456 3 8 po 
: 4460 3 8 ale
: 4464 3 8 gria 
: 4468 3 8 Ma
: 4472 3 8 ca
: 4476 3 8 re
: 4480 4 12 na 
- 4486
: 4492 12 15 Eeh, 
: 4512 7 12 Ma
: 4520 3 15 ca
: 4524 3 12 re
: 4528 4 8 na 
- 4534
: 4556 4 8 Da 
: 4564 3 8 le 
: 4568 3 8 a 
: 4572 4 8 tu 
: 4580 3 8 cuer
: 4584 3 8 po 
: 4588 3 8 ale
: 4592 3 8 gria 
: 4596 3 8 Ma
: 4600 3 8 ca
: 4604 3 8 re
: 4608 3 12 na 
- 4612
: 4612 3 3 Que 
: 4616 3 3 tu 
: 4620 4 8 cuer
: 4628 3 8 po 
: 4632 3 8 es 
: 4636 4 8 pa 
: 4644 3 8 dar
: 4648 3 8 le 
: 4652 3 8 ale
: 4656 3 8 gria 
: 4660 3 8 y 
: 4664 3 8 cosa 
: 4668 3 5 bue
: 4672 4 3 na 
- 4678
: 4684 4 8 Da 
: 4692 3 8 le 
: 4696 3 8 a 
: 4700 4 8 tu 
: 4708 3 8 cuer
