#ARTIST:Manowar
#TITLE:Revelation (Death’s Angel)
#MP3:Manowar - Revelation (Death’s Angel).mp3
#CREATOR:Ich,werdennsonst?
#GENRE:Metal
#YEAR:1983
#LANGUAGE:English
#BPM:281.28
#GAP:14860
#VIDEO:a=0m5lJcG6gkM,co=into-glory-ride-5b71b9b191650.jpg,bg=manowar-62eec6f65bdc2.jpg
: 0 2 4 A
: 3 11 4 bove 
: 15 5 7 the 
: 21 5 7 wre
: 27 9 7 ckage 
: 37 4 5 of 
: 42 8 4 your 
: 51 7 4 mor
: 59 7 4 tal 
: 67 7 5 world 
: 75 4 7 I 
: 80 8 9 sta
: 89 4 7 ~
: 94 5 5 ~
: 100 9 4 nd 
- 111
: 139 3 4 Jud
: 143 7 0 gement’s 
: 151 5 7 pas
: 157 6 4 sed 
: 179 3 4 de
: 183 11 4 livered 
: 195 7 2 by 
: 203 7 5 his 
: 211 14 4 hand 
- 227
: 257 6 7 Now 
: 264 6 7 clear 
: 271 3 7 the 
: 275 12 7 smoke, 
: 311 8 7 there 
: 320 4 7 the 
: 325 14 4 ashes 
: 340 17 7 stand 
- 359
: 385 3 0 A 
: 389 5 4 fit
: 395 7 4 ting 
: 403 7 7 tri
: 411 10 4 bute 
: 428 3 5 to 
: 432 6 5 mor
: 439 4 5 ta
: 444 5 5 li
: 450 8 4 ty 
: 459 7 2 and 
: 467 14 4 man. 
- 483
: 521 7 9 What 
: 529 7 9 was 
: 537 4 9 writ
: 542 15 9 ten 
: 563 7 9 fore
: 571 17 7 told 
: 589 14 2 in 
: 604 23 -1 dreams, 
- 629
: 634 5 11 In 
: 640 3 9 vi
: 644 17 7 sions 
: 671 1 7 a
: 673 9 7 po
: 683 3 9 ca
: 687 5 9 lyp
: 693 2 9 se 
: 696 6 6 now 
: 703 26 4 seen. 
- 731
: 795 2 9 And 
: 798 5 9 all 
: 804 7 9 self-
: 812 5 9 righ
: 818 8 9 teous 
: 827 12 9 fools 
: 840 6 9 who 
: 847 16 12 lived 
: 865 5 7 and 
: 871 9 7 blas
: 881 28 11 phemed 
- 911
: 917 24 4 Drink 
: 942 7 4 the 
: 950 19 7 wine 
: 970 7 4 of 
: 978 7 7 his 
: 986 5 9 an
: 992 23 9 ger 
- 1017
: 1019 15 6 Die 
: 1035 6 4 with 
: 1042 8 2 the 
* 1051 83 4 be
* 1135 19 6 ~
* 1155 15 7 ~
* 1171 16 4 ~
* 1188 75 11 ast. 
- 1265
: 1337 3 4 Vin
: 1341 3 7 di
: 1345 5 11 ca
: 1351 16 11 tion, 
: 1371 3 4 he 
: 1375 9 7 is 
: 1385 3 11 co
: 1389 5 11 ming 
: 1395 11 9 on 
: 1407 2 7 the 
: 1410 19 11 clouds. 
- 1431
: 1466 4 4 See 
: 1471 3 7 his 
: 1475 5 11 an
: 1481 14 11 gels, 
: 1510 6 11 hear 
: 1517 7 11 their 
: 1525 5 9 trum
: 1531 6 7 pets 
: 1538 13 4 sound. 
- 1553
: 1582 3 7 The 
: 1586 12 7 day 
: 1599 3 7 of 
: 1603 6 7 an
: 1610 13 6 ger 
: 1625 5 4 when 
: 1631 4 6 the 
: 1636 9 7 stars 
: 1646 7 7 fall 
: 1654 8 6 from 
: 1663 3 7 the 
: 1667 8 7 sky
: 1676 6 6 ~
: 1683 12 4 ~ 
- 1697
: 1711 3 -1 The 
: 1715 7 -1 moon 
: 1723 7 -1 turns 
: 1731 12 4 red, 
: 1763 2 -1 the 
: 1766 8 -1 sun 
: 1775 5 -1 turns 
: 1781 5 -3 black 
: 1787 7 -5 as 
: 1795 12 -8 night. 
- 1809
: 1847 7 -3 Know 
: 1855 3 0 the 
: 1859 10 4 end 
: 1870 6 0 is 
: 1877 5 0 co
: 1883 10 0 ming, 
: 1894 21 7 heed 
: 1917 8 7 this 
: 1926 5 9 sign
: 1932 17 7 ~ 
- 1951
: 1975 7 -3 By 
: 1983 4 0 the 
: 1988 7 4 mor
: 1996 6 0 ning 
: 2003 11 -3 star 
: 2015 4 -3 the 
: 2020 14 4 four 
: 2035 9 7 hor
: 2045 9 7 semen 
: 2055 11 9 ride
: 2067 20 7 ~. 
- 2089
* 2109 5 12 Reve
* 2115 7 12 la
* 2123 16 16 tion, 
: 2147 3 0 the 
: 2151 15 7 cho
: 2167 15 2 sen 
: 2183 20 3 saved 
- 2205
: 2217 16 4 Earth 
: 2241 4 4 be 
: 2246 9 6 clean
: 2256 7 6 sed 
: 2265 3 4 in 
: 2269 6 2 a 
: 2276 15 4 blaze. 
- 2293
* 2361 10 12 Ar
* 2372 8 12 maged
* 2381 14 16 don, 
: 2405 5 4 the 
: 2411 13 7 first 
: 2425 8 2 trum
: 2434 6 2 pet 
: 2441 18 3 blows 
- 2461
: 2475 20 4 Hail, 
: 2505 22 7 fire 
: 2535 4 4 and 
: 2540 5 5 blo
: 2546 4 7 ~
: 2551 12 9 od 
: 2573 7 7 fall 
: 2581 5 7 on 
: 2587 9 5 Sa
: 2597 7 3 tan’s 
: 2605 14 2 throne. 
- 2621
: 2741 3 4 His 
: 2745 11 4 hair 
: 2757 7 6 as 
: 2765 5 7 white 
: 2771 7 6 as 
: 2779 8 4 wool, 
: 2791 3 4 his 
: 2795 8 11 eyes 
: 2804 8 11 like 
: 2813 3 4 bur
: 2817 6 4 ning 
: 2824 31 7 flame 
- 2857
: 2872 4 -1 He 
: 2877 6 -1 is 
: 2884 3 -1 the 
: 2888 8 4 first 
: 2897 5 -1 and 
: 2903 12 -1 last, 
: 2921 4 -1 he 
: 2926 8 -1 brings 
: 2935 3 -1 the 
: 2939 11 -3 seven 
: 2951 7 -8 pla
: 2959 8 -8 gues. 
- 2969
: 3009 5 7 Seven 
: 3015 13 7 stars 
: 3029 5 6 of 
: 3035 13 4 seven 
: 3049 5 7 ci
: 3055 13 7 ties 
: 3069 3 9 in 
: 3073 7 7 his 
: 3081 9 11 hand
: 3091 3 9 ~
: 3095 18 7 ~ 
- 3115
: 3127 3 -1 He 
: 3131 9 -1 holds 
: 3141 3 -1 the 
: 3145 7 4 keys 
: 3153 5 -1 of 
: 3159 8 -1 death 
: 3175 2 -1 for 
: 3178 2 -1 the 
: 3181 3 -1 un
: 3185 5 -1 der
: 3191 7 -3 world 
: 3199 7 -5 and 
: 3207 10 -8 man. 
- 3219
: 3261 5 -3 Know 
: 3267 4 -1 the 
: 3272 10 0 end 
: 3283 7 -1 is 
: 3291 3 -3 co
: 3295 11 -1 ming, 
: 3307 22 7 heed 
: 3331 7 7 this 
: 3339 5 9 sign
: 3345 18 7 ~ 
- 3365
: 3389 5 -3 By 
: 3395 5 -1 the 
: 3401 7 0 mor
: 3409 5 -1 ning 
: 3415 13 -3 star 
: 3429 3 -1 the 
: 3433 15 7 four 
: 3449 7 7 hor
: 3457 9 7 semen 
: 3467 9 9 ride
: 3477 26 7 ~. 
- 3505
* 3521 7 12 Reve
* 3529 5 12 la
* 3535 14 16 tion, 
: 3561 3 14 the 
: 3565 15 19 cho
: 3581 13 14 sen 
: 3595 24 15 saved 
- 3621
: 3631 14 4 Earth 
: 3653 5 4 be 
: 3659 7 6 clean
: 3667 6 6 sed 
: 3677 5 4 in 
: 3683 5 2 a 
: 3689 14 4 blaze. 
- 3705
* 3773 9 12 Ar
* 3783 9 12 maged
* 3793 12 16 don, 
: 3815 3 16 the 
: 3819 15 7 first 
: 3835 7 7 trum
: 3843 7 2 pet 
: 3851 20 3 blows 
- 3873
: 3885 18 4 Hail, 
: 3913 22 7 fire 
: 3945 3 7 and 
: 3949 5 6 blo
: 3955 3 7 ~
: 3959 14 9 od 
: 3981 7 6 fall 
: 3989 7 6 on 
: 3997 5 4 Sa
: 4003 10 2 tan’s 
: 4014 16 4 throne. 
- 4032
* 4925 17 12 Reve
* 4943 7 12 la
* 4951 20 12 tion, 
: 4989 5 16 the 
: 4995 21 7 cho
: 5017 17 7 sen 
: 5035 40 3 saved 
- 5077
: 5083 22 4 Earth 
: 5115 7 4 be 
: 5123 11 6 clean
