#ARTIST:Megan Nicole + Sam Tsui
#TITLE:Locked Out Of Heaven (Mash-Up)
#MP3:Megan Nicole + Sam Tsui - Locked Out Of Heaven (Mash-Up).mp3
#CREATOR:Sing-Girl
#YEAR:2013
#LANGUAGE:English
#BPM:294
#GAP:7260
#VIDEO:v=F1eL90F7ME0,co=locked-out-of-heaven-mash-up-690a3be297065.jpg
: 0 4 8 I
: 5 3 8 ne
: 9 3 8 ver 
: 13 4 8 had 
: 18 4 9 much 
: 23 10 8 faith 
: 34 4 4 in 
: 39 8 4 love
: 48 3 1 ~ 
: 52 4 1 or 
: 57 8 8 mi
: 66 6 6 ra
: 73 3 6 cles
: 77 2 4 ~
: 80 2 1 ~ 
- 84
: 128 3 8 I 
: 132 3 8 ne
: 136 3 8 ver 
: 140 3 8 wan
: 144 3 9 na 
: 148 4 8 put 
: 153 6 8 my 
: 160 6 4 heart 
: 169 5 4 on 
: 176 4 8 the 
: 184 6 6 line
: 191 4 8 ~
: 196 3 6 ~
: 200 3 8 ~
: 204 6 6 ~ 
- 212
: 233 7 4 Oh
: 241 2 3 ~
: 244 3 1 ~
: 248 4 -1 ~ 
- 254
: 256 2 2 But 
: 259 4 9 swim
: 264 3 9 ming 
: 268 3 9 in 
: 272 4 10 your 
: 277 7 9 wa
: 285 6 7 ~
: 292 4 5 ter’s 
: 297 4 5 some
: 302 4 2 thing 
: 313 8 9 spi
: 322 4 7 ri
: 327 8 7 tual
: 336 3 5 ~
: 340 5 2 ~ 
- 347
: 370 4 2 And 
: 376 6 2 I 
: 384 3 2 am 
: 388 3 9 born 
: 392 3 9 a
: 396 3 9 gain 
: 400 3 9 eve
: 404 3 10 ry 
: 408 6 9 time 
: 415 6 5 you 
: 422 8 5 spend 
: 431 7 9 the 
: 439 7 7 night
: 447 3 9 ~
: 451 3 7 ~
: 455 3 9 ~
: 459 4 7 ~
: 471 3 9 ~
: 475 3 7 ~
: 479 3 9 ~
: 483 3 7 ~
: 487 4 5 ~
: 493 11 2 ~ 
- 505
: 505 3 -1 Which 
: 510 3 1 way 
: 515 2 1 is 
: 519 5 4 right 
- 526
: 537 3 -1 Which 
: 542 3 1 way 
: 547 2 1 is 
: 551 4 1 wrong 
- 557
: 570 4 -1 How 
: 575 2 1 do 
: 578 1 1 I 
: 580 9 4 say 
: 590 2 8 that 
: 593 3 9 I 
* 597 3 11 need
: 601 3 8 ~ 
: 605 4 8 to
: 610 3 6 ~ 
: 614 10 6 move 
: 625 3 4 on 
- 630
: 632 10 5 Shows
: 643 3 4 ~
: 647 9 1 ~
: 657 3 0 ~
: 661 12 -2 ~
: 674 3 0 ~
: 678 8 -3 ~, 
- 688
* 696 7 9 Yeah
* 705 4 7 ~, 
* 711 7 4 yeah
* 720 4 2 ~, 
* 726 12 1 yeah 
- 740
: 745 4 2 You 
: 750 4 5 make 
: 755 4 2 me 
* 760 8 10 feel 
: 769 4 9 like 
: 775 5 9 I 
: 783 5 9 am 
: 791 5 9 just 
: 799 5 9 too 
: 807 5 7 close
: 813 2 5 ~ 
: 816 3 5 to 
* 820 7 7 love 
: 828 4 5 you
: 833 3 7 ~ 
- 838
: 862 4 2 I’ve 
: 867 3 2 been 
: 871 4 2 locked 
: 876 4 5 out 
: 881 3 2 of 
F 885 3 10 hea
F 889 2 9 ven 
- 892
: 892 3 2 There 
: 897 3 2 is 
: 902 4 4 no
: 908 4 6 thing 
: 914 6 6 I 
: 922 6 6 can 
: 930 6 9 real
* 937 3 6 ~
* 941 3 4 ly 
: 948 18 4 say 
- 968
: 970 4 6 Hey
: 975 3 4 ~, 
: 979 12 4 yeah 
- 993
: 997 4 2 You 
: 1003 4 5 make 
: 1009 4 2 me 
* 1015 7 10 feel
* 1023 3 9 ~ 
: 1027 14 9 like, 
- 1043
: 1053 3 6 I 
: 1057 4 2 can’t 
: 1062 3 6 hide 
: 1066 5 4 no 
: 1072 7 2 more 
- 1081
: 1100 5 9 I’m 
: 1108 5 9 just 
: 1116 5 9 too 
: 1124 5 7 close
: 1130 2 5 ~ 
: 1133 3 5 to 
* 1137 7 7 love 
: 1145 6 5 you
: 1152 12 7 ~ 
- 1166
: 1180 4 2 I’ve 
: 1185 3 2 been 
: 1189 3 2 locked 
: 1193 3 5 out 
: 1197 3 2 of 
* 1201 6 10 hea
* 1208 4 9 ~
* 1213 15 9 ven
* 1229 8 7 ~ 
- 1239
: 1241 3 5 So 
: 1246 3 3 I’ll 
: 1251 2 1 be 
: 1255 2 3 on 
: 1258 3 1 my 
* 1263 4 -2 way 
- 1269
: 1273 3 5 You 
: 1277 3 9 bring 
: 1281 3 9 me 
: 1285 3 9 to 
: 1289 6 10 my 
: 1296 9 9 knees 
- 1307
: 1309 2 5 You 
: 1313 5 5 make 
: 1321 4 2 me 
* 1329 5 9 tes
* 1336 3 7 ~
* 1341 2 7 ti
* 1345 8 7 fy 
- 1355
: 1376 4 0 Oh
: 1381 3 8 ~
: 1385 3 7 ~
: 1389 3 4 ~
: 1393 7 1 ~ 
- 1402
: 1404 3 9 You 
: 1408 4 9 can 
: 1413 4 9 make 
: 1418 2 10 a 
: 1421 6 9 sin
: 1428 4 7 ~
: 1433 4 5 ner 
: 1441 4 5 change 
: 1449 4 9 his 
: 1457 3 9 ways
: 1461 3 7 ~
: 1465 4 5 ~ 
- 1471
: 1502 3 9 You 
: 1506 5 9 said, 
* 1512 3 9 op
* 1516 3 10 en 
* 1520 3 12 up 
: 1528 4 10 the 
: 1537 4 9 gates 
: 1545 4 7 cause 
: 1552 4 10 I 
: 1561 4 9 can’t 
: 1568 4 7 wait 
: 1575 4 5 to 
: 1581 14 9 see 
: 1596 3 2 the 
: 1600 6 2 light
: 1607 9 5 ~ 
- 1618
: 1622 4 4 See 
: 1627 3 4 the 
: 1631 6 6 lights
: 1638 4 1 ~
: 1643 3 -1 ~
: 1647 5 1 ~ 
- 1654
: 1657 4 9 And 
: 1662 4 9 right 
: 1667 4 9 there 
: 1672 4 10 is 
: 1677 5 9 where
: 1683 3 5 ~ 
: 1688 4 5 I 
: 1697 4 5 wan
: 1703 4 9 na 
* 1709 8 7 stay
* 1718 3 9 ~
* 1722 3 7 ~
* 1726 3 9 ~
* 1730 8 7 ~ 
- 1740
* 1745 8 12 Yeah
* 1754 4 9 ~
* 1759 3 6 ~, 
* 1763 10 6 yeah 
- 1775
: 1779 2 -3 Which 
: 1783 3 -1 way 
: 1787 2 -1 is 
: 1791 5 2 right 
- 1798
: 1809 2 -3 Which 
