#ARTIST:Michael Schulte
#TITLE:For A Second
#MP3:Michael Schulte - For A Second.mp3
#CREATOR:Mamba99
#YEAR:2020
#LANGUAGE:English
#BPM:292
#GAP:9240
#VIDEO:v=2b9M2-eETgs,co=for-a-second-6769288eccf55.jpg,bg=schulte-michael-67c87bf2ecd76.jpg
: 0 2 4 A 
: 4 2 6 lit
: 8 2 4 tle, 
: 12 4 4 la-
: 20 4 7 la-
: 28 4 9 la, 
: 40 4 4 la-
: 48 4 7 la-
: 56 4 9 la 
- 62
: 76 2 4 Dar
: 80 2 2 lin’, 
: 84 2 2 pull 
: 88 2 -1 me 
: 92 2 -1 clo
: 96 2 -3 ser 
- 99
: 100 2 -5 Till 
: 104 2 -8 I 
: 108 2 2 hear 
: 112 2 0 the 
: 116 2 0 bea
: 120 2 -1 tin’ 
: 124 2 -3 heart 
: 128 2 -3 I’ve 
: 132 2 -5 been 
: 136 4 -3 mis
: 144 2 -1 si
: 148 2 -3 ~n’ 
- 152
: 196 2 -1 Since 
: 200 2 2 the 
: 204 2 4 night 
: 208 2 2 you 
: 212 2 2 took 
: 216 2 -1 a
: 220 2 -1 no
: 224 2 -3 ther 
- 227
* 228 2 -5 I’ve 
* 232 2 -8 been 
* 236 2 2 coun
* 240 2 0 tin’ 
* 244 2 0 down 
* 248 2 -1 the 
* 252 4 -3 hours, 
* 260 2 -5 I’m 
* 264 4 -3 drif
* 272 2 -1 ti
* 276 2 -3 ~n’ 
- 280
: 320 2 -5 Some 
: 324 2 4 kin
: 328 2 6 da 
: 332 2 7 ten
: 336 2 6 sion 
: 340 2 4 run
: 344 2 2 nin’ 
: 348 4 2 through 
: 356 2 -1 my 
: 360 4 2 mi
: 368 2 4 ~nd 
- 372
: 388 2 4 It’s 
: 392 2 6 a 
: 396 2 7 fee
: 400 2 6 lin’ 
: 404 2 4 I 
: 408 2 2 don’t 
: 412 2 2 wan
: 416 2 2 na 
: 424 2 4 fi
: 428 2 6 ~ght 
- 432
: 460 2 4 Dar
: 464 2 2 lin’, 
: 468 2 2 pull 
: 472 2 4 me 
: 476 2 -1 clo
: 480 2 -3 ser 
- 483
: 484 2 -5 Till 
: 488 2 -8 I 
