#ARTIST:Michael Schulte
#TITLE:You Let Me Walk Alone (ESC 2018 Germany)
#MP3:Michael Schulte - You Let Me Walk Alone (ESC 2018 Germany).mp3
#CREATOR:aac
#EDITION:Eurovision Song Contest 2018
#GENRE:Pop
#YEAR:2018
#LANGUAGE:English
#BPM:298
#GAP:7090
#VIDEO:v=rp27Ggo_edo,co=you-let-me-walk-alone-690a4718101bc.jpg,bg=schulte-michael-67c87bf2ecd76.jpg,preview=42.67,medley=708-2013
: 0 2 4 I’m
: 3 3 6 ~ 
: 8 2 3 a 
* 12 6 6 drea
: 20 9 3 mer
: 30 4 1 ~, 
- 36
: 62 2 -1 A 
: 66 4 6 make 
: 74 2 3 be
: 78 4 6 lie
: 86 13 3 ver
: 100 3 1 ~
: 104 4 -1 ~ 
- 110
: 120 2 -1 I 
: 124 2 -1 was 
: 128 6 4 told 
: 140 2 3 that 
: 144 3 1 you
: 148 2 -1 ~ 
: 152 4 -1 were, 
: 160 4 -4 too 
- 166
: 252 4 -1 I 
: 258 4 6 love 
: 264 2 3 the 
: 268 4 6 si
: 276 7 3 lence
: 284 8 1 ~ 
- 294
: 312 2 -1 And 
: 316 2 -1 the 
: 320 4 6 clear 
: 328 2 3 ho
* 332 4 6 ri
* 340 13 3 zon
* 354 3 1 ~
* 358 6 -1 ~ 
- 366
: 374 2 -1 And 
: 378 2 -1 I 
: 382 4 4 got 
: 390 2 3 that 
: 394 6 1 all 
: 408 2 -1 from 
: 412 6 -4 you 
- 420
: 478 2 -1 Eve
: 482 2 1 ry 
: 486 2 1 now 
: 490 2 -1 and 
: 494 4 1 then 
: 502 2 -1 I’m 
: 506 4 1 drawn 
: 514 4 1 to 
: 522 4 3 pla
: 530 3 1 ces
: 534 4 -1 ~ 
- 539
: 541 2 -1 Where 
: 544 2 1 I 
: 548 2 1 hear 
: 552 2 -1 your 
: 556 4 1 voice 
: 564 2 -1 or 
: 568 4 1 see 
: 576 4 1 your 
: 584 7 3 face 
- 595
: 595 2 1 And
: 598 4 -1 ~ 
: 606 2 -1 eve
: 610 2 1 ry 
: 614 2 1 lit
: 618 2 -1 tle 
: 622 4 1 thought 
: 630 2 -1 will 
: 634 4 1 lead 
: 642 4 1 me 
: 650 4 3 right 
: 658 4 1 back 
: 666 3 -1 to
: 670 2 -4 ~ 
: 674 4 -4 you 
- 680
: 708 2 -1 I 
: 712 2 -6 was 
: 716 3 -1 born
: 720 2 1 ~ 
: 724 4 -1 from 
* 732 3 6 one
* 736 4 3 ~ 
: 744 3 3 love
: 748 4 1 ~ 
: 760 2 -1 of 
: 764 3 6 two
: 768 4 3 ~ 
: 776 4 3 hearts 
- 784
: 784 2 1 We 
: 788 4 -1 were 
: 796 3 6 three
: 800 4 3 ~ 
: 808 4 3 kids 
: 816 2 1 and 
: 820 4 -1 a 
: 828 2 6 lo
: 832 3 6 ving
: 836 2 3 ~ 
: 840 5 3 mum
: 846 2 1 ~ 
- 850
