#ARTIST:Muse
#TITLE:Will Of The People
#MP3:Muse - Will Of The People.mp3
#CREATOR:DoubleDee
#GENRE:Alternative Rock
#YEAR:2022
#LANGUAGE:English
#BPM:260
#GAP:15830
#VIDEO:v=MClg7zpm6VQ,co=will-of-the-people-62346f3054133.jpg,bg=muse-55753120e14b8.jpg
: 0 2 4 Let’s 
: 3 3 4 push 
: 8 2 1 the 
: 11 3 4 em
: 16 2 4 pe
: 19 3 1 rors 
: 23 4 4 in
: 31 3 4 to 
: 40 2 6 the 
* 43 3 0 o
* 47 3 -1 ~
* 51 4 -3 cean 
- 57
: 128 2 4 Don’t 
: 131 3 4 need 
: 135 2 1 a 
: 138 7 4 goon 
: 146 3 1 to 
: 151 5 4 flirt 
: 160 6 4 with 
: 167 2 6 de
: 171 3 0 vo
: 175 2 -1 ~
: 178 4 -3 tion 
- 184
: 256 2 4 With 
: 259 3 4 eve
: 263 2 1 ry 
: 266 5 4 hour, 
: 272 6 1 our 
: 279 4 4 num
: 287 5 4 ber 
: 295 2 6 in
: 298 4 0 crea
: 303 2 -1 ~
: 306 8 -3 ses 
- 316
: 383 3 4 We’ll 
: 387 3 4 smash 
: 391 3 1 your 
: 395 5 4 in
: 402 4 1 sti
: 408 4 4 tu
: 415 7 4 tions 
: 423 3 6 to 
: 427 2 0 pie
: 430 2 -1 ~
: 434 5 -3 ces 
- 441
: 512 2 4 We 
: 515 3 4 need 
: 519 2 2 a 
: 522 4 4 trans
: 528 2 4 for
: 531 2 2 ~
: 535 5 4 ma
: 543 1 4 tion
: 545 4 2 ~ 
- 551
: 578 4 4 One 
: 583 2 2 we 
: 586 4 4 all 
: 591 7 4 can 
* 600 8 7 see
* 609 5 8 ~ 
- 616
: 639 2 4 We 
: 643 3 4 need 
: 647 2 2 a 
: 650 5 4 re
: 656 2 4 vo
: 659 2 2 ~
: 663 5 4 lu
: 671 2 4 tion
: 674 4 2 ~ 
- 680
: 702 2 2 So 
: 705 4 4 long 
: 711 2 2 as 
: 714 4 4 we 
: 719 2 4 stay
: 722 2 2 ~ 
* 726 8 7 free
* 735 7 8 ~ 
- 744
: 762 4 9 Wel
: 767 2 9 come 
: 770 4 9 to 
: 775 2 9 the 
: 778 3 9 de
: 783 4 9 se
: 791 6 12 cra
: 799 5 12 tion, 
: 807 5 12 ba
: 815 4 9 by 
- 821
* 823 3 9 We’ll 
* 827 4 15 build 
* 832 2 16 you 
* 835 2 12 right
* 838 3 13 ~ 
* 842 1 11 up
: 844 1 6 ~ 
: 847 2 6 and 
: 850 3 9 we’ll 
: 855 3 12 tear
: 859 1 4 ~ 
: 862 5 9 you 
: 871 9 9 down 
- 882
: 890 4 9 Wel
: 895 2 9 come 
: 898 4 9 to 
: 903 2 9 the 
: 906 3 9 ce
: 911 4 9 le
: 919 6 12 bra
: 927 5 12 tion, 
: 935 5 12 ba
: 943 4 9 by 
- 949
: 952 2 9 The 
: 955 2 16 jud
: 959 2 16 ges 
: 962 3 12 are
: 966 2 13 ~ 
: 970 2 9 jailed
: 973 1 6 ~ 
: 975 2 6 and 
: 978 3 9 the 
: 983 2 12 fu
: 986 2 6 ture 
: 991 5 9 is 
: 999 9 9 ours 
- 1010
: 1024 6 4 Free 
: 1031 2 1 your 
: 1034 7 4 sons 
: 1043 3 1 and 
: 1047 4 4 un
: 1054 6 4 lock 
: 1062 3 6 your 
: 1067 3 0 daugh
: 1071 2 -1 ~
: 1074 6 -3 ters 
- 1082
: 1151 3 4 We’ll 
: 1155 3 4 throw 
: 1159 2 1 the 
: 1162 4 4 ba
: 1167 2 4 by 
: 1170 3 1 out 
: 1175 4 4 with 
: 1182 2 4 the 
: 1186 3 4 bath
: 1190 3 6 ~
: 1195 2 1 wa
: 1198 3 0 ~
: 1203 4 -3 ter 
- 1209
: 1279 2 4 With 
: 1282 3 4 eve
: 1287 2 1 ry 
: 1290 3 4 sec
: 1294 3 4 ond 
: 1298 4 1 our 
: 1303 5 4 an
: 1310 7 4 ger 
: 1318 3 6 in
