#ARTIST:Nico Santos
#TITLE:Rooftop
#MP3:Nico Santos - Rooftop.mp3
#CREATOR:Mamba99
#YEAR:2017
#LANGUAGE:English
#BPM:328
#GAP:12190
#VIDEO:v=il3IbtDqgqI,co=rooftop-691f7cf7ebc67.jpg
: 0 2 4 I 
: 4 2 7 got 
: 8 4 9 your 
: 16 4 12 fin
: 24 2 9 ger
: 28 2 9 pri
: 32 2 7 nts 
: 36 4 9 on 
: 44 4 9 my 
: 52 6 9 skin 
- 60
: 68 2 7 E
: 72 4 9 ver 
: 80 4 12 since 
: 88 2 9 that 
: 92 2 9 day 
: 96 2 7 you’ve 
: 100 4 9 let 
: 108 4 9 me 
: 116 6 9 in 
- 124
* 128 2 7 I 
* 132 2 7 feel 
* 136 4 9 your 
* 144 8 14 vibes, 
* 156 2 14 they 
* 160 2 14 are 
* 164 4 14 cir
* 172 2 12 cl
* 176 2 12 i
* 180 4 9 n’ 
- 186
: 192 2 9 You 
: 196 2 16 cut 
: 200 4 14 so 
: 208 8 14 deep, 
: 228 2 16 cut 
: 232 4 14 so 
: 240 2 14 de
: 244 2 12 e
: 248 2 9 p 
- 252
: 260 2 7 Who 
: 264 4 9 needs 
: 272 4 12 lo
: 280 2 9 ve 
: 284 2 9 lean
: 288 2 7 ing 
: 292 4 9 to 
: 300 4 9 one 
: 308 6 9 side? 
- 316
: 324 2 7 We’re 
: 328 4 9 free 
: 336 4 12 fal
: 344 2 9 lin’ 
: 348 2 9 in 
: 352 2 9 the 
: 356 4 9 jun
: 364 4 9 gle 
: 372 6 9 lights 
- 380
: 384 2 7 You 
: 388 2 16 have 
: 392 4 14 it 
: 400 8 14 all, 
: 412 2 12 got 
: 416 2 12 me 
: 420 4 16 on 
: 428 2 14 stand
: 432 2 14 b
: 440 4 9 y 
- 446
: 448 2 9 You 
: 452 4 16 cut 
: 460 4 14 so 
: 468 8 14 deep, 
* 484 4 16 cut 
* 492 4 14 so 
* 500 2 14 de
* 504 6 9 ep 
- 512
: 516 2 16 ’Cause 
: 520 4 16 I 
: 528 2 19 thou
: 532 4 16 ght 
: 540 2 16 that 
: 544 2 16 the 
: 548 4 16 trust 
: 556 4 14 had 
: 564 6 14 gone 
- 572
: 580 2 16 Did
: 584 4 16 n’t 
: 592 2 19 se
: 596 2 16 e 
: 600 8 16 this 
: 612 2 16 co
