#ARTIST:OK Go
#TITLE:Here It Goes Again
#MP3:OK Go - Here It Goes Again.mp3
#CREATOR:B3rnh4rd
#YEAR:2006
#LANGUAGE:English
#BPM:396.09
#GAP:19380
#VIDEO:v=dTAAsCNK7RA,co=here-it-goes-again-609c24ffd6778.jpeg,bg=ok-go-4f3ad67802006.jpg
: 0 2 4 It 
: 5 3 4 could 
: 10 2 4 be 
: 16 3 4 ten 
: 22 2 4 but 
: 27 5 4 then 
: 33 2 5 a
: 38 4 4 gain 
: 43 3 2 I 
: 49 2 2 can’t 
: 55 2 2 re
: 60 2 2 mem
: 66 2 2 ber 
- 70
: 72 2 2 Half 
: 77 2 2 an 
: 82 5 2 hou
: 89 2 0 ~r 
: 93 3 0 since 
: 99 2 0 a 
: 104 5 0 quar
: 110 4 0 ter 
: 115 2 0 to 
: 120 6 0 four 
- 128
: 176 4 4 Throw 
: 181 3 4 on 
: 185 2 4 your 
: 192 4 4 clothes 
: 198 2 4 the 
: 203 3 4 se
: 208 2 5 cond 
: 214 4 4 side 
: 219 2 2 of 
: 224 2 2 Sur
: 228 4 2 fer 
: 233 4 2 Ro
: 239 2 2 sa 
- 243
* 247 4 2 And 
* 252 4 2 you 
* 257 4 2 leave 
* 263 4 0 me 
* 268 2 0 with 
* 273 2 0 my 
* 279 6 0 jaw 
* 286 2 0 on 
* 290 2 0 the 
* 296 5 0 floor 
* 329 6 7 hey 
- 337
: 421 4 0 Oh 
: 438 4 4 just 
: 443 5 4 when 
: 449 2 4 you 
: 454 4 4 think 
: 471 3 4 you’re 
: 476 4 4 in 
: 481 3 4 con
: 487 7 4 trol 
- 496
: 503 2 4 Just 
: 509 3 4 when 
: 514 2 4 you 
: 519 4 4 think 
- 525
: 536 2 4 You’ve 
: 541 5 4 got 
: 547 3 4 a 
: 552 6 4 hold 
: 563 3 4 just 
: 569 3 4 when 
: 573 3 4 you 
: 579 2 4 get 
: 585 4 4 on 
: 590 4 4 a 
: 595 5 4 roll 
- 602
: 612 4 3 Oh 
: 617 4 3 here 
: 622 2 3 it 
: 628 7 3 goes, 
: 639 4 0 here 
: 644 2 -3 it 
: 650 8 3 goes, 
: 660 4 0 here 
: 665 2 -3 it 
: 671 4 3 goes 
: 676 1 -3 a
: 680 9 0 gain 
- 691
* 710 4 3 Oh 
* 715 4 3 here 
* 720 2 3 it 
* 725 4 3 goes 
* 731 2 -2 a
* 735 5 0 gain 
- 741
: 742 2 3 I 
: 748 4 3 should 
: 753 2 3 have 
: 758 5 3 known, 
: 769 4 0 should 
: 774 2 -3 have 
: 780 7 3 known, 
: 791 3 0 should 
: 795 2 -3 have 
: 801 5 3 known 
: 807 2 0 a
: 810 7 0 gain 
- 819
: 839 3 3 But 
: 845 3 3 here 
: 849 2 3 it 
: 855 4 3 goes 
: 860 2 -2 a
: 864 9 0 gain 
- 875
: 900 5 0 Oh 
* 916 4 3 oh 
* 921 4 3 here 
* 926 2 3 it 
* 932 4 3 goes 
* 937 1 -2 a
* 940 9 0 gain 
- 951
: 1051 3 4 Starts 
: 1057 4 4 out 
: 1062 4 4 ea
: 1067 3 4 sy, 
: 1073 3 4 some
: 1077 4 5 thing 
: 1083 3 4 sim
: 1089 2 2 ple, 
: 1094 3 2 some
: 1099 4 2 thing 
: 1105 4 2 slea
: 1111 3 2 zy 
- 1115
: 1116 4 2 Some
: 1121 3 2 thing 
: 1127 3 2 in
: 1132 3 0 ching 
: 1137 3 0 past 
: 1144 2 0 the 
: 1149 4 0 edge 
: 1154 5 0 of 
: 1160 3 0 re
: 1165 6 0 serve 
- 1173
* 1219 3 4 Now 
* 1225 4 4 through 
* 1230 5 4 the 
* 1236 10 4 lines 
* 1247 3 4 of 
* 1252 2 5 the 
* 1257 2 4 cheap 
* 1262 4 2 Ve
* 1267 3 2 ne
* 1273 5 2 tian 
* 1279 7 2 blinds 
- 1288
: 1295 2 2 Your 
: 1300 5 2 car 
: 1306 2 0 is 
: 1312 4 0 pul
: 1317 4 0 ling 
: 1322 3 0 off 
: 1328 3 0 of 
: 1333 2 2 the 
: 1338 7 0 curb 
: 1371 7 7 hey 
- 1380
: 1463 5 0 Oh 
: 1480 2 4 just 
: 1485 4 4 when 
: 1490 2 4 you 
: 1495 5 4 think 
: 1512 3 4 you’re 
: 1518 3 4 in 
: 1523 3 4 con
: 1528 6 4 trol 
- 1536
: 1545 2 4 Just 
: 1550 4 4 when 
: 1555 2 4 you 
: 1561 4 4 think 
- 1567
: 1577 2 4 You’ve 
: 1582 5 4 got 
: 1588 2 4 a 
: 1594 7 4 hold 
: 1605 2 4 just 
: 1611 3 4 when 
: 1615 2 4 you 
: 1621 2 4 get 
: 1627 4 4 on 
: 1632 4 4 a 
: 1637 6 4 roll 
- 1645
* 1654 4 3 Oh 
* 1659 4 3 here 
* 1664 2 3 it 
* 1669 7 3 goes, 
* 1680 4 0 here 
* 1685 2 -3 it 
* 1691 8 3 goes, 
* 1702 3 0 here 
* 1706 2 -3 it 
* 1712 4 3 goes 
* 1717 2 -3 a
* 1721 10 0 gain 
- 1733
: 1750 5 3 Oh 
: 1756 4 3 here 
: 1761 2 3 it 
: 1767 4 3 goes 
: 1772 2 -2 a
: 1775 6 0 gain 
- 1783
: 1784 3 3 I 
: 1790 3 3 should 
: 1794 2 3 have 
: 1799 6 3 known, 
: 1811 3 0 should 
: 1815 3 -3 have 
: 1822 7 3 known, 
: 1832 3 0 should 
: 1836 2 -3 have 
: 1843 4 3 known 
: 1848 2 -2 a
: 1851 8 0 gain 
- 1861
: 1881 3 3 But 
: 1885 5 3 here 
: 1891 2 3 it 
: 1897 4 3 goes 
: 1902 2 -2 a
: 1906 5 0 gain 
- 1912
* 1912 6 5 Oh 
* 1919 4 5 here 
* 1924 2 5 it 
* 1930 3 7 goe
* 1938 3 0 ~s, 
* 1957 4 5 oh 
* 1962 5 5 here 
* 1968 2 6 it 
* 1973 3 7 goe
* 1982 4 0 ~s 
- 1988
: 2011 4 5 Oh 
: 2016 4 5 here 
: 2021 2 5 it 
: 2027 4 7 goes 
: 2032 2 7 a
: 2036 3 7 gai
: 2044 8 0 ~n 
- 2054
: 2071 6 7 Oh, 
: 2086 4 7 oh 
: 2091 5 7 here 
: 2097 2 7 it 
: 2103 4 7 goes 
: 2108 2 7 a
: 2111 9 7 gain 
- 2122
* 2196 5 7 Oh 
* 2207 2 7 oh
* 2213 6 6 ~, 
* 2282 5 7 oh 
* 2288 2 7 here 
* 2291 3 5 it 
* 2298 5 7 goe
* 2304 8 12 ~s 
- 2314
: 2331 3 7 Yeah
