#ARTIST:Oasis
#TITLE:D’You Know What I Mean?
#MP3:Oasis - D’You Know What I Mean?.mp3
#CREATOR:daggeg
#YEAR:1997
#LANGUAGE:English
#BPM:307.96
#GAP:16400
#VIDEO:v=jyJU2136ym4,co=dyou-know-what-i-mean-53f055fb959c5.jpg,bg=oasis-4f74ba7387260.jpg
: 0 2 4 Step 
: 4 3 6 off 
: 12 2 4 the 
: 16 5 6 train 
: 24 2 6 all 
: 28 2 6 a
: 32 5 9 lone 
: 40 3 13 at 
: 48 5 11 dawn 
- 59
: 62 2 4 Back 
: 66 3 6 in
: 70 2 6 to 
: 74 2 4 the 
: 78 4 6 hole 
: 86 2 6 where 
: 90 6 9 I 
: 100 2 13 was 
: 104 7 11 born 
- 117
: 120 2 4 The 
: 124 2 4 sun 
: 128 4 6 in 
: 136 2 4 the 
: 140 4 6 sky 
: 147 2 6 nev
: 151 2 6 er 
: 155 5 9 raised 
: 163 2 13 an 
: 167 6 11 eye 
: 178 2 9 to 
: 182 7 13 me
: 190 10 11 ~ 
- 220
: 243 2 4 There’s 
: 247 2 4 blood 
: 251 4 6 on 
: 259 2 4 the 
: 263 3 6 tracks 
: 270 2 6 and 
: 274 2 6 they 
: 278 4 9 must 
* 286 4 13 be 
* 294 5 11 mine 
- 303
: 305 2 4 The 
: 309 5 4 fool 
: 317 2 6 on 
: 321 2 4 the 
: 325 4 6 hill 
: 333 2 6 and 
: 337 2 9 I 
: 344 5 13 feel 
: 353 5 11 fine 
- 366
: 369 5 4 Don’t 
: 378 4 6 look 
: 385 4 6 back 
: 393 2 6 ’cause 
: 397 2 6 you 
: 401 5 9 know 
: 409 4 13 what 
: 416 3 11 you 
: 421 4 9 might 
: 429 8 13 see
: 438 17 11 ~ 
- 465
: 490 2 13 I 
: 494 4 16 met 
* 501 12 18 my 
* 516 14 18 mak
: 531 5 13 er 
: 539 5 13 I 
: 547 11 16 made 
: 562 7 16 him
: 570 4 18 ~ 
: 578 7 13 cry
: 586 12 11 ~ 
- 609
: 613 2 13 And 
