#ARTIST:Oasis
#TITLE:Rock ’n’ Roll Star
#MP3:Oasis - Rock ’n’ Roll Star.mp3
#CREATOR:Gollum
#EDITION:Rock Band Europe
#GENRE:Britpop
#YEAR:1994
#LANGUAGE:English
#BPM:396.7
#GAP:24900
#VIDEO:v=3aatEBIZHNU,co=rock-n-roll-star-5c986d6e69998.jpg,bg=oasis-4f74ba7387260.jpg
: 0 3 6 I 
: 5 3 8 live 
: 11 4 11 my 
: 17 3 11 life 
: 23 3 8 in 
: 27 1 11 the 
: 33 6 15 ci
: 40 26 15 ty
: 68 9 8 ~ 
- 79
: 91 2 6 And 
: 96 3 9 there’s 
: 103 4 11 no 
: 109 3 14 ea
: 115 4 11 sy 
: 120 6 11 way 
: 127 26 11 out 
- 155
: 195 1 8 The 
: 199 2 13 day’s 
: 206 4 13 mov
: 211 2 13 ing 
* 216 5 13 just 
: 228 6 11 too 
* 239 5 11 fast 
* 251 1 9 for 
* 258 23 11 me 
- 283
: 365 3 6 I 
: 370 2 9 need 
: 376 2 11 some 
: 382 4 11 time 
: 388 2 11 in 
: 393 1 11 the 
: 400 4 14 sun
: 411 5 14 shine
: 417 2 13 ~
: 422 12 14 ~
: 437 10 9 ~ 
- 449
: 457 1 6 I’ve 
: 462 4 9 got 
: 467 1 11 to 
: 474 4 15 slow 
: 480 2 11 it 
: 485 4 11 right 
: 493 32 11 down 
- 527
: 559 1 6 The 
* 564 3 13 day’s 
: 571 4 13 mov
: 577 2 13 ing 
: 582 5 13 just 
* 594 5 11 too 
* 605 5 11 fast 
: 616 2 9 for 
: 622 24 11 me 
- 648
: 720 3 11 I 
: 726 3 17 live 
: 733 9 18 my 
: 743 6 14 life
: 751 6 13 ~ 
: 760 4 13 for 
: 766 1 11 the 
: 771 5 18 stars 
: 779 4 18 that 
: 789 9 15 shine
: 800 6 13 ~ 
- 808
: 817 4 18 Peo
: 823 5 18 ple 
: 834 5 15 say
: 840 4 14 ~ 
: 845 2 14 it’s 
: 852 3 14 just 
: 858 3 11 a 
: 862 3 13 waste 
: 869 5 15 of 
: 881 16 11 time 
- 899
: 909 4 18 Then 
: 915 6 18 they 
* 927 8 14 said
: 936 6 13 ~ 
: 943 3 13 I 
: 949 2 11 should 
: 955 5 18 feed 
: 963 9 18 my 
: 974 5 15 head
: 981 8 13 ~ 
- 991
: 999 3 18 That 
: 1007 5 18 to 
: 1017 5 15 me
: 1023 3 13 ~ 
: 1028 3 13 was 
: 1034 2 13 just 
: 1039 2 11 a 
: 1045 3 13 day 
: 1049 3 13 in
: 1055 4 15 ~ 
: 1063 13 11 bed 
- 1078
: 1086 2 11 I’ll 
* 1092 4 18 take 
* 1099 5 18 my 
: 1110 4 14 car
* 1115 9 13 ~ 
* 1126 2 11 and 
: 1132 8 18 drive 
: 1143 6 18 real 
: 1156 5 14 far
* 1164 7 13 ~ 
- 1173
: 1178 1 13 You’re 
: 1183 4 18 not 
: 1190 4 18 con
: 1201 9 14 cerned 
: 1212 3 13 a
