#ARTIST:Ozzy Osbourne
#TITLE:Hellraiser
#MP3:Ozzy Osbourne - Hellraiser.mp3
#CREATOR:Leroidukitch
#GENRE:Metal
#YEAR:1991
#LANGUAGE:English
#BPM:393,03
#GAP:46500
#VIDEO:v=Q3l-faquXJE,co=no-more-tears-51cd843697c09.jpg,bg=osbourne-ozzy-4fd0a6ff785fa.jpg
: 0 2 4 I’m 
: 4 3 6 li
: 9 2 6 ving 
* 13 6 6 on 
* 21 6 1 an 
: 29 3 4 end
: 34 5 5 less 
: 41 16 6 road 
- 59
: 67 2 4 A
: 71 2 4 round 
: 75 2 4 the 
: 78 6 6 world 
: 86 6 6 for 
: 94 6 11 rock 
: 104 4 11 and 
: 111 3 9 ro
: 116 9 6 ~ll
- 127
: 134 6 4 Some
: 144 10 6 times
: 157 3 1  it 
: 162 5 4 feels 
: 169 4 4 so 
: 176 8 6 tough 
- 186
: 191 2 1 But 
: 194 6 4 I 
: 202 5 6 still 
: 211 7 6 ain’t 
* 227 6 11 had 
* 235 6 11 e
* 243 3 9 nou
* 248 9 6 ~gh
- 258
: 260 12 9 I 
: 275 8 8 kee
: 285 5 6 ~p 
: 293 9 6 sa
: 304 4 6 ying 
: 310 7 4 that 
: 319 6 4 it’s 
: 327 6 6 get
: 335 7 6 ting 
: 344 6 6 to 
: 352 10 6 mu
: 364 3 4 ~
: 369 8 1 ~ch
- 379
: 384 4 1 But 
: 391 13 9 I 
: 407 7 8 kno
: 415 7 6 ~w 
: 425 6 6 I’
: 433 7 4 ~m 
: 442 3 4 a 
: 447 8 8 li
: 457 6 6 ~
: 465 14 6 ar
- 481
: 522 6 8 Fee
: 530 7 8 ling 
: 539 4 8 a
: 544 3 6 ~ll 
: 549 21 6 right 
: 572 5 6 in 
: 579 5 6 the 
: 586 9 9 noise 
: 597 5 6 and 
: 604 4 6 the 
: 611 13 6 li
: 626 3 3 ~
: 631 6 1 ~ght
- 639
: 642 6 1 But 
: 650 14 8 that’s 
: 668 13 8 what 
: 684 13 9 lights 
: 701 13 9 my 
: 718 7 8 fi
: 728 29 6 ~re
- 759
: 767 14 6 Hell
: 783 6 9 rai
: 791 12 6 se
: 806 20 4 ~r, 
: 831 7 1 In 
: 840 3 4 the 
: 846 7 8 thun
: 855 7 9 der 
: 864 4 8 and 
: 870 21 6 heat 
- 893
: 896 14 6 Hell
: 912 7 9 rai
: 921 14 6 se
: 937 20 4 ~r 
: 963 7 1 Rock 
: 972 4 4 you 
: 978 5 8 back 
: 986 5 9 in 
: 993 5 8 your 
: 1000 13 6 sea
: 1014 11 1 ~t
- 1026
* 1026 13 6 Hell
* 1042 7 9 rai
* 1052 13 6 se
: 1067 16 4 ~r, 
: 1090 7 1 And 
: 1100 5 4 I’ll 
: 1107 6 8 make 
: 1115 6 9 it 
: 1123 6 8 come 
: 1130 14 6 true 
- 1146
: 1155 12 6 Hell
: 1171 5 9 rai
: 1179 49 4 ser, 
: 1243 6 4 I’ll 
: 1252 5 4 put 
: 1260 4 4 a 
: 1268 15 11 spell 
: 1287 12 11 on 
: 1301 6 9 you
: 1309 11 6 ~
- 1322
: 1573 3 4 Wal
: 1578 3 4 king 
: 1583 4 6 out 
: 1591 3 1 on 
: 1596 2 1 a
: 1600 3 4 no
: 1606 3 5 ther 
: 1612 16 6 stage 
- 1630
: 1637 2 5 A
: 1641 2 6 no
: 1645 2 6 ther 
: 1649 6 6 town, 
: 1657 4 6 a
: 1663 6 11 no
: 1671 4 11 ther 
: 1677 5 9 pla
: 1684 13 6 ~ce
- 1699
: 1705 6 4 Some
: 1714 12 6 times 
: 1728 2 1 I 
: 1731 5 4 don’t 
: 1738 5 5 feel 
: 1746 13 6 right 
- 1761
: 1764 5 4 Nerves 
: 1771 6 5 wound 
: 1780 8 6 up 
: 1796 7 11 to 
: 1805 5 11 damn 
: 1812 5 9 ti
: 1819 7 6 ~ght
- 1828
: 1830 6 9 Peo
: 1838 5 9 ple 
: 1845 6 8 keep 
: 1853 4 6 ~
: 1861 7 6 tel
: 1870 4 6 ling 
: 1877 9 4 me 
: 1888 3 4 it’s 
: 1893 6 6 bad 
: 1901 5 6 for 
: 1909 6 6 my 
: 1918 12 6 hea
: 1932 3 4 ~
: 1937 10 1 ~lth
- 1948
: 1950 6 1 But 
: 1958 15 9 ki
: 1975 7 8 cki
: 1984 6 6 ~ng 
: 1994 10 6 back 
: 2008 10 4 don’t 
: 2023 8 8 make 
: 2035 14 6 it 
- 2051
: 2089 7 8 Out 
: 2099 4 8 of 
: 2105 7 8 con
* 2114 13 6 trol, 
* 2130 6 6 I 
* 2138 7 6 play 
: 2147 7 6 the 
: 2156 5 9 ul
: 2163 4 6 ti
: 2169 5 6 mate 
: 2176 11 6 ro
: 2189 3 4 ~
: 2194 17 1 ~le
- 2213
: 2210 4 1 But 
: 2217 14 8 that’s 
: 2234 15 8 what 
: 2252 13 9 lights 
: 2268 13 9 my 
: 2284 10 8 fi
: 2296 28 6 re
- 2326
: 2332 14 6 Hell
: 2348 6 9 rai
: 2356 12 6 se
: 2371 20 4 ~r, 
: 2396 7 1 In 
: 2405 3 4 the 
: 2411 7 8 thun
: 2420 7 9 der 
: 2429 4 8 and 
: 2435 5 8 hea
: 2442 14 6 ~t
- 2458
: 2460 15 6 Hell
: 2477 6 9 rai
: 2485 14 6 se
: 2501 20 4 ~r 
: 2526 7 1 Rock 
: 2534 6 4 you 
: 2541 5 8 back 
: 2549 5 9 in 
: 2556 5 8 your 
: 2563 13 6 sea
: 2577 11 1 ~t
- 2589
* 2590 13 6 Hell
