#ARTIST:Patrice Rushen
#TITLE:Forget Me Nots
#MP3:Patrice Rushen - Forget Me Nots.mp3
#CREATOR:Leroidukitch
#GENRE:Funk
#YEAR:1982
#LANGUAGE:English
#BPM:228.66
#GAP:19810
#VIDEO:v=jtMHsNhQBvI,co=https://www.vinylwhizrecords.com/data/vinylwhiz/product/20190610_b0f566.jpg
: 0 3 6 Send
: 4 2 6 ing 
: 8 4 9 you 
: 14 1 9 for
: 16 2 13 get 
: 20 2 13 me 
: 24 1 11 nots
: 26 2 13 ~ 
- 30
: 62 1 4 To 
: 64 2 13 help 
: 68 1 14 me 
: 72 1 11 to
: 74 1 13 ~ 
: 76 1 9 re
: 80 4 11 mem
: 88 1 11 ber
: 90 1 13 ~
: 92 2 11 ~ 
- 96
: 128 3 6 Ba
: 132 2 6 by 
: 136 4 9 please 
: 142 1 9 for
: 144 1 13 get 
: 148 2 13 me 
: 152 1 11 not
: 154 2 13 ~ 
- 158
: 190 1 6 I 
: 192 2 13 want 
: 196 2 14 you 
: 200 1 11 to
: 202 1 13 ~ 
: 204 1 9 re
: 208 5 11 mem
: 216 1 11 ber
: 218 3 13 ~ 
- 223
: 256 3 6 Those 
: 260 3 8 were 
: 264 2 9 the 
: 268 2 9 times
: 271 7 11 ~ 
: 281 3 8 we 
: 285 1 8 had
: 287 1 6 ~
: 289 5 4 ~ 
- 296
: 304 3 4 Shar
: 308 2 6 ing 
: 312 1 6 a 
: 317 2 9 joy
: 320 3 6 ~ 
: 324 3 6 that 
: 328 1 4 we 
- 331
* 332 2 4 Thought
* 335 2 6 ~
* 338 2 4 ~
* 341 2 1 ~ 
* 345 2 1 would 
* 348 1 1 last
* 350 2 -1 ~
* 353 6 -3 ~ 
- 361
: 384 2 6 Mem
: 387 1 6 o
: 389 2 8 ries 
: 392 1 9 of 
: 396 1 9 love
: 398 5 11 ~ 
: 405 2 9 and 
: 409 1 13 af
: 412 1 9 fec
: 414 3 11 ~
: 420 3 9 tion 
- 425
: 432 2 6 Nev
: 436 2 4 er 
: 440 2 1 real
: 444 2 -1 ly 
: 448 3 -1 was 
: 453 1 -3 just 
: 456 1 -3 like 
: 458 1 -1 a 
: 460 6 -3 dream 
- 468
: 512 3 6 Was 
: 517 1 8 it 
: 521 1 9 the 
: 525 1 9 sim
: 527 8 11 ~
: 537 2 8 ple 
: 541 1 8 things
: 543 1 6 ~
: 545 7 4 ~ 
- 554
: 557 1 1 That 
: 561 2 4 made 
: 565 1 6 me 
: 569 1 6 so 
* 573 1 8 cra
* 575 1 9 ~
* 577 2 6 ~
* 581 1 4 zy
* 583 1 6 ~ 
* 585 2 1 a
* 588 3 4 bout
* 592 2 6 ~ 
: 597 4 6 you? 
- 603
: 641 2 6 Was 
: 645 1 8 it 
: 648 1 9 your 
: 652 1 9 charm
: 654 4 11 ~ 
: 661 1 9 or 
: 665 1 13 your 
: 669 1 9 pas
: 671 2 11 ~
: 677 2 9 sion? 
- 681
: 684 2 6 It’s 
: 689 2 13 not 
: 693 2 14 hard 
: 697 1 11 to
: 699 1 13 ~ 
: 701 2 11 be
: 705 5 9 lieve 
- 712
: 713 1 6 I 
: 716 2 11 love
: 719 4 13 ~ 
: 725 3 14 you 
: 729 1 11 and
: 731 1 13 ~ 
: 733 3 11 I 
: 737 2 9 need 
: 741 1 6 you 
: 745 2 11 so 
* 749 1 9 I
* 751 1 11 ~
* 753 9 9 ~ 
- 764
: 769 3 6 Send
: 773 2 6 ing 
: 777 4 9 you 
: 783 1 9 for
: 785 2 13 get 
: 789 1 13 me 
: 793 1 11 nots
: 795 1 13 ~ 
- 798
: 831 1 4 To 
: 833 2 13 help 
: 837 1 14 me 
: 840 1 11 to
: 842 1 13 ~ 
: 845 1 9 re
: 848 4 11 mem
* 857 1 11 ber
* 859 1 13 ~
* 861 2 11 ~ 
- 865
: 897 3 6 Ba
: 901 2 6 by 
: 905 4 9 please 
: 911 1 9 for
: 913 1 13 get 
: 917 2 13 me 
: 921 1 11 not
: 923 2 13 ~ 
- 927
: 959 1 6 I 
: 961 2 13 want 
: 965 2 14 you 
: 969 1 11 to
: 971 1 13 ~ 
: 973 1 9 re
: 977 5 11 mem
: 985 1 11 ber
