#ARTIST:Rex Smith and Rachel Sweet
#TITLE:Everlasting Love
#MP3:Rex Smith and Rachel Sweet - Everlasting Love.mp3
#CREATOR:znxineohp
#YEAR:1981
#LANGUAGE:English
#BPM:236.45
#GAP:51520
#VIDEO:v=o_fWMPWLUhk,co=https://i.discogs.com/24t1NKuUb6Ki-fN4wNkMbbXP1iXEJwZrcivGg1L4C7o/rs:fit/g:sm/q:90/h:597/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1ODgy/MjEtMTU3Njk2ODEy/MC0xMTM3LmpwZWc.jpeg
: 0 6 12 Hearts 
: 8 7 11 go 
: 16 5 12 as
: 22 12 14 tray 
: 42 5 14 lea
: 48 6 16 ving 
: 56 8 17 hurt 
: 70 4 14 when 
: 76 6 16 they 
: 84 1 14 go
: 86 10 12 ~ 
- 106
: 124 7 12 I 
: 132 7 11 went 
: 140 3 12 a
: 144 12 14 way 
: 164 7 12 just 
: 172 5 14 when 
: 178 15 16 you 
: 194 5 17 nee
: 200 3 14 ded 
: 204 5 16 me 
* 210 3 14 so
* 214 12 12 ~ 
- 236
: 248 7 12 Fin
: 256 3 11 ding 
: 260 7 12 your 
: 268 16 14 way 
: 290 5 14 you’ll 
: 296 5 16 come 
: 302 14 17 back 
: 318 5 14 wan
: 324 5 16 ting 
: 330 3 14 me
: 334 12 12 ~ 
- 356
: 370 7 12 I’m 
: 378 5 11 gon
: 384 7 12 na 
: 392 16 14 stay 
: 414 3 14 lo
: 418 5 16 ving 
: 424 13 17 you 
* 438 7 14 end
* 446 7 16 less
* 454 28 12 ly 
- 497
: 528 5 19 O
: 534 5 18 pen 
: 540 1 18 up 
: 542 3 16 your 
: 546 3 16 eye
: 550 6 14 ~s 
: 558 5 19 then 
: 564 5 18 you
: 570 3 18 ~’ll 
: 574 1 16 re
: 576 5 16 a
: 582 6 14 lise 
- 588
: 590 5 19 Here 
: 596 3 16 I 
: 600 3 19 stand 
: 604 3 16 with 
: 608 5 19 my 
* 614 3 19 e
* 618 3 16 ver
* 622 7 19 las
* 630 5 21 ting 
* 636 10 19 love 
- 646
: 648 7 19 Need 
: 656 3 18 you 
: 660 3 18 by 
: 664 3 16 my 
: 668 3 16 si
: 672 6 14 ~de 
: 682 3 19 there’s 
: 686 3 18 no 
: 690 3 18 need 
: 694 3 16 to 
: 698 3 16 hi
: 702 6 14 ~de 
- 708
: 710 3 16 You’ll 
: 714 3 19 ne
: 718 3 16 ver 
: 722 1 19 be 
: 724 3 16 de
: 728 7 19 nied 
* 736 3 19 e
* 740 3 16 ver
* 744 7 19 las
* 752 5 21 ting 
* 758 10 19 love 
- 799
: 886 7 12 Look 
: 894 7 11 in 
: 902 3 12 my 
: 906 16 14 eyes 
: 926 5 14 see 
: 932 4 16 my 
: 938 14 17 love 
: 954 5 14 bur
: 960 5 16 ning 
: 966 3 14 stro
: 970 16 12 ~ng 
- 996
: 1006 7 12 No 
: 1014 7 11 more 
: 1022 5 12 good
: 1028 16 14 byes 
: 1050 3 14 in 
: 1054 6 16 your 
: 1062 11 17 arms 
: 1074 5 19 I 
: 1080 7 16 be
: 1088 3 14 lo
: 1092 10 12 ng 
: 1104 7 16 ba
: 1112 12 12 by 
- 1126
: 1128 8 12 Our 
: 1138 5 11 time 
: 1144 3 12 has 
: 1148 14 14 come 
- 1169
: 1172 5 14 All 
: 1178 3 16 my 
: 1182 15 17 dreams 
: 1198 5 14 have 
: 1204 7 16 come 
: 1212 3 14 tr
: 1216 10 12 ue 
: 1230 5 16 dar
: 1236 8 12 lin’ 
- 1248
: 1250 7 12 Two 
: 1258 9 11 hearts 
: 1268 3 12 as 
* 1272 21 14 one 
: 1294 3 14 lo
: 1298 3 16 ving 
* 1302 17 17 me 
: 1320 5 14 lo
: 1326 7 16 ving 
* 1334 18 12 you 
- 1367
: 1408 5 19 O
: 1414 5 18 pen 
: 1420 3 18 up 
: 1424 1 16 your 
: 1426 3 16 eye
: 1430 6 14 ~s 
: 1438 7 19 then 
: 1446 3 18 you’ll 
* 1450 3 18 re
* 1454 3 16 a
* 1458 3 16 li
* 1462 6 14 ~se 
- 1468
: 1470 5 19 Here 
: 1476 3 16 I 
: 1480 3 19 stand 
: 1484 3 16 with 
: 1488 7 19 my 
* 1496 3 19 e
* 1500 1 16 ver
* 1502 7 19 las
* 1510 7 21 ting 
* 1518 8 19 love 
- 1528
: 1530 7 19 Need 
: 1538 1 18 you 
: 1540 3 18 by 
: 1544 3 16 my 
: 1548 3 16 si
: 1552 6 14 ~de 
: 1560 7 19 there’s 
: 1568 3 18 no 
: 1572 3 18 need 
: 1576 3 16 to 
: 1580 1 16 hi
: 1582 6 14 ~de 
- 1588
: 1590 3 16 You’ll 
: 1594 3 19 ne
: 1598 3 16 ver 
: 1602 3 19 be 
: 1606 3 16 de
: 1610 5 19 nied 
* 1616 3 19 e
* 1620 3 16 ver
* 1624 7 19 las
* 1632 5 21 ting 
* 1638 8 19 love 
- 1648
: 1650 7 19 From 
: 1658 3 18 the 
: 1662 3 18 ve
: 1666 3 16 ry 
: 1670 3 16 st
: 1674 6 14 art 
: 1682 3 19 we’ll 
: 1686 1 18 o
: 1688 3 18 pen 
: 1692 3 16 up 
: 1696 3 16 our 
: 1700 8 14 hearts 
- 1710
: 1712 3 16 We’ll 
: 1716 3 19 be 
: 1720 1 16 an 
: 1722 3 19 ac
: 1726 3 16 tive 
: 1730 3 19 part 
: 1734 3 16 of 
: 1738 3 19 e
: 1742 3 16 ver
: 1746 5 19 las
: 1752 8 21 ting 
- 1769
: 1772 7 21 Where 
: 1780 3 20 life’s 
: 1784 1 20 ri
: 1786 3 18 ver 
: 1790 1 18 flo
: 1792 6 16 ~ws 
: 1802 7 19 no 
: 1810 3 18 one 
: 1814 3 18 real
: 1818 1 16 ly 
: 1820 3 16 kno
: 1824 6 14 ~ws 
- 1830
: 1832 3 19 Till 
: 1836 3 18 some
: 1840 3 18 ones 
: 1844 3 16 there 
: 1848 3 16 to 
: 1852 3 14 show 
: 1856 1 16 the 
: 1858 3 19 way 
: 1862 3 16 to 
: 1866 7 19 las
: 1874 7 21 ting 
: 1882 8 19 love 
- 1890
: 1892 7 19 Like 
: 1900 3 18 the 
: 1904 3 18 sun 
: 1908 3 16 that 
: 1912 1 16 sh
: 1914 6 14 ines 
: 1922 7 19 end
: 1930 3 18 less
: 1934 1 16 ly 
: 1936 5 18 it 
: 1942 5 19 shi
: 1948 4 16 ~nes 
- 1952
: 1954 1 19 You 
: 1956 3 18 al
: 1960 3 16 ways 
: 1964 3 19 will 
: 1968 3 16 be 
: 1972 3 19 my
: 1976 3 16 ~ 
: 1980 1 19 e
: 1982 3 16 ver
: 1986 7 19 las
: 1994 7 21 ting 
: 2002 10 19 love 
- 2012
: 2014 3 19 When 
: 2018 3 18 o
: 2022 3 18 ther 
: 2026 3 16 loves 
: 2030 1 16 are 
: 2032 3 16 go
: 2036 8 14 ne 
: 2046 5 19 ours 
: 2052 3 18 will 
: 2056 3 18 still 
: 2060 3 16 be 
: 2064 1 16 stro
: 2066 6 14 ~ng 
- 2072
: 2074 3 19 We’ll 
