#ARTIST:Richard Marx
#TITLE:Now And Forever
#MP3:Richard Marx - Now And Forever.mp3
#CREATOR:fredbloggs73
#COVER:Richard Marx - Now And Forever [CO].jpg
#BACKGROUND:Richard Marx - Now And Forever [BG].jpg
#GENRE:Soft Rock
#YEAR:1994
#LANGUAGE:English
#BPM:237.5
#GAP:13700
#VIDEO:v=OeDiK2uy3DU,co=https://m.media-amazon.com/images/I/71l3rI3iiwL.jpg,co-crop=2-2-1144-1144,bg=richard-marx-4f3c5236ce153.jpg,preview=42.12,medley=779-1958
: 0 2 4 Whe
: 3 2 7 ~n
: 6 7 6 e
: 15 7 7 ver 
: 24 2 9 I’m 
: 29 2 9 wea
: 32 5 11 ~
: 38 16 11 ry 
- 56
: 67 2 9 From 
: 72 4 11 the 
: 79 2 11 ba
: 82 5 12 ~t
: 88 8 12 tles 
: 98 2 12 that 
: 104 1 9 ra
: 106 4 11 ~
: 111 1 12 ~
: 113 6 11 ~ge 
: 122 2 7 in 
: 127 1 7 my
: 129 4 9 ~ 
: 134 23 9 head 
- 159
: 195 2 6 You 
: 201 4 6 make 
: 209 1 12 se
: 211 5 14 ~nse 
: 219 2 12 of 
: 225 2 11 ma
: 228 1 9 ~
: 230 2 7 ~d
: 235 11 7 ness 
- 248
: 262 1 7 Whe
: 264 3 9 ~n 
: 268 3 11 my 
: 275 1 11 sa
: 277 5 12 ~
: 283 8 12 ni
: 292 4 12 ty 
: 299 1 9 ha
: 301 5 11 ~ngs 
: 309 6 12 by 
: 316 1 12 a
: 318 7 14 ~ 
: 329 24 9 thread 
- 355
: 395 1 14 I
: 397 2 16 ~ 
: 401 4 16 lose 
: 408 4 16 my 
: 414 1 14 way
: 416 15 15 ~ 
: 432 1 15 but 
: 438 1 15 sti
: 440 9 16 ~ll 
: 451 3 18 you 
- 456
: 462 2 18 See
* 465 13 19 ~m 
: 481 1 16 to
: 483 2 18 ~ 
: 487 1 14 u
: 489 8 16 ~n
: 498 9 14 der
: 511 1 9 sta
: 513 3 11 ~
: 517 1 9 ~
: 519 10 7 ~nd 
- 531
: 541 2 4 No
: 544 4 7 ~w 
: 549 2 9 and 
: 554 1 9 fo
: 556 3 11 ~r
: 561 9 4 e
: 572 1 4 ve
: 574 22 7 ~r 
- 598
: 620 2 11 I
: 623 3 12 ~ 
: 628 3 11 will 
: 633 1 11 be
: 635 15 14 ~ 
: 652 1 9 you
: 654 2 11 ~r 
* 659 1 7 ma
* 661 10 9 ~
* 672 21 7 ~n 
- 695
: 779 1 6 So
: 781 3 7 ~me
: 786 8 6 times 
: 795 5 7 I 
: 802 2 9 just 
: 808 2 9 ho
: 811 1 11 ~
: 813 1 9 ~
: 815 5 7 ~ld 
: 821 19 7 you 
- 842
: 859 2 9 Too
: 862 3 12 ~ 
: 868 9 12 caught 
: 878 3 12 up 
: 884 1 9 i
: 886 2 11 ~
: 889 1 12 ~
: 891 8 11 ~n 
: 901 1 9 me
: 903 7 7 ~ 
: 911 1 7 to 
: 917 22 9 see 
- 941
: 974 2 6 I
: 977 2 7 ~’m 
: 982 5 6 hol
: 989 1 12 di
: 991 6 14 ~ng 
: 998 1 14 a
: 1000 2 16 ~ 
: 1006 2 11 fo
: 1009 1 9 ~
: 1011 2 7 ~r
: 1016 13 7 tu
: 1030 1 9 ~
: 1032 3 11 ~ne 
- 1037
: 1047 2 9 That 
: 1052 3 9 hea
: 1056 5 12 ~
: 1063 7 12 ven 
: 1071 3 12 has 
: 1078 1 9 gi
: 1080 6 11 ~
: 1088 5 12 ven 
* 1097 1 12 to
* 1099 8 14 ~ 
: 1109 1 12 me
: 1111 1 11 ~
: 1113 18 9 ~ 
- 1133
* 1175 1 15 I
* 1177 2 16 ~’ll 
* 1182 5 16 try 
* 1188 2 16 to 
* 1195 1 14 sho
* 1197 13 15 ~w 
: 1212 5 15 you 
: 1220 7 16 each 
: 1230 4 18 and 
- 1236
: 1242 1 18 E
: 1244 15 19 ~ve
: 1262 2 18 ry 
: 1267 1 15 way
: 1269 10 16 ~ 
: 1281 7 14 I 
: 1293 1 9 ca
: 1295 2 11 ~
: 1298 1 9 ~
: 1300 8 7 ~n 
- 1310
: 1322 1 4 No
: 1324 4 7 ~w 
: 1329 2 9 and 
: 1334 1 9 fo
: 1336 3 11 ~r
: 1341 9 4 e
: 1353 1 4 ve
: 1355 21 7 ~r 
- 1378
: 1400 1 9 I
: 1402 3 12 ~ 
: 1407 3 11 will 
: 1413 1 11 be
: 1415 15 14 ~ 
: 1431 1 9 you
: 1433 3 11 ~r 
: 1438 1 9 ma
: 1440 4 11 ~
: 1445 1 9 ~
: 1447 22 7 ~n 
- 1471
: 1516 1 9 No
: 1518 4 11 ~w 
: 1523 3 11 I 
: 1529 2 9 can 
: 1535 1 11 re
: 1537 3 9 ~
: 1541 2 7 ~st 
: 1548 9 7 my 
* 1559 2 14 wo
* 1562 8 16 ~r
* 1571 4 16 ries 
- 1577
: 1583 1 12 A
: 1585 3 14 ~nd 
: 1589 4 14 al
: 1594 5 12 ways 
: 1601 1 11 be
: 1603 1 9 ~ 
: 1607 15 9 sure 
- 1624
: 1644 1 6 Tha
: 1646 3 7 ~t 
: 1650 5 7 I 
: 1657 1 14 wo
: 1659 8 16 ~n’t 
: 1670 1 14 be
: 1672 3 16 ~ 
: 1676 1 16 a
: 1680 6 14 lone 
* 1693 1 18 a
* 1695 4 19 ~
* 1700 2 18 ny
: 1706 1 14 mo
: 1708 8 16 ~
: 1717 15 14 ~re 
- 1734
: 1747 2 6 If 
: 1753 6 7 I’d 
: 1760 1 14 o
: 1762 6 16 ~n
: 1769 2 16 ly 
: 1779 1 12 kno
: 1781 9 14 ~wn 
: 1791 4 12 you 
: 1798 2 9 were 
: 1803 10 9 there 
: 1815 1 9 a
: 1817 3 11 ~ll 
: 1821 2 9 the 
: 1826 2 11 ti
: 1829 2 9 ~
: 1832 15 7 ~me 
- 1849
: 1865 3 16 All 
: 1870 2 19 this 
: 1875 3 21 ti
* 1879 27 23 ~
* 1907 24 21 ~
* 1932 26 19 ~me 
- 1960
: 2343 1 14 U
: 2345 3 16 ~n
: 2350 5 16 til 
: 2356 4 16 the 
: 2363 1 14 day
: 2365 14 15 ~ 
: 2381 5 15 the 
: 2387 1 15 o
: 2389 7 16 ~
: 2399 4 18 cean 
- 2405
: 2411 1 18 Doe
: 2413 16 19 ~
: 2431 1 16 s
: 2433 2 18 ~n’t 
: 2438 1 14 tou
: 2440 11 16 ~ch 
: 2454 1 14 the 
: 2460 3 14 sa
: 2464 1 9 ~
: 2466 2 11 ~
: 2469 1 9 ~
: 2471 10 7 ~nd 
- 2483
: 2491 4 7 Now 
: 2496 3 9 and 
: 2503 1 9 fo
: 2505 2 11 ~
: 2508 2 9 ~r
: 2511 1 11 e
: 2513 7 9 ~
: 2522 20 7 ve
: 2543 2 4 ~r 
- 2547
: 2570 1 11 I
: 2572 3 12 ~ 
: 2576 3 11 will 
: 2582 1 12 be
: 2584 14 14 ~ 
: 2600 1 9 you
: 2602 3 11 ~r 
* 2606 2 9 ma
* 2609 8 11 ~
* 2618 1 12 ~
* 2620 2 11 ~
* 2623 1 9 ~
* 2625 24 7 ~n 
- 2651
: 2686 1 6 No
: 2688 2 7 ~w 
: 2691 3 9 and 
: 2697 1 9 fo
: 2699 4 11 ~r
: 2704 1 11 e
: 2706 2 12 ~
: 2709 1 11 ~
: 2711 1 9 ~
: 2713 5 7 ~
: 2720 20 7 ve
: 2741 2 4 ~r 
- 2745
* 2764 1 9 I
* 2766 3 12 ~ 
* 2770 5 11 will 
: 2778 1 7 be
: 2780 44 9 ~ 
- 2826
: 2838 1 7 You
: 2840 7 9 ~
: 2848 1 11 ~
: 2850 9 9 ~r 
: 2862 52 7 man 
E
