#ARTIST:Roger Whittaker
#TITLE:River Lady (A Little Goodbye)
#MP3:Roger Whittaker - River Lady (A Little Goodbye).mp3
#CREATOR:MasterChristian
#YEAR:1976
#LANGUAGE:English
#BPM:291.84
#GAP:9100
#VIDEO:a=ciuoKz19New,co=https://i.discogs.com/G9422BbxX3YeH0ydl6v9euC_96UE1rGWgcmJJB__m4I/rs:fit/g:sm/q:90/h:600/w:591/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0OTAx/NzYtMTU5MTcyNTQ3/Mi01MzEyLmpwZWc.jpeg
: 0 2 4 The 
: 3 11 4 day 
: 15 2 4 the 
: 18 3 4 riv
: 22 7 4 er 
: 30 7 9 free
: 38 8 8 zes, 
- 50
: 52 3 6 Is 
: 56 3 4 the 
: 60 8 1 day 
: 69 3 -1 it 
: 73 7 -1 won’t 
: 81 8 -1 seem 
: 90 9 -1 fair. 
- 106
: 109 3 -1 ’Cos 
: 113 5 1 they’ll 
: 119 10 2 come 
: 130 3 2 to 
: 134 8 6 get 
: 145 3 6 the 
: 149 3 6 riv
: 153 5 -3 er 
: 159 6 -3 la
: 166 3 -3 dy 
- 172
: 174 1 -3 And 
: 176 4 6 I 
: 181 6 6 don’t 
: 188 6 4 think 
: 195 5 4 they’ll 
* 201 13 1 care. 
- 223
: 227 5 4 I 
: 233 4 4 know 
: 238 6 4 they’ll 
: 245 6 4 scrape 
: 252 8 9 her 
: 263 7 8 paint 
: 271 5 6 off, 
- 281
: 283 2 4 In 
: 286 6 1 their 
: 293 4 -1 same 
: 298 7 -1 old 
: 306 4 -1 foo
: 311 5 1 lish 
: 317 13 -1 ways. 
- 336
: 339 6 -1 Now 
: 346 2 1 the 
: 349 4 2 peo
: 354 6 2 ple 
: 361 13 6 see 
: 375 3 6 the 
: 379 2 6 riv
: 382 4 -3 er 
- 394
: 397 2 -3 But 
: 400 3 -3 the 
: 404 7 2 old 
: 412 9 2 ship’s 
: 422 6 1 gone 
: 429 3 1 a
: 433 11 -3 way. 
- 449
: 451 3 4 Wa
: 455 3 4 ter 
: 459 6 4 turns 
* 466 8 9 cold 
: 475 4 9 and 
: 480 6 9 gets 
: 487 4 9 to 
* 492 9 6 free
: 502 3 2 zing 
- 505
: 506 2 2 Be
: 509 2 2 fore 
: 512 3 2 you 
: 516 3 2 ev
: 520 2 2 en 
: 523 3 4 know 
: 527 4 4 it, 
: 534 2 4 the 
: 537 6 4 old 
: 544 7 4 girl’s 
: 552 5 1 eas
: 558 3 -3 ing. 
- 561
: 562 2 1 A
: 565 3 1 way 
: 569 2 0 from 
: 572 6 1 her 
: 579 7 1 berth, 
- 591
: 593 6 1 Round 
: 600 3 1 by 
: 604 3 1 the 
: 608 7 4 point 
: 616 3 4 and 
: 620 6 4 out 
: 627 2 2 of 
: 630 6 1 our 
: 637 8 -3 view. 
- 655
: 677 6 6 Off 
: 684 2 5 in 
: 687 3 6 the 
* 691 14 9 mist 
: 706 3 9 her 
: 710 3 9 en
: 714 5 9 gines 
: 720 9 6 pound
: 730 3 2 ing, 
- 735
: 737 4 2 Back 
: 742 2 2 on 
: 745 3 2 the 
: 749 11 4 banks, 
: 763 3 4 that 
: 767 3 4 old 
: 771 6 4 horn’s 
: 778 6 1 sound
: 785 4 -3 ing, 
- 790
: 792 2 1 A 
: 795 3 1 lit
: 799 3 1 tle 
