#ARTIST:Sasha Alex Sloan feat. Sam Hunt
#TITLE:When Was It Over?
#MP3:Sasha Alex Sloan feat. Sam Hunt - When Was It Over?.mp3
#CREATOR:mus31
#YEAR:2021
#LANGUAGE:English
#BPM:200.45
#GAP:7590
#VIDEO:v=7HQxthkeOB8,co=https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/d0/da/dc/d0dadcb8-4949-618d-b40a-b93304e9de48/886449212767.jpg/5000x5000bb.jpg,bg=https://dynamicmedia.livenationinternational.com/Media/t/l/y/0fe8252d-ac61-47a0-9aeb-00c77ee018c4.jpg
: 0 3 6 Was 
: 4 3 8 it 
: 8 2 10 that 
: 11 7 1 night 
: 28 2 6 you 
: 31 2 8 did
: 34 3 10 n’t 
: 39 8 5 ask, 
: 53 2 5 where 
: 56 3 6 I 
: 60 2 5 had 
: 63 8 3 been? 
- 73
: 102 3 6 Was 
: 106 3 8 it 
: 110 2 10 that 
: 113 6 1 fight 
: 128 3 6 we 
: 132 2 8 did
: 135 2 10 n’t 
: 138 7 5 have, 
: 154 4 5 when 
: 159 2 6 I 
: 162 2 5 came 
: 165 7 3 in? 
- 174
: 209 2 10 Was 
: 212 3 8 it 
: 216 2 6 the 
: 219 3 8 first 
: 223 2 8 time 
: 226 2 8 that 
: 229 1 8 you 
: 231 3 8 saw 
: 235 2 10 me 
: 238 5 8 drunk? 
- 244
: 244 4 8 Second 
: 249 2 8 time 
: 252 1 8 that 
: 254 1 8 I 
: 256 3 8 said 
: 260 2 10 I’m 
: 263 3 8 sor
: 267 2 6 ry 
- 270
: 270 2 8 Third 
: 273 3 8 time 
: 277 1 8 that 
: 279 1 8 I 
: 281 4 10 didn’t 
: 286 5 8 call 
- 293
: 297 2 8 Stayed 
: 300 3 8 out 
: 304 1 6 and 
: 306 3 8 missed 
: 310 3 10 your 
: 314 1 8 par
: 316 4 6 ty 
- 321
: 322 3 10 That 
: 326 3 8 time 
: 330 2 6 I 
: 333 2 8 met 
: 336 2 10 your 
: 339 7 13 friends 
: 348 3 13 I 
: 352 3 11 was 
: 356 2 10 in
: 359 2 8 diff
: 362 2 10 er
: 365 5 6 ent 
- 372
