#ARTIST:Selena Gomez
#TITLE:Single Soon [DUET]
#MP3:Selena Gomez - Single Soon [DUET].mp3
#CREATOR:vicktoben
#EDITION:[DUET]-Songs
#COVER:Selena Gomez - Single Soon [DUET] [CO].jpg
#BACKGROUND:Selena Gomez - Single Soon [DUET] [BG].jpg
#GENRE:Pop
#YEAR:2023
#LANGUAGE:English
#BPM:210
#GAP:8960
#VIDEO:v=yOuqn4w1ozA,co=https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/37/21/45/37214531-57d0-b6d2-5dcd-0a4b6318d86f/23UMGIM91977.rgb.jpg/5000x5000bb.jpg,bg=gomez-selena-5ca9efae0731f.jpg,preview=80.76,p1=Call,p2=Response
P1
: 0 1 2 Should 
: 2 4 4 I 
: 8 1 2 do 
: 10 2 4 it 
: 16 1 2 on 
: 18 2 4 the 
: 24 1 4 phone
: 26 1 5 ~
: 28 1 4 ~? 
- 31
: 32 1 2 Should 
: 34 2 4 I 
: 40 1 2 leave 
: 42 2 4 a 
: 48 1 2 lit
: 50 2 4 tle 
: 56 1 4 note
: 58 1 5 ~
: 60 1 4 ~ 
- 63
: 64 1 2 In 
: 66 3 4 the 
: 72 1 2 poc
: 74 2 4 ket 
: 80 1 2 of 
: 82 2 4 his 
: 88 1 4 coat
: 90 1 5 ~
: 92 4 4 ~? 
- 98
: 108 3 2 Yeah
: 112 1 1 ~
: 114 2 -1 ~ 
- 118
: 238 1 -3 I’m 
: 240 1 -3 pic
: 243 1 -1 kin’ 
: 246 2 2 out 
: 250 1 4 this 
: 254 3 4 dress
: 258 1 6 ~
: 260 2 4 ~ 
- 264
: 272 1 -3 Try
: 274 2 -1 in’ 
: 278 2 2 on 
: 282 2 4 these 
: 286 1 4 shoes
: 288 3 6 ~
: 292 2 4 ~ 
- 296
: 300 1 2 ’Cause 
* 304 1 7 I’ll
* 306 1 9 ~
* 308 2 6 ~ 
: 312 1 6 be
: 314 1 9 ~
: 316 2 6 ~ 
: 320 1 4 sin
: 322 2 2 gle 
: 326 5 2 soon 
- 333
* 336 1 7 I’ll
* 338 1 9 ~
* 340 2 6 ~ 
: 344 1 7 be
: 346 1 9 ~
: 348 1 6 ~ 
: 352 1 4 sin
: 354 2 2 gle 
: 358 5 2 soon 
- 365
: 428 1 2 But 
: 432 1 7 I’ll
: 434 1 9 ~
: 436 2 6 ~ 
* 440 1 7 be
* 442 1 9 ~
: 444 1 6 ~ 
: 448 1 4 sin
: 450 2 2 gle 
: 454 5 2 soon 
- 461
: 464 1 7 I’ll
: 466 1 9 ~
: 468 2 6 ~ 
* 472 1 7 be
* 474 1 9 ~
: 476 1 6 ~ 
: 480 1 4 sin
: 482 2 2 gle 
: 486 5 2 soon 
- 493
: 512 1 4 I’m
: 514 2 6 a 
: 518 2 6 date 
: 522 1 4 who 
: 524 1 6 I
: 526 1 4 ~ 
: 528 1 4 wan
: 530 1 6 ~
: 532 3 4 ~
: 536 2 4 na 
- 540
: 576 1 4 I’m
: 578 2 6 a 
: 582 2 6 do 
: 586 1 4 what 
: 588 1 6 I
: 590 1 4 ~ 
: 592 1 4 wan
: 594 1 6 ~
: 596 3 4 ~
: 600 2 4 na 
: 604 1 2 do
: 606 1 4 ~
: 608 6 2 ~ 
- 616
: 684 1 2 ’Cause 
: 688 1 7 I’ll
: 690 1 9 ~
: 692 2 6 ~ 
: 696 1 7 be
: 698 1 9 ~
: 700 1 6 ~ 
: 704 1 4 sin
: 706 2 2 gle 
: 710 5 2 soon 
- 717
* 720 1 7 I’ll
* 722 1 9 ~
* 724 2 6 ~ 
: 728 1 7 be
: 730 1 9 ~
: 732 1 6 ~ 
: 736 1 4 sin
: 738 2 2 gle 
: 742 5 2 soon 
- 749
: 768 1 2 I 
: 770 2 4 know 
: 776 1 2 I’m 
: 778 2 4 a 
: 784 1 2 lit
: 786 2 4 tle 
: 792 1 4 high
: 794 1 5 ~
: 796 1 4 ~ 
- 799
: 800 1 2 Mainte
: 802 2 4 nance 
: 808 1 2 but 
: 810 2 4 I’m 
: 816 1 2 worth 
: 819 2 4 a 
: 824 1 4 try
: 826 1 5 ~
: 828 1 4 ~ 
- 831
: 832 1 2 Might 
: 834 2 4 not 
: 840 1 2 give 
: 842 3 4 a 
: 848 1 2 rea
: 850 3 4 son 
: 856 1 4 why
: 858 3 6 ~
: 862 2 4 ~ 
- 866
F 874 1 0 Oh, 
F 876 4 0 well, 
F 884 4 0 yeah 
- 890
: 1006 1 -3 I’m 
: 1008 1 -3 pic
: 1011 1 -1 kin’ 
: 1014 2 2 out 
: 1018 3 4 this 
: 1022 3 4 dress
: 1026 1 6 ~
: 1028 2 4 ~ 
- 1032
: 1040 1 -3 Try
: 1042 2 -1 in’ 
: 1046 2 2 on 
: 1050 2 4 these 
: 1054 1 4 shoes
: 1056 3 6 ~
: 1060 2 4 ~ 
- 1064
: 1068 1 2 ’Cause 
: 1072 1 7 I’ll
: 1074 1 9 ~
: 1076 2 6 ~ 
* 1080 1 7 be
* 1082 1 9 ~
* 1084 2 6 ~ 
: 1088 1 4 sin
: 1090 2 2 gle 
: 1094 5 2 soon 
- 1101
* 1104 1 7 I’ll
* 1106 1 9 ~
* 1108 2 6 ~ 
: 1112 1 7 be
: 1114 1 9 ~
: 1116 1 6 ~ 
: 1120 1 4 sin
: 1122 2 2 gle 
: 1126 5 2 soon 
- 1133
: 1196 1 2 But 
* 1200 1 7 I’ll
* 1202 1 9 ~
* 1204 2 6 ~ 
: 1208 1 7 be
: 1210 1 9 ~
: 1212 1 6 ~ 
: 1216 1 4 sin
: 1218 2 2 gle 
: 1222 5 2 soon 
- 1229
: 1232 1 7 I’ll
: 1234 1 9 ~
: 1236 2 6 ~ 
* 1240 1 7 be
* 1242 1 9 ~
* 1244 1 6 ~ 
: 1248 1 4 sin
: 1250 2 2 gle 
: 1254 5 2 soon 
- 1261
: 1312 1 4 Stay 
: 1314 3 6 out 
: 1318 2 6 late 
: 1322 1 4 if 
: 1324 1 6 I
: 1326 1 4 ~ 
: 1328 1 4 wan
: 1330 1 6 ~
: 1332 3 4 ~
: 1336 2 4 na 
- 1340
: 1390 1 -3 I’m 
: 1392 1 -3 pic
: 1395 1 -1 kin’ 
: 1398 2 2 out 
: 1402 3 4 this 
: 1406 1 4 dress
: 1408 4 6 ~
: 1413 2 4 ~ 
- 1417
: 1424 1 -3 Try
: 1426 2 -1 in’ 
: 1430 3 2 on 
: 1434 2 4 these 
: 1438 1 4 shoes
: 1440 3 6 ~
: 1444 2 4 ~ 
- 1448
: 1452 1 2 ’Cause 
: 1456 1 7 I’ll
: 1458 1 9 ~
: 1460 2 6 ~ 
* 1464 1 7 be
* 1466 1 9 ~
* 1468 1 6 ~ 
: 1472 1 4 sin
: 1474 2 2 gle 
: 1478 5 2 soon 
- 1485
* 1488 1 7 I’ll
* 1490 1 9 ~
* 1492 2 6 ~ 
: 1496 1 7 be
: 1498 1 9 ~
: 1500 1 6 ~ 
: 1504 1 4 sin
: 1506 2 2 gle 
: 1510 5 2 soon 
- 1517
: 1540 3 9 Yeah, 
: 1548 4 9 I’ll 
: 1556 3 9 be 
: 1564 1 9 sin
: 1566 2 11 ~
: 1572 3 6 gle 
: 1580 7 6 soon
: 1588 7 4 ~
: 1596 3 2 ~ 
- 1601
: 1668 3 9 Yeah, 
: 1676 3 9 I’ll 
: 1684 3 9 be 
: 1692 1 9 sin
: 1694 2 11 ~
: 1700 3 6 gle 
: 1708 7 6 soon
: 1716 7 4 ~
: 1724 3 2 ~ 
- 1729
: 1774 1 -3 I’m 
: 1776 1 -3 pic
: 1779 1 -1 kin’ 
: 1782 2 2 out 
: 1786 3 4 this 
: 1790 1 4 dress
: 1792 4 6 ~
: 1797 2 4 ~ 
- 1801
: 1808 1 -3 Try
: 1810 2 -1 in’ 
: 1814 2 2 on 
: 1818 2 4 these 
: 1822 1 4 shoes
: 1824 3 6 ~
: 1828 2 4 ~ 
- 1832
: 1836 1 2 ’Cause 
* 1840 1 7 I’ll
* 1842 1 9 ~
* 1844 2 6 ~ 
: 1848 1 7 be
: 1850 1 9 ~
: 1852 2 6 ~ 
: 1856 1 4 sin
: 1858 2 2 gle 
: 1862 5 2 soon 
- 1869
: 1872 1 7 I’ll
: 1874 1 9 ~
: 1876 2 6 ~ 
* 1880 1 7 be
* 1882 1 9 ~
* 1884 1 6 ~ 
: 1888 1 4 sin
: 1890 2 2 gle 
: 1894 5 2 soon 
- 1901
: 1964 2 2 But 
: 1968 1 7 I’ll
: 1970 1 9 ~
: 1972 2 6 ~ 
: 1976 1 7 be
: 1978 1 9 ~
: 1980 1 6 ~ 
: 1984 1 4 sin
: 1986 2 2 gle 
* 1990 5 2 soon 
- 1997
: 2000 1 7 I’ll
: 2002 1 9 ~
: 2004 2 6 ~ 
: 2008 1 7 be
: 2010 1 9 ~
: 2012 1 6 ~ 
: 2016 1 4 sin
: 2018 2 2 gle 
: 2022 5 2 soon 
- 2029
: 2048 1 4 I’m
: 2050 2 6 a 
: 2054 2 6 date 
: 2058 1 4 who 
: 2060 1 6 I
: 2062 1 4 ~ 
* 2064 1 4 wan
* 2066 1 6 ~
: 2068 3 4 ~
: 2072 2 4 na 
- 2076
: 2112 1 4 I’m
: 2114 3 6 a 
: 2118 2 6 do 
: 2122 1 4 what 
: 2124 1 6 I
: 2126 1 4 ~ 
* 2128 1 4 wan
* 2130 1 6 ~
: 2132 3 4 ~
: 2136 2 4 na 
: 2140 1 2 do
: 2142 1 4 ~
: 2144 6 2 ~ 
- 2152
: 2220 1 2 ’Cause 
: 2224 1 7 I’ll
: 2226 1 9 ~
: 2228 2 6 ~ 
: 2232 1 7 be
: 2234 1 9 ~
: 2236 1 6 ~ 
: 2240 1 4 sin
: 2242 2 2 gle 
: 2246 5 2 soon 
- 2253
: 2256 1 7 I’ll
: 2258 1 9 ~
: 2260 2 6 ~ 
: 2264 1 7 be
: 2266 1 9 ~
: 2268 1 6 ~ 
: 2272 1 4 sin
: 2274 2 2 gle 
: 2278 5 2 soon 
- 2285
F 2308 3 0 Well, 
F 2312 2 0 who’s 
F 2315 3 0 next? 
P2
: 128 1 2 May
: 130 3 4 be 
: 136 1 2 I’ll 
: 138 2 4 just 
: 144 1 2 dis
: 146 3 4 ap
: 152 1 4 pear
: 154 1 5 ~
: 156 1 4 ~ 
- 159
: 160 1 2 I 
: 162 3 4 don’t 
: 168 1 2 wan
: 170 2 4 na 
: 176 1 2 see 
: 178 3 4 a 
: 184 1 4 tear
: 186 1 5 ~
: 188 1 4 ~ 
- 191
: 192 1 2 And 
: 194 2 4 the 
: 200 1 2 week
: 202 3 4 end’s 
: 208 1 2 al
: 210 2 4 most 
: 216 1 4 here
: 218 1 5 ~
: 220 4 4 ~ 
- 226
: 300 1 2 ’Cause 
* 304 1 7 I’ll
* 306 1 9 ~
* 308 2 6 ~ 
: 312 1 6 be
: 314 1 9 ~
: 316 2 6 ~ 
: 320 1 4 sin
: 322 2 2 gle 
: 326 5 2 soon 
- 333
: 336 1 7 I’ll
: 338 1 9 ~
: 340 2 6 ~ 
: 344 1 7 be
: 346 1 9 ~
: 348 1 6 ~ 
: 352 1 4 sin
: 354 2 2 gle 
