#ARTIST:Simply Red
#TITLE:Stars
#MP3:Simply Red - Stars.mp3
#CREATOR:k1656
#GENRE:Pop
#YEAR:1991
#LANGUAGE:English
#BPM:207.4
#GAP:20730
#VIDEO:v=kAsTyYAm1dE,co=stars-549147e133699.jpg,bg=simply-red-542d87482e3ca.jpg
: 0 1 2 A
: 2 1 2 ny
: 4 2 2 one 
: 8 2 2 who 
: 12 2 2 e
: 16 2 2 ver 
: 20 8 6 held 
: 32 8 6 you 
- 42
: 60 2 9 Would 
: 64 4 9 tell 
: 72 2 9 you 
: 76 2 9 the 
: 80 4 9 way 
: 88 4 11 I’m 
: 96 5 9 fee
: 104 8 11 lin’ 
- 114
: 128 1 2 A
: 130 1 2 ny
: 132 2 2 one 
: 136 2 2 who 
: 140 2 2 e
: 144 2 2 ver 
: 148 8 6 wan
: 160 4 6 ted 
: 166 8 6 you 
- 176
: 184 2 9 Would 
: 188 2 9 try 
: 192 2 9 to 
: 196 2 9 tell 
: 200 2 9 you 
: 204 2 9 what 
: 208 2 7 I 
: 212 2 11 feel 
: 216 4 11 in
: 224 2 9 si
: 228 2 7 ~
: 232 4 11 ~de 
- 238
: 250 1 -1 The 
: 252 2 2 on
: 256 2 2 ly 
: 260 2 2 thing 
: 264 2 2 I 
: 268 2 2 e
: 272 2 2 ver 
: 276 8 6 wan
: 288 8 6 ted 
- 298
: 316 2 9 Was 
: 320 2 9 the 
: 324 2 9 fee
: 328 2 9 lin’ 
: 332 2 9 that 
: 336 4 9 you 
: 344 4 9 ain’t 
: 352 4 19 fa
: 360 2 11 ki
: 364 2 9 ~
: 368 4 7 ~n’ 
- 374
: 378 1 2 The 
: 380 2 2 on
: 384 2 2 ly 
: 388 2 2 one 
: 392 2 2 you 
: 396 2 2 e
: 400 2 2 ver 
: 404 8 6 thought 
: 416 2 6 a
: 420 8 6 bout 
- 430
: 444 2 9 Wait 
: 448 2 9 a 
: 452 2 9 mi
: 456 4 9 nute 
: 464 6 9 can’t 
- 471
: 472 4 11 You 
: 480 2 11 see
: 484 2 9 ~
: 488 4 7 ~ 
: 496 2 7 that 
: 500 20 19 I
: 532 8 17 ~ 
- 542
: 544 1 18 Wan
: 546 2 19 na 
: 549 9 21 fall 
: 564 1 19 from 
: 566 2 19 the 
: 570 1 18 sta
: 572 1 19 ~
: 574 1 18 ~
: 576 4 16 ~rs 
- 582
: 596 2 11 Straight 
: 600 2 12 in
: 604 2 11 to 
: 608 4 14 your 
: 616 6 12 a
: 626 1 11 ~rms 
: 628 20 19 I
: 660 8 17 ~ 
