#ARTIST:Steve Miller Band
#TITLE:Jet Airliner
#MP3:Steve Miller Band - Jet Airliner.mp3
#CREATOR:Fepo
#COVER:Steve Miller Band - Jet Airliner [CO].jpg
#BACKGROUND:Steve Miller Band - Jet Airliner [BG].jpg
#GENRE:Pop
#YEAR:1977
#LANGUAGE:English
#BPM:243.45
#GAP:63300
#VIDEO:a=jlFXhigvTvM,co=https://img.cdandlp.com/2020/03/imgL/3000654.jpg,bg=miller-steve-band-5068f514c54ca.jpg
: 0 2 4 Lea
: 4 2 7 vin’ 
: 8 5 7 home, 
: 20 6 9 out 
: 28 2 7 on 
: 32 2 7 the 
: 36 9 7 road 
- 47
: 61 5 12 I’ve 
: 68 3 9 been 
: 74 6 7 down 
: 82 2 7 be
: 86 5 7 fo
: 93 5 4 ~re 
- 100
: 121 3 16 Ri
: 126 2 16 din’ 
: 130 2 14 a
: 134 2 14 lo
: 138 2 12 ~ng 
: 142 2 12 on 
: 146 2 9 this 
: 150 5 16 big 
: 158 2 16 ol’ 
: 162 2 14 jet 
: 166 2 14 pla
: 169 3 12 ~ne 
- 174
: 176 2 -3 I’ve 
: 180 5 0 been 
: 187 2 4 thin
: 191 2 4 kin’ 
: 195 2 0 a
: 199 6 0 bout 
: 207 3 2 my
: 212 2 0 ~ 
: 216 2 4 ho
: 220 2 2 ~
: 224 6 0 ~me 
- 232
: 240 2 -3 But 
: 243 3 0 my 
: 248 6 4 love 
: 256 4 4 light 
: 264 9 4 seems 
: 276 2 2 so 
: 280 2 4 far 
: 284 2 2 a
: 288 3 2 way
: 293 3 0 ~ 
- 298
: 304 2 0 And 
: 308 4 0 I 
: 316 5 2 feel 
: 323 3 2 like 
: 328 2 2 it’s 
: 332 2 2 all
: 335 2 0 ~ 
: 339 3 0 been 
: 344 5 0 done 
- 351
: 381 2 3 Some
: 384 2 6 bo
: 388 2 6 dy’s 
: 392 2 6 try
: 396 2 6 in’ 
: 400 4 6 to 
: 407 3 6 ma
: 412 2 8 ~ke 
: 416 4 6 me 
: 424 3 2 stay
: 428 4 0 ~ 
- 433
: 433 2 4 You 
: 437 2 2 know 
: 441 2 2 I’ve 
: 445 2 2 got 
: 449 2 2 to 
: 453 6 2 be 
: 461 4 2 mo
