#ARTIST:Suede
#TITLE:Stay Together
#MP3:Suede - Stay Together.mp3
#CREATOR:daggeg
#YEAR:1994
#LANGUAGE:English
#BPM:200.45
#GAP:27540
#VIDEO:v=LPfhAksS28g,co=stay-together-65685372a3e40.jpg,bg=suede-52d106177a5e2.jpg
: 0 3 6 Come 
: 5 6 6 to 
: 14 3 6 my 
: 19 8 8 house 
: 32 2 9 to
: 35 11 9 night, 
- 48
: 55 3 10 We 
: 60 3 8 can 
: 65 3 10 be 
: 70 3 8 to
: 75 3 13 ge
: 80 3 8 ther 
: 85 3 8 in 
: 89 3 8 the 
: 94 3 13 nu
: 99 3 13 cle
: 103 3 12 ar 
: 108 11 10 sky, 
- 121
: 139 3 3 We 
: 144 3 4 will 
: 149 4 5 dance 
: 158 3 5 in 
: 163 3 5 the 
: 168 7 7 poi
: 177 3 7 son 
* 182 10 8 rain, 
- 194
: 200 3 8 And 
: 205 3 10 we 
: 210 3 8 can 
: 215 3 10 stay 
: 219 3 8 a 
: 224 3 13 while
: 228 2 8 ~ 
: 233 3 8 in 
: 242 4 17 hea
: 247 3 15 ven 
: 252 2 10 to
: 256 13 10 day
: 270 8 11 ~
: 279 22 12 ~ 
- 303
: 317 8 15 Stay 
: 330 3 8 to
: 335 3 10 ge
: 340 20 12 ther 
- 362
: 385 2 8 Let’s 
: 390 8 15 stay, 
: 404 3 8 these 
: 409 3 13 days
: 413 2 12 ~ 
: 418 3 8 are 
: 423 1 8 ours
: 425 1 10 ~
: 427 16 8 ~ 
- 445
* 464 4 17 Stay
* 469 4 15 ~ 
: 478 3 8 to
: 483 3 10 ge
: 488 18 12 ther 
- 508
: 520 3 15 Two 
: 525 5 15 hearts 
: 538 4 13 un
: 543 3 12 der 
: 548 2 8 the 
: 552 1 8 sky
: 554 2 10 ~
: 557 5 8 ~
: 566 4 8 scra
: 571 16 8 pers 
- 589
: 594 3 6 Come 
: 599 6 6 to 
: 607 3 6 my 
: 612 10 8 arms 
: 626 2 9 to
: 629 10 9 night, 
- 641
: 649 3 10 You 
: 654 3 8 and 
: 659 3 10 me 
: 663 3 8 to
: 668 3 13 ge
: 673 3 8 ther 
: 677 3 8 un
: 682 2 8 der 
: 685 1 8 e
: 687 4 13 lec
: 692 3 13 tric
: 696 3 12 ~ 
: 701 12 10 light 
- 715
: 731 3 3 She 
: 736 3 4 will 
: 741 5 5 dance 
: 750 3 5 in 
: 755 3 5 the 
: 760 8 7 poi
: 769 2 7 soned 
: 774 9 8 air 
- 785
: 792 3 8 Just 
: 797 3 10 you 
: 801 3 8 and 
: 806 3 10 me 
: 810 3 8 for
: 815 3 13 e
: 819 3 8 ver 
: 824 3 8 by 
: 828 3 8 the 
* 833 4 17 mo
* 838 3 15 tor
* 842 3 10 way 
: 847 13 10 there
: 861 8 11 ~
: 870 19 12 ~ 
- 891
: 907 8 15 Stay 
: 920 3 8 to
: 925 3 10 ge
: 930 18 12 ther 
- 950
: 975 2 8 Let’s 
: 980 8 15 stay, 
: 994 3 8 these 
: 999 3 13 days
: 1003 2 12 ~ 
: 1008 2 8 are 
: 1013 1 8 ours
: 1015 1 10 ~
: 1017 14 8 ~ 
- 1033
: 1054 4 17 Stay
: 1059 4 15 ~ 
: 1068 3 8 to
: 1073 3 10 ge
: 1077 16 12 ther 
- 1095
* 1109 3 15 Two 
* 1114 5 15 hearts 
: 1127 4 13 un
: 1132 3 12 der 
: 1137 2 8 the 
: 1141 1 8 sky
: 1143 2 10 ~
: 1146 5 8 ~
: 1155 4 8 scra
* 1160 18 8 pers 
- 1180
: 1192 3 8 There’s 
: 1197 2 8 a 
: 1200 4 20 time 
: 1207 3 17 bomb 
: 1212 3 8 in 
: 1216 2 8 the 
: 1219 5 10 high 
: 1226 14 12 rise 
- 1242
: 1267 3 3 There’s 
: 1272 2 3 a 
: 1275 6 13 blue 
: 1284 1 12 sub
: 1286 4 10 ur
: 1291 3 10 ban 
: 1300 16 8 dream 
- 1318
: 1343 1 3 Will 
: 1345 2 3 I 
: 1352 8 13 see 
: 1361 3 12 you 
: 1365 2 10 up 
: 1372 3 8 in 
: 1377 1 8 pa
: 1379 2 10 ra
: 1383 12 12 dise? 
- 1397
: 1417 1 6 Or 
: 1419 1 6 have 
: 1421 1 6 you 
: 1423 2 6 come 
* 1428 5 3 to 
: 1437 4 5 touch 
* 1446 6 8 me?
* 1456 15 13 ~ 
- 1473
: 1556 3 6 Come 
: 1561 6 6 to 
: 1570 3 6 my 
: 1575 6 8 arms 
: 1584 3 9 I’m 
: 1589 9 9 lost, 
- 1600
: 1606 3 8 Just 
: 1611 3 10 you 
: 1615 3 8 and 
: 1620 3 10 me 
: 1625 3 8 to
: 1629 3 13 ge
: 1634 2 8 ther 
: 1639 3 8 in 
: 1643 3 8 the 
: 1648 3 13 year 
: 1652 3 13 of 
: 1657 3 12 the 
: 1662 14 10 horse 
- 1678
: 1692 4 3 Sin
: 1697 3 4 gle 
: 1702 6 5 file 
: 1711 3 5 in 
