#ARTIST:Teddy Swims
#TITLE:Lose Control
#MP3:Teddy Swims - Lose Control.mp3
#CREATOR:DoubleDee
#COVER:Teddy Swims - Lose Control [CO].jpg
#BACKGROUND:Teddy Swims - Lose Control [BG].jpg
#GENRE:Soul
#YEAR:2023
#LANGUAGE:English
#BPM:320
#GAP:5920
#VIDEO:v=FkOpwodhROI,co=https://lastfm.freetls.fastly.net/i/u/ar0/f1138bef3e601f557d2b54c06fdd74da.jpg,bg=swims-teddy-67acc2ec4f351.jpg,preview=41.92,medley=0-1531
: 0 3 6 Some
: 4 2 4 thing’s 
: 8 3 4 got 
: 12 2 1 a 
: 16 3 4 hold 
: 20 2 1 of 
: 24 6 4 me 
: 32 6 4 late
: 40 3 -1 ly
: 44 3 -3 ~ 
- 53
: 56 7 -3 No, 
: 64 5 -3 I 
: 72 6 1 don’t 
: 80 6 4 know 
: 88 5 6 my
: 96 3 -1 se
: 100 2 -3 ~lf 
: 104 4 -3 a
: 112 4 -3 ny
: 120 4 -3 mo
: 125 3 -6 ~re 
- 149
: 192 3 6 Fee
: 196 2 4 ~ls 
: 200 3 4 like 
: 204 2 1 the 
: 208 3 4 walls 
: 212 2 1 are 
: 216 7 4 all 
: 224 6 4 clo
: 232 3 4 sing 
: 236 3 4 i
: 240 3 6 ~n 
- 246
: 248 6 -3 And 
: 256 4 -3 the 
: 264 3 -1 de
: 268 2 1 ~
: 272 5 4 vil’s 
: 280 3 4 kno
: 284 2 6 ~c
: 288 3 -1 ki
: 292 2 -3 ~ng 
: 296 5 -3 at 
: 304 3 -1 my
: 308 3 1 ~ 
: 312 11 1 door 
- 332
: 336 3 1 Whoa
: 340 3 -3 ~
: 344 7 -1 ~
: 352 3 -3 ~
: 356 4 -6 ~ 
- 366
: 368 2 -1 Out 
: 371 2 1 of 
: 374 2 1 my 
: 377 4 1 mi
: 382 2 -1 ~nd, 
: 392 2 1 how 
: 395 2 1 ma
: 398 2 1 ny 
: 401 4 1 ti
: 406 3 -1 ~mes 
- 414
: 416 3 -1 Di
: 420 3 1 ~d 
: 424 3 -1 I
: 428 2 1 ~ 
: 432 3 -1 te
: 436 3 -3 ~ll 
: 440 4 -3 you 
: 448 6 -3 I’m 
: 456 6 1 no 
: 464 7 4 good 
: 472 2 4 a
: 475 4 6 ~t 
: 480 2 -1 be
: 483 3 -3 ~
: 488 6 -3 ing 
: 496 6 -3 a
: 504 2 -3 lo
: 507 2 -1 ~
: 510 4 1 ~ne? 
- 524
: 536 7 -3 Yeah, 
: 544 3 -3 it’s 
: 552 4 1 ta
: 557 4 1 king 
: 562 3 1 a 
: 568 6 1 toll 
: 576 1 1 o
: 578 2 2 ~
: 581 2 1 ~n 
: 584 4 1 me 
- 597
: 600 3 -1 Try
: 604 3 1 ing 
: 609 4 1 my 
: 616 4 1 best 
: 624 3 2 to
: 628 2 1 ~ 
: 633 4 1 keep 
- 638
: 640 5 -3 From 
: 648 6 1 tea
: 656 5 4 ring 
: 664 2 4 the
: 667 3 6 ~ 
: 672 3 -1 ski
: 676 2 -3 ~n 
: 680 6 -3 off 
: 688 6 1 my 
: 696 12 1 bones 
- 717
: 720 5 4 Don’t 
: 728 7 6 you 
: 736 2 6 kno
: 739 2 4 ~
: 742 3 1 ~w 
- 755
: 768 16 1 I 
: 792 19 4 lose 
: 816 12 6 con
: 842 7 9 tro
: 850 4 11 ~
: 855 5 8 ~
: 861 4 9 ~
: 866 2 6 ~
: 869 2 4 ~
: 872 3 1 ~
: 876 2 -1 ~
: 879 1 1 ~
: 881 1 -1 ~
: 883 3 -3 ~
: 887 2 -1 ~
: 890 3 1 ~
: 894 1 -1 ~
: 896 6 -3 ~l 
- 909
: 912 6 1 When 
: 920 2 -1 you
: 923 3 1 ~’re 
: 928 2 -1 no
: 931 1 1 ~
: 933 1 0 ~t 
: 936 4 -1 next 
: 944 4 -3 to 
: 952 3 -3 me
: 956 1 -6 ~
: 958 1 -8 ~ 
- 980
: 1024 4 -3 I’m 
: 1033 6 1 fal
: 1040 5 1 ling 
: 1048 3 1 a
: 1056 6 1 part 
: 1064 7 1 right 
: 1072 6 1 in 
: 1080 7 5 front 
: 1088 7 5 of 
: 1096 7 5 you, 
: 1104 6 5 can’t 
: 1112 4 6 you 
* 1120 14 8 see
