#ARTIST:Tegan and Sara
#TITLE:Alligator
#MP3:Tegan and Sara - Alligator.mp3
#CREATOR:hurzharz
#YEAR:2009
#LANGUAGE:English
#BPM:230.35
#GAP:960
#VIDEO:v=w3YBX0OfNzA,co=https://is1-ssl.mzstatic.com/image/thumb/Music/9c/5c/f3/mzi.uknfzymi.jpg/5000x5000bb.jpg,bg=tegan-and-sara-51a6502d9984f.jpg
: 0 1 2 Sen
: 2 1 3 si
: 4 10 2 tive 
: 18 4 4 it’s 
: 26 6 5 true 
: 44 3 3 al
: 48 3 4 li
: 52 3 3 ga
: 56 5 4 tor 
: 62 10 6 tears 
: 80 5 5 cried 
: 86 3 3 o
: 90 4 2 ver 
: 96 10 6 you. 
- 108
: 132 3 4 O
: 136 3 3 ver 
: 140 6 7 you 
: 148 3 4 o
: 152 3 3 ver 
: 156 6 7 you. 
- 164
: 200 3 4 O
: 204 3 3 ver 
: 208 5 7 you 
: 214 3 4 o
: 218 3 3 ver 
: 222 10 7 you. 
- 234
: 238 3 5 Run 
: 242 1 4 a
: 244 6 2 round 
: 256 2 3 on 
: 260 6 4 me 
: 276 1 5 I’d 
: 278 3 6 soo
: 282 3 3 ner 
: 286 3 7 die 
: 290 3 7 with
: 294 3 3 out. 
- 298
: 298 4 6 Run 
: 304 1 4 a
: 306 6 6 round 
: 314 4 3 on 
: 320 6 4 me 
: 336 6 7 die 
: 346 6 5 with
: 354 8 6 out. 
- 364
: 380 3 7 Re
: 384 3 4 lent
: 388 6 3 less 
- 396
: 400 6 6 Yes 
: 412 4 7 it’s 
: 420 6 6 true 
: 432 4 5 my 
: 440 9 3 motor
: 450 4 2 mouth 
: 466 4 3 runs 
: 474 1 4 o
: 476 4 3 ver 
: 482 14 6 you. 
- 498
: 524 5 5 O
: 530 3 4 ver 
: 534 7 6 you 
: 542 3 5 o
: 546 3 4 ver 
: 550 6 6 you. 
: 588 5 5 O
: 594 3 4 ver 
: 598 7 6 you 
: 606 3 5 o
: 610 3 4 ver 
: 614 3 6 you. 
- 618
: 618 3 5 Run 
: 622 1 4 a
: 624 8 3 round 
: 634 4 3 on 
: 640 4 4 me 
: 650 1 5 I’d 
: 652 3 3 soo
: 656 5 2 ner 
: 662 3 4 die 
: 666 3 4 with
: 670 6 2 out. 
- 678
: 684 3 7 Run 
: 688 3 4 a
: 692 6 6 round 
: 702 3 3 on 
: 706 8 6 me 
: 722 8 5 die 
: 734 3 4 with
: 738 12 2 out. 
- 752
: 774 3 4 O
: 778 3 3 ver 
: 782 6 6 you 
: 790 3 4 o
: 794 3 3 ver 
: 798 6 6 you. 
: 838 3 4 O
: 842 3 3 ver 
: 846 6 6 you 
: 854 3 4 o
: 858 3 3 ver 
: 862 10 6 you. 
- 874
: 906 3 4 O
: 910 3 3 ver 
: 914 6 6 you 
: 922 3 4 o
: 926 3 3 ver 
: 930 8 6 you. 
: 970 3 4 O
: 974 3 3 ver 
: 978 6 6 you 
: 986 3 4 o
: 990 3 3 ver 
: 994 8 6 you. 
- 1004
: 1062 3 6 Run 
: 1066 3 4 a
: 1070 8 5 round 
: 1080 3 3 on 
: 1084 6 3 me 
: 1104 1 4 I’d 
: 1106 3 5 soo
: 1110 3 2 ner 
: 1114 3 4 die 
: 1118 3 3 with
: 1122 4 2 out. 
- 1128
: 1130 3 6 Run 
: 1134 3 3 a
: 1138 8 2 round 
: 1148 3 3 on 
: 1152 6 4 me 
: 1170 9 5 die 
: 1180 3 3 with
: 1184 14 4 out. 
- 1200
: 1228 6 2 No 
: 1238 3 5 his
: 1242 3 4 sy 
: 1246 5 3 fits 
: 1252 3 4 mind 
: 1256 3 3 my 
: 1260 3 2 man
: 1264 4 1 ners 
- 1270
: 1286 3 2 Won’t 
: 1290 3 2 make 
: 1294 3 4 a 
: 1298 8 3 scene 
: 1324 3 3 o
: 1328 3 2 ver 
: 1332 14 6 you. 
- 1348
: 1354 3 3 O
: 1358 3 2 ver 
: 1362 6 5 you 
: 1370 3 3 o
: 1374 3 2 ver 
: 1378 6 5 you 
: 1388 3 3 o
: 1392 3 2 ver 
: 1396 22 6 you. 
- 1420
: 1422 3 4 O
: 1426 3 2 ver 
: 1430 6 6 you 
: 1438 3 4 o
: 1442 3 2 ver 
: 1446 5 6 you. 
- 1452
: 1452 3 6 Run 
: 1456 3 3 a
: 1460 7 5 round 
: 1468 3 3 on 
: 1472 4 1 me 
: 1490 1 6 I’d 
: 1492 3 5 soo
: 1496 3 2 ner 
: 1500 3 6 die 
: 1504 3 5 with
: 1508 6 3 out. 
- 1515
: 1516 3 5 Run 
: 1520 3 4 a
: 1524 8 3 round 
: 1534 3 3 on 
: 1538 10 6 me 
: 1556 7 5 die 
: 1564 3 4 with
: 1568 12 2 out. 
- 1582
: 1664 7 2 Rattled 
: 1672 4 4 yes 
: 1696 3 5 it’s 
: 1700 8 4 true 
: 1718 3 4 al
: 1722 3 5 li
: 1726 3 3 ga
: 1730 3 2 tor 
: 1734 6 5 tears 
: 1750 7 4 spilled 
: 1758 4 3 Over 
: 1770 3 4 you. 
- 1774
: 1774 3 5 Run 
: 1778 3 4 a
: 1782 4 2 round 
: 1792 4 3 on 
: 1798 4 4 me 
: 1812 1 6 I’d 
: 1814 3 5 soo
: 1818 3 3 ner 
: 1822 3 6 die 
: 1826 3 4 with
: 1830 3 3 out. 
- 1834
: 1834 3 5 Run 
: 1838 3 4 a
: 1842 6 2 round 
: 1852 3 3 on 
: 1856 8 4 me 
: 1872 10 6 die 
: 1884 3 5 with
: 1888 7 3 out. 
- 1896
: 1896 3 5 Run 
: 1900 3 4 a
: 1904 4 2 round 
: 1916 3 3 on 
: 1920 8 4 me 
: 1934 1 2 I’d 
: 1936 3 2 soo
: 1940 3 2 ner 
: 1944 3 6 die 
: 1948 3 5 with
: 1952 6 3 out. 
- 1960
: 1964 3 5 Run 
: 1968 3 4 a
: 1972 8 2 round 
: 1984 3 3 on 
: 1988 8 4 me 
: 2004 10 6 die 
: 2016 3 5 with
: 2020 10 3 out. 
- 2032
: 2062 3 4 O
: 2066 3 3 ver 
: 2070 6 7 you 
: 2078 3 4 o
: 2082 3 3 ver 
: 2086 6 7 you 
: 2096 3 4 o
: 2100 3 3 ver 
: 2104 17 8 you. 
- 2122
: 2122 3 4 O
: 2126 3 3 ver 
: 2130 6 7 you 
: 2138 3 4 o
: 2142 3 3 ver 
: 2146 8 7 you. 
- 2156
: 2180 3 3 O
: 2184 3 2 ver 
: 2188 6 6 you 
: 2196 3 3 O
: 2200 3 2 ver 
: 2204 8 6 you 
: 2216 3 3 O
: 2220 3 2 ver 
: 2224 20 7 you. 
- 2246
: 2250 3 3 O
: 2254 3 2 ver 
: 2258 6 6 you 
: 2268 3 3 O
: 2272 3 2 ver 
: 2276 8 6 you 
: 2286 3 3 O
: 2290 3 2 ver 
: 2294 14 6 you. 
- 2310
: 2320 3 3 O
: 2324 3 2 ver 
: 2328 6 6 you 
: 2340 3 3 O
: 2344 3 2 ver 
: 2348 6 6 you. 
- 2356
: 2382 3 3 O
: 2386 3 2 ver 
: 2390 6 6 you 
: 2400 3 3 O
: 2404 3 2 ver 
: 2408 8 6 you. 
E
