#ARTIST:The Darkness
#TITLE:One Way Ticket
#MP3:The Darkness - One Way Ticket.mp3
#CREATOR:jabolko13
#COVER:The Darkness - One Way Ticket [CO].jpg
#BACKGROUND:The Darkness - One Way Ticket [BG].jpg
#GENRE:Hard Rock
#YEAR:2005
#LANGUAGE:English
#BPM:266.98
#GAP:19740
#VIDEO:v=enJiLuH9YUA,co=one-way-ticket-5d4b0d483a7c6.jpg,bg=darkness-the-4fe659705da1f.jpg
: 0 4 8 It 
: 5 3 8 was 
: 9 3 8 a 
: 13 3 8 dus
: 17 4 6 ty 
: 22 2 6 old 
: 25 4 6 night
: 30 7 4 ~ 
: 49 3 3 and 
: 53 3 3 I’m 
: 57 2 3 the 
: 61 4 3 first 
: 66 3 3 to 
: 70 3 4 ad
: 74 5 4 mit 
: 80 3 1 it
: 84 6 1 ~ 
- 107
: 138 3 6 I’ve 
: 142 5 8 sure
: 148 1 6 ly 
: 150 3 6 up
: 154 5 6 set 
: 162 4 4 some
: 167 7 4 one, 
: 179 1 3 but 
: 181 1 3 my 
: 183 1 3 me
: 185 1 3 mo
: 187 1 3 ry 
: 189 1 3 has 
: 191 3 3 cho
: 195 3 3 sen 
: 199 3 3 to 
: 203 3 3 o
: 207 5 4 mit 
: 214 12 1 it
: 227 6 -4 ~ 
- 250
* 271 4 8 Ti
* 276 4 6 ny 
* 281 5 6 voice 
* 287 4 6 te
* 292 3 4 lling 
* 296 7 3 me
* 304 8 4 ~ 
: 317 2 3 I 
: 320 3 3 real
: 324 3 3 ly 
: 328 4 3 should 
: 334 4 4 cool
: 339 2 1 ~
: 342 5 -1 ~ 
: 348 16 1 it 
- 381
: 400 4 8 Che
: 405 3 6 wing 
: 409 3 6 my 
: 414 8 6 face 
: 423 8 4 off, 
: 442 3 3 tal
: 446 2 3 king 
: 449 3 3 ab
: 453 3 3 so
: 457 9 3 lute 
* 478 3 4 rub
* 482 1 3 ~
* 484 1 1 ~
* 486 4 -1 ~
* 491 17 1 bish 
- 518
: 528 2 4 First
: 531 6 6 ~ 
: 539 6 6 line 
: 546 3 6 hit 
: 550 3 6 me 
: 554 4 6 like 
: 559 2 4 a 
: 562 3 6 kick 
: 566 3 6 in 
: 571 2 4 the 
: 577 5 9 face 
- 582
: 584 2 -1 I 
: 587 3 -1 thought, 
: 591 2 -1 “I’d 
: 595 3 11 bet
: 599 3 11 ter 
: 603 4 11 have 
: 608 3 11 a
: 612 2 11 no
: 615 2 11 ther 
: 619 6 11 one, 
: 627 3 11 just 
: 632 5 11 in 
: 639 10 11 case” 
- 657
: 660 2 11 Next 
: 663 4 11 thing 
: 668 3 11 that 
: 672 3 11 I 
: 676 3 9 knew, 
: 680 2 9 my 
: 683 4 9 heart 
: 688 3 8 was 
: 692 3 8 un
: 696 3 6 der 
: 700 3 6 at
: 704 7 6 tack 
- 711
: 713 2 4 I 
: 716 3 4 bought 
: 720 2 3 a 
: 724 6 4 one 
: 732 5 4 way 
: 740 2 4 tic
: 743 4 4 ket 
: 748 2 4 to 
: 751 7 4 hell
: 759 8 5 ~
: 768 7 6 ~ 
F 780 5 4 (and back) 
- 786
: 788 6 4 One 
: 797 5 4 way 
: 804 3 4 tic
: 808 4 4 ket 
: 813 4 4 to 
: 820 5 4 hell 
: 826 4 6 and 
: 832 5 6 back 
- 841
: 843 4 4 Bought 
: 848 3 6 a 
: 852 6 8 one 
: 859 6 8 way 
: 868 3 9 tic
: 872 3 8 ket 
: 876 3 4 to 
: 880 6 4 hell
: 887 5 6 ~ 
: 893 2 8 and
: 896 3 6 ~ 
: 900 9 6 back 
- 915
: 917 6 4 One 
: 925 5 4 way 
: 932 3 4 tic
: 936 3 4 ket 
: 941 4 4 to 
: 948 4 4 hell 
: 953 5 4 and 
: 960 6 6 back 
- 971
: 973 3 4 Bought 
: 977 2 6 a 
: 980 5 8 one 
: 987 7 8 way 
: 996 4 9 tic
: 1001 3 8 ket 
: 1005 3 6 to 
: 1009 10 4 hell
F 1020 4 5 ~
F 1025 13 6 ~ 
- 1038
: 1040 3 6 I’ve 
: 1044 4 9 al
: 1049 5 6 ways 
: 1056 4 4 tried
: 1061 3 4 ~ 
: 1065 3 4 to 
: 1069 3 4 keep 
: 1073 3 4 my 
: 1077 2 4 vi
: 1080 12 3 ces 
: 1098 3 1 un
: 1102 3 3 der 
: 1106 5 3 wraps
: 1112 15 1 ~ 
- 1144
: 1166 3 8 But 
: 1170 3 8 a 
: 1174 6 8 coach 
: 1182 3 6 load 
: 1186 3 6 of 
: 1190 6 6 mutes 
: 1198 4 4 would 
: 1203 2 4 have 
: 1207 9 4 been 
: 1227 4 3 tal
: 1232 4 3 kative 
: 1237 5 3 chaps
: 1244 15 1 ~ 
- 1269
: 1292 3 4 If 
: 1296 2 8 they 
: 1299 2 8 had 
: 1302 7 8 seen 
: 1311 8 8 fit 
: 1327 4 4 to 
: 1332 6 6 join 
: 1339 3 6 me 
: 1343 4 6 for 
: 1348 3 6 a 
: 1352 3 6 couple 
: 1356 3 4 of
: 1361 9 6 ~ 
* 1383 6 4 hits
* 1390 2 6 ~
* 1393 13 11 ~ 
- 1418
: 1422 2 6 And 
: 1425 3 6 now, 
: 1429 2 6 my 
: 1432 4 6 sep
: 1437 4 4 tum 
: 1442 3 6 is 
: 1446 2 6 in 
: 1449 4 6 tat
: 1454 9 4 ters 
: 1474 3 6 and 
: 1478 2 6 I’ve 
: 1481 4 4 still 
: 1487 4 6 got 
: 1492 3 6 the 
: 1496 6 6 runs
: 1503 3 4 ~
: 1507 4 3 ~
: 1512 16 4 ~ 
- 1538
: 1561 1 6 It 
: 1563 6 6 burned 
: 1570 4 6 for 
: 1575 3 4 a 
: 1580 2 6 mo
: 1583 3 6 ment 
: 1587 4 6 then 
: 1592 2 6 it 
: 1595 4 6 kicked 
: 1600 2 6 like 
: 1603 3 4 a 
: 1607 7 6 mule 
- 1623
: 1626 5 9 Stran
: 1632 3 11 gers 
: 1636 3 11 I 
: 1640 3 11 re
: 1644 3 11 crui
: 1648 2 11 ted 
: 1652 3 11 thought 
: 1656 3 11 it 
: 1660 4 11 was 
: 1665 1 11 roc
: 1667 3 11 ket 
: 1671 13 11 fuel 
- 1688
: 1690 4 11 Seve
: 1695 3 11 ral 
: 1699 3 11 mas
: 1703 3 9 sive 
: 1707 4 11 cho
: 1712 2 9 cking 
: 1715 4 9 lines 
: 1720 2 6 of 
: 1723 4 6 glo
: 1728 2 6 ri
: 1731 3 6 ous 
: 1735 9 6 gack 
- 1744
: 1745 3 4 I 
: 1749 2 4 bought 
: 1752 2 3 a 
: 1756 6 4 one 
: 1764 5 4 way 
: 1771 4 4 tic
: 1776 3 4 ket 
: 1780 3 4 to 
: 1784 7 4 hell
: 1792 4 5 ~
: 1797 9 6 ~ 
F 1814 5 3 (and back) 
- 1819
: 1820 6 4 One 
: 1829 5 4 way 
: 1836 3 4 tic
: 1840 4 4 ket 
: 1845 5 4 to 
: 1852 5 4 hell 
: 1858 4 6 and 
: 1864 5 6 back 
- 1873
: 1875 4 4 Bought 
: 1880 3 6 a 
: 1884 6 8 one 
: 1891 6 8 way 
: 1900 3 9 tic
: 1904 3 8 ket 
: 1908 3 4 to 
: 1912 6 4 hell
: 1919 5 6 ~ 
: 1925 2 8 and
