#ARTIST:The Gaslight Anthem
#TITLE:Blue Dahlia
#MP3:The Gaslight Anthem - Blue Dahlia.mp3
#CREATOR:juhuu
#YEAR:2012
#LANGUAGE:English
#BPM:336.2
#GAP:26170
#VIDEO:a=_DuFXs7EOTE,co=handwritten-5af313027770b.jpg,bg=gaslight-anthem-the-4fe0e468d6454.jpg
: 0 3 6 What 
: 4 3 5 a 
: 8 7 6 hard 
: 16 5 5 and 
: 22 4 6 sul
: 28 7 5 try 
: 36 3 6 sum
: 40 8 1 mer, 
- 52
: 54 9 1 Steam 
: 64 7 1 just 
: 72 6 3 slides 
: 80 6 3 up 
: 88 3 3 off 
: 92 6 1 them 
: 100 8 1 streets. 
- 120
: 124 3 -2 You 
: 128 3 -2 got
: 132 3 -2 ta 
: 136 3 -1 stay 
: 140 7 -2 in
: 148 7 -2 side 
: 156 7 -2 and 
: 164 7 -1 wait 
: 172 3 -1 for 
: 176 3 -2 the 
: 180 8 -6 night 
- 188
: 190 3 -6 And 
: 194 5 -6 then 
: 200 3 -2 come 
: 204 7 -2 on 
: 212 6 -2 o
: 220 3 -2 ver 
: 224 3 -4 and 
: 228 6 -4 see 
: 236 8 -6 me. 
- 250
: 252 3 6 ’Cause 
: 256 3 6 there’s 
: 260 3 5 a 
: 264 6 6 po
: 272 6 1 e
: 280 6 1 try 
: 288 3 -6 a
: 292 6 1 bout 
: 300 7 1 these 
: 308 7 1 streets 
- 315
: 316 3 -6 And 
: 320 3 -6 it 
: 324 3 -6 slips 
: 328 3 1 from 
: 332 3 1 your 
: 336 3 1 skin 
: 340 7 1 and 
: 348 11 -6 goes 
: 360 3 1 right 
: 364 3 1 un
: 368 3 1 der
: 372 4 1 neath. 
- 385
: 388 3 -4 And 
: 392 3 -2 ma
: 396 3 -2 ma 
: 400 3 -2 al
: 404 3 -2 ways 
: 408 3 -2 knew 
: 412 3 -2 I’d 
: 416 3 -2 meet 
: 420 3 -2 a 
: 424 7 -1 girl 
: 432 7 -2 like 
: 440 7 -6 you, 
- 447
: 448 7 -6 But 
: 456 7 -1 me, 
: 464 7 -2 I 
: 472 2 -4 ne
: 476 3 -6 ver 
: 480 7 -6 be
: 488 8 -6 lieved. 
- 498
: 500 4 1 ’Cause 
: 506 4 1 I’ve 
: 512 4 1 been 
: 518 9 1 so 
: 528 7 -6 lone
: 536 7 -6 ly 
- 543
: 544 7 1 I 
: 552 3 1 can’t 
: 556 2 -2 i
: 560 2 -2 ma
: 564 2 -2 gine 
: 568 5 -2 that 
: 574 5 -2 kind 
: 580 3 -4 of 
: 584 3 -4 sym
: 588 3 -6 pa
: 592 8 -6 thy. 
- 610
: 628 3 -6 ’Cause 
: 632 7 6 I’ve 
: 640 7 6 been 
: 648 7 6 so 
: 656 7 5 lone
: 664 7 3 ly 
- 671
: 672 7 1 I 
: 680 3 1 can’t 
: 684 2 -2 i
: 688 2 -2 ma
: 692 2 -2 gine 
: 696 3 -2 that 
: 700 5 -4 kind 
: 706 5 -4 of 
: 712 3 -4 sym
: 716 3 -6 pa
: 720 8 -6 thy. 
- 738
: 752 3 7 Where’d 
: 756 3 7 you 
: 760 3 7 get 
: 764 11 5 them 
: 776 34 3 scars? 
- 817
: 820 3 7 How 
: 824 5 7 blue 
: 830 7 5 is 
: 838 9 3 your 
: 848 40 3 heart? 
- 894
: 896 3 3 Is 
: 900 3 5 it 
: 904 7 7 sad 
: 912 3 7 e
: 916 7 7 nough 
: 924 7 5 to 
: 932 5 5 bre
: 938 4 3 ~ak, 
- 949
: 952 3 3 She 
: 956 3 3 said 
: 960 4 5 “It’s 
: 966 9 7 sad 
: 976 3 7 e
: 980 7 8 nough 
: 988 7 7 to 
: 996 5 7 brea
: 1002 4 5 ~k.” 
- 1010
: 1012 3 3 How 
: 1016 5 7 long 
: 1022 5 5 was 
: 1028 7 3 your 
: 1036 38 3 life? 
- 1084
: 1088 3 10 Was 
: 1092 3 10 it 
: 1096 7 10 cold 
: 1104 3 7 and 
: 1108 7 7 strange 
: 1116 7 5 like 
: 1124 12 3 mine? 
- 1148
: 1152 3 3 Are 
: 1156 3 5 you 
: 1160 7 7 man 
: 1168 3 7 e
: 1172 7 7 nough 
: 1180 6 5 to 
: 1188 7 5 lay 
: 1196 8 3 here? 
- 1206
: 1208 3 3 She 
: 1212 5 3 said 
