#ARTIST:The Greatest Showman
#TITLE:A Million Dreams (Movie Version) [DUET]
#MP3:The Greatest Showman - A Million Dreams (Movie Version) [DUET].mp3
#CREATOR:matthu
#EDITION:[DUET]-Songs
#GENRE:Soundtrack
#YEAR:2017
#LANGUAGE:English
#BPM:310
#GAP:214160
#VIDEO:v=JDjTQNOvyTg,co=the-greatest-showman-original-motion-picture-soundtrack-68a9dee6eb12e.jpg,p1=Phineas (P.T. Barnum),p2=Charity (Michelle Williams)
#START:190.0
P1
: 0 2 12 I 
: 4 8 11 close 
: 14 2 12 my 
: 18 2 12 eyes
: 22 10 14 ~ 
: 36 2 12 and 
: 40 6 11 I 
: 48 2 12 can 
: 52 8 14 see 
- 62
: 66 4 12 The 
: 72 6 11 world 
: 80 4 12 that’s 
: 86 2 12 wai
: 90 6 14 ~
: 98 2 12 ting 
: 102 2 4 up 
: 112 4 12 for 
: 118 10 11 me 
- 130
: 146 4 7 That 
: 152 2 9 I 
: 156 10 11 call 
: 172 2 11 my
: 176 10 14 ~ 
: 188 14 4 own. 
- 204
: 272 6 11 Through 
: 280 4 12 the 
: 286 16 14 dark, 
: 304 8 11 through 
: 314 4 12 the 
: 320 14 14 door 
- 336
: 340 6 11 Through 
: 348 4 12 where 
* 354 6 14 no 
* 362 8 16 one’s 
: 372 8 4 been 
: 382 4 12 be
: 388 12 11 fore 
- 402
: 412 4 7 But 
: 418 2 9 it 
: 422 14 11 feels 
: 440 10 9 like 
: 456 12 7 home. 
- 470
: 530 2 9 They 
: 534 2 9 can 
: 538 8 9 say, 
: 548 2 7 they 
: 552 2 9 can 
: 556 4 9 say
: 562 2 11 ~ 
: 568 2 11 it 
: 572 4 9 all 
: 580 8 7 sounds 
: 590 4 4 cra
: 596 28 7 zy. 
- 626
: 666 2 9 They 
: 670 2 9 can 
: 674 6 9 say, 
: 682 2 7 they 
: 686 4 9 can 
: 692 2 9 say
: 696 2 11 ~ 
: 700 2 11 I’ve 
: 704 10 9 lost 
: 716 2 7 my 
: 720 40 7 mind. 
- 762
: 800 2 9 I 
: 804 2 9 don’t 
: 808 6 9 care, 
: 818 2 7 I 
: 822 2 9 don’t 
: 826 2 9 care
: 830 4 11 ~ 
: 838 4 11 so 
: 844 6 9 call 
: 852 4 7 me 
: 858 4 4 cra
: 864 44 7 zy. 
- 910
: 930 4 12 We
: 936 2 14 ~ 
: 940 2 14 can 
: 944 4 14 live
: 950 2 11 ~ 
: 954 2 11 in 
: 958 2 11 a 
: 962 6 12 world 
: 970 2 11 that 
: 974 12 9 we 
* 988 2 6 de
* 992 4 6 sign
* 998 34 7 ~ 
- 1034
: 1062 2 14 ’Cause 
: 1066 6 14 e
: 1074 2 19 v’ry 
: 1078 10 19 night 
: 1090 4 21 I 
: 1096 8 21 lie 
: 1106 4 23 in 
: 1112 8 23 bed 
- 1122
: 1128 2 14 The 
: 1132 6 14 brigh
: 1140 6 18 test 
: 1148 4 18 co
: 1154 2 18 lors
: 1158 4 19 ~ 
: 1164 4 19 fill 
: 1170 2 19 my
: 1174 2 21 ~ 
: 1178 6 21 head 
- 1186
: 1196 4 19 A 
* 1202 6 24 mil
* 1210 2 23 lion 
: 1214 4 23 dreams
: 1220 2 21 ~ 
: 1224 2 21 are 
: 1228 12 21 kee
: 1242 4 19 ping 
: 1248 6 19 me 
: 1256 4 21 a
: 1262 52 16 wake 
- 1316
: 1328 2 14 I 
: 1332 8 14 think 
: 1342 2 19 of 
: 1346 8 19 what 
: 1356 2 21 the 
: 1360 12 21 world 
: 1374 2 23 could 
: 1378 12 23 be 
- 1392
: 1396 2 14 A 
: 1400 4 14 vi
: 1406 2 16 sion
: 1410 4 18 ~ 
: 1416 8 18 of 
: 1426 4 19 the 
: 1432 6 19 one 
: 1440 2 19 I
: 1444 2 21 ~ 
: 1448 10 21 see 
- 1460
: 1462 4 19 A 
* 1468 8 24 mil
* 1478 2 23 lion 
