#ARTIST:The White Stripes
#TITLE:Fell In Love With A Girl
#MP3:The White Stripes - Fell In Love With A Girl.mp3
#CREATOR:krasserdude
#YEAR:2001
#LANGUAGE:English
#BPM:480
#GAP:15240
#VIDEO:v=fTH71AAxXmM,co=fell-in-love-with-a-girl-5c103d0072d7d.jpg,bg=white-stripes-the-5f9187e381831.jpg
: 0 3 6 Fell 
: 4 4 6 in 
: 9 5 4 love 
: 15 4 4 with 
: 20 4 -1 a 
* 25 18 2 girl 
- 53
: 63 5 4 I 
: 69 3 6 fell 
: 73 5 6 in 
: 79 4 4 love 
: 89 9 2 once 
: 99 3 4 and 
: 103 5 4 al
: 109 9 6 most 
: 119 5 4 com
: 125 7 2 plete
: 133 14 -1 ly 
- 154
: 157 4 6 She’s 
: 162 4 4 in 
: 167 5 6 love 
: 173 3 4 with 
: 177 5 -1 the 
: 183 14 2 world 
- 207
: 211 3 2 But 
: 215 9 4 some
: 225 10 6 times 
: 236 10 4 these 
: 247 4 2 fee
: 252 5 2 lings 
: 258 3 4 can 
: 262 3 4 be 
: 266 5 5 so 
: 272 9 4 mis
: 282 7 2 lead
* 290 12 -1 ing 
- 311
: 315 5 6 She 
: 321 9 6 turns 
: 331 5 6 and 
: 337 3 6 says 
: 341 5 6 “Are 
* 347 6 9 you 
: 354 3 6 al
: 358 3 4 ~
: 362 8 6 right?” 
- 372
: 374 1 6 I 
: 376 4 6 said 
: 381 6 6 “I 
: 388 8 4 must 
: 397 4 4 be 
: 408 9 2 fine 
: 418 4 4 ’cause 
: 423 5 4 my 
: 429 7 6 heart’s 
: 437 6 4 still 
: 444 6 6 beat
: 451 6 6 ing.” 
- 467
: 478 4 6 Come 
: 483 4 6 and 
: 488 4 6 kiss 
: 493 4 6 me 
: 498 3 6 by 
: 502 3 6 the 
* 506 5 9 ri
: 512 7 6 ver
: 520 11 6 side, 
: 532 2 4 ye~
: 535 6 6 ah 
- 546
: 548 3 6 Bob
: 552 3 6 by 
: 556 4 4 says 
: 561 4 4 he 
: 566 5 2 fine 
: 572 4 2 he 
* 577 4 -1 don’t 
: 582 5 2 con
* 588 4 6 sid
: 593 5 4 er 
: 599 4 4 it 
: 604 7 2 chea
: 612 6 2 ting 
: 619 9 -1 now 
- 636
: 639 3 6 Re~
: 643 4 4 d 
: 648 4 6 hair 
: 653 4 4 with 
: 658 4 -1 a 
* 663 16 2 curl 
- 689
: 696 5 6 Mel
: 702 5 6 low 
: 708 7 6 roll 
: 716 4 4 for 
: 721 5 4 the 
* 727 4 2 fla
: 732 4 4 vor 
: 737 5 4 and 
: 743 3 4 the 
: 747 9 6 eyes 
: 757 6 4 were 
: 764 7 2 peep
: 772 9 -1 ing 
- 788
: 791 4 6 Can’t 
: 796 5 6 keep 
: 802 3 6 a
: 806 4 4 way 
: 811 4 2 from 
* 816 3 -1 my 
: 820 16 2 girl 
- 846
: 856 9 4 These 
: 866 9 6 sides 
: 876 4 4 of 
: 881 5 4 my 
: 887 5 2 brain 
- 894
: 896 5 2 Need 
: 902 4 4 to 
: 907 7 6 have 
: 915 4 4 a 
: 920 9 2 meet
: 930 15 -1 ing 
- 950
: 952 8 6 Can’t 
: 961 6 6 think 
: 968 5 6 of 
: 974 3 6 a
: 978 3 6 ny 
: 982 11 9 thing 
: 994 4 6 to 
: 999 6 6 do, 
: 1006 4 6 yeah 
- 1012
: 1014 4 6 My 
: 1019 11 6 left 
: 1031 10 4 brain 
: 1042 8 4 knows 
- 1052
: 1054 4 4 That 
: 1059 4 4 all 
: 1064 5 4 love 
: 1070 8 4 is 
: 1079 8 4 flee
: 1088 10 4 ting 
- 1107
: 1110 6 6 She’s 
: 1117 4 6 just 
