#ARTIST:Tina Turner
#TITLE:What You Get Is What You See
#MP3:Tina Turner - What You Get Is What You See.mp3
#CREATOR:Buberatz, asb
#GENRE:Rock
#YEAR:1986
#LANGUAGE:English
#BPM:312.56
#GAP:18790
#VIDEO:v=e0GVixJvt-g,co=what-you-get-is-what-you-see-55ba715889e86.jpg,bg=turner-tina-4ffabb7c55864.jpg,medley=911-1374
: 0 1 2 Mm
: 2 15 5 ~, 
: 21 3 5 yeah
: 26 1 2 ~
: 29 2 0 ~! 
- 33
: 96 2 -2 Some 
: 100 5 0 boys 
: 107 1 0 just 
: 111 3 0 got 
: 116 2 0 the 
: 120 1 0 loo
: 122 1 2 ~k 
: 127 2 0 of 
: 131 2 0 a 
: 136 1 0 Gree
: 138 1 2 ~k 
: 143 1 -2 A
: 147 2 -5 do
: 151 4 -3 ~
: 156 1 0 nis 
- 159
: 220 1 -7 And 
: 223 1 -2 so
: 225 1 0 ~me 
: 227 7 0 boys 
: 236 1 0 just 
: 239 3 0 try 
: 244 2 0 to 
: 255 1 0 ta
: 257 1 2 ~lk 
: 260 2 0 you 
: 264 2 0 o
: 267 2 0 ~ff 
: 271 1 0 your 
: 275 2 0 feet 
- 279
: 323 2 4 Mm
: 326 13 5 ~ 
: 351 2 7 some 
: 355 7 9 boys 
: 367 2 9 think 
: 371 3 9 they’re 
: 383 1 10 Go
: 385 2 9 ~d’s 
: 391 2 9 gift 
: 399 2 7 to 
: 403 3 7 wo
: 408 2 9 ~
: 411 2 9 man 
- 415
: 479 2 12 Some 
* 483 2 12 boy
* 487 3 5 ~s 
: 491 1 5 just 
: 495 2 5 think 
: 498 2 5 they’re 
: 511 4 10 sweet 
: 516 2 9 e
: 520 2 7 nough 
: 527 2 5 to 
: 531 4 5 eat 
- 537
: 607 2 2 Try 
: 611 1 5 to 
: 615 6 5 change 
: 623 1 5 the 
: 627 1 5 ha
: 629 5 7 ~
: 636 2 7 bit 
: 639 3 7 of 
: 643 3 7 a 
* 647 1 7 li
* 649 2 9 ~fe
: 655 6 5 time 
- 663
: 675 2 5 Don’t 
: 679 1 9 e
: 681 4 10 ~
: 687 1 9 ve
: 689 2 7 ~n 
: 695 10 7 try
* 707 4 9 ~ 
- 713
: 731 2 5 ’Cause 
: 735 3 5 when 
: 740 1 5 you 
: 743 3 5 cut 
: 751 4 5 down 
: 759 1 5 dee
: 761 1 7 ~
: 763 2 7 per 
: 767 2 7 than 
: 771 3 7 the 
: 775 2 7 i
: 778 2 9 ~
: 783 4 5 cing 
- 789
* 802 3 2 You 
: 807 7 10 re
: 816 1 9 a
: 818 3 7 ~
: 823 26 7 li
: 851 2 8 ~
: 855 2 9 ~ze, 
: 863 2 7 mm
: 866 8 9 ~
* 876 10 7 ~
* 888 7 5 ~ 
- 897
: 911 1 12 What 
: 915 1 12 you 
: 918 8 12 get 
: 928 1 10 i
: 930 2 10 ~s 
: 934 5 10 what 
* 943 2 9 you
* 946 2 7 ~ 
: 951 6 7 see 
- 959
: 970 2 9 Ai
: 973 8 10 ~n’t 
: 983 2 10 no
: 986 2 10 thing 
* 991 2 9 mo
* 994 1 5 ~re 
: 999 7 5 to 
: 1007 2 7 it 
- 1011
: 1035 4 12 And 
: 1040 1 12 if 
