#ARTIST:Volbeat
#TITLE:Maybellene i hofteholder
#MP3:Volbeat - Maybellene i hofteholder.mp3
#CREATOR:borax
#GENRE:Rock
#YEAR:2008
#LANGUAGE:English
#BPM:372
#GAP:3220
#VIDEO:v=I5O2eetp5tw,co=https://is1-ssl.mzstatic.com/image/thumb/Music/27/56/d3/mzi.kjwnuslf.jpg/5000x5000bb.jpg,bg=volbeat-61afbefea9d77.jpg
: 0 7 14 Sa
: 8 7 16 tur
: 16 36 16 day 
: 56 4 16 I 
: 64 3 16 love 
: 68 4 14 you 
: 76 3 12 like 
: 80 7 12 go
: 88 20 9 ld 
- 110
: 136 4 12 Not 
: 144 4 12 like 
: 152 4 14 the 
: 160 7 16 mon
: 168 36 17 day, 
: 208 7 17 you 
: 216 8 17 pass 
: 228 3 16 like 
: 232 3 14 a 
: 236 7 14 gho
: 244 16 11 st. 
- 262
: 308 8 10 The 
: 320 20 16 fi
: 344 20 14 re 
: 368 4 12 killed 
: 376 3 12 you 
: 380 7 11 like 
: 388 3 11 a 
: 392 7 12 mo
: 400 7 9 ther
: 408 4 9 less 
: 416 16 9 child. 
- 434
: 448 3 9 I 
: 452 7 12 saw 
: 460 3 14 you 
: 464 7 16 last 
: 472 8 16 sun
: 484 36 17 day 
: 524 7 17 at 
: 532 7 17 Bar
: 540 3 16 bara 
: 544 12 14 Hot
: 560 24 11 el... 
- 586
: 628 20 12 Oh 
: 652 15 7 oh 
: 668 16 12 oh 
: 688 8 11 oh 
: 700 7 12 oh 
: 708 24 9 oh 
: 760 3 12 Oh 
: 764 7 12 babe 
: 772 4 14 I’m 
* 780 3 16 so 
* 784 7 16 so
* 792 40 17 rry, 
- 834
: 836 7 17 I 
: 844 7 17 know 
: 852 3 16 where 
: 856 4 14 to 
: 864 7 14 g
: 872 24 11 o... 
- 898
: 1012 4 16 Could 
: 1020 4 16 scream 
: 1028 3 14 like 
: 1032 3 12 a 
: 1036 4 16 pig, 
: 1044 4 16 could 
: 1052 3 13 bark 
: 1056 3 14 like 
: 1060 4 15 a 
: 1068 3 12 d
: 1072 16 9 og 
- 1090
: 1140 3 17 Just 
: 1144 3 17 to 
: 1148 7 17 get 
: 1156 3 17 at
: 1160 7 17 ten
: 1168 3 17 tion 
- 1172
: 1172 3 17 As 
: 1176 3 17 I’m 
: 1180 3 17 cha
: 1184 3 17 sing 
: 1188 7 16 you 
: 1196 3 16 do
: 1200 3 11 wn 
: 1204 3 11 the 
: 1208 16 11 hall. 
- 1226
: 1268 4 16 Oh 
: 1276 7 16 May
: 1284 3 16 be
: 1288 8 17 lenne 
: 1300 7 16 you’ve 
: 1308 3 16 been 
: 1312 8 14 so 
: 1324 11 14 lone
: 1336 24 12 ly. 
- 1362
: 1392 3 17 Got 
: 1396 3 17 a 
: 1400 7 17 fi
: 1408 3 17 re 
: 1412 7 17 burn
: 1420 3 17 ing 
- 1424
: 1424 3 17 As 
: 1428 3 17 I’m 
: 1432 3 17 smo
: 1436 3 16 king 
: 1440 4 16 you 
: 1448 3 16 ou
: 1452 3 11 t 
: 1456 3 11 a
: 1460 16 11 gain... 
- 1478
: 1516 8 16 Still 
: 1528 3 16 all 
: 1532 4 16 the 
: 1540 8 17 leaves 
: 1552 3 16 will 
: 1556 7 16 keep 
: 1564 7 14 on 
: 1572 12 14 fal
: 1588 16 13 ling 
- 1606
: 1640 3 15 Un
: 1644 3 17 til 
: 1648 3 17 I 
: 1652 4 17 see 
: 1660 3 17 you 
: 1664 7 17 dan
: 1672 3 17 cing 
- 1676
: 1676 3 17 On 
: 1680 3 17 the 
: 1684 3 17 ta
: 1688 3 16 ble 
: 1692 3 16 fourty
: 1696 3 16 fi
: 1700 4 15 ve 
: 1708 3 11 a
: 1712 16 11 gain. 
- 1730
: 1776 7 17 See 
: 1784 3 17 you 
: 1788 8 17 dan
: 1800 7 16 cing 
: 1808 7 12 for 
: 1816 3 12 the 
: 1820 8 14 young 
: 1832 11 16 on
: 1844 3 14 e
: 1848 4 12 s 
: 1856 15 12 oh 
: 1872 15 11 oh 
: 1888 12 9 oh 
- 1902
: 1904 7 17 May
: 1912 3 17 be
: 1916 8 17 lenne 
: 1928 4 16 i 
: 1936 3 12 Hof
: 1940 4 12 te
: 1948 7 14 hol
: 1956 15 16 d
: 1972 3 14 e
: 1976 8 12 r. 
- 1986
: 2036 3 16 Could 
: 2040 3 16 you 
: 2044 8 16 be 
: 2056 3 14 the 
: 2060 3 14 on
: 2064 4 12 ly 
: 2072 3 12 on
: 2076 16 9 e 
- 2094
: 2096 3 17 Well 
: 2100 7 17 I 
: 2108 7 17 beg 
: 2116 3 16 you 
: 2120 4 14 to 
: 2128 7 14 come 
: 2136 3 14 ho
: 2140 44 11 me. 
- 2186
: 2204 7 16 Dance 
: 2212 8 14 for
: 2224 8 17 e
: 2236 3 12 ver 
: 2240 7 12 my 
: 2248 7 12 on
: 2256 7 14 ly 
: 2264 7 14 on
: 2272 32 12 e. 
- 2306
: 2652 8 16 Could 
: 2664 3 16 scream 
: 2668 3 14 like 
: 2672 3 12 a 
: 2676 4 16 pig, 
: 2684 4 16 could 
: 2692 7 16 bark 
: 2700 3 14 like 
: 2704 3 12 a 
: 2708 3 12 d
: 2712 16 9 og 
- 2730
: 2780 3 17 Just 
: 2784 3 17 to 
: 2788 7 17 get 
: 2796 3 17 at
: 2800 7 17 ten
: 2808 3 17 tion 
- 2812
: 2812 3 17 As 
: 2816 3 17 I’m 
: 2820 3 17 cha
: 2824 3 17 sing 
: 2828 7 16 you 
: 2836 3 16 do
: 2840 3 11 wn 
: 2844 3 11 the 
: 2848 16 11 hall. 
- 2866
: 2904 8 16 Oh 
: 2916 7 16 May
: 2924 3 16 be
: 2928 7 17 lenne 
: 2936 8 16 you’ve 
: 2948 4 16 been 
: 2956 4 14 so 
: 2964 8 14 lone
: 2976 24 12 ly. 
- 3002
: 3032 3 17 Got 
: 3036 3 17 a 
: 3040 7 17 fi
: 3048 3 17 re 
: 3052 7 17 burn
: 3060 3 17 ing 
- 3064
