#ARTIST:Within Temptation
#TITLE:Somewhere
#MP3:Within Temptation - Somewhere.mp3
#CREATOR:lava
#YEAR:2004
#LANGUAGE:English
#BPM:300.25
#GAP:19380
#VIDEO:a=wlxWpGAfClQ,co=the-silent-force-4dcb14c763460.jpg,bg=within-temptation-4ff5a641724c7.jpg
: 0 2 4 Lo
: 3 9 6 st 
: 14 12 6 in 
: 28 4 4 the 
: 35 9 6 dark
: 45 19 6 ness 
: 82 11 9 ho
: 94 8 6 ping 
: 104 4 6 for 
: 109 3 4 a
: 113 4 6 ~ 
: 121 3 7 si
: 125 6 6 g
: 132 6 4 n 
- 140
: 161 2 4 In
: 167 3 4 ste
: 171 5 6 ad 
: 178 2 6 there 
: 181 1 6 is 
: 184 3 6 o
: 188 5 4 n
: 194 4 6 ly 
: 204 3 6 s
: 208 5 4 i
: 214 16 6 lence 
- 232
: 251 8 9 Can’t 
: 261 9 6 you 
: 272 4 6 hear 
: 278 5 9 my 
: 287 7 13 scr
: 295 3 11 e
: 299 8 13 a
: 309 9 11 ms? 
- 320
* 334 5 13 N
* 341 4 14 e
* 347 13 14 ver 
: 366 4 14 sto
: 371 4 13 p 
: 378 4 14 h
: 383 4 13 o
: 388 14 14 ping. 
- 404
: 408 3 14 Ne
: 412 4 16 ed 
: 419 7 13 to 
: 429 17 13 know 
: 450 4 13 where 
: 456 4 11 you 
: 462 15 13 are 
- 479
: 493 4 13 Bu
: 498 5 14 t 
: 505 7 14 one 
: 514 19 14 thing’s 
: 535 3 14 fo
: 539 3 16 r 
: 546 12 14 sure 
- 560
: 577 6 14 You’re 
: 586 5 14 a
: 593 3 9 l
: 598 10 9 ways 
: 609 2 9 in 
: 615 2 4 m
: 618 5 6 y 
: 625 2 4 h
: 628 2 6 e
: 631 2 7 a
: 634 1 6 r
: 636 12 4 t. 
- 650
: 674 12 -1 I’ll 
: 694 7 6 fi
: 702 10 2 nd 
: 715 15 2 you 
: 734 7 9 so
: 743 9 6 me
: 754 28 6 where. 
- 784
: 793 4 2 I’ll 
: 799 3 2 ke
: 803 3 4 ep 
: 809 3 4 o
: 813 4 2 n 
: 821 6 6 try
: 829 5 4 i
: 836 24 2 ng 
: 871 5 14 un
: 878 10 13 til 
: 890 7 11 my 
: 900 3 9 d
: 904 4 6 y
: 910 8 6 ing 
: 920 5 11 da
: 927 29 9 y
: 958 3 6 y
: 962 15 4 y
: 979 8 6 y. 
- 989
: 1011 16 -1 I 
: 1030 8 6 ju
: 1040 8 2 st 
: 1051 18 2 need 
: 1071 7 9 t
: 1079 8 6 o 
: 1093 8 7 kno
: 1102 20 6 w 
: 1130 5 2 what
: 1137 7 4 e
: 1146 5 4 ver 
: 1152 3 2 has 
: 1156 3 4 h
: 1160 5 6 ap
: 1166 4 4 pe
: 1172 23 2 ned 
- 1197
: 1209 3 14 The 
: 1215 9 13 truth 
: 1225 8 11 will 
: 1236 8 9 free 
: 1246 3 9 m
: 1250 13 11 y 
: 1268 3 9 so
: 1272 34 11 ul. 
- 1308
: 1346 4 4 Lo
: 1352 8 6 st 
: 1362 12 6 in 
: 1377 4 4 the 
: 1383 9 6 dark
: 1395 14 6 ness 
: 1430 3 7 tr
: 1434 4 9 y 
: 1441 3 6 to 
: 1446 9 6 find 
: 1456 5 4 your 
: 1462 3 6 way 
: 1467 4 7 ho
: 1472 15 6 me. 
- 1489
: 1510 3 4 I 
: 1515 3 4 wa
: 1519 9 6 nt 
: 1531 13 6 to 
: 1546 4 4 em
: 1553 3 6 bra
: 1557 5 4 ce 
: 1565 10 6 you 
: 1589 7 2 and 
: 1599 2 7 n
: 1602 6 9 e
: 1609 9 6 ver 
: 1619 4 6 let 
: 1626 7 9 you 
: 1636 4 13 g
: 1641 5 11 o
: 1648 14 13 o. 
- 1664
: 1684 4 13 A
: 1689 4 14 l
: 1694 15 14 most 
: 1710 4 13 hope 
: 1715 4 14 you’re 
: 1720 4 13 in 
: 1725 9 14 hea
: 1735 11 14 ven 
: 1757 5 16 s
: 1763 4 13 o 
: 1769 6 13 no 
: 1777 11 13 one 
: 1794 3 11 can 
: 1798 4 13 hurt 
: 1803 3 11 your 
: 1809 15 13 soul. 
- 1826
: 1851 5 13 L
: 1857 4 14 i
: 1862 13 14 ving 
: 1877 4 13 in 
: 1882 6 14 a
: 1889 3 13 go
: 1893 10 14 ny 
: 1925 10 14 cause 
: 1936 7 14 I 
: 1945 11 14 just 
: 1957 5 14 do 
: 1963 3 14 n
: 1967 2 16 o
: 1970 4 13 t 
: 1976 10 13 kno
: 1987 6 11 w 
- 1995
: 2021 17 6 Where 
: 2042 6 14 yo
: 2049 6 13 u 
- 2057
: 2065 12 -1 I’ll 
: 2085 7 6 fi
: 2093 10 2 nd 
