#ARTIST:Yuki Kajiura
#TITLE:key of the twilight [DUET]
#MP3:Yuki Kajiura - key of the twilight [DUET].mp3
#CREATOR:testguy1245
#EDITION:[DUET]-Songs
#COVER:Yuki Kajiura - key of the twilight [DUET] [CO].jpg
#BACKGROUND:Yuki Kajiura - key of the twilight [DUET] [BG].jpg
#YEAR:2002
#LANGUAGE:English
#BPM:240
#GAP:20080
#VIDEO:a=-B588Yp8uF0,co=https://is1-ssl.mzstatic.com/image/thumb/Music1/v4/00/bc/2f/00bc2f1f-2551-5ce9-f060-caab471ecf2b/VEATP-32394.jpg/5000x5000bb.jpg,p1=P1,p2=P2,tags=duet
P1
: 0 2 4 Come
: 3 4 6 ~ 
: 8 3 6 with 
: 12 7 6 me 
: 20 3 6 in
: 24 3 7 ~ 
: 28 3 6 the 
: 32 7 6 twi
: 40 3 4 ~
: 44 7 4 light 
: 53 2 4 of
: 56 3 6 ~ 
: 60 3 4 a 
: 64 3 4 sum
: 68 4 2 ~
: 73 2 2 mer 
: 76 7 2 night 
: 84 7 1 for 
: 92 3 2 a 
: 96 14 2 while 
- 120
: 128 2 4 Tell
: 131 8 6 ~ 
: 140 7 6 me 
: 148 3 6 of
: 152 3 7 ~ 
: 156 2 6 a 
: 160 7 6 sto
: 168 3 4 ~
: 172 6 4 ry 
: 180 2 4 ne
: 183 4 6 ~
: 188 3 4 ver 
: 192 4 4 e
: 197 6 2 ver 
: 204 7 2 told 
: 212 7 1 in 
: 220 2 2 the 
: 224 15 2 past 
- 249
: 257 6 2 Take 
: 264 4 2 me 
: 269 6 2 back 
: 277 6 4 to 
: 284 3 6 the 
: 288 19 6 land 
- 316
: 320 7 2 Where 
: 328 3 2 my 
: 332 7 2 year
: 340 7 4 nings 
: 348 4 6 were 
: 353 19 6 born 
- 378
: 380 2 2 The 
: 383 7 2 key 
: 391 3 2 to 
: 396 7 2 o
: 404 7 4 pen 
: 412 2 6 the 
: 416 10 6 door 
: 427 2 7 is
: 430 2 6 ~ 
: 433 9 4 in 
: 443 3 4 your 
: 448 8 2 hand 
- 462
: 464 2 7 Now
: 467 12 9 ~ 
: 481 13 1 fly 
: 495 2 7 me
: 498 9 9 ~
: 508 3 6 ~ 
: 512 56 6 there 
- 600
: 1024 7 6 Fa
: 1032 3 6 na
: 1036 5 6 tics 
: 1044 3 6 find
: 1048 3 7 ~ 
: 1052 2 6 their 
: 1056 7 6 hea
: 1064 3 4 ven 
: 1068 6 4 in 
: 1076 3 4 ne
: 1080 3 6 ~
: 1084 3 4 ver 
: 1088 3 4 en
: 1092 3 2 ~
: 1096 2 2 ding 
: 1100 6 2 stor
: 1108 12 1 ming 
: 1121 16 2 wind 
- 1148
: 1152 7 6 Au
: 1160 3 6 gu
: 1164 7 6 ries 
: 1172 2 6 of
